dt,gate_q,improve,inv_limit,n_fills,pnl_bp,mean_bp,max_abs_inv,end_inv
2026-07-28,0.2,true,5.0,6346,1581.8431881752983,0.24926618155929695,5.0,0.0
2026-08-06,0.4,true,5.0,2708,1608.0098585564454,0.5937998000577716,5.0,0.0
2026-08-02,0.1,false,5.0,474,1158.899544137471,2.444935747125466,5.0,4.0
2026-07-22,0.4,false,5.0,879,-778.8982382600537,-0.8861185873265686,5.0,-3.0
2026-07-19,0.2,false,5.0,239,-470.92250742272546,-1.9703870603461315,5.0,-5.0
2026-08-04,0.1,false,5.0,1553,-1474.6662289029027,-0.9495597095318111,5.0,-5.0
2026-07-25,0.1,false,5.0,297,-161.16895462170768,-0.5426564128677026,5.0,-5.0
2026-07-28,0.2,false,5.0,1393,5837.483590563867,4.190584056399043,5.0,1.0
2026-07-25,0.0,true,5.0,1796,-323.78750610991983,-0.18028257578503332,5.0,-4.0
2026-08-04,0.0,false,0.0,2219,-26498.628980652516,-11.941698504124613,293.0,-293.0
2026-07-19,0.0,false,5.0,315,-500.46666486801354,-1.5887830630730588,5.0,-5.0
2026-08-09,0.2,true,5.0,773,751.5225631946715,0.9722154763191093,5.0,5.0
2026-08-06,0.0,true,5.0,5713,448.3301842709826,0.07847543922124674,5.0,1.0
2026-07-31,0.2,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-08-04,0.2,true,5.0,4192,954.895489439682,0.22778995454190887,5.0,-4.0
2026-07-25,0.3,false,5.0,219,8.29374194024908,0.037870967763694426,5.0,-5.0
2026-07-25,0.5,true,5.0,790,255.9178768529879,0.3239466795607442,5.0,-4.0
2026-08-04,0.0,true,5.0,6127,1836.5417810796246,0.29974567995423934,5.0,1.0
2026-07-25,0.1,true,5.0,1514,18.198852875548873,0.012020378385435187,5.0,-4.0
2026-07-28,0.5,true,5.0,3781,2005.8996790687575,0.5305209413035592,5.0,1.0
2026-08-02,0.2,true,5.0,1476,2750.2519072622554,1.8633143003131811,5.0,4.0
2026-08-04,0.3,true,5.0,3544,579.3561069279543,0.16347519947177042,5.0,-4.0
2026-07-25,0.5,false,5.0,155,-263.8252469852171,-1.702098367646562,5.0,-5.0
2026-07-19,0.2,true,5.0,1576,-559.1808345832566,-0.3548101742279547,5.0,4.0
2026-07-16,0.4,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-07-28,0.4,false,5.0,1129,2741.849712263026,2.428564847000023,5.0,3.0
2026-07-25,0.2,true,5.0,1288,27.131166055661488,0.02106456991899184,5.0,-4.0
2026-07-28,0.0,false,5.0,1820,3929.2583414458913,2.1589331546405996,5.0,-2.0
2026-07-16,0.3,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-08-04,0.4,false,5.0,1091,-3941.196457229883,-3.6124623805956766,5.0,-5.0
2026-07-16,0.2,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-07-25,0.4,false,5.0,185,-34.56085064723676,-0.1868154089039825,5.0,-5.0
2026-08-02,0.3,false,5.0,365,595.3329072435392,1.6310490609412034,5.0,5.0
2026-07-31,0.0,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-07-22,0.3,true,5.0,4549,2166.9122128563336,0.47634913450348065,5.0,-5.0
2026-08-06,0.2,false,5.0,1291,-920.5458997370629,-0.7130487217173221,5.0,5.0
2026-07-31,0.1,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-07-16,0.3,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-07-19,0.3,false,5.0,203,-687.05800032972,-3.3845221691119214,5.0,-5.0
2026-08-02,0.4,true,5.0,967,2868.5617952466514,2.966454803771098,5.0,5.0
2026-07-19,0.4,true,5.0,1100,-1011.687271864449,-0.9197157016949536,5.0,4.0
2026-07-28,0.3,true,5.0,5427,1839.6075252798246,0.3389731942656762,5.0,1.0
2026-07-19,0.1,false,5.0,279,-634.3096726744066,-2.273511371592855,5.0,-5.0
2026-08-02,0.0,false,0.0,631,5031.944676517403,7.974555747254205,61.0,57.0
2026-07-25,0.0,false,5.0,337,-89.31614715058612,-0.2650330775981784,5.0,-5.0
2026-07-22,0.0,true,5.0,7768,1076.6185215551386,0.1385966170900024,5.0,-4.0
2026-08-06,0.3,true,5.0,3285,1916.2297136025668,0.5833271578698833,5.0,-1.0
2026-08-06,0.5,true,5.0,2230,1935.6747428542612,0.8680155797552741,5.0,0.0
2026-07-25,0.3,true,5.0,1116,509.9801487244614,0.456971459430521,5.0,-4.0
2026-08-09,0.5,true,5.0,403,623.7835420469022,1.547849980265266,5.0,5.0
2026-07-28,0.1,true,5.0,7394,1282.206929531254,0.17341181086438381,5.0,2.0
2026-07-22,0.3,false,5.0,1045,-104.41013348405218,-0.09991400333402123,5.0,-3.0
2026-08-02,0.4,false,5.0,297,464.70486333089025,1.564662839497947,5.0,5.0
2026-07-22,0.2,false,5.0,1175,-48.94810741772269,-0.04165796375976399,5.0,-3.0
2026-07-16,0.4,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-07-16,0.0,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-07-31,0.5,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-08-04,0.3,false,5.0,1289,-2970.4956704246547,-2.304496253238677,5.0,-5.0
2026-08-06,0.5,false,5.0,804,-496.61959777119023,-0.6176860668795898,5.0,-2.0
2026-07-19,0.3,true,5.0,1332,-631.0863063779304,-0.47378851830174956,5.0,2.0
2026-07-22,0.5,true,5.0,3039,1587.1423503397677,0.5222580948798182,5.0,-5.0
2026-07-22,0.1,false,5.0,1338,817.0648502167313,0.6106613230319367,5.0,-2.0
2026-07-31,0.1,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-07-31,0.3,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-07-19,0.4,false,5.0,163,-535.9069313034548,-3.287772584683772,5.0,-5.0
2026-07-19,0.5,false,5.0,117,-199.70381953264038,-1.7068702524157298,5.0,-5.0
2026-08-09,0.3,false,5.0,179,221.96845830541878,1.240047253102898,5.0,5.0
2026-08-02,0.5,true,5.0,757,3181.9766831202846,4.203403808613322,5.0,5.0
2026-08-02,0.3,true,5.0,1221,2288.6957801991575,1.8744437184268283,5.0,5.0
2026-08-04,0.1,true,5.0,4931,736.717659287005,0.14940532534719225,5.0,-1.0
2026-07-22,0.1,true,5.0,6313,1588.1798352784492,0.25157291862481374,5.0,-5.0
2026-08-06,0.0,false,0.0,1855,9792.744250065565,5.279107412434267,78.0,-63.0
2026-07-28,0.0,false,0.0,2227,17516.249156460417,7.865401507166779,283.0,-199.0
2026-08-06,0.1,false,5.0,1423,-903.8252480495235,-0.6351547772660038,5.0,5.0
2026-07-28,0.0,true,5.0,9743,161.96507698342296,0.016623737758741965,5.0,-1.0
2026-07-22,0.0,false,0.0,1772,-2511.067007995595,-1.417080704286453,68.0,8.0
2026-08-04,0.5,false,5.0,917,-3681.0728035028224,-4.014256056164474,5.0,-5.0
2026-07-19,0.1,true,5.0,1837,-474.1251769123475,-0.25809753778570904,5.0,3.0
2026-07-16,0.2,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-08-02,0.0,false,5.0,521,755.8900123953089,1.4508445535418597,5.0,1.0
2026-08-04,0.5,true,5.0,2417,485.5220255899652,0.2008779584567502,5.0,-5.0
2026-07-16,0.0,false,0.0,2056,73235.75943478908,35.62050556166784,148.0,-110.0
2026-07-19,0.5,true,5.0,900,-726.5877610174834,-0.8073197344638705,5.0,2.0
2026-08-04,0.0,false,5.0,1741,-1361.5480860073815,-0.7820494462994724,5.0,-5.0
2026-08-09,0.2,false,5.0,203,257.670827221704,1.2693144198113495,5.0,3.0
2026-08-02,0.5,false,5.0,237,717.0210879185263,3.025405434255385,5.0,5.0
2026-07-19,0.0,true,5.0,2242,-36.061279027198964,-0.016084424186975452,5.0,4.0
2026-08-02,0.2,false,5.0,413,1017.9448797494831,2.4647575780859157,5.0,5.0
2026-08-06,0.0,false,5.0,1599,-2338.5268649663462,-1.4624933489470584,5.0,5.0
2026-07-31,0.5,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-07-16,0.5,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-07-28,0.5,false,5.0,976,4283.148678629597,4.38847200679262,5.0,4.0
2026-08-09,0.4,true,5.0,513,747.1755773479754,1.4564826069161314,5.0,5.0
2026-08-04,0.4,true,5.0,2966,821.2299010669444,0.2768812882895969,5.0,-4.0
2026-07-28,0.3,false,5.0,1276,4356.572619832301,3.414241865072336,5.0,2.0
2026-08-06,0.3,false,5.0,1141,-373.0207122523173,-0.32692437533069,5.0,3.0
2026-08-06,0.4,false,5.0,954,-423.2733851265152,-0.44368279363366375,5.0,0.0
2026-07-16,0.0,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-07-31,0.0,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-08-06,0.1,true,5.0,4624,1391.7536599736086,0.30098478805657625,5.0,0.0
2026-07-25,0.2,false,5.0,249,-357.29172661489827,-1.4349065325899528,5.0,-5.0
2026-07-22,0.2,true,5.0,5373,2073.0845896150554,0.3858337222436358,5.0,-5.0
2026-07-25,0.4,true,5.0,946,417.1780906852364,0.4409916392021526,5.0,-4.0
2026-07-25,0.0,false,0.0,409,2576.050785087823,6.29841267747634,36.0,-13.0
2026-07-22,0.4,true,5.0,3713,2129.4702794870705,0.5735174466703664,5.0,-5.0
2026-08-09,0.4,false,5.0,155,221.33335894795695,1.4279571545029481,5.0,5.0
2026-08-09,0.1,false,5.0,235,-13.237587231437354,-0.05633015843164831,5.0,1.0
2026-07-31,0.3,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-08-02,0.1,true,5.0,1755,2623.6476010223464,1.494955898018431,5.0,5.0
2026-07-16,0.5,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-07-19,0.0,false,0.0,414,4117.5474795668,9.945766858857004,104.0,-104.0
2026-08-06,0.2,true,5.0,3935,1636.408516554771,0.4158598517292938,5.0,-1.0
2026-08-02,0.0,true,5.0,2169,1911.5334887214171,0.8812971363399802,5.0,1.0
2026-08-09,0.3,true,5.0,631,769.3336632086636,1.2192292602355999,5.0,5.0
2026-08-09,0.0,false,5.0,259,-133.8346208940661,-0.5167359880079772,5.0,1.0
2026-08-09,0.5,false,5.0,129,220.66316321122585,1.7105671566761693,5.0,5.0
2026-07-31,0.2,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-07-28,0.4,true,5.0,4569,1697.9591799930674,0.3716259969343549,5.0,1.0
2026-07-22,0.0,false,5.0,1554,-374.39248968214434,-0.24092180803226793,5.0,0.0
2026-07-31,0.0,false,0.0,2208,89315.11368368265,40.45068554514613,172.0,-158.0
2026-07-16,0.1,false,5.0,1813,-2437.442331086442,-1.344424893042715,5.0,1.0
2026-08-09,0.0,true,5.0,1138,-36.498119244054,-0.032072161022894556,5.0,4.0
2026-07-22,0.5,false,5.0,745,-1212.4384451655058,-1.6274341545845714,5.0,-3.0
2026-08-04,0.2,false,5.0,1419,-2209.424345011143,-1.55702913672385,5.0,-5.0
2026-08-09,0.1,true,5.0,947,405.4651503864529,0.42815749776816564,5.0,5.0
2026-07-16,0.1,true,5.0,7329,3390.1422871659515,0.46256546420602423,5.0,1.0
2026-07-31,0.4,true,5.0,9339,4558.467506329826,0.4881108797868965,5.0,-1.0
2026-08-09,0.0,false,0.0,409,3069.550751871626,7.505014063255809,85.0,-65.0
2026-07-31,0.4,false,5.0,1878,327.7658396863849,0.17452920111096107,5.0,4.0
2026-07-28,0.1,false,5.0,1546,4831.711447060188,3.1252984780466937,5.0,-2.0
