ts,best_bid,best_ask,bid_sz,ask_sz,mid,microprice,imbalance,spread_bp,stale_ns,dt
1777910040000000000,44.19,45.405,0.3,0.3,44.7975,44.7975,0.5,271.22049221496815,19779593278,2026-05-04
1777910100000000000,44.19,45.405,0.3,0.3,44.7975,44.7975,0.5,271.22049221496815,79779593278,2026-05-04
1777910160000000000,44.19,45.405,0.3,0.3,44.7975,44.7975,0.5,271.22049221496815,139779593278,2026-05-04
1777910220000000000,44.191,45.404,117.8,105.0,44.7975,44.83234380610412,0.5287253141831239,270.7740387298401,53848779731,2026-05-04
1777910280000000000,44.191,45.404,117.8,105.0,44.7975,44.83234380610412,0.5287253141831239,270.7740387298401,113848779731,2026-05-04
1777910340000000000,44.191,45.404,117.8,105.0,44.7975,44.83234380610412,0.5287253141831239,270.7740387298401,173848779731,2026-05-04
1777910400000000000,44.191,45.404,117.8,105.0,44.7975,44.83234380610412,0.5287253141831239,270.7740387298401,233848779731,2026-05-04
1777910460000000000,44.191,45.404,117.8,105.0,44.7975,44.83234380610412,0.5287253141831239,270.7740387298401,293848779731,2026-05-04
1777910520000000000,44.19,44.299,0.3,129.6,44.2445,44.190251732101615,0.0023094688221709007,24.635830442202252,37714313180,2026-05-04
1777910580000000000,43.245,44.03,0.3,0.3,43.6375,43.637499999999996,0.5,179.89114866800426,34762502808,2026-05-04
1777910640000000000,42.852,44.03,0.3,300.3,43.441,42.85317564870259,0.000998003992015968,271.1723947422951,24514848113,2026-05-04
1777910700000000000,42.852,44.029,0.3,155.6,43.4405,42.85426491340603,0.0019243104554201409,270.9453160069536,7907306675,2026-05-04
1777910760000000000,42.693,44.029,0.4,155.6,43.361000000000004,42.69642564102564,0.002564102564102564,308.11097530038643,10328825402,2026-05-04
1777910820000000000,43.55,44.0,0.9,232.3,43.775,43.55173670668953,0.00385934819897084,102.79840091376423,17739106642,2026-05-04
1777910880000000000,43.55,44.0,1.5,232.3,43.775,43.552887082976895,0.00641573994867408,102.79840091376423,27105017999,2026-05-04
1777910940000000000,43.169,44.029,110.3,155.6,43.599000000000004,43.52574313651749,0.41481760060173,197.25223055574818,47629010679,2026-05-04
1777911000000000000,43.1,44.029,4.2,116.4,43.5645,43.13235323383084,0.03482587064676617,213.24702452685145,48132000000,2026-05-04
1777911060000000000,43.1,44.029,4.2,116.4,43.5645,43.13235323383084,0.03482587064676617,213.24702452685145,108132000000,2026-05-04
1777911120000000000,43.1,44.0,2.2,8.4,43.55,43.286792452830184,0.20754716981132074,206.65901262916157,9555317870,2026-05-04
1777911180000000000,43.085,44.0,155.7,8.4,43.542500000000004,43.953162705667275,0.9488117001828154,210.13951886088282,1984000000,2026-05-04
1777911240000000000,43.492,43.899,152.1,164.5,43.695499999999996,43.68752969046115,0.4804169298799747,93.14460299115552,13490000000,2026-05-04
1777911300000000000,43.492,43.493,262.6,162.2,43.4925,43.492618173258,0.6181732580037665,0.22992469966195891,14051000000,2026-05-04
