dt,n_trades,n_buy,n_sell,vol_buy,vol_sell,ntl_buy,ntl_sell,n_liq,n_twap,n_prio,buy_share_n,buy_share_ntl,n_users_taker
2026-05-04,323,139,184,4977.5,6778.5,214407.09209999998,288895.90920000005,0,13,16,0.43034055727554177,0.42600002691460204,57
2026-05-05,2958,1665,1293,43885.5,30354.4,2054728.1593,1405820.4138,106,789,12,0.5628803245436106,0.5937579305408652,285
2026-05-06,7136,3607,3529,60960.899999999994,59562.899999999994,2979244.0339,2869507.3922,242,2273,58,0.5054652466367713,0.5093812023887955,418
2026-05-07,1710,679,1031,13711.3,32979.1,657201.6517999999,1569718.3509999998,20,366,172,0.39707602339181286,0.29511686588367464,201
2026-05-08,8748,4797,3951,92736.1,49228.8,4746365.9446,2525410.3255,129,792,375,0.5483539094650206,0.6527106676969765,367
2026-05-09,6725,3074,3651,35811.899999999994,43997.09999999999,1999064.1488,2462525.3682000004,57,1117,12,0.4571003717472119,0.4480609749469249,377
2026-05-10,2936,1724,1212,15001.4,31089.5,844165.4443,1730715.7591,0,473,362,0.5871934604904632,0.3278463655664278,220
2026-05-11,36499,19496,17003,146081.59999999998,209610.69999999998,7996308.332,11356756.578499999,260,12102,277,0.534151620592345,0.4131804636102681,748
2026-05-12,22024,10881,11143,110094.29999999999,146475.7,5680909.6048,7555078.1277,149,3926,1326,0.4940519433345441,0.4292017883071123,717
2026-05-13,11943,5945,5998,88323.4,94218.4,4777355.783500001,5065867.3399,16,1232,1374,0.4977811270200117,0.48534466034229545,515
2026-05-14,22728,7522,15206,143521.40000000002,85643.2,7761648.9445,4628644.9537,49,11838,713,0.3309574093629004,0.6264297690006831,413
2026-05-15,31852,11578,20274,227933.0,297374.2,11757474.5926,15066836.3515,295,9610,1214,0.3634936581690318,0.4383141329185215,511
2026-05-16,4480,1348,3132,13335.999999999998,43858.59999999999,668904.421,2197491.8767,6,2172,148,0.30089285714285713,0.23336076087480637,153
2026-05-17,5580,3523,2057,21993.1,18003.9,1133809.7942,922446.1916,9,1565,275,0.6313620071684588,0.5513952552745439,226
2026-05-18,24808,14287,10521,96013.09999999999,127985.7,4844004.9976,6393391.3145,208,7076,988,0.5759029345372461,0.4310611518065052,508
2026-05-19,28147,19223,8924,123877.0,121034.59999999999,6039968.799699999,5875475.3006,156,3402,1924,0.6829502256013075,0.5069025332885351,477
2026-05-20,18656,6896,11760,81828.0,73168.2,4118705.7793000005,3682451.5456,76,1122,1408,0.36963979416809606,0.5279608662875924,348
2026-05-21,29341,16578,12763,271749.1,227284.3,14393201.0548,12235191.0554,22,3371,2093,0.5650114174704338,0.5405208468928429,536
2026-05-22,13095,4803,8292,67127.4,161663.5,3596106.5044,8710525.310600001,8,89,798,0.3667812142038946,0.29220883166561207,376
2026-05-23,10350,5274,5076,37854.5,47394.9,2014927.9352,2510029.5789,91,534,218,0.5095652173913043,0.4452921223948249,304
2026-05-24,4444,2187,2257,15755.100000000002,20674.8,864347.6669000001,1132676.4161,0,231,153,0.4921242124212421,0.4328178484465478,234
2026-05-25,739,40,699,1224.1999999999998,29860.800000000007,67558.9858,1647926.6156000001,0,0,0,0.05412719891745602,0.0393818436860475,101
2026-05-26,37082,20322,16760,211637.40000000002,172859.7,12465755.4696,10122895.242899999,7,3176,2170,0.5480286931664958,0.5518592335708551,701
2026-05-27,42599,23262,19337,309415.1,245080.19999999998,19051331.109,15028619.9644,74,7860,2151,0.5460691565529707,0.5590187341515844,732
2026-05-28,35696,18380,17316,246907.9,318856.1,15081525.3198,19773837.7325,132,6501,1518,0.5149036306588973,0.43268880307373003,636
2026-05-29,14864,8992,5872,94239.2,93300.5,5938580.6221,5877959.6381,1,4935,682,0.604951560818084,0.5025650902322139,439
2026-05-30,5839,3825,2014,17949.5,12463.6,1152989.9862000002,797625.0439,2,692,97,0.6550779243021065,0.5910904860303937,235
2026-05-31,12685,7911,4774,39148.3,41778.2,2585941.3555,2761905.1550000003,0,374,349,0.6236499802916831,0.4835481628769159,353
2026-06-01,25888,11323,14565,156222.7,218180.59999999998,10460808.9708,14670921.683400001,7,2279,1450,0.43738411619283063,0.4162391008695533,586
2026-06-02,23659,12940,10719,151168.6,141510.39999999997,10330586.9056,9617509.3609,14,2579,941,0.5469377403947757,0.5178733232277787,551
2026-06-03,18457,9591,8866,106492.70000000001,167791.6,7333907.7098,11516428.5142,457,3431,928,0.5196402448935363,0.3890597824171733,526
2026-06-04,27157,13709,13448,147916.40000000002,174744.7,9676967.378,11398164.4051,728,5543,920,0.5048053908752808,0.4591652131807732,554
2026-06-05,49321,24761,24560,241651.90000000002,353934.79999999993,14240473.8563,20722743.5844,907,3415,2108,0.5020376715800572,0.4072987241649832,807
2026-06-06,30300,16003,14297,74329.2,85022.5,4059321.4467,4615499.2677,11,7274,544,0.5281518151815181,0.46794297892077713,421
2026-06-07,24341,11838,12503,95794.2,94800.59999999999,5472659.786,5422883.144300001,82,3447,339,0.48633992029908385,0.5022842662370488,418
2026-06-08,39903,20690,19213,258876.90000000002,255134.4,15366784.385300001,15052530.6107,227,3756,2037,0.5185073803974638,0.5051653657329451,653
2026-06-09,35573,18593,16980,256715.49999999997,345155.10000000003,15461071.9067,20660696.8789,462,4878,2619,0.5226716892024851,0.4280264346540965,658
2026-06-10,34092,16125,17967,236614.0,248975.8,13897148.334900001,14532620.2685,117,1672,1988,0.4729848644843365,0.4888238285990833,502
2026-06-11,30207,15713,14494,231316.69999999998,210312.4,14265890.9745,12909568.5312,120,3133,1037,0.5201774423146953,0.5249549127773813,494
2026-06-12,26456,14621,11835,218045.6,220863.1,14157828.6648,14251995.801800001,20,3747,1455,0.5526534623525854,0.4983427011822845,478
2026-06-13,14088,6948,7140,31965.0,48014.7,2075700.8292999999,3112863.7193,59,4412,0,0.49318568994889267,0.4000530030719333,222
2026-06-14,27331,16142,11189,106238.5,73954.4,7142697.293400001,4967861.4657000005,64,4546,0,0.5906113936555559,0.5897908953237111,434
2026-06-15,28471,14859,13612,214973.5,225893.0,14929320.844500002,15674122.6862,44,4219,3420,0.5218994766604615,0.48783140464319247,573
2026-06-16,34594,17332,17262,323846.89999999997,337900.4,22728421.762399998,23684477.357,69,6444,6023,0.5010117361392149,0.4897005400143127,684
2026-06-17,37944,20403,17541,320595.4,353402.8,22863970.363700002,25169022.844499998,8,8256,3009,0.5377134724857685,0.47600552946171093,541
2026-06-18,50113,26461,23652,458561.2,390934.19999999995,34741889.166,29568405.1515,67,13601,4672,0.5280266597489673,0.5402228295594365,758
2026-06-19,38473,20268,18205,145295.9,213196.4,11165071.019299999,16345036.630499998,0,7986,76,0.526811010318925,0.40585341073287906,569
2026-06-20,31051,16519,14532,127471.9,107375.0,10131989.4384,8529461.863200001,11,8056,50,0.531995748929181,0.542936842084265,614
2026-06-21,24573,12594,11979,113890.2,158836.6,9059168.1721,12572187.5614,443,5514,76,0.5125137345867415,0.418797983987211,532
2026-06-22,52057,26323,25734,528755.2,545059.9,42068031.4875,43318612.638,292,10556,2495,0.5056572603108132,0.4926769510424726,825
2026-06-23,84260,43473,40787,979209.5999999999,1174210.1,70935432.812,85382208.8135,988,14770,6867,0.5159387609779255,0.453790321261016,1274
2026-06-24,100657,53388,47269,1289672.8,1132275.6,95552825.3156,82929349.978,704,16982,7602,0.5303953028602084,0.5353634062248361,1261
2026-06-25,99050,57414,41636,1332611.9,1140867.0,103241411.9339,87695831.0984,251,23010,3675,0.5796466431095406,0.540708613439208,1348
2026-06-26,57529,28403,29126,835092.0,1084697.7999999998,61214599.37990001,79234548.7615,55,18377,3941,0.49371621269272886,0.43584884771441257,1035
2026-06-27,16823,8013,8810,107679.59999999999,114439.0,7810321.5624,8288840.2926,0,3956,699,0.47631219164239436,0.4851383961938558,345
2026-06-28,27395,15100,12295,214593.40000000002,233279.19999999998,15861473.9017,17184276.9862,7,6287,1336,0.5511954736265742,0.4799852772450639,534
2026-06-29,64374,32007,32367,1123525.7000000002,1203609.8,78806281.56480001,83628493.7747,487,7600,5726,0.4972038400596514,0.48515646603437834,1169
2026-06-30,39441,22080,17361,553816.3999999999,548401.3999999999,40380301.364700004,39825228.4282,10,8132,2582,0.5598235338860577,0.5034603158780527,774
2026-07-01,63731,30113,33618,813700.2,1333292.0,55276324.210700005,90297170.1934,386,14707,3949,0.47250160832248045,0.3797142085306924,1159
2026-07-02,83629,42972,40657,1524556.7,1738016.7000000002,95463613.63350001,108403505.5166,816,12970,5168,0.5138408925133626,0.46826390656559774,1313
2026-07-03,44870,26793,18077,656274.5,382294.9,41622697.027100004,24243139.3815,17,5096,1021,0.5971250278582572,0.6319315034412194,826
2026-07-04,21767,10858,10909,108078.40000000001,102415.09999999999,7019069.57,6643335.4067,0,6966,164,0.49882850186061467,0.5137506597096478,328
2026-07-05,33400,19370,14030,253743.60000000003,204578.90000000002,16662340.5197,13430123.763500001,0,7775,331,0.579940119760479,0.5537047535519463,464
2026-07-06,69297,34204,35093,994620.8,1007725.6999999998,64776003.6479,65534798.2552,292,6625,4406,0.4935855809053783,0.49708851992229985,840
2026-07-07,94289,46391,47898,1195041.4000000001,1481294.5,72363098.24399999,89791272.0211,234,14692,4335,0.4920086118211032,0.4462605486715919,988
2026-07-08,90395,44779,45616,1723075.4,1866116.5,103242629.97760001,111753424.67729999,588,8458,4548,0.4953703191548205,0.4802070909781087,963
2026-07-09,90855,48646,42209,1603904.6,1445621.3,102790478.0133,92517882.81459999,34,8619,5559,0.5354245776236861,0.5262984010391443,938
2026-07-10,99616,47138,52478,1643639.3,1992539.2,103283576.1079,125166815.90619999,26,5838,4263,0.4731970767748153,0.45210505089229747,846
2026-07-11,23892,11973,11919,153384.0,184334.4,9688897.7514,11642854.583700001,0,1049,68,0.501130085384229,0.4542007425924195,309
2026-07-12,35232,18903,16329,334590.19999999995,327120.2,21018915.7638,20546508.618600003,0,5398,124,0.5365292915531336,0.5056826936356269,315
2026-07-13,108262,54657,53605,2021052.3,2214284.1,116611914.7828,127823901.4701,879,9141,5132,0.5048585838059523,0.4770655813473346,1207
2026-07-14,150937,77231,73706,2976637.2,3006696.0,175441088.615,176816585.1032,464,10632,8471,0.5116770573153038,0.49804759897253464,1197
2026-07-15,131800,67634,64166,2212410.7,2318398.3000000003,130863955.8732,137202525.2844,71,8284,4557,0.5131562974203339,0.4881772436004905,1080
2026-07-16,151039,74555,76484,2635202.5,2724524.8,141193650.85230002,146019984.66110003,339,9810,10155,0.49361423208575267,0.4915980071764824,1280
2026-07-17,197304,99096,98208,3641302.2,3963626.0999999996,187446018.50449997,203819952.23589998,766,9975,13195,0.5022503345091838,0.47907569919712756,1333
2026-07-18,22889,12890,9999,160267.0,184963.7,8370495.0309999995,9649747.3371,0,5484,62,0.5631526060553104,0.46450513039811897,377
2026-07-19,37730,19250,18480,460363.6,405027.2,24307637.2832,21388059.0871,0,1366,411,0.5102040816326531,0.5319458770519753,442
2026-07-20,115371,58601,56770,1525486.7999999998,1517916.6,81975161.3621,81529571.1198,46,3408,6792,0.5079352696951573,0.5013626218505614,742
2026-07-21,111072,56776,54296,1621259.8,1665787.0,92101713.0352,94648028.5989,108,11986,4637,0.5111639297032555,0.4931825459531585,1041
2026-07-22,125634,63865,61769,1833693.8,1852391.5,106437242.6931,107670479.6497,18,7710,5298,0.5083416909435344,0.49712005493518463,953
2026-07-23,127474,65896,61578,1978169.9000000001,2044263.6,115638064.50549999,119479868.0477,40,3509,4765,0.5169367871095282,0.4918300499232854,789
2026-07-24,94678,49095,45583,1824303.2,1811416.7999999998,100250842.5898,99763056.59719999,170,2583,5768,0.5185470753501341,0.5012193802395302,878
2026-07-25,22523,11035,11488,218105.2,175490.5,11746212.0164,9437213.884,2,2970,88,0.48994361319540025,0.5545001111542681,390
2026-07-26,28691,13829,14862,297374.80000000005,270517.0,16427611.9522,14932759.1907,9,2675,138,0.48199783904360255,0.5238334673191269,440
2026-07-27,148950,71785,77165,2221425.4,2422512.3,117551029.016,128144822.8242,292,8190,6553,0.4819402484055052,0.4784412440648567,919
2026-07-28,202938,98729,104209,3901976.5,4110373.9,187426512.7619,197301207.7971,928,16516,9558,0.48649833939429776,0.48716664473663046,1391
2026-07-29,287715,140608,147107,6258837.8,6520960.2,288480519.7544,300217855.4697,1315,13433,16433,0.48870583737379003,0.49003111252784415,1679
2026-07-30,243199,121835,121364,3747787.3,3738089.7,179783057.4802,180312404.6497,145,13106,9504,0.5009683427974622,0.49926499050228373,1361
2026-07-31,252939,128350,124589,4806629.9,4506765.4,252439839.513,236697476.4946,294,15326,11331,0.5074345988558506,0.5160919669213659,1389
2026-08-01,27165,12814,14351,264060.9,233640.7,13176083.5584,11651807.508299999,11,1996,100,0.4717099208540401,0.5306968490800335,469
2026-08-02,57992,28963,29029,636075.1000000001,585418.9,32803464.4721,30180935.437099997,11,3063,401,0.49943095599393017,0.5208188776806695,720
2026-08-03,172780,89441,83339,2978797.5,2899362.5,149536269.8424,145421334.2584,189,9539,10364,0.5176582937840027,0.5069754695705246,1141
2026-08-04,162644,82693,79951,2461147.7,2350826.1,130668896.85309999,125004385.2306,15,8977,6219,0.5084294532844741,0.5110776370067592,1148
2026-08-05,159971,79047,80924,1809003.1,1912220.7000000002,97585407.94910002,103085385.31400001,25,4650,9852,0.4941333116627389,0.4862960192774817,932
2026-08-06,149911,71673,78238,2098944.6,2329506.5,107279886.8973,119093979.93079999,99,2086,20445,0.47810367484707594,0.47390579310448594,996
2026-08-07,146372,73276,73096,2649221.6,2465499.6,134574941.0587,125085872.29839998,62,2038,16565,0.5006148716967727,0.5182720462083166,850
2026-08-08,16049,7788,8261,122241.9,126877.3,6209275.4796,6440010.3155000005,0,723,503,0.4852638793694311,0.4908795310803484,382
2026-08-09,20225,9929,10296,85611.1,163492.1,4370288.204,8344135.3972,0,1191,679,0.4909270704573548,0.3437268051685432,337
