[bbo] 信じられない行を 19,239 除いた -> 35,169,333 行
  1/99 2026-05-04 使える格子 700,297 繰越 1,333 35.1s
  2/99 2026-05-05 使える格子 768,774 繰越 1,555 38.8s
  3/99 2026-05-06 使える格子 767,965 繰越 1,948 44.0s
  4/99 2026-05-07 使える格子 746,906 繰越 1,484 41.3s
  5/99 2026-05-08 使える格子 731,934 繰越 2,092 40.0s
  6/99 2026-05-09 使える格子 715,497 繰越 2,290 30.5s
  7/99 2026-05-10 使える格子 680,591 繰越 2,410 34.3s
  8/99 2026-05-11 使える格子 763,471 繰越 3,197 48.3s
  9/99 2026-05-12 使える格子 750,940 繰越 3,180 47.9s
  10/99 2026-05-13 使える格子 717,743 繰越 3,223 47.3s
  11/99 2026-05-14 使える格子 724,139 繰越 3,062 56.1s
  12/99 2026-05-15 使える格子 726,962 繰越 2,843 49.0s
  13/99 2026-05-16 使える格子 667,439 繰越 2,680 41.0s
  14/99 2026-05-17 使える格子 703,127 繰越 2,719 37.3s
  15/99 2026-05-18 使える格子 700,171 繰越 3,282 59.2s
  16/99 2026-05-19 使える格子 734,901 繰越 3,644 59.5s
  17/99 2026-05-20 使える格子 686,697 繰越 4,388 52.0s
  18/99 2026-05-21 使える格子 714,294 繰越 4,401 54.1s
  19/99 2026-05-22 使える格子 705,743 繰越 4,142 47.5s
  20/99 2026-05-23 使える格子 713,091 繰越 4,102 40.4s
  21/99 2026-05-24 使える格子 689,276 繰越 4,407 39.4s
  22/99 2026-05-25 使える格子 666,971 繰越 4,430 39.2s
  23/99 2026-05-26 使える格子 717,741 繰越 5,227 54.7s
  24/99 2026-05-27 使える格子 725,854 繰越 6,892 66.7s
  25/99 2026-05-28 使える格子 713,933 繰越 6,858 62.0s
  26/99 2026-05-29 使える格子 720,418 繰越 6,357 54.7s
  27/99 2026-05-30 使える格子 658,431 繰越 6,578 41.2s
  28/99 2026-05-31 使える格子 628,626 繰越 6,517 39.6s
  29/99 2026-06-01 使える格子 446,105 繰越 6,611 61.9s
  30/99 2026-06-02 使える格子 406,680 繰越 7,079 63.6s
  31/99 2026-06-03 使える格子 381,336 繰越 6,386 60.4s
  32/99 2026-06-04 使える格子 478,561 繰越 6,764 67.2s
  33/99 2026-06-05 使える格子 728,158 繰越 6,997 79.5s
  34/99 2026-06-06 使える格子 701,406 繰越 7,486 49.7s
  35/99 2026-06-07 使える格子 716,812 繰越 7,866 49.6s
  36/99 2026-06-08 使える格子 708,064 繰越 8,378 69.2s
  37/99 2026-06-09 使える格子 684,191 繰越 9,205 74.2s
  38/99 2026-06-10 使える格子 695,532 繰越 9,835 78.8s
  39/99 2026-06-11 使える格子 700,955 繰越 9,816 69.2s
  40/99 2026-06-12 使える格子 665,305 繰越 9,415 63.2s
  41/99 2026-06-13 使える格子 660,452 繰越 9,324 38.9s
  42/99 2026-06-14 使える格子 450,190 繰越 9,436 37.0s
  43/99 2026-06-15 使える格子 285,388 繰越 9,102 59.6s
  44/99 2026-06-16 使える格子 324,107 繰越 9,417 53.0s
  45/99 2026-06-17 使える格子 297,994 繰越 9,264 54.0s
  46/99 2026-06-18 使える格子 275,249 繰越 9,616 60.1s
  47/99 2026-06-19 使える格子 316,906 繰越 9,806 49.8s
  48/99 2026-06-20 使える格子 334,666 繰越 9,490 37.3s
  49/99 2026-06-21 使える格子 352,643 繰越 9,583 43.3s
  50/99 2026-06-22 使える格子 274,821 繰越 9,787 52.8s
  51/99 2026-06-23 使える格子 363,346 繰越 11,028 68.4s
  52/99 2026-06-24 使える格子 382,140 繰越 11,294 72.3s
  53/99 2026-06-25 使える格子 358,712 繰越 11,517 73.8s
  54/99 2026-06-26 使える格子 327,552 繰越 10,952 64.0s
  55/99 2026-06-27 使える格子 307,449 繰越 11,537 35.1s
  56/99 2026-06-28 使える格子 321,386 繰越 11,160 37.4s
  57/99 2026-06-29 使える格子 332,472 繰越 12,070 57.1s
  58/99 2026-06-30 使える格子 289,912 繰越 12,292 49.8s
  59/99 2026-07-01 使える格子 290,575 繰越 11,878 53.3s
  60/99 2026-07-02 使える格子 500,656 繰越 12,468 69.6s
  61/99 2026-07-03 使える格子 323,116 繰越 12,573 46.3s
  62/99 2026-07-04 使える格子 271,035 繰越 12,731 34.0s
  63/99 2026-07-05 使える格子 302,274 繰越 12,775 35.8s
  64/99 2026-07-06 使える格子 400,982 繰越 12,678 53.8s
  65/99 2026-07-07 使える格子 680,427 繰越 12,709 57.0s
  66/99 2026-07-08 使える格子 667,625 繰越 12,838 62.4s
  67/99 2026-07-09 使える格子 510,502 繰越 12,897 57.4s
  68/99 2026-07-10 使える格子 596,910 繰越 12,863 53.4s
  69/99 2026-07-11 使える格子 551,861 繰越 12,729 32.9s
  70/99 2026-07-12 使える格子 532,678 繰越 12,453 33.3s
  71/99 2026-07-13 使える格子 615,548 繰越 12,595 56.4s
  72/99 2026-07-14 使える格子 622,081 繰越 12,588 56.0s
  73/99 2026-07-15 使える格子 601,195 繰越 13,254 53.3s
  74/99 2026-07-16 使える格子 615,945 繰越 13,992 58.6s
  75/99 2026-07-17 使える格子 650,401 繰越 13,628 66.4s
  76/99 2026-07-18 使える格子 480,625 繰越 14,211 31.5s
  77/99 2026-07-19 使える格子 524,948 繰越 14,037 35.1s
  78/99 2026-07-20 使える格子 625,876 繰越 14,218 58.2s
  79/99 2026-07-21 使える格子 612,941 繰越 13,788 52.2s
  80/99 2026-07-22 使える格子 638,325 繰越 14,317 58.5s
  81/99 2026-07-23 使える格子 628,826 繰越 14,704 62.8s
  82/99 2026-07-24 使える格子 627,522 繰越 14,092 58.7s
  83/99 2026-07-25 使える格子 539,496 繰越 13,760 32.9s
  84/99 2026-07-26 使える格子 528,459 繰越 13,896 33.9s
  85/99 2026-07-27 使える格子 624,495 繰越 12,947 61.2s
  86/99 2026-07-28 使える格子 642,486 繰越 12,991 70.2s
  87/99 2026-07-29 使える格子 699,936 繰越 15,005 87.8s
  88/99 2026-07-30 使える格子 610,131 繰越 16,983 69.3s
  89/99 2026-07-31 使える格子 624,726 繰越 16,106 70.1s
  90/99 2026-08-01 使える格子 496,469 繰越 16,307 34.1s
  91/99 2026-08-02 使える格子 538,318 繰越 16,188 40.1s
  92/99 2026-08-03 使える格子 582,126 繰越 16,414 62.8s
  93/99 2026-08-04 使える格子 573,225 繰越 16,419 69.6s
  94/99 2026-08-05 使える格子 583,433 繰越 16,333 72.0s
  95/99 2026-08-06 使える格子 551,556 繰越 16,110 68.4s
  96/99 2026-08-07 使える格子 546,465 繰越 15,761 62.2s
  97/99 2026-08-08 使える格子 513,780 繰越 15,483 34.5s
  98/99 2026-08-09 使える格子 514,327 繰越 15,612 33.3s
  2026-08-10 bbo 無し。飛ばす
-> C:\Users\ii562\Downloads\Memory\data\gaps_xyz_MU/ と data/gaps_meta_xyz_MU.csv
