  2026-05-04 立会日 格子 863,906
  2026-05-05 立会日 格子 863,887
  2026-05-06 立会日 格子 863,952
  2026-05-07 立会日 格子 863,930
  2026-05-08 立会日 格子 863,959
  2026-05-09 閉場日 格子 858,746
  2026-05-11 立会日 格子 863,861
  2026-05-12 立会日 格子 863,958
  2026-05-13 立会日 格子 863,982
  2026-05-14 立会日 格子 863,953
  2026-05-15 立会日 格子 863,919
  2026-05-16 閉場日 格子 863,954
  2026-05-17 閉場日 格子 863,952
  2026-05-18 立会日 格子 863,949
  2026-05-19 立会日 格子 863,827
  2026-05-20 立会日 格子 863,945
  2026-05-21 立会日 格子 863,971
  2026-05-22 立会日 格子 863,522
  2026-05-23 閉場日 格子 863,456
  2026-05-24 閉場日 格子 863,672
  2026-05-25 閉場日 格子 863,847
  2026-05-26 立会日 格子 863,958
  2026-05-27 立会日 格子 863,934
  2026-05-28 立会日 格子 863,970
  2026-05-29 立会日 格子 863,923
  2026-05-30 閉場日 格子 861,579
  2026-05-31 閉場日 格子 863,663
  2026-06-01 立会日 格子 863,975
  2026-06-02 立会日 格子 863,972
  2026-06-03 立会日 格子 863,968
  2026-06-04 立会日 格子 863,980
  2026-06-05 立会日 格子 863,977
  2026-06-06 閉場日 格子 863,858
  2026-06-07 閉場日 格子 863,957
  2026-06-08 立会日 格子 863,977
  2026-06-09 立会日 格子 863,977
  2026-06-10 立会日 格子 863,976
  2026-06-11 立会日 格子 863,981
  2026-06-12 立会日 格子 863,980
  2026-06-13 閉場日 格子 863,946
  2026-06-14 閉場日 格子 863,944
  2026-06-15 立会日 格子 863,958
  2026-06-16 立会日 格子 863,978
  2026-06-17 立会日 格子 863,979
  2026-06-18 立会日 格子 863,978
  2026-06-19 閉場日 格子 863,979
  2026-06-20 閉場日 格子 863,981
  2026-06-21 閉場日 格子 863,979
  2026-06-22 立会日 格子 863,982
  2026-06-23 立会日 格子 863,973
  2026-06-24 立会日 格子 863,972
  2026-06-25 立会日 格子 863,980
  2026-06-26 立会日 格子 863,928
  2026-06-27 閉場日 格子 863,851
  2026-06-28 閉場日 格子 863,916
  2026-06-29 立会日 格子 863,982
  2026-06-30 立会日 格子 863,979
  2026-07-01 立会日 格子 863,981
  2026-07-02 立会日 格子 863,982
  2026-07-03 閉場日 格子 863,976
  2026-07-04 閉場日 格子 863,970
  2026-07-05 閉場日 格子 863,970
  2026-07-06 立会日 格子 863,982
  2026-07-07 立会日 格子 863,981
  2026-07-08 立会日 格子 863,982
  2026-07-09 立会日 格子 863,982
  2026-07-10 立会日 格子 863,972
  2026-07-11 閉場日 格子 863,979
  2026-07-12 閉場日 格子 863,980
  2026-07-13 立会日 格子 863,982
  2026-07-14 立会日 格子 863,982
  2026-07-15 立会日 格子 863,982
  2026-07-16 立会日 格子 863,981
  2026-07-17 立会日 格子 863,982
  2026-07-18 閉場日 格子 863,977
  2026-07-19 閉場日 格子 863,982
  2026-07-20 立会日 格子 863,982
  2026-07-21 立会日 格子 863,982
  2026-07-22 立会日 格子 863,982
  2026-07-23 立会日 格子 863,981
  2026-07-24 立会日 格子 863,982
  2026-07-25 閉場日 格子 863,981
  2026-07-26 閉場日 格子 863,965
  2026-07-27 立会日 格子 863,982
  2026-07-28 立会日 格子 863,981
  2026-07-29 立会日 格子 863,982
  2026-07-30 立会日 格子 863,982
  2026-07-31 立会日 格子 863,980
  2026-08-01 閉場日 格子 863,975
  2026-08-02 閉場日 格子 863,980
  2026-08-03 立会日 格子 863,982
  2026-08-04 立会日 格子 863,981
  2026-08-05 立会日 格子 863,980
  2026-08-06 立会日 格子 863,982
  2026-08-07 立会日 格子 863,982
  2026-08-08 閉場日 格子 863,980
  2026-08-09 閉場日 格子 863,979
  2026-08-10 立会日 格子 863,979

Δ=1000ms / 傾きは直近 10 点(=1000ms)の OLS

=== 立会日(68 日) 平均 log リターン[bp] ===
       h       何もしない        傾き>0        傾き<0    (b)-(a)             95%区間        帰無
    100ms      -0.000       0.009      -0.010     0.010*[ +0.005, +0.015]    -0.001
    300ms      -0.000       0.026      -0.027     0.026*[ +0.011, +0.039]    -0.004
    500ms      -0.000       0.039      -0.040     0.039*[ +0.020, +0.058]    -0.004
   1000ms      -0.000       0.060      -0.063     0.060*[ +0.032, +0.082]     0.001
   5000ms      -0.002       0.073      -0.084     0.075*[ +0.045, +0.097]    -0.007
  10000ms      -0.004       0.080      -0.094     0.084*[ +0.057, +0.107]    -0.005
  30000ms      -0.010       0.058      -0.107     0.068*[ +0.028, +0.110]    -0.025
  60000ms      -0.021       0.033      -0.131     0.053 [ -0.008, +0.116]    -0.045

=== 閉場日(30 日) 平均 log リターン[bp] ===
       h       何もしない        傾き>0        傾き<0    (b)-(a)             95%区間        帰無
    100ms       0.000       0.000      -0.000     0.000 [ -0.003, +0.002]    -0.000
    300ms       0.000       0.000      -0.000     0.000 [ -0.009, +0.008]    -0.001
    500ms       0.001       0.001      -0.001     0.000 [ -0.013, +0.011]    -0.002
   1000ms       0.001       0.003      -0.005     0.002 [ -0.017, +0.017]    -0.002
   5000ms       0.006       0.021      -0.019     0.015 [ -0.012, +0.041]     0.004
  10000ms       0.012       0.030      -0.016     0.018 [ -0.015, +0.046]     0.003
  30000ms       0.034       0.059       0.009     0.025 [ -0.022, +0.064]     0.003
  60000ms       0.067       0.106       0.051     0.039 [ -0.042, +0.127]     0.027

-> data/cancel_rate_cells_xyz_SKHX.parquet
