var,day_type,lag,lag_ms,n_days,rho,lo,hi,rho_null
OBI,立会日,1,200,67,0.6799268363782264,0.6550242757938413,0.705787150504093,0.00009715006430115264
OBI,立会日,2,400,67,0.5207080738982088,0.4864429719987198,0.5559136929828181,0.0003686321794302104
OBI,立会日,3,600,67,0.44519104232801315,0.40898221871824597,0.48368449858969065,0.00011197156642397854
OBI,立会日,4,800,67,0.39456753075316015,0.3577606813300137,0.4341933502861267,0.00016011941564897326
OBI,立会日,5,1000,67,0.3595036906231111,0.323130863849344,0.3982883361629854,-0.00023466101773117983
OBI,立会日,6,1200,67,0.3330509874216405,0.29763702906463024,0.37076957155160667,0.00021072631075626726
OBI,立会日,7,1400,67,0.312442677457235,0.27816634855124167,0.3490865626300549,-0.0003520225255133615
OBI,立会日,8,1600,67,0.29556973772506817,0.26227628420008375,0.33126063353481144,0.00017518949670320886
OBI,立会日,9,1800,67,0.2810170503697653,0.24874095743560465,0.3157419556281055,-0.000022443621193119464
OBI,立会日,10,2000,67,0.26884534938159294,0.23783588434121436,0.30270202862044393,-0.00033289350092567725
OBI,立会日,11,2200,67,0.2579760424659458,0.22770010425844844,0.2907392674901827,-7.55541282591768e-6
OBI,立会日,12,2400,67,0.2478655375925,0.21827140220151667,0.2797607473624697,0.00026426757538013183
OBI,立会日,13,2600,67,0.2387605309165063,0.20989190963567778,0.2699782792804415,0.00007863741660268612
OBI,立会日,14,2800,67,0.23092660546436303,0.2029442541905849,0.2611766183578989,0.00001866872316246949
OBI,立会日,15,3000,67,0.22368990763800836,0.19643734224941123,0.2532668860979356,0.00006424628324689861
OBI,立会日,16,3200,67,0.21716485356087145,0.19071462236987882,0.2461437717731697,0.00011357983169584782
OBI,立会日,17,3400,67,0.21123440129006185,0.18536332029180752,0.23927359600007503,0.00027222629291828834
OBI,立会日,18,3600,67,0.2055562787237236,0.18033864764201601,0.23308126929229023,-0.00006897175910078225
OBI,立会日,19,3800,67,0.20040128947681948,0.17569244858423635,0.22734413326695055,-0.000047436203751337563
OBI,立会日,20,4000,67,0.19571557603274328,0.17171415456150574,0.22196404535810774,0.00004013182743110015
OBI,立会日,21,4200,67,0.19132114337627976,0.16802603044544334,0.21696322209742686,0.00002304674220085019
OBI,立会日,22,4400,67,0.18728083649137314,0.1644764978467134,0.2123110856928358,-0.00001762019471741351
OBI,立会日,23,4600,67,0.18357429698487462,0.16112320056409693,0.20793349290754526,0.000022778265237559703
OBI,立会日,24,4800,67,0.1801945445637986,0.1581718747830121,0.2040491891912001,0.000017796314572083423
OBI,立会日,25,5000,67,0.17674200710516802,0.15513415082985543,0.2001456490033641,0.000051347432522937166
OBI,立会日,26,5200,67,0.17349758666739662,0.15257613142034301,0.1964404369969632,0.0002606878765695868
OBI,立会日,27,5400,67,0.17049476169376981,0.149812938334586,0.19304073565757585,-0.0003427709556926108
OBI,立会日,28,5600,67,0.1676747828106229,0.14735497002399617,0.18972587188807344,0.00035119008709165385
OBI,立会日,29,5800,67,0.16522544898705085,0.1452840129626503,0.18693115300172386,-0.00012901364728485395
OBI,立会日,30,6000,67,0.16280421319051053,0.14343629466153895,0.18405092446225169,-0.00025776069442562806
OBI,立会日,31,6200,67,0.1604627011907465,0.14150826215581866,0.18133074304008145,0.00013243117839049757
OBI,立会日,32,6400,67,0.15812234469807265,0.13938927103244045,0.17850898370569304,0.000030032885607232195
OBI,立会日,33,6600,67,0.15600723742299472,0.13754892378447628,0.17594323302291925,0.000027843677495053955
OBI,立会日,34,6800,67,0.1538723212184332,0.13582886632817934,0.173367713501011,0.00028941138837425913
OBI,立会日,35,7000,67,0.1518615366580123,0.1340975467763883,0.17107652619487274,-0.00014467419491235654
OBI,立会日,36,7200,67,0.14989024886208066,0.13234525611785697,0.16885992518432016,-6.920679863300623e-6
OBI,立会日,37,7400,67,0.14803190127572619,0.13069137085889834,0.16667104213469333,0.0005269048615654091
OBI,立会日,38,7600,67,0.1462543823585419,0.1291507046900063,0.1646320977858711,-0.00023055907013688908
OBI,立会日,39,7800,67,0.14450778614917084,0.12761692212777004,0.1624974309713387,0.00031926524213998216
OBI,立会日,40,8000,67,0.14298980720778479,0.1263135351263484,0.16068139560643727,0.0002315830096434951
OBI,立会日,41,8200,67,0.14151172405072981,0.12508175367089525,0.15888194641516798,0.00039276817659665813
OBI,立会日,42,8400,67,0.13989566103289747,0.12352363146191134,0.15693190224442558,-0.00003488411998668731
OBI,立会日,43,8600,67,0.1382800651203513,0.12218554186829336,0.15504633117726638,-0.00019663744088465603
OBI,立会日,44,8800,67,0.13684891849632533,0.12094077625844257,0.153320997635808,-0.00009802307645470058
OBI,立会日,45,9000,67,0.13564029775612657,0.11980605785939832,0.15190688044813602,0.00003934725727744285
OBI,立会日,46,9200,67,0.13438833619693644,0.11878695380912101,0.150371820724928,-0.00012604962598004854
OBI,立会日,47,9400,67,0.1331528121550994,0.11776638114791546,0.14880504980637355,-0.0001484570755247574
OBI,立会日,48,9600,67,0.1319818725049007,0.11682441493868755,0.14731965001172778,-0.00010144683695120886
OBI,立会日,49,9800,67,0.13084767865951624,0.11594978284112613,0.14591038591452332,0.00033155211870332076
OBI,立会日,50,10000,67,0.12950395170647025,0.11466592552080196,0.144354731165173,0.00018623749394776294
OBI,立会日,51,10200,67,0.12814523792991972,0.1135179023039241,0.14281545831077405,0.00043164734942125626
OBI,立会日,52,10400,67,0.12719263758001817,0.11268271732378948,0.14170295419190734,-0.000014136385440091189
OBI,立会日,53,10600,67,0.12598526390945658,0.11142733951023194,0.14027439372108072,-0.000029422358045853536
OBI,立会日,54,10800,67,0.1250810393743859,0.11075159335516342,0.1390865382213165,0.0003719242506858075
