var,day_type,lag,lag_ms,n_days,rho,lo,hi,rho_null
OBI,立会日,1,200,68,0.7576996067545231,0.7184878252559174,0.792929993229764,0.00017744610231872093
OBI,立会日,2,400,68,0.6272877182683101,0.5746156030526249,0.6739772656635401,0.00010336455047377264
OBI,立会日,3,600,68,0.5589684650811988,0.4995015270634854,0.610978200886351,0.00010157652871390704
OBI,立会日,4,800,68,0.5145701079738364,0.451161871949884,0.5695673799419626,-0.00012218012694691741
OBI,立会日,5,1000,68,0.48369526926177525,0.4168180693497391,0.5406698795046282,-0.00015808395198008783
OBI,立会日,6,1200,68,0.46046876099464656,0.3922057212631775,0.5185865413448011,0.0003353803061600553
OBI,立会日,7,1400,68,0.4422186534134196,0.37344304888825947,0.5005409396550167,-0.00028787212170081544
OBI,立会日,8,1600,68,0.4270968337863068,0.3580547590304883,0.48529248488051063,0.00005083209709649993
OBI,立会日,9,1800,68,0.4138117289087193,0.344763955392517,0.4716588375595752,0.00002310668394916974
OBI,立会日,10,2000,68,0.40237263354528746,0.3330175414702181,0.45975712210266384,0.0002256838879176686
OBI,立会日,11,2200,68,0.39192644673105853,0.32236020268245663,0.4490250768601982,0.00006402364988768298
OBI,立会日,12,2400,68,0.3827682661385932,0.3130396960788625,0.43932975537382923,-0.00013145046627549778
OBI,立会日,13,2600,68,0.3744552551706318,0.3047095829142061,0.4308019019749659,0.00006470664405614135
OBI,立会日,14,2800,68,0.3672397646825425,0.2978417126258071,0.42343072967453227,-0.0001803095131204864
OBI,立会日,15,3000,68,0.3608324337393732,0.2917656760266491,0.4166610691411517,0.0003251945303960753
OBI,立会日,16,3200,68,0.3546969161218336,0.28576160122877486,0.4100685659623585,-0.0004812034341456258
OBI,立会日,17,3400,68,0.34878891086645325,0.28001631727561965,0.4039389808988434,0.000011989289249590557
OBI,立会日,18,3600,68,0.3436121042309142,0.27516788816362625,0.3985843995221343,-0.00011205102013042139
OBI,立会日,19,3800,68,0.33898371277380795,0.2708561489446802,0.39379557844208013,0.00007268777435364893
OBI,立会日,20,4000,68,0.3344959365072127,0.26655630676865333,0.3892700517709583,-0.00018168930925850475
OBI,立会日,21,4200,68,0.329981040515142,0.2622973622174827,0.38443572896368466,7.82026640384144e-6
OBI,立会日,22,4400,68,0.3258783388857493,0.25841563541068807,0.38007208041780655,2.0171992446756091e-7
OBI,立会日,23,4600,68,0.3219762386322301,0.2545781039170326,0.3759877912795673,-0.0001161568295936765
OBI,立会日,24,4800,68,0.3188088532389509,0.2516696777313372,0.3726275324023738,0.00032376495807520016
OBI,立会日,25,5000,68,0.315905346431614,0.24932345024903238,0.36945679771719103,0.00023044736789664777
OBI,立会日,26,5200,68,0.3124581733733861,0.24634503934296142,0.3658835952152447,-0.0005130992695039674
OBI,立会日,27,5400,68,0.30905228031200677,0.24349507681493462,0.3622886174879072,-0.0000228980681710166
OBI,立会日,28,5600,68,0.30582788182748566,0.24082792069808248,0.35890704923524475,-0.0001260319955532641
OBI,立会日,29,5800,68,0.30299117522621494,0.23818455639331745,0.3559014085531509,-0.00010714978130180177
OBI,立会日,30,6000,68,0.3003784490279994,0.235485374303307,0.3532899797743949,6.620183990901645e-6
OBI,立会日,31,6200,68,0.29755410647843217,0.2326531126316852,0.35005022781224937,-0.0002260290926797695
OBI,立会日,32,6400,68,0.2947614111068647,0.22999128435352761,0.34680991223147367,-0.00009726547834175914
OBI,立会日,33,6600,68,0.29212396192213497,0.22746496502625227,0.34382042820651837,0.0002697891511513599
OBI,立会日,34,6800,68,0.28964074412104257,0.22542982879972615,0.3411639934982134,0.00014007406919540485
OBI,立会日,35,7000,68,0.28724851657810513,0.22340698425046024,0.3386685551759141,-0.0002043789083150765
OBI,立会日,36,7200,68,0.2847475213635019,0.22122273303057516,0.33611041799944363,-0.00013893706971412347
