event,n_all,quintile,n,ofi_z_med,fwd5_mean,fwd15_mean,p_hold
上バンド突破,4085,1,817,-0.07633601874113083,0.7011912840563957,3.5355377306040467,0.48592411260709917
上バンド突破,4085,2,817,0.4872957766056061,0.593331677188778,2.1597798709423266,0.5165238678090576
上バンド突破,4085,3,817,0.9720460176467896,2.14382626132593,2.4688424923813934,0.5165238678090576
上バンド突破,4085,4,817,1.5592610836029053,2.0141132865039486,1.909638398088111,0.5312117503059975
上バンド突破,4085,5,817,2.676314115524292,2.169733977792425,3.942182433383758,0.5116279069767442
下バンド突破,4110,1,822,-0.09133293479681015,0.8387046546839123,1.1566144925303172,0.4744525547445255
下バンド突破,4110,2,822,0.5294811725616455,-0.9534764931379455,0.29565940646126687,0.4720194647201946
下バンド突破,4110,3,822,0.9968947172164917,-1.0327008489969338,-0.5022892150796788,0.4683698296836983
下バンド突破,4110,4,822,1.5508744716644287,-1.8149469083493501,-1.889821859913816,0.4610705596107056
下バンド突破,4110,5,822,2.595928192138672,0.7662006016319135,1.1679935729933502,0.46472019464720193
中間線 上抜け,8249,1,1650,-0.21325626969337463,-0.5952168574745305,-0.3671460798150669,0.4951515151515152
中間線 上抜け,8249,2,1650,0.24898609519004822,-0.4063032665390712,-0.030673118685853654,0.4915151515151515
中間線 上抜け,8249,3,1649,0.613649308681488,0.5743843075861336,1.5001133791678694,0.5160703456640389
中間線 上抜け,8249,4,1650,1.0639476776123047,0.8996102984028199,1.6862056395443175,0.5084848484848485
中間線 上抜け,8249,5,1650,1.8953896760940552,1.559631770515803,0.3514586740371402,0.5036363636363637
中間線 下抜け,8245,1,1649,-0.22097119688987732,0.5259485177719196,1.5941227197449659,0.4942389326864767
中間線 下抜け,8245,2,1649,0.24360576272010803,1.0138425268660236,0.8938206629076011,0.5003032140691328
中間線 下抜け,8245,3,1649,0.5989828109741211,0.18559256206502636,-1.3772597850208832,0.509399636143117
中間線 下抜け,8245,4,1649,1.0609227418899536,0.5180725590943133,-0.4365270356058319,0.5203153426318982
中間線 下抜け,8245,5,1649,1.931668996810913,1.8274166258122884,2.477083113790588,0.5027289266221953
