feat,h,block_s,se
obi,1.0,1,0.001864935962249329
obi,1.0,5,0.0019150280344043587
obi,1.0,15,0.001991060120217432
obi,1.0,60,0.002263009234615893
obi,1.0,300,0.0032949810610069788
obi,1.0,900,0.004939442489725745
obi,1.0,3600,0.008564726865412165
obi,1.0,14400,0.015352942880130227
obi,1.0,86400,0.02940795545236305
obi,1.0,172800,0.02940795545236305
obi,10.0,1,0.01893472069190048
obi,10.0,5,0.01893472069190048
obi,10.0,15,0.018954070383320948
obi,10.0,60,0.01885544131597343
obi,10.0,300,0.01923130437418882
obi,10.0,900,0.0199739258254256
obi,10.0,3600,0.02092609236196091
obi,10.0,14400,0.025396786173277692
obi,10.0,86400,0.03827406804598006
obi,10.0,172800,0.03827406804598007
ofi_10s,1.0,1,0.0020614057094303813
ofi_10s,1.0,5,0.002070838095964738
ofi_10s,1.0,15,0.0020764333480072943
ofi_10s,1.0,60,0.0021047448646000434
ofi_10s,1.0,300,0.00230643080528013
ofi_10s,1.0,900,0.002750600468019637
ofi_10s,1.0,3600,0.0037841528106209374
ofi_10s,1.0,14400,0.0057181369790995735
ofi_10s,1.0,86400,0.01023808787355762
ofi_10s,1.0,172800,0.010238087873557618
ofi_10s,10.0,1,0.021590324662732297
ofi_10s,10.0,5,0.021590324662732297
ofi_10s,10.0,15,0.021637256502333637
ofi_10s,10.0,60,0.021655653365611878
ofi_10s,10.0,300,0.021849412759476886
ofi_10s,10.0,900,0.022672522604804533
ofi_10s,10.0,3600,0.025566993268116713
ofi_10s,10.0,14400,0.030699931866037315
ofi_10s,10.0,86400,0.04268894370800419
ofi_10s,10.0,172800,0.04268894370800418
ai_net_10s,1.0,1,0.002546896455282406
ai_net_10s,1.0,5,0.002579160740354773
ai_net_10s,1.0,15,0.0026292914772808674
ai_net_10s,1.0,60,0.002668773027742515
ai_net_10s,1.0,300,0.0027553829501012995
ai_net_10s,1.0,900,0.0028252947157286056
ai_net_10s,1.0,3600,0.0031275789081486004
ai_net_10s,1.0,14400,0.003587706981106257
ai_net_10s,1.0,86400,0.0051431897953833185
ai_net_10s,1.0,172800,0.005143189795383317
ai_net_10s,10.0,1,0.026581032243040658
ai_net_10s,10.0,5,0.02658103224304066
ai_net_10s,10.0,15,0.02658747070247756
ai_net_10s,10.0,60,0.026702838091248404
ai_net_10s,10.0,300,0.026524426235193646
ai_net_10s,10.0,900,0.027155504221908863
ai_net_10s,10.0,3600,0.028992626392325204
ai_net_10s,10.0,14400,0.031242498958256967
ai_net_10s,10.0,86400,0.038140451711142526
ai_net_10s,10.0,172800,0.038140451711142526
