rule,trig_rate,lat_ms,n,n_cancel,n_fill,sum_mk,sum_edge,sum_pnl,fill,canc,markout,edge,pnl,ev
スコア,0.0,0,6739198,0,2131565,-2132988.520310169,-2395793.8822498964,-4716360.122560065,0.31629357083736076,0.0,-1.0006678287127857,-1.1239600398063847,-2.2126278685191703,-0.6998399694681867
スコア,0.0,65,6739198,0,2131565,-2132988.520310169,-2395793.8822498964,-4716360.122560065,0.31629357083736076,0.0,-1.0006678287127857,-1.1239600398063847,-2.2126278685191703,-0.6998399694681867
スコア,0.0,130,6739198,0,2131565,-2132988.520310169,-2395793.8822498964,-4716360.122560065,0.31629357083736076,0.0,-1.0006678287127857,-1.1239600398063847,-2.2126278685191703,-0.6998399694681867
スコア,0.0,200,6739198,0,2131565,-2132988.520310169,-2395793.8822498964,-4716360.122560065,0.31629357083736076,0.0,-1.0006678287127857,-1.1239600398063847,-2.2126278685191703,-0.6998399694681867
スコア,0.0,300,6739198,0,2131565,-2132988.520310169,-2395793.8822498964,-4716360.122560065,0.31629357083736076,0.0,-1.0006678287127857,-1.1239600398063847,-2.2126278685191703,-0.6998399694681867
スコア,0.01,0,6739198,4433922,1899843,-1817400.0991782604,-1580419.1828880326,-3565005.466066293,0.28190936072808664,0.6579302166222153,-0.9566054138043304,-0.8318683085328802,-1.8764737223372105,-0.5289955074871362
スコア,0.01,65,6739198,4433922,1901502,-1823280.8803293125,-1582448.4275279099,-3573061.4838572224,0.28215553245356495,0.6579302166222153,-0.958863509125582,-0.8322097097599213,-1.8790732188855033,-0.5301909045938734
スコア,0.01,130,6739198,4433922,1906815,-1843271.2666689511,-1588459.3774264113,-3599530.3640953624,0.28294390519465373,0.6579302166222153,-0.966675459690086,-0.8330432566486058,-1.8877187163386917,-0.5341185055099082
スコア,0.01,200,6739198,4433922,1915604,-1868632.03611471,-1600746.2114226788,-3637951.3995373887,0.28424806631293514,0.6579302166222153,-0.9754792932749723,-0.8356352416379789,-1.899114534912951,-0.5398196342557955
スコア,0.01,300,6739198,4433922,1929603,-1904386.638857413,-1622707.8112030001,-3696899.5140604135,0.2863253164545692,0.6579302166222153,-0.9869318397916116,-0.8409542331780164,-1.915886072969628,-0.5485666861339307
