ts,open,high,low,close,volume,dtm,symbol
1777248000,35410.0,35690.0,35120.0,35660.0,0,2026-04-27T00:00:00.000000,285A.T
1777251600,35670.0,35830.0,35410.0,35760.0,3485300,2026-04-27T01:00:00.000000,285A.T
1777255200,35770.0,35990.0,35710.0,35990.0,1212700,2026-04-27T02:00:00.000000,285A.T
1777258800,36000.0,36440.0,35990.0,36320.0,3044900,2026-04-27T03:00:00.000000,285A.T
1777262400,36310.0,36350.0,35910.0,35970.0,2428400,2026-04-27T04:00:00.000000,285A.T
1777266000,35980.0,36030.0,35070.0,35110.0,4465500,2026-04-27T05:00:00.000000,285A.T
1777269600,35110.0,35540.0,35030.0,35500.0,1762700,2026-04-27T06:00:00.000000,285A.T
1777334400,36430.0,37430.0,36420.0,37140.0,0,2026-04-28T00:00:00.000000,285A.T
1777338000,37140.0,37320.0,36740.0,36840.0,3368500,2026-04-28T01:00:00.000000,285A.T
1777341600,36850.0,36970.0,36720.0,36940.0,999500,2026-04-28T02:00:00.000000,285A.T
1777345200,36900.0,37140.0,36600.0,36780.0,2436000,2026-04-28T03:00:00.000000,285A.T
1777348800,36790.0,36810.0,36430.0,36590.0,2754700,2026-04-28T04:00:00.000000,285A.T
1777352400,36590.0,36740.0,36200.0,36520.0,3613500,2026-04-28T05:00:00.000000,285A.T
1777356000,36520.0,36600.0,36350.0,36370.0,1350300,2026-04-28T06:00:00.000000,285A.T
1777507200,37500.0,37980.0,37090.0,37980.0,0,2026-04-30T00:00:00.000000,285A.T
1777510800,37980.0,38270.0,37520.0,37940.0,6055400,2026-04-30T01:00:00.000000,285A.T
1777514400,37940.0,38070.0,37810.0,37930.0,1257900,2026-04-30T02:00:00.000000,285A.T
1777518000,37720.0,37860.0,37210.0,37540.0,3246600,2026-04-30T03:00:00.000000,285A.T
1777521600,37540.0,37570.0,36920.0,37350.0,3839900,2026-04-30T04:00:00.000000,285A.T
1777525200,37350.0,37860.0,37310.0,37780.0,3854500,2026-04-30T05:00:00.000000,285A.T
1777528800,37780.0,37830.0,37410.0,37490.0,1604600,2026-04-30T06:00:00.000000,285A.T
1777593600,36370.0,36990.0,36220.0,36440.0,0,2026-05-01T00:00:00.000000,285A.T
1777597200,36430.0,36900.0,36410.0,36620.0,3209000,2026-05-01T01:00:00.000000,285A.T
1777600800,36620.0,36650.0,36270.0,36280.0,1252500,2026-05-01T02:00:00.000000,285A.T
1777604400,36280.0,36690.0,36280.0,36570.0,1996100,2026-05-01T03:00:00.000000,285A.T
1777608000,36570.0,36630.0,36410.0,36560.0,1621700,2026-05-01T04:00:00.000000,285A.T
1777611600,36560.0,36580.0,36290.0,36340.0,1710000,2026-05-01T05:00:00.000000,285A.T
1777615200,36350.0,36490.0,36220.0,36270.0,1066300,2026-05-01T06:00:00.000000,285A.T
1778198400,43090.0,45550.0,42310.0,44970.0,16341100,2026-05-08T00:00:00.000000,285A.T
1778202000,44960.0,45150.0,43640.0,43930.0,6620700,2026-05-08T01:00:00.000000,285A.T
1778205600,43920.0,44070.0,43340.0,43890.0,2620100,2026-05-08T02:00:00.000000,285A.T
1778209200,44210.0,44850.0,44020.0,44060.0,4097900,2026-05-08T03:00:00.000000,285A.T
1778212800,44050.0,44360.0,43680.0,44120.0,3742500,2026-05-08T04:00:00.000000,285A.T
1778216400,44120.0,44940.0,43980.0,44690.0,4101500,2026-05-08T05:00:00.000000,285A.T
1778220000,44700.0,44700.0,44180.0,44360.0,1867400,2026-05-08T06:00:00.000000,285A.T
1778457600,49200.0,49430.0,47960.0,48640.0,0,2026-05-11T00:00:00.000000,285A.T
1778461200,48640.0,48680.0,46960.0,47080.0,7560800,2026-05-11T01:00:00.000000,285A.T
1778464800,47070.0,47850.0,47060.0,47850.0,3215100,2026-05-11T02:00:00.000000,285A.T
1778468400,48000.0,48310.0,47720.0,47840.0,3545700,2026-05-11T03:00:00.000000,285A.T
1778472000,47850.0,47920.0,46980.0,47080.0,4044300,2026-05-11T04:00:00.000000,285A.T
1778475600,47090.0,47240.0,45690.0,46110.0,8032400,2026-05-11T05:00:00.000000,285A.T
1778479200,46110.0,46240.0,45720.0,45740.0,2027900,2026-05-11T06:00:00.000000,285A.T
1778544000,46970.0,46980.0,46220.0,46830.0,0,2026-05-12T00:00:00.000000,285A.T
1778547600,46830.0,46890.0,43630.0,45830.0,8339500,2026-05-12T01:00:00.000000,285A.T
1778551200,45830.0,46630.0,45390.0,46630.0,3459300,2026-05-12T02:00:00.000000,285A.T
1778554800,46640.0,46640.0,45360.0,45800.0,2898400,2026-05-12T03:00:00.000000,285A.T
1778558400,45810.0,46170.0,45410.0,45530.0,3274800,2026-05-12T04:00:00.000000,285A.T
1778562000,45530.0,46200.0,45440.0,45980.0,2589200,2026-05-12T05:00:00.000000,285A.T
1778565600,45980.0,46320.0,45810.0,46230.0,1330300,2026-05-12T06:00:00.000000,285A.T
1778630400,45740.0,46980.0,45120.0,46660.0,0,2026-05-13T00:00:00.000000,285A.T
1778634000,46680.0,48800.0,46600.0,48570.0,6710700,2026-05-13T01:00:00.000000,285A.T
1778637600,48580.0,48720.0,48090.0,48620.0,1977900,2026-05-13T02:00:00.000000,285A.T
1778641200,48730.0,48890.0,48390.0,48690.0,2377700,2026-05-13T03:00:00.000000,285A.T
1778644800,48680.0,49090.0,48460.0,49020.0,3086800,2026-05-13T04:00:00.000000,285A.T
1778648400,49020.0,50500.0,49020.0,50270.0,6022900,2026-05-13T05:00:00.000000,285A.T
1778652000,50270.0,50670.0,49850.0,50590.0,2547500,2026-05-13T06:00:00.000000,285A.T
1778716800,49940.0,51960.0,49140.0,51710.0,0,2026-05-14T00:00:00.000000,285A.T
1778720400,51710.0,53490.0,50510.0,51990.0,11043000,2026-05-14T01:00:00.000000,285A.T
1778724000,51990.0,52820.0,51490.0,52590.0,3721100,2026-05-14T02:00:00.000000,285A.T
1778727600,52310.0,52400.0,51290.0,51560.0,3018000,2026-05-14T03:00:00.000000,285A.T
1778731200,51570.0,51980.0,50900.0,51370.0,3728200,2026-05-14T04:00:00.000000,285A.T
1778734800,51380.0,51420.0,48100.0,49230.0,7924900,2026-05-14T05:00:00.000000,285A.T
