ts,open,high,low,close,volume,dtm,symbol
1777240800,59800.0,59910.0,59760.0,59885.0,33,2026-04-26T22:00:00.000000,NKD=F
1777244400,59900.0,60180.0,59895.0,60170.0,109,2026-04-26T23:00:00.000000,NKD=F
1777248000,60180.0,60255.0,59700.0,60190.0,520,2026-04-27T00:00:00.000000,NKD=F
1777251600,60195.0,60700.0,60195.0,60630.0,454,2026-04-27T01:00:00.000000,NKD=F
1777255200,60650.0,60750.0,60610.0,60630.0,104,2026-04-27T02:00:00.000000,NKD=F
1777258800,60650.0,60930.0,60650.0,60915.0,185,2026-04-27T03:00:00.000000,NKD=F
1777262400,60890.0,61000.0,60780.0,60875.0,73,2026-04-27T04:00:00.000000,NKD=F
1777266000,60855.0,60895.0,60540.0,60540.0,115,2026-04-27T05:00:00.000000,NKD=F
1777269600,60540.0,60685.0,60200.0,60275.0,655,2026-04-27T06:00:00.000000,NKD=F
1777273200,60260.0,60380.0,60220.0,60335.0,135,2026-04-27T07:00:00.000000,NKD=F
1777276800,60315.0,60450.0,60225.0,60395.0,104,2026-04-27T08:00:00.000000,NKD=F
1777280400,60420.0,60460.0,60365.0,60405.0,29,2026-04-27T09:00:00.000000,NKD=F
1777284000,60395.0,60580.0,60380.0,60555.0,43,2026-04-27T10:00:00.000000,NKD=F
1777287600,60565.0,60665.0,60540.0,60605.0,142,2026-04-27T11:00:00.000000,NKD=F
1777291200,60620.0,60620.0,60380.0,60390.0,158,2026-04-27T12:00:00.000000,NKD=F
1777294800,60410.0,60545.0,60155.0,60385.0,474,2026-04-27T13:00:00.000000,NKD=F
1777298400,60335.0,60355.0,60140.0,60150.0,267,2026-04-27T14:00:00.000000,NKD=F
1777302000,60155.0,60175.0,60035.0,60170.0,463,2026-04-27T15:00:00.000000,NKD=F
1777305600,60140.0,60200.0,60125.0,60145.0,86,2026-04-27T16:00:00.000000,NKD=F
1777309200,60155.0,60225.0,60075.0,60150.0,142,2026-04-27T17:00:00.000000,NKD=F
1777312800,60125.0,60190.0,60115.0,60125.0,71,2026-04-27T18:00:00.000000,NKD=F
1777316400,60130.0,60280.0,60110.0,60245.0,193,2026-04-27T19:00:00.000000,NKD=F
1777320000,60250.0,60290.0,60225.0,60225.0,110,2026-04-27T20:00:00.000000,NKD=F
1777327200,60230.0,60445.0,60230.0,60400.0,0,2026-04-27T22:00:00.000000,NKD=F
1777330800,60425.0,60525.0,60340.0,60415.0,119,2026-04-27T23:00:00.000000,NKD=F
