ts,open,high,low,close,volume,dtm,symbol
1777262400,27403.25,27542.5,27298.5,27440.5,444514,2026-04-27T04:00:00.000000,NQ=F
1777348800,27423.0,27512.0,27009.5,27168.75,603738,2026-04-28T04:00:00.000000,NQ=F
1777435200,27197.25,27414.0,27094.0,27325.25,516846,2026-04-29T04:00:00.000000,NQ=F
1777521600,27207.0,27622.75,27163.25,27596.0,701348,2026-04-30T04:00:00.000000,NQ=F
1777608000,27631.75,27917.0,27536.25,27835.75,509821,2026-05-01T04:00:00.000000,NQ=F
1777867200,27890.0,27965.75,27613.0,27776.0,576727,2026-05-04T04:00:00.000000,NQ=F
1777953600,27760.0,28247.0,27731.75,28136.0,458058,2026-05-05T04:00:00.000000,NQ=F
1778040000,28250.0,28800.0,28243.0,28716.75,637911,2026-05-06T04:00:00.000000,NQ=F
1778126400,28662.75,28944.75,28552.0,28682.25,657049,2026-05-07T04:00:00.000000,NQ=F
1778212800,28582.0,29386.75,28541.0,29332.5,543817,2026-05-08T04:00:00.000000,NQ=F
1778472000,29294.0,29480.0,29225.75,29424.0,558723,2026-05-11T04:00:00.000000,NQ=F
1778558400,29399.0,29455.75,28742.0,29170.0,719824,2026-05-12T04:00:00.000000,NQ=F
1778644800,29143.75,29565.5,29055.5,29479.25,570739,2026-05-13T04:00:00.000000,NQ=F
1778731200,29537.0,29782.0,29448.25,29687.75,611771,2026-05-14T04:00:00.000000,NQ=F
1778817600,29690.0,29734.0,29089.75,29231.75,750779,2026-05-15T04:00:00.000000,NQ=F
1779076800,29135.0,29419.75,28814.75,29096.0,854443,2026-05-18T04:00:00.000000,NQ=F
1779163200,29100.0,29188.5,28663.0,28924.25,717466,2026-05-19T04:00:00.000000,NQ=F
1779249600,28929.75,29397.5,28797.25,29390.5,606377,2026-05-20T04:00:00.000000,NQ=F
1779336000,29253.0,29554.0,29113.0,29447.25,612220,2026-05-21T04:00:00.000000,NQ=F
1779422400,29444.0,29749.0,29436.0,29558.75,495134,2026-05-22T04:00:00.000000,NQ=F
1779768000,29676.25,30118.75,29676.25,30073.5,668516,2026-05-26T04:00:00.000000,NQ=F
1779854400,30050.0,30379.0,29877.5,30047.25,637375,2026-05-27T04:00:00.000000,NQ=F
1779940800,30120.0,30344.5,29763.0,30307.0,564551,2026-05-28T04:00:00.000000,NQ=F
1780027200,30328.0,30536.0,30216.5,30405.25,578992,2026-05-29T04:00:00.000000,NQ=F
1780286400,30415.5,30693.0,30291.5,30566.25,568793,2026-06-01T04:00:00.000000,NQ=F
1780372800,30544.75,30763.25,30317.75,30712.75,525212,2026-06-02T04:00:00.000000,NQ=F
1780459200,30741.75,30807.75,30478.25,30633.25,638765,2026-06-03T04:00:00.000000,NQ=F
1780545600,30453.0,30603.25,30151.0,30488.25,684303,2026-06-04T04:00:00.000000,NQ=F
1780632000,30414.0,30422.0,28781.25,29026.5,1044741,2026-06-05T04:00:00.000000,NQ=F
1780891200,28844.5,29743.0,28822.25,29454.75,846024,2026-06-08T04:00:00.000000,NQ=F
1780977600,29435.0,29848.25,28227.75,29117.0,1082950,2026-06-09T04:00:00.000000,NQ=F
1781064000,29094.75,29250.0,28409.0,28554.0,772662,2026-06-10T04:00:00.000000,NQ=F
1781150400,28455.0,29544.25,28265.75,29464.75,738252,2026-06-11T04:00:00.000000,NQ=F
1781236800,29456.75,29760.0,29230.0,29662.0,499151,2026-06-12T04:00:00.000000,NQ=F
1781496000,29907.0,30612.5,29907.0,30559.25,344999,2026-06-15T04:00:00.000000,NQ=F
1781582400,30539.75,30664.5,29956.75,29995.0,215042,2026-06-16T04:00:00.000000,NQ=F
1781668800,30006.75,30268.5,29616.0,29687.5,92564,2026-06-17T04:00:00.000000,NQ=F
1781755200,29758.5,30285.75,29758.5,30263.349609375,563315,2026-06-18T04:00:00.000000,NQ=F
1782100800,30577.0,30968.0,30337.5,30653.5,644848,2026-06-22T04:00:00.000000,NQ=F
1782187200,30662.75,30701.25,29577.25,29666.0,727043,2026-06-23T04:00:00.000000,NQ=F
1782273600,29770.0,30157.75,29264.75,29514.25,682714,2026-06-24T04:00:00.000000,NQ=F
1782360000,30089.75,30263.75,29295.75,29724.75,657543,2026-06-25T04:00:00.000000,NQ=F
1782446400,29742.0,29892.75,29160.5,29368.25,582809,2026-06-26T04:00:00.000000,NQ=F
1782705600,29282.5,30069.5,29273.75,30052.75,531640,2026-06-29T04:00:00.000000,NQ=F
1782792000,30007.25,30599.75,29934.75,30523.5,482570,2026-06-30T04:00:00.000000,NQ=F
1782878400,30505.75,30553.75,30008.5,30094.25,525442,2026-07-01T04:00:00.000000,NQ=F
1782964800,30089.75,30320.0,29328.5,29556.0,651643,2026-07-02T04:00:00.000000,NQ=F
