d,open,high,low,close,n
2026-05-04,545.79,594.49,542.0,578.38,26112
2026-05-05,578.5,687.38,578.27,676.22,28066
2026-05-06,676.24,688.17,628.48,659.6,55356
2026-05-07,659.82,684.02,635.91,644.8,41560
2026-05-08,644.79,761.21,644.34,757.99,42988
2026-05-09,758.51,775.5,756.57,771.89,27768
2026-05-10,772.6,781.33,754.72,756.98,32053
2026-05-11,756.0,819.0,745.82,799.27,104556
2026-05-12,799.02,799.9,707.13,748.52,90798
2026-05-13,748.87,818.95,748.72,803.61,82805
2026-05-14,803.65,812.2,775.86,778.11,80795
2026-05-15,778.18,788.31,714.71,715.86,93197
2026-05-16,715.95,720.5,706.19,712.42,25758
2026-05-17,712.42,735.95,705.0,722.12,32469
2026-05-18,720.94,753.42,663.6,689.55,89579
2026-05-19,689.49,725.78,652.41,705.86,90769
2026-05-20,705.7,739.52,691.76,725.93,62212
2026-05-21,741.92,764.49,728.66,761.0,77262
2026-05-22,761.0,780.39,743.73,744.75,49405
2026-05-23,744.83,775.55,736.62,772.19,33715
2026-05-24,772.12,788.11,768.68,775.6,29923
2026-05-25,775.61,802.33,774.79,789.72,37013
2026-05-26,789.72,916.62,772.99,914.85,102554
2026-05-27,914.97,986.06,889.01,904.93,169931
2026-05-28,904.8,950.28,879.58,936.2,122983
2026-05-29,936.21,980.93,929.51,964.95,66729
2026-05-30,964.9,978.79,959.72,978.04,23489
2026-05-31,978.04,1003.6,977.5,988.67,31208
2026-06-01,988.6,1047.6,978.73,1040.4,85918
2026-06-02,1040.9,1076.6,1009.4,1057.2,85979
2026-06-03,1057.5,1090.2,1039.6,1052.2,75458
2026-06-04,1051.1,1061.7,969.0,970.76,101764
2026-06-05,970.76,984.0,850.76,858.04,164544
2026-06-06,858.51,878.88,834.02,877.47,78665
2026-06-07,877.35,914.96,869.12,888.0,85769
2026-06-08,887.99,962.8,866.54,954.97,148743
2026-06-09,955.32,1000.5,855.21,919.48,161271
2026-06-10,919.73,957.35,867.09,877.21,144225
2026-06-11,877.15,1000.2,870.39,999.32,103979
2026-06-12,999.45,1019.9,957.29,990.14,86451
2026-06-13,990.14,994.13,980.19,991.04,34262
2026-06-14,991.13,1044.5,990.0,1035.4,40619
2026-06-15,1035.5,1097.4,1025.2,1084.6,71504
2026-06-16,1084.8,1135.0,1021.2,1034.6,76487
2026-06-17,1035.1,1093.5,1013.7,1078.3,81339
2026-06-18,1078.3,1155.8,1075.8,1152.3,74335
2026-06-19,1152.0,1155.5,1098.4,1132.0,63972
2026-06-20,1131.6,1153.7,1125.6,1138.0,29633
2026-06-21,1138.1,1152.0,1118.9,1126.3,31612
2026-06-22,1128.5,1246.6,1119.1,1230.3,86696
2026-06-23,1230.3,1236.2,1038.6,1065.7,200714
2026-06-24,1065.3,1221.3,995.0,1215.0,219242
2026-06-25,1214.7,1254.8,1138.4,1189.0,182870
2026-06-26,1189.0,1198.4,1120.6,1134.3,156970
2026-06-27,1134.3,1151.6,1124.8,1129.9,38364
2026-06-28,1130.2,1160.9,1119.3,1153.4,44871
2026-06-29,1153.9,1165.4,1027.0,1139.0,155997
2026-06-30,1138.8,1169.3,1124.9,1156.9,78852
2026-07-01,1157.0,1161.9,1018.1,1020.3,141552
2026-07-02,1020.7,1074.4,952.45,978.3,177649
2026-07-03,978.1,1048.3,968.9,1027.5,97795
2026-07-04,1027.4,1035.0,1022.9,1033.1,27174
2026-07-05,1033.5,1047.7,1020.5,1026.3,67989
2026-07-06,1025.8,1049.8,956.93,960.34,145508
2026-07-07,960.33,971.36,893.8,915.15,179523
2026-07-08,915.15,962.12,875.4,957.97,158614
2026-07-09,958.01,1034.4,930.26,1002.0,173680
2026-07-10,1002.3,1002.8,955.11,982.9,157910
2026-07-11,983.0,990.2,974.3,978.49,38377
2026-07-12,978.28,984.05,964.59,966.48,49508
2026-07-13,966.5,989.12,903.47,920.81,158878
2026-07-14,921.0,994.91,910.71,990.38,164021
2026-07-15,990.34,1006.0,875.5,896.42,140548
2026-07-16,896.68,911.72,828.49,833.35,169707
2026-07-17,833.18,903.7,805.26,844.55,240547
2026-07-18,844.45,847.81,836.79,839.05,29810
2026-07-19,838.99,867.76,838.99,861.43,44802
2026-07-20,861.45,900.91,846.6,872.71,137610
2026-07-21,872.69,987.69,867.53,986.53,180020
2026-07-22,986.7,994.96,923.89,983.78,189189
2026-07-23,983.78,1011.6,957.63,986.88,217789
2026-07-24,987.03,991.0,904.87,911.19,189388
2026-07-25,911.19,934.49,911.19,933.5,34605
2026-07-26,933.21,953.18,931.52,953.09,41186
2026-07-27,953.15,961.31,855.56,884.19,226094
2026-07-28,884.22,891.31,772.0,831.16,260835
2026-07-29,831.04,855.64,705.76,734.37,379769
2026-07-30,734.41,910.79,711.07,901.78,342919
2026-07-31,901.78,929.9,812.4,812.94,333744
2026-08-01,812.85,823.37,806.59,820.98,54956
2026-08-02,820.92,862.81,820.45,854.66,104855
2026-08-03,854.46,854.46,770.79,841.5,213470
2026-08-04,841.5,902.21,811.98,891.38,238818
2026-08-05,891.39,928.13,867.43,876.44,306623
2026-08-06,876.84,912.45,827.09,889.81,212396
2026-08-07,889.8,917.0,844.13,879.09,208788
2026-08-08,879.11,885.17,874.69,883.24,21278
2026-08-09,883.23,884.33,875.8,878.5,23954
2026-08-10,878.14,893.9,854.52,861.93,150719
