d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-05-04,7489.9400000000005,14607.403,2655348.64641,5158308.75132,4278,4885,7813657.39773,-2502960.1049099998,33.98342813419774,-2.8816013277356562
2026-05-05,72283.118,50682.584,26310847.9455,18491261.70423,12814,8001,44802109.64973,7819586.241270002,58.72680583839106,3.1917808441662903
2026-05-06,37998.302,49230.953,15833822.54736,20480748.2642,18895,17029,36314570.81156,-4646925.716839999,43.6018440904157,-2.755498905231805
2026-05-07,21057.608,21819.003,8680755.59757,9001765.25812,9569,8456,17682520.855690002,-321009.66055000015,49.09229667203615,-0.3590823276833085
2026-05-08,25983.054,38511.441,11445322.41769,16940345.41947,9520,8470,28385667.83716,-5495023.001780001,40.32077907537126,-2.129319092181245
2026-05-09,1618.578,1512.535,746950.74746,696172.45048,2592,1369,1443123.1979399999,50778.296979999985,51.75931954570767,0.26087942746375586
2026-05-10,3230.946,3163.979,1498371.16799,1458545.14309,5496,2724,2956916.31108,39826.02490000008,50.67343848641854,0.09249146044309421
2026-05-11,21043.702,24439.188000000002,9709084.50989,11268084.67687,10507,11321,20977169.18676,-1559000.1669800002,46.28405493348458,-1.4096907041029554
2026-05-12,18055.545,22582.535,8033849.78834,10047418.13468,8970,7569,18081267.923019998,-2013568.3463399988,44.43189394982517,-2.424879056496461
2026-05-13,17099.625,15941.426,7694308.71683,7166408.84289,9410,9271,14860717.55972,527899.8739400003,51.7761587615758,0.4592010126829717
2026-05-14,15065.413,20387.755,6680321.3080400005,9046139.15848,5625,6774,15726460.46652,-2365817.8504399993,42.478225295906284,-1.9600722991073931
2026-05-15,15308.934,19674.974,6630945.86766,8518948.95963,6752,8427,15149894.827289999,-1888003.0919699995,43.76892343645489,-2.7091825457544574
2026-05-16,1380.7069999999999,1730.171,578698.28021,723771.06085,1135,2340,1302469.34106,-145072.78064,44.430856218007634,-0.6145965580243538
2026-05-17,2263.191,1650.079,952838.84496,694243.19625,1744,3631,1647082.04121,258595.64870999998,57.850114391388395,0.7496127436688222
2026-05-18,22173.400999999998,27724.496,9257327.37557,11572583.48261,8020,9194,20829910.85818,-2315256.107040001,44.442472359091276,-2.6860545094689106
2026-05-19,15570.249,15285.768,6420768.1839499995,6285955.66132,6733,6298,12706723.84527,134812.52262999956,50.53047710909442,0.18180064504787516
2026-05-20,15481.397,14982.173,6734274.5654,6544067.91746,7857,7462,13278342.482859999,190206.6479399996,50.71622888242837,0.2634980589134337
2026-05-21,20419.507,23309.788,9042575.64145,10320776.11903,7974,7522,19363351.76048,-1278200.4775799997,46.699433823774335,-1.0901217108717283
2026-05-22,22489.26,24735.405,10491450.0696,11543140.97104,7782,8186,22034591.040639997,-1051690.9014400002,47.613545675750714,-0.9864247929748001
2026-05-23,6058.473,4473.645,2827443.15213,2086318.99485,3912,5275,4913762.14698,741124.1572799999,57.541310864380115,1.843641429333379
2026-05-24,2093.276,3478.534,996693.28628,1654663.80195,4110,2845,2651357.08823,-657970.51567,37.591816308129786,-2.9509489701102036
2026-05-25,1086.162,992.181,519061.40885,474087.28063,967,882,993148.68948,44974.12822000001,52.26421928037522,0.456541232319033
2026-05-26,20154.957,19126.994,9912596.33608,9382432.66524,9979,7817,19295029.001319997,530163.6708400007,51.3738348639013,0.5182788343422134
2026-05-27,19039.385,21854.996,9506864.57942,10925644.69619,9610,10277,20432509.27561,-1418780.1167699993,46.52813049627836,-1.4175768473403478
2026-05-28,18570.777000000002,19896.29,9397425.68867,10063199.60806,8779,9393,19460625.29673,-665773.9193900004,48.28943338346412,-0.6513092997554298
2026-05-29,17338.897,15117.289,8911586.46173,7775036.75522,5491,4865,16686623.21695,1136549.70651,53.405571312221845,0.7407207522593711
