d,buy_sz,sell_sz,buy_usd,sell_usd,n_buy,n_sell,volume_usd,net_usd,buy_share,z_hac
2026-05-04,4246.103,3153.693,669970.92819,492666.225,1074,625,1162637.15319,177304.70319000003,57.62510911953562,0.8832062360559388
2026-05-05,4047.167,5391.301,663349.03864,875357.06201,2827,3870,1538706.10065,-212008.02336999995,43.11083437959852,-1.9192366406529127
2026-05-06,12276.109,9137.725,2291247.67366,1689626.04795,2428,2081,3980873.72161,601621.6257099998,57.55640178240423,1.877978554662307
2026-05-07,8479.552,14645.289,1563825.60521,2685191.29364,1852,3344,4249016.8988499995,-1121365.6884299999,36.80441011268397,-3.6314516107332246
2026-05-08,7757.422,4849.574,1486343.91858,921927.80149,2624,1502,2408271.72007,564416.1170900001,61.71828146272453,2.2978450847941048
2026-05-09,510.873,503.65,105534.0729,103550.50442,156,217,209084.57731999998,1983.5684800000017,50.47434595736925,0.07082467393592155
2026-05-10,1264.193,3188.269,255334.63804,641067.05812,388,743,896401.6961599999,-385732.42007999995,28.484399252455784,-4.202111778143948
2026-05-11,7635.18,8543.581,1504458.64267,1673409.21282,2401,1725,3177867.85549,-168950.57015000004,47.34176218406745,-0.6381328795135072
2026-05-12,13335.624,20236.229,2464419.78909,3717044.51947,5182,4747,6181464.308560001,-1252624.73038,39.867896441257585,-2.648243444730501
2026-05-13,17456.344,32989.661,3325282.14969,6331870.30597,6297,7048,9657152.45566,-3006588.15628,34.433360816842765,-3.1204084024465506
2026-05-14,10132.854,8231.584,1999148.17924,1617122.44993,3380,3543,3616270.6291699996,382025.7293100001,55.282040097171624,0.9977905629258335
2026-05-15,10339.584,15763.786,1917194.8171,2917647.95049,2822,4832,4834842.76759,-1000453.1333900001,39.65371593781228,-1.8324917473478766
2026-05-16,895.78,1057.638,164276.42702,193140.98184999998,1563,1488,357417.40887,-28864.55482999998,45.96206646435364,-0.5257035992007738
2026-05-17,2313.843,2935.019,424627.42872,537181.34723,1710,2193,961808.7759499999,-112553.91850999993,44.14884115614209,-0.9760599109161394
2026-05-18,25055.092,27413.577,4632411.87453,4991030.13126,5598,4872,9623442.005789999,-358618.2567300005,48.136746413007764,-0.33383539557093744
2026-05-19,12398.369,11555.323,2279172.42569,2113753.0222,6774,6165,4392925.44789,165419.40348999994,51.882793202983365,0.5096903148437966
2026-05-20,20018.641,25143.595,3735184.87172,4628084.57397,8129,6540,8363269.44569,-892899.7022500001,44.661778458482196,-1.4138426345651356
2026-05-21,9923.278,8858.221,1966560.02073,1749342.74298,3930,3277,3715902.76371,217217.2777499999,52.92280626758284,0.6286437632171007
2026-05-22,7855.801,9335.095,1523872.38297,1801783.49588,2845,2674,3325655.87885,-277911.11291000014,45.82170971630864,-0.8475455765601081
2026-05-23,3293.535,4181.836,619511.42451,782144.24666,2483,2141,1401655.67117,-162632.8221499999,44.198545852054885,-0.9942655565069095
2026-05-24,6228.676,6270.788,1238116.98725,1236594.25636,1633,1563,2474711.2436100002,1522.7308900000062,50.03076582962823,0.0034121545554751144
2026-05-25,21316.196,19203.309,4104131.11475,3567928.83229,3621,3424,7672059.94704,536202.2824600004,53.49451311747685,0.6566839554422058
