feature,target,family,n_coin,n_sig,n_pos,med_spread,min_spread,max_spread,med_rho,same_sign,ab
obi_x_spread,fwd_micro_60s,4 マイクロプライス,7,7,0,-3.100138674848211,-17.475265172786944,-1.3545343285525284,-0.8545454545454544,7,3.100138674848211
delta1_bp,fwd_micro_60s,4 マイクロプライス,7,7,0,-3.100138674848211,-17.475265172786944,-1.3545343285525284,-0.8545454545454544,7,3.100138674848211
delta1,fwd_micro_60s,4 マイクロプライス,7,7,0,-3.0800821585991005,-17.67386441501564,-1.3396137275259257,-0.8545454545454544,7,3.0800821585991005
obi_x_spread,fwd_micro_30s,4 マイクロプライス,7,7,0,-2.9393905290683566,-16.39584573519448,-1.3243610666889427,-0.8909090909090909,7,2.9393905290683566
delta1_bp,fwd_micro_30s,4 マイクロプライス,7,7,0,-2.9393905290683566,-16.39584573519448,-1.3243610666889427,-0.8909090909090909,7,2.9393905290683566
delta1,fwd_micro_30s,4 マイクロプライス,7,7,0,-2.9205094077774763,-16.592507095347628,-1.3105357761544922,-0.8787878787878788,7,2.9205094077774763
delta1_bp,fwd_micro_10s,4 マイクロプライス,7,7,0,-2.46692598425312,-14.128135575886814,-1.2804330972576794,-0.8909090909090909,7,2.46692598425312
obi_x_spread,fwd_micro_10s,4 マイクロプライス,7,7,0,-2.46692598425312,-14.128135575886814,-1.2804330972576794,-0.8909090909090909,7,2.46692598425312
delta1,fwd_micro_10s,4 マイクロプライス,7,7,0,-2.446245860680463,-14.239735500324812,-1.2481620114956216,-0.8909090909090909,7,2.446245860680463
obi_x_spread,fwd_micro_5s,4 マイクロプライス,7,7,0,-2.0968053857370594,-12.533706252351754,-1.2386692120526384,-0.9151515151515152,7,2.0968053857370594
delta1_bp,fwd_micro_5s,4 マイクロプライス,7,7,0,-2.0968053857370594,-12.533706252351754,-1.2386692120526384,-0.9151515151515152,7,2.0968053857370594
delta1,fwd_micro_5s,4 マイクロプライス,7,7,0,-2.076617129787585,-12.58763196925844,-1.2178193051433068,-0.9151515151515152,7,2.076617129787585
obi_x_spread,fwd_micro_3s,4 マイクロプライス,7,7,0,-1.8385708738864253,-11.361159946080091,-1.1903692136829627,-0.9151515151515152,7,1.8385708738864253
delta1_bp,fwd_micro_3s,4 マイクロプライス,7,7,0,-1.8385708738864253,-11.361159946080091,-1.1903692136829627,-0.9151515151515152,7,1.8385708738864253
delta1,fwd_micro_3s,4 マイクロプライス,7,7,0,-1.8258806106066496,-11.340125179682255,-1.169049065713344,-0.9151515151515152,7,1.8258806106066496
micro_minus_ask,fwd_micro_60s,4 マイクロプライス,7,5,0,-1.8182429734947514,-8.553328723616909,-0.43285468990542,-0.709090909090909,7,1.8182429734947514
ofi_1s,fwd_mid_60s,8 OFI,7,7,7,1.7730050062043026,0.8844924997076818,5.381382449611825,0.9757575757575757,7,1.7730050062043026
ofi_per_time,fwd_mid_60s,8 OFI,7,7,7,1.7730050062043026,0.8844924997076818,5.381382449611825,0.9757575757575757,7,1.7730050062043026
ofi_dollar,fwd_mid_60s,8 OFI,7,7,7,1.7703795322424882,0.8775516740340409,5.3485502376268474,0.9757575757575757,7,1.7703795322424882
ofi_ewma,fwd_mid_30s,8 OFI,7,7,7,1.7593206050372232,0.8625493460813998,6.792572641771619,0.9999999999999999,7,1.7593206050372232
micro_minus_bid,fwd_micro_60s,4 マイクロプライス,7,5,0,-1.7411020939676773,-8.798819624937334,-0.2646645657521398,-0.6242424242424242,7,1.7411020939676773
ofi_pct,fwd_mid_30s,8 OFI,7,6,7,1.7370610312948036,0.8085772160297955,4.831641873671825,0.9636363636363635,7,1.7370610312948036
ofi_ewma,fwd_mid_60s,8 OFI,7,6,7,1.70582546348093,1.067693440122409,9.40126498034924,0.9999999999999999,7,1.70582546348093
ofi_pct,fwd_mid_60s,8 OFI,7,6,7,1.7029595874252468,0.8868502721998304,6.319963485071592,0.9515151515151514,7,1.7029595874252468
micro_minus_ask,fwd_micro_30s,4 マイクロプライス,7,7,0,-1.6991876932236314,-8.358494602585598,-0.3962866226976083,-0.709090909090909,7,1.6991876932236314
micro_minus_bid,fwd_micro_30s,4 マイクロプライス,7,6,0,-1.6665399735082675,-8.624389794209023,-0.30835781620205377,-0.6242424242424242,7,1.6665399735082675
ofi_pct,fwd_mid_10s,8 OFI,7,7,7,1.5945407757043002,0.7561170654238711,2.7498840058943426,0.9757575757575757,7,1.5945407757043002
ofi_10s,fwd_mid_60s,8 OFI,7,5,7,1.5717607594223237,0.6798369192349866,8.933380522245967,0.9999999999999999,7,1.5717607594223237
ofi_1s,fwd_mid_30s,8 OFI,7,7,7,1.5524537779440342,0.7634243793769008,4.155980843047503,0.9878787878787878,7,1.5524537779440342
ofi_per_time,fwd_mid_30s,8 OFI,7,7,7,1.5524537779440342,0.7634243793769008,4.155980843047503,0.9878787878787878,7,1.5524537779440342
ofi_dollar,fwd_mid_30s,8 OFI,7,7,7,1.5363902614966878,0.7622409308627128,4.151044937759328,0.9878787878787878,7,1.5363902614966878
ofi_2s,fwd_mid_60s,8 OFI,7,7,7,1.5355650305156474,0.8134315644456529,6.984800997412744,0.9878787878787878,7,1.5355650305156474
ofi_per_event,fwd_mid_60s,8 OFI,7,7,7,1.5202247355007408,0.830178396321938,6.680982011212262,0.9878787878787878,7,1.5202247355007408
ofi_0.5s,fwd_mid_60s,8 OFI,7,6,7,1.478771577525126,0.7074695332592051,4.023947443277256,0.9757575757575757,7,1.478771577525126
obi1,fwd_mid_60s,2 板の偏り OBI,7,7,7,1.4757573854735158,1.0133141105851007,4.318931078805666,0.9999999999999999,7,1.4757573854735158
log_depth_ratio,fwd_mid_60s,2 板の偏り OBI,7,7,7,1.4757573854735158,1.0133141105851007,4.318931078805666,0.9999999999999999,7,1.4757573854735158
depth_ratio,fwd_mid_60s,2 板の偏り OBI,7,7,7,1.4757573854735158,1.0133141105851007,4.318931078805666,0.9999999999999999,7,1.4757573854735158
ofi_5s,fwd_mid_60s,8 OFI,7,5,7,1.4523515640994837,0.7468485421097405,8.456906439647247,0.9878787878787878,7,1.4523515640994837
micro_minus_ask,fwd_micro_10s,4 マイクロプライス,7,7,0,-1.4362079556607699,-7.459431885202981,-0.4571217990757842,-0.7818181818181817,7,1.4362079556607699
ofi_z,fwd_mid_60s,8 OFI,7,7,7,1.4295314647065938,0.8047499876172627,3.125743429910663,0.6242424242424242,7,1.4295314647065938
ofi_ewma,fwd_micro_30s,8 OFI,7,5,7,1.4292991876108225,0.39267980299207,2.5561469676603004,0.9878787878787878,7,1.4292991876108225
micro_minus_bid,fwd_micro_10s,4 マイクロプライス,7,7,0,-1.4172853982091698,-7.655178013067803,-0.3725649460935836,-0.709090909090909,7,1.4172853982091698
ofi_dollar,fwd_mid_10s,8 OFI,7,7,7,1.4147816965778721,0.6612066082983156,2.314547875500167,0.9999999999999999,7,1.4147816965778721
ofi_0.5s,fwd_mid_30s,8 OFI,7,7,7,1.4035834064986168,0.6761958768307625,2.9861899408463333,0.9878787878787878,7,1.4035834064986168
ofi_per_event,fwd_mid_30s,8 OFI,7,7,7,1.3980897043517884,0.7596807264795785,4.955808895289109,0.9999999999999999,7,1.3980897043517884
obi_x_spread,fwd_micro_1s,4 マイクロプライス,7,7,0,-1.3979310531191127,-8.507012454309825,-1.0883332200338824,-0.9515151515151514,7,1.3979310531191127
delta1_bp,fwd_micro_1s,4 マイクロプライス,7,7,0,-1.3979310531191127,-8.507012454309825,-1.0883332200338824,-0.9515151515151514,7,1.3979310531191127
ofi_5s,fwd_mid_30s,8 OFI,7,6,7,1.3945318239365958,0.6361029230731673,6.281279639028287,0.9999999999999999,7,1.3945318239365958
ofi_10s,fwd_mid_30s,8 OFI,7,6,7,1.3928072124312298,0.5923208598383495,6.455781039210605,0.9999999999999999,7,1.3928072124312298
delta1,fwd_micro_1s,4 マイクロプライス,7,7,0,-1.3905540949246844,-8.507907278183817,-1.0746612691521187,-0.9515151515151514,7,1.3905540949246844
ofi_per_time,fwd_mid_10s,8 OFI,7,7,7,1.38734456612229,0.6631575274175173,2.3232613553086012,0.9999999999999999,7,1.38734456612229
ofi_1s,fwd_mid_10s,8 OFI,7,7,7,1.38734456612229,0.6631575274175173,2.3232613553086012,0.9999999999999999,7,1.38734456612229
ofi_2s,fwd_mid_30s,8 OFI,7,7,7,1.3864640809680555,0.684039966424734,5.280461031726975,0.9878787878787878,7,1.3864640809680555
log_depth_ratio,fwd_mid_30s,2 板の偏り OBI,7,7,7,1.3811311061650506,0.7964377701091944,3.2953778232054796,0.9999999999999999,7,1.3811311061650506
depth_ratio,fwd_mid_30s,2 板の偏り OBI,7,7,7,1.3811311061650506,0.7964377701091944,3.2953778232054796,0.9999999999999999,7,1.3811311061650506
obi1,fwd_mid_30s,2 板の偏り OBI,7,7,7,1.3811311061650506,0.7964377701091944,3.2953778232054796,0.9999999999999999,7,1.3811311061650506
ofi_10s,fwd_micro_60s,8 OFI,7,5,7,1.3619203316699993,0.39033765324276076,4.607693741226118,0.9515151515151514,7,1.3619203316699993
ofi_z,fwd_mid_30s,8 OFI,7,7,7,1.3417741377264727,0.6946669120286035,2.446714314469196,0.9030303030303028,7,1.3417741377264727
ofi_pct,fwd_mid_5s,8 OFI,7,6,7,1.3321918810443525,0.5197470608980482,1.786353705393109,0.9757575757575757,7,1.3321918810443525
depth_diff,fwd_mid_60s,2 板の偏り OBI,7,7,7,1.3245731589006262,0.8197867708428652,3.361984756702981,0.9878787878787878,7,1.3245731589006262
cum_b1,fwd_mid_60s,3 板の厚み,7,7,7,1.3181185624542895,0.8129934773580089,3.4261079957119116,0.9272727272727272,7,1.3181185624542895
qb1,fwd_mid_60s,3 板の厚み,7,7,7,1.3181185624542895,0.8129934773580089,3.4261079957119116,0.9272727272727272,7,1.3181185624542895
d_obi,fwd_micro_60s,2 板の偏り OBI,7,7,0,-1.2867354972367433,-7.9197564212665466,-0.5704109823993847,-0.5393939393939393,7,1.2867354972367433
obi_vel,fwd_micro_60s,2 板の偏り OBI,7,7,0,-1.2867354972367433,-7.9197564212665466,-0.5704109823993847,-0.5393939393939393,7,1.2867354972367433
ofi_0.5s,fwd_mid_10s,8 OFI,7,7,7,1.2751525630224831,0.5320219974609895,1.6854290321827776,0.9515151515151514,7,1.2751525630224831
ofi_0.25s,fwd_mid_30s,8 OFI,7,7,7,1.2717818923511013,0.5258283249220621,2.1188782034708242,0.880952380952381,7,1.2717818923511013
ofi_0.25s,fwd_mid_60s,8 OFI,7,7,7,1.2660490211721511,0.552556401581466,2.8668638131767885,0.8424242424242423,7,1.2660490211721511
d_obi,fwd_micro_30s,2 板の偏り OBI,7,7,0,-1.2559262514442833,-8.009261785007512,-0.5392552756065895,-0.6121212121212121,7,1.2559262514442833
obi_vel,fwd_micro_30s,2 板の偏り OBI,7,7,0,-1.2559262514442833,-8.009261785007512,-0.5392552756065895,-0.6121212121212121,7,1.2559262514442833
d_obi,fwd_micro_10s,2 板の偏り OBI,7,7,0,-1.232046866752478,-8.03425384106247,-0.5207852424899138,-0.5636363636363636,7,1.232046866752478
obi_vel,fwd_micro_10s,2 板の偏り OBI,7,7,0,-1.232046866752478,-8.03425384106247,-0.5207852424899138,-0.5636363636363636,7,1.232046866752478
ofi_per_event,fwd_mid_10s,8 OFI,7,7,7,1.229993317262409,0.6101604749666368,2.8064007934745665,0.9999999999999999,7,1.229993317262409
micro_minus_ask,fwd_micro_5s,4 マイクロプライス,7,7,0,-1.222474742301359,-6.759607715590152,-0.45384283806685344,-0.7818181818181817,7,1.222474742301359
micro_minus_bid,fwd_micro_5s,4 マイクロプライス,7,7,0,-1.204976141970203,-6.733092717577347,-0.40962284067869065,-0.709090909090909,7,1.204976141970203
log_depth_ratio,fwd_mid_10s,2 板の偏り OBI,7,7,7,1.2034453328741883,0.531061216824555,1.906111805665148,0.9999999999999999,7,1.2034453328741883
obi1,fwd_mid_10s,2 板の偏り OBI,7,7,7,1.2034453328741883,0.531061216824555,1.906111805665148,0.9999999999999999,7,1.2034453328741883
depth_ratio,fwd_mid_10s,2 板の偏り OBI,7,7,7,1.2034453328741883,0.531061216824555,1.906111805665148,0.9999999999999999,7,1.2034453328741883
depth_diff,fwd_mid_30s,2 板の偏り OBI,7,7,7,1.1931429720725188,0.6094168784406376,2.3560051770431327,0.9878787878787878,7,1.1931429720725188
micro_minus_bid,fwd_mid_60s,4 マイクロプライス,7,7,7,1.1874678041210531,0.7548072374538832,2.793894779615853,0.9636363636363635,7,1.1874678041210531
d_obi,fwd_micro_5s,2 板の偏り OBI,7,7,0,-1.1845008290011738,-7.48263780252891,-0.500234331212196,-0.5515151515151515,7,1.1845008290011738
obi_vel,fwd_micro_5s,2 板の偏り OBI,7,7,0,-1.1845008290011738,-7.48263780252891,-0.500234331212196,-0.5515151515151515,7,1.1845008290011738
cum_b1,fwd_mid_30s,3 板の厚み,7,7,7,1.1801532928644154,0.6434076485575785,2.5544398104075654,0.9757575757575757,7,1.1801532928644154
qb1,fwd_mid_30s,3 板の厚み,7,7,7,1.1801532928644154,0.6434076485575785,2.5544398104075654,0.9757575757575757,7,1.1801532928644154
ofi_per_time,fwd_mid_5s,8 OFI,7,7,7,1.1769898410175352,0.5420586826602122,1.4559057697180002,0.9999999999999999,7,1.1769898410175352
ofi_1s,fwd_mid_5s,8 OFI,7,7,7,1.1769898410175352,0.5420586826602122,1.4559057697180002,0.9999999999999999,7,1.1769898410175352
cum_a1,fwd_mid_60s,3 板の厚み,7,7,0,-1.173713088091722,-3.5314440983920123,-0.8026719119977757,-0.9878787878787878,7,1.173713088091722
qa1,fwd_mid_60s,3 板の厚み,7,7,0,-1.173713088091722,-3.5314440983920123,-0.8026719119977757,-0.9878787878787878,7,1.173713088091722
ofi_dollar,fwd_mid_5s,8 OFI,7,7,7,1.1726563790661721,0.522494454232625,1.4551162401920865,0.9999999999999999,7,1.1726563790661721
delta1_bp,fwd_micro_500ms,4 マイクロプライス,7,7,0,-1.1646805180127853,-6.328089766436287,-1.0019719167863463,-0.9636363636363635,7,1.1646805180127853
obi_x_spread,fwd_micro_500ms,4 マイクロプライス,7,7,0,-1.1646805180127853,-6.328089766436287,-1.0019719167863463,-0.9636363636363635,7,1.1646805180127853
ofi_2s,fwd_mid_10s,8 OFI,7,7,7,1.1612652955221758,0.5575812684922073,2.94256140537924,0.9999999999999999,7,1.1612652955221758
