feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
delta1,fwd_micro_30s,1692166,98,0.9573712173122131,-0.9514545082827094,-1.9821871172240135,0.0766171432197349,-25.871326362811264,-0.9878787878787878,0.10217673679769006,10,4 マイクロプライス,1.9821871172240135
delta1,fwd_micro_60s,1692166,98,0.980019065608889,-0.9322420887192211,-1.9750117184996316,0.09216766922350482,-21.42846548186291,-0.9636363636363635,0.10217673679769006,10,4 マイクロプライス,1.9750117184996316
delta1_bp,fwd_micro_30s,1692166,98,0.9648975809791113,-0.9454785597257329,-1.9638387939312454,0.07682990946920772,-25.56086304798163,-0.9878787878787878,0.10204790782937372,10,4 マイクロプライス,1.9638387939312454
obi_x_spread,fwd_micro_30s,1692166,98,0.9648975809791113,-0.9454785597257329,-1.9638387939312454,0.07682990946920772,-25.56086304798163,-0.9878787878787878,0.10204790782937372,10,4 マイクロプライス,1.9638387939312454
delta1_bp,fwd_micro_60s,1692166,98,0.9871085400163915,-0.9188597986699336,-1.9508034592745505,0.09459545424329563,-20.622592014381198,-0.9636363636363635,0.10204790782937372,10,4 マイクロプライス,1.9508034592745505
obi_x_spread,fwd_micro_60s,1692166,98,0.9871085400163915,-0.9188597986699336,-1.9508034592745505,0.09459545424329563,-20.622592014381198,-0.9636363636363635,0.10204790782937372,10,4 マイクロプライス,1.9508034592745505
delta1_bp,fwd_micro_10s,1692166,98,0.830545672408688,-0.8620425351664952,-1.7350385196032743,0.06709701488293512,-25.858654407061394,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.7350385196032743
obi_x_spread,fwd_micro_10s,1692166,98,0.830545672408688,-0.8620425351664952,-1.7350385196032743,0.06709701488293512,-25.858654407061394,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.7350385196032743
delta1,fwd_micro_10s,1692166,98,0.8183528931587908,-0.8582020434597628,-1.7326700450391674,0.06785674869628407,-25.534233194612977,-0.9999999999999999,0.10217673679769006,10,4 マイクロプライス,1.7326700450391674
delta1,fwd_micro_5s,1692166,98,0.7410812380410786,-0.7759696918652718,-1.5696182161976395,0.06708445101900286,-23.39764568920773,-0.9999999999999999,0.10217673679769006,10,4 マイクロプライス,1.5696182161976395
delta1_bp,fwd_micro_5s,1692166,98,0.7486012069625662,-0.7772625386879929,-1.5686316951703656,0.0658456171063006,-23.822871803873902,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.5686316951703656
obi_x_spread,fwd_micro_5s,1692166,98,0.7486012069625662,-0.7772625386879929,-1.5686316951703656,0.0658456171063006,-23.822871803873902,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.5686316951703656
delta1_bp,fwd_micro_3s,1692166,98,0.6951256852395109,-0.7140614588029559,-1.4394263512503453,0.062359693652644356,-23.082639874214756,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.4394263512503453
obi_x_spread,fwd_micro_3s,1692166,98,0.6951256852395109,-0.7140614588029559,-1.4394263512503453,0.062359693652644356,-23.082639874214756,-0.9999999999999999,0.10204790782937372,10,4 マイクロプライス,1.4394263512503453
delta1,fwd_micro_3s,1692166,98,0.6898254965151888,-0.7092317932891812,-1.4377002009772684,0.06308684719616499,-22.78922255389972,-0.9999999999999999,0.10217673679769006,10,4 マイクロプライス,1.4377002009772684
depth_diff,fwd_mid_60s,1692166,98,-0.5034807224155907,0.5116502029904301,1.3245731589006262,0.13055792093495194,10.145482935199084,0.9878787878787878,0.11082068780486075,10,2 板の偏り OBI,1.3245731589006262
