feature,target,n,n_days,d1,d10,spread_bp,se_bp,t,monotone_rho,max_dec_share,n_dec_pop,family,ab
delta1_bp,fwd_micro_60s,1691821,98,2.8234596527065867,-2.6218800190256193,-6.258768787977381,0.7912289250390242,-7.910187039318226,-0.8060606060606059,0.10899616448785067,10,4 マイクロプライス,6.258768787977381
obi_x_spread,fwd_micro_60s,1691821,98,2.8234596527065867,-2.6218800190256193,-6.258768787977381,0.7912289250390242,-7.910187039318226,-0.8060606060606059,0.10899616448785067,10,4 マイクロプライス,6.258768787977381
delta1,fwd_micro_60s,1691821,98,2.8718923428755887,-2.6730737434644167,-6.114337231905817,0.7693055274895372,-7.94786598226928,-0.7939393939393938,0.10899971096232994,10,4 マイクロプライス,6.114337231905817
delta1_bp,fwd_micro_30s,1691821,98,2.602678523733461,-2.4421542258033857,-5.856897018908713,0.7261026703448997,-8.066210548608337,-0.8909090909090909,0.10899616448785067,10,4 マイクロプライス,5.856897018908713
obi_x_spread,fwd_micro_30s,1691821,98,2.602678523733461,-2.4421542258033857,-5.856897018908713,0.7261026703448997,-8.066210548608337,-0.8909090909090909,0.10899616448785067,10,4 マイクロプライス,5.856897018908713
delta1,fwd_micro_30s,1691821,98,2.6574771126053474,-2.5093956060481344,-5.761384806376681,0.7151008916406006,-8.056743983578011,-0.8787878787878788,0.10899971096232994,10,4 マイクロプライス,5.761384806376681
delta1_bp,fwd_micro_10s,1691821,98,2.238350583628095,-2.1845641484371487,-5.097278748131143,0.5839330007036482,-8.729218492513429,-0.8909090909090909,0.10899616448785067,10,4 マイクロプライス,5.097278748131143
obi_x_spread,fwd_micro_10s,1691821,98,2.238350583628095,-2.1845641484371487,-5.097278748131143,0.5839330007036482,-8.729218492513429,-0.8909090909090909,0.10899616448785067,10,4 マイクロプライス,5.097278748131143
delta1,fwd_micro_10s,1691821,98,2.2782756276098914,-2.2338558890534865,-5.025626665780707,0.5751878652237836,-8.73736559763031,-0.8787878787878788,0.10899971096232994,10,4 マイクロプライス,5.025626665780707
delta1_bp,fwd_micro_5s,1691821,98,1.9444535338569262,-1.9322339896626617,-4.4560774236778755,0.4732660934078499,-9.415585620324018,-0.9030303030303028,0.10899616448785067,10,4 マイクロプライス,4.4560774236778755
