a,b,px,horizon,n,rank_corr,same_sign
MU,INTC,mid,ALL,567,0.9277888901265202,0.8835978835978836
MU,INTC,mid,100ms,63,0.8660234254992321,0.8095238095238095
MU,INTC,mid,300ms,63,0.7928187403993856,0.8095238095238095
MU,INTC,mid,500ms,63,0.844902073732719,0.9047619047619048
MU,INTC,mid,1s,63,0.8464861751152075,0.873015873015873
MU,INTC,mid,3s,63,0.8372695852534563,0.8412698412698413
MU,INTC,mid,5s,63,0.8410618279569892,0.8888888888888888
MU,INTC,mid,10s,63,0.8576708909370201,0.8888888888888888
MU,INTC,mid,30s,63,0.8744239631336407,0.9523809523809523
MU,INTC,mid,60s,63,0.8276689708141322,0.9841269841269841
MU,INTC,micro,ALL,567,0.6946456253553254,0.6349206349206349
MU,INTC,micro,100ms,63,0.5180491551459293,0.5873015873015873
MU,INTC,micro,300ms,63,0.4294834869431644,0.5396825396825397
MU,INTC,micro,500ms,63,0.5482430875576038,0.5555555555555556
MU,INTC,micro,1s,63,0.5492031490015361,0.6031746031746031
MU,INTC,micro,3s,63,0.6485215053763441,0.6666666666666666
MU,INTC,micro,5s,63,0.6959485407066053,0.6666666666666666
MU,INTC,micro,10s,63,0.7413114439324118,0.6507936507936508
MU,INTC,micro,30s,63,0.6586021505376344,0.6984126984126984
MU,INTC,micro,60s,63,0.7318548387096775,0.746031746031746
MU,AMD,mid,ALL,567,0.9587048531208188,0.9223985890652557
MU,AMD,mid,100ms,63,0.7089093701996928,0.8571428571428571
MU,AMD,mid,300ms,63,0.6800595238095238,0.873015873015873
MU,AMD,mid,500ms,63,0.8699116743471583,0.9047619047619048
MU,AMD,mid,1s,63,0.8883448540706606,0.9523809523809523
MU,AMD,mid,3s,63,0.9165706605222734,0.9365079365079365
MU,AMD,mid,5s,63,0.9301075268817205,0.9206349206349206
MU,AMD,mid,10s,63,0.9642857142857143,0.9206349206349206
MU,AMD,mid,30s,63,0.9655337941628266,0.9523809523809523
MU,AMD,mid,60s,63,0.9465725806451615,0.9841269841269841
MU,AMD,micro,ALL,567,0.7254155741937557,0.6666666666666666
MU,AMD,micro,100ms,63,0.40125768049155147,0.5714285714285714
MU,AMD,micro,300ms,63,0.38503264208909377,0.5238095238095238
MU,AMD,micro,500ms,63,0.41609062980030725,0.5238095238095238
MU,AMD,micro,1s,63,0.6868759600614439,0.6666666666666666
MU,AMD,micro,3s,63,0.7817780337941629,0.8095238095238095
MU,AMD,micro,5s,63,0.8287730414746544,0.746031746031746
