coin,horizon,px,n_feat,n_bonf,n_bonf_null,n_over_cost,max_abs_spread,p90_abs_spread,thr
xyz:MU,100ms,mid,172,48,0,0,0.13235604241735607,0.09232443755962717,5.725659910299755
xyz:MU,100ms,micro,172,37,0,0,0.6110737773307273,0.21284133272016562,5.725659910299755
xyz:MU,300ms,mid,172,56,0,0,0.28887982309602644,0.22608243724096727,5.725659910299755
xyz:MU,300ms,micro,172,52,0,0,1.353391069509206,0.47188895662003044,5.725659910299755
xyz:MU,500ms,mid,172,70,0,0,0.4012951520224771,0.32188487374108427,5.725659910299755
xyz:MU,500ms,micro,172,54,0,0,1.685949881814237,0.5927584110354438,5.725659910299755
xyz:MU,1s,mid,172,57,0,0,0.6454321480893801,0.5052788341742204,5.725659910299755
xyz:MU,1s,micro,172,50,0,0,2.005789887316417,0.7170745196836905,5.725659910299755
xyz:MU,3s,mid,172,62,0,0,2.275764177523301,0.7888829552885259,5.725659910299755
xyz:MU,3s,micro,172,40,0,0,2.3281430148724973,0.858802132628538,5.725659910299755
xyz:MU,5s,mid,172,63,0,0,3.125079046174898,0.9404197566668738,5.725659910299755
xyz:MU,5s,micro,172,44,0,0,2.841785093443198,0.9213487157976168,5.725659910299755
xyz:MU,10s,mid,172,53,0,0,3.0493179161177157,1.2690733730430828,5.725659910299755
xyz:MU,10s,micro,172,41,0,0,3.124809486062356,1.1683607994073069,5.725659910299755
xyz:MU,30s,mid,172,46,0,0,5.795570051275113,1.8410766093937678,5.725659910299755
xyz:MU,30s,micro,172,32,0,0,5.921999340306738,1.8093481564043261,5.725659910299755
xyz:MU,60s,mid,172,36,0,0,11.56640134724367,2.542218654117773,5.725659910299755
xyz:MU,60s,micro,172,24,0,0,10.79864865811055,2.5629362755441147,5.725659910299755
xyz:INTC,100ms,mid,197,83,0,0,0.6934687426143299,0.1053721989308472,4.574859981247441
xyz:INTC,100ms,micro,197,65,0,0,1.3510126515264378,0.15220648399603937,4.574859981247441
xyz:INTC,300ms,mid,197,89,0,0,2.069247785168981,0.25643269121885665,4.574859981247441
xyz:INTC,300ms,micro,197,69,1,0,1.8819090976942434,0.2818030709464726,4.574859981247441
xyz:INTC,500ms,mid,197,90,0,0,11.36992686492683,0.3863816602792525,4.574859981247441
xyz:INTC,500ms,micro,197,72,0,0,11.691734050889275,0.49455008234992803,4.574859981247441
xyz:INTC,1s,mid,197,88,0,0,11.9907515873846,0.5337302945824841,4.574859981247441
xyz:INTC,1s,micro,197,72,1,0,12.260873360373415,0.5899773290624626,4.574859981247441
xyz:INTC,3s,mid,197,87,0,0,12.241919391395799,0.667818052113904,4.574859981247441
xyz:INTC,3s,micro,197,67,0,0,12.374824515773982,0.7228728069796234,4.574859981247441
xyz:INTC,5s,mid,197,90,0,0,12.88727863972374,0.7777673029800577,4.574859981247441
xyz:INTC,5s,micro,197,63,0,0,12.664900230544532,0.8072658327960766,4.574859981247441
xyz:INTC,10s,mid,197,81,0,0,13.09580246955396,0.8948946956168263,4.574859981247441
xyz:INTC,10s,micro,197,60,0,0,12.834797322694431,0.9183832028216672,4.574859981247441
xyz:INTC,30s,mid,197,69,0,0,14.059353325220714,1.1258239315790337,4.574859981247441
xyz:INTC,30s,micro,197,40,0,0,13.854268085857319,1.0588997301448064,4.574859981247441
xyz:INTC,60s,mid,197,61,0,0,15.587798954167322,1.3833657017558503,4.574859981247441
xyz:INTC,60s,micro,197,28,0,0,15.346400100359281,1.2529041723543282,4.574859981247441
