k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
0,1,0.1,4059856.0,34901.0,276838.09946477687,-57286.34918421701,216480.46228055976,1592.665
0,1,0.5,4059856.0,93465.0,743161.3877927633,-206829.58635694964,528106.8814358137,18443.08
0,1,1.0,4059856.0,151196.0,1198492.9061401503,-403824.23848494585,781363.4196552044,60781.903999999995
0,1,3.0,4059856.0,306630.0,2405527.7856111736,-1115068.182698973,1263476.1629122004,347673.5349999999
0,1,5.0,4059856.0,413538.0,3197359.607416203,-1748165.2312382918,1412803.0321779095,762721.728
0,1,10.0,4059856.0,609700.0,4601240.852942319,-3114526.2759397086,1433060.977002611,2189847.631
0,1,30.0,4059856.0,1080895.0,7942135.147103332,-7087272.320469128,759744.0666342062,11056198.568999998
0,1,60.0,4059856.0,1419227.0,10457520.92834779,-11021230.44047781,-688601.4881300217,25902246.859999996
0,-1,0.1,4059856.0,64697.0,672266.652204639,66825.26999565035,599748.0462089886,2732.286
0,-1,0.5,4059856.0,123926.0,1141714.5796409408,212209.71199641883,918599.3796445221,19709.367000000002
0,-1,1.0,4059856.0,180931.0,1591971.6858879658,383292.09436919744,1192757.663518769,61667.65
0,-1,3.0,4059856.0,379588.0,3390525.783021702,1044097.1187486209,2313024.9202730814,411133.5760000001
0,-1,5.0,4059856.0,522748.0,4676338.947888188,1634831.2915526617,2995505.832335527,951863.113
0,-1,10.0,4059856.0,792977.0,7087080.741849261,2854694.37061083,4162604.3952384284,2889840.202
0,-1,30.0,4059856.0,1439765.0,12844608.29295454,6153111.851041876,6564797.121912668,14945260.064000001
0,-1,60.0,4059856.0,1776935.0,15486153.731203398,9078536.293455418,6251247.157747985,29789888.47900001
1,1,0.1,4059856.0,13297.0,116372.16044900089,-45338.259200424895,69863.76524857598,611.2309999999999
1,1,0.5,4059856.0,38839.0,328408.3544992987,-146995.03090078058,177995.4915985181,8153.736999999998
1,1,1.0,4059856.0,68566.0,562475.8738162088,-298808.43024091684,257633.63557529208,30201.159000000007
1,1,3.0,4059856.0,168103.0,1334807.9970115018,-908244.6751585439,411770.25785295793,219342.88500000004
1,1,5.0,4059856.0,247173.0,1921714.2289373183,-1500115.9371714082,399847.0677659094,528584.038
1,1,10.0,4059856.0,404687.0,3048367.342616129,-2834062.792553103,178692.09406302648,1681569.4429999997
1,1,30.0,4059856.0,821255.0,5954186.298626841,-6935434.085137729,-1053518.2265108882,9613810.993
1,1,60.0,4059856.0,1167170.0,8344510.640627851,-11137828.521780174,-2896028.8411523267,24778033.29099999
1,-1,0.1,4059856.0,18979.0,173193.31550770503,55280.753337984694,116242.41016972034,830.6220000000002
1,-1,0.5,4059856.0,44503.0,382140.16038345615,153608.25379665106,224615.64258680513,8351.001000000002
1,-1,1.0,4059856.0,73641.0,610374.1175209903,282705.1170943382,321188.5924266519,30015.136000000006
1,-1,3.0,4059856.0,182878.0,1489520.44697598,851079.8255862063,622347.3573897737,232358.15599999996
1,-1,5.0,4059856.0,270589.0,2180250.2005215753,1397749.597357877,758688.7711636982,570437.9670000001
1,-1,10.0,4059856.0,449300.0,3567385.7274350245,2626252.8404153856,901594.4870196383,1869416.1090000006
1,-1,30.0,4059856.0,933254.0,7365822.259019026,6283879.712327186,999816.1946918413,11059885.046999997
1,-1,60.0,4059856.0,1319503.0,10340569.067837425,9767396.022375,457056.78146241873,27949521.165999997
2,1,0.1,4059856.0,10260.0,89589.14444555003,-43429.65438490636,45256.610060643645,475.36699999999996
2,1,0.5,4059856.0,31425.0,264416.7613880657,-136960.87320199708,124690.48818606861,6752.642000000001
2,1,1.0,4059856.0,56684.0,462294.6161518236,-279735.3768653883,177571.0472864352,25482.760000000002
2,1,3.0,4059856.0,142786.0,1122099.7375906797,-855905.5999348697,253628.96965581016,189803.64600000004
2,1,5.0,4059856.0,213275.0,1639557.6415617834,-1428050.1446751447,192739.29688663912,465901.905
2,1,10.0,4059856.0,356907.0,2658396.990094765,-2735932.158382954,-108942.98428818933,1519114.1950000003
2,1,30.0,4059856.0,749284.0,5378513.334512061,-6834435.722696107,-1521859.3801840432,9019599.568
2,1,60.0,4059856.0,1086979.0,7696212.5650655525,-11049684.001529006,-3449125.588463452,23834571.287000004
2,-1,0.1,4059856.0,14686.0,133904.7379886333,53385.014884262426,79227.35510437086,650.0289999999999
2,-1,0.5,4059856.0,35691.0,305778.29885055707,144727.28028935744,157910.21056119955,6869.279999999999
2,-1,1.0,4059856.0,60352.0,498042.4072451005,266584.9074105096,226146.52383459086,25198.979999999996
2,-1,3.0,4059856.0,153670.0,1236900.1551801318,810133.2261249964,413243.9690551353,199110.438
2,-1,5.0,4059856.0,230494.0,1830754.2318656829,1339330.1811034337,471140.5787622492,496067.63200000004
2,-1,10.0,4059856.0,390418.0,3047075.4916640534,2545556.983684142,467161.7239799114,1661529.6199999996
2,-1,30.0,4059856.0,836609.0,6484974.367763416,6217342.976813068,194009.7989503458,10164057.905
2,-1,60.0,4059856.0,1211558.0,9306915.355260696,9778550.018120123,-578251.7668594219,26574340.777999997
3,1,0.1,4059856.0,9244.0,83466.77188173567,-42697.855752833435,39955.44412890223,428.60699999999997
3,1,0.5,4059856.0,28652.0,248706.04818572954,-133305.85215998007,112878.82002574945,6199.762999999998
3,1,1.0,4059856.0,52065.0,436492.4111923219,-272307.4051590487,159603.28603327335,23564.507
3,1,3.0,4059856.0,132766.0,1065925.87288457,-834730.0189895863,219512.44589498363,177949.99100000004
3,1,5.0,4059856.0,199491.0,1564005.1925057385,-1397562.7011906274,148887.28331511095,439565.16000000003
3,1,10.0,4059856.0,336797.0,2553938.3679771074,-2693391.578481079,-169091.34650397077,1447157.9270000001
3,1,30.0,4059856.0,715892.0,5219208.0695853885,-6773610.6304090535,-1617401.0568236643,8703900.472
3,1,60.0,4059856.0,1048346.0,7526498.738810381,-10999292.992025888,-3565048.7012155093,23296128.517000005
3,-1,0.1,4059856.0,12978.0,123601.09270744128,52517.16367832779,69941.86502911348,575.553
3,-1,0.5,4059856.0,31961.0,283924.5852610346,140174.19003701955,140937.82722401494,6210.794
3,-1,1.0,4059856.0,54707.0,465509.92008098296,259159.10916115227,201536.5949198308,23119.03300000001
3,-1,3.0,4059856.0,141526.0,1165994.3779657206,790098.2653136057,363441.8246521145,185512.36399999997
3,-1,5.0,4059856.0,213958.0,1734282.8003337036,1309569.7844889679,405884.71184473584,465820.255
3,-1,10.0,4059856.0,365894.0,2903131.2762006354,2502240.250441366,368692.35375926935,1574196.3500000003
3,-1,30.0,4059856.0,795701.0,6236188.002672441,6174247.879536435,-8081.564863993306,9777955.397
3,-1,60.0,4059856.0,1164752.0,9020453.789610935,9788797.608379997,-870841.9947690596,25930578.277999997
4,1,0.1,4059856.0,8465.0,79266.5876411601,-42144.39056990313,36377.277071256955,393.5620000000001
4,1,0.5,4059856.0,26542.0,238642.5833573613,-130306.5571745007,106000.33018286063,5776.0380000000005
4,1,1.0,4059856.0,48521.0,420635.14848869643,-266365.8969617211,149999.40352697528,22078.531
4,1,3.0,4059856.0,125361.0,1036334.0542309149,-819078.0737142542,206224.21251666074,169318.463
4,1,5.0,4059856.0,189391.0,1525973.0403340945,-1374771.7729171596,134534.85941693519,420533.985
4,1,10.0,4059856.0,321951.0,2503582.3692153296,-2657322.801200148,-182072.11998481804,1394020.7769999998
4,1,30.0,4059856.0,690396.0,5140490.184719721,-6711253.710113458,-1631518.3733937386,8453208.48
4,1,60.0,4059856.0,1018387.0,7448065.251546285,-10939845.09497993,-3581397.899433648,22854413.310000002
4,-1,0.1,4059856.0,11833.0,117408.76982885497,51683.10158845228,64684.36424040264,523.526
4,-1,0.5,4059856.0,29449.0,272270.9307894121,136598.501680512,133080.91710890012,5764.102999999999
4,-1,1.0,4059856.0,50784.0,448390.6712136904,252853.94954458115,191067.72966910925,21631.498
4,-1,3.0,4059856.0,132923.0,1128213.1014064006,773540.8155954926,342975.06181090756,175657.685
4,-1,5.0,4059856.0,202207.0,1683725.981000653,1285688.8311983438,380242.93380230904,444045.876
4,-1,10.0,4059856.0,348306.0,2828200.5784280426,2468596.5859636515,328953.0644643905,1510309.1369999992
4,-1,30.0,4059856.0,766231.0,6114116.629727532,6138391.119128571,-91702.81740104157,9495733.554
4,-1,60.0,4059856.0,1129545.0,8893932.175334552,9760368.404847415,-965836.1895128661,25397051.431000005
5,1,0.1,4059856.0,7844.0,76701.47257605796,-41550.30122666144,34460.89934939653,364.354
5,1,0.5,4059856.0,24738.0,231602.2397270031,-127563.05011778385,101862.24560921923,5403.157000000001
5,1,1.0,4059856.0,45493.0,409405.24794726097,-261131.38810955483,144270.47583770615,20806.623000000003
5,1,3.0,4059856.0,118918.0,1015867.8601099409,-806048.2572694198,199354.8188405213,161713.28900000002
5,1,5.0,4059856.0,180744.0,1501438.0030309192,-1354774.6812015031,130757.84982941633,404401.827
5,1,10.0,4059856.0,309266.0,2474139.620857787,-2625897.8138682116,-178973.6010104237,1348517.6750000003
5,1,30.0,4059856.0,669387.0,5106312.801512051,-6662377.281425168,-1614970.5359131142,8251004.253999997
5,1,60.0,4059856.0,992926.0,7418930.607660159,-10887882.947994862,-3556329.8283347012,22459544.27
5,-1,0.1,4059856.0,10916.0,112955.1686964634,50999.09352912805,60995.46716733535,482.845
5,-1,0.5,4059856.0,27341.0,263069.1547849943,133556.8173184008,127106.3294665935,5384.914999999999
5,-1,1.0,4059856.0,47421.0,434943.33692632103,247636.87192920689,183133.41699711425,20324.125000000004
5,-1,3.0,4059856.0,125509.0,1099561.565476086,761527.95860035,326988.81487573567,167089.59900000005
5,-1,5.0,4059856.0,192200.0,1646717.6856721179,1267903.862272139,361900.2233999786,425651.34200000006
5,-1,10.0,4059856.0,333638.0,2778819.710535213,2446857.3181219106,302602.2484133027,1458555.714
5,-1,30.0,4059856.0,740866.0,6036629.561825944,6106742.8337042555,-135309.47987831128,9245631.288000004
5,-1,60.0,4059856.0,1099681.0,8825817.518003937,9750048.144551085,-1021002.554547148,24949229.85299999
6,1,0.1,4059856.0,7406.0,75066.35686721785,-41050.82537699638,33363.80349022148,343.7949999999999
6,1,0.5,4059856.0,23416.0,227362.8834529133,-125214.97613356955,100087.2993193437,5127.929
6,1,1.0,4059856.0,43152.0,402662.4554494557,-256831.22646501355,142033.8529844422,19785.484
6,1,3.0,4059856.0,113782.0,1003923.9733873256,-794413.1242666461,199498.03312067958,155479.981
6,1,5.0,4059856.0,173545.0,1486398.9190158413,-1336893.925872534,134233.0331433076,390137.2540000001
6,1,10.0,4059856.0,298287.0,2455155.335321244,-2596995.7893259344,-168089.71000469095,1306961.3889999997
6,1,30.0,4059856.0,650482.0,5085620.280292518,-6615597.020636434,-1587219.156343915,8062436.200999999
6,1,60.0,4059856.0,969744.0,7405017.34754134,-10845724.050762951,-3526044.1752216117,22087970.021
6,-1,0.1,4059856.0,10239.0,109887.35257974816,50285.820502061695,58700.500077686454,453.62299999999993
6,-1,0.5,4059856.0,25650.0,256128.52799972202,131062.6163873342,122808.71161238776,5062.412
6,-1,1.0,4059856.0,44638.0,424078.04263631196,243216.3200598089,176933.57857650306,19190.399
6,-1,3.0,4059856.0,119469.0,1080272.4555300383,749629.3499360632,320129.83359397494,160057.213
6,-1,5.0,4059856.0,183879.0,1622308.9968242676,1249996.3173473154,356131.3274769527,409862.20999999996
6,-1,10.0,4059856.0,321130.0,2747851.438642049,2423810.967611179,295781.03103086934,1412628.507
6,-1,30.0,4059856.0,719241.0,5989415.092806495,6075333.229438941,-149211.34463244586,9032690.878
6,-1,60.0,4059856.0,1073820.0,8786113.963044245,9729542.794224354,-1037924.9911801115,24555479.143
7,1,0.1,4059856.0,6987.0,73578.1152842478,-40545.74994773134,32417.50933651646,323.93600000000004
7,1,0.5,4059856.0,21972.0,222105.63817861685,-122898.46040687247,97273.64177174438,4795.246999999999
7,1,1.0,4059856.0,40545.0,393289.2517008303,-252233.88609124965,137487.4056095806,18588.14
7,1,3.0,4059856.0,108216.0,987284.9175463284,-781556.4727195716,196205.4368267569,148800.68900000004
7,1,5.0,4059856.0,166111.0,1467867.7350801467,-1317638.6119730165,135611.3551071301,376174.328
7,1,10.0,4059856.0,287469.0,2434224.034970697,-2568615.747353866,-159688.98438316977,1268377.554
7,1,30.0,4059856.0,632489.0,5064424.160428131,-6576487.733827857,-1567722.605399725,7892587.687
7,1,60.0,4059856.0,947873.0,7395586.056881508,-10799488.425188476,-3487315.192306968,21749239.907999992
7,-1,0.1,4059856.0,9640.0,107278.78558966958,49548.81530501651,56881.6502846531,426.801
7,-1,0.5,4059856.0,24027.0,249578.61594008037,128639.58488514712,118824.65505493323,4728.912000000001
7,-1,1.0,4059856.0,41861.0,413469.4053581027,238750.61795077063,171035.01940733212,18011.803
7,-1,3.0,4059856.0,113546.0,1061313.866907389,737034.2394234337,314287.5794839555,153198.739
7,-1,5.0,4059856.0,175802.0,1599201.393843491,1231505.8157925492,352225.0020509423,394810.162
7,-1,10.0,4059856.0,309075.0,2718515.0490230275,2397336.943950125,293979.50507290254,1368930.8029999996
7,-1,30.0,4059856.0,698814.0,5949797.133209837,6043168.325500278,-154866.82429044525,8836387.708999997
7,-1,60.0,4059856.0,1049276.0,8755561.498308621,9702002.001350647,-1038776.7910420225,24180493.055000007
8,1,0.1,4059856.0,6657.0,72377.26399660046,-40064.242146584795,31727.205850015667,307.675
8,1,0.5,4059856.0,20934.0,218759.05169767776,-120920.44105827642,95996.41863940134,4570.4400000000005
8,1,1.0,4059856.0,38649.0,387695.9236832673,-248127.36188353493,136167.44979973236,17721.388999999996
8,1,3.0,4059856.0,104112.0,978583.9027306018,-769465.5288491587,199956.517881443,143820.171
8,1,5.0,4059856.0,160424.0,1459013.2380488492,-1301724.940138698,143170.9859101512,365087.8879999999
8,1,10.0,4059856.0,278853.0,2427365.880364074,-2544012.7518050177,-141185.93544094454,1236192.0849999997
8,1,30.0,4059856.0,617089.0,5062118.165478086,-6540109.092498285,-1532294.7590201986,7736214.553000002
8,1,60.0,4059856.0,929092.0,7410817.305387584,-10750392.098784896,-3421334.889397314,21446971.987
8,-1,0.1,4059856.0,9190.0,105688.09688343336,48843.16970883545,56036.20717459789,406.504
8,-1,0.5,4059856.0,22846.0,245257.18377457725,126149.3753536487,117097.36042092851,4492.706
8,-1,1.0,4059856.0,39882.0,406988.46365447534,235057.935777049,168420.9118774263,17179.194999999996
8,-1,3.0,4059856.0,109117.0,1051280.3224237338,726379.5770131367,315298.4494105975,147891.09800000003
8,-1,5.0,4059856.0,169656.0,1588332.5918696497,1216530.4152090193,356872.44866063015,382915.266
8,-1,10.0,4059856.0,299756.0,2706113.510546294,2375428.927558657,304306.05498763674,1334357.6960000002
8,-1,30.0,4059856.0,681828.0,5936958.172893629,6015790.769470442,-138833.46057681367,8656578.262
8,-1,60.0,4059856.0,1028176.0,8752702.53125945,9684426.237146674,-1022203.19388722,23827328.161
9,1,0.1,4059856.0,6330.0,71162.2100935751,-39631.252684744126,30973.917408830992,292.50100000000003
9,1,0.5,4059856.0,19917.0,215137.7682637172,-119339.83366584204,94045.23859787517,4353.129
9,1,1.0,4059856.0,36858.0,382002.366788586,-244677.27900659162,134081.58378199438,16933.081999999995
