k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
0,1,0.1,8467190.0,346097.0,246593.04936219243,-107965.70824263307,108170.80511955917,15760.978000000005
0,1,0.5,8467190.0,883955.0,474476.5339263989,-511351.6000662461,-114663.10613984716,168188.27899999998
0,1,1.0,8467190.0,1359632.0,542392.7022836806,-956193.4949268142,-533448.4086431332,515656.9249999999
0,1,3.0,8467190.0,2534809.0,402235.61177827476,-2105163.999641731,-1925991.5798634565,2668329.716
0,1,5.0,8467190.0,3226955.0,167752.50270007065,-2845852.428255148,-2962071.9655550765,5344613.137
0,1,10.0,8467190.0,4258420.0,-271496.1219544666,-4057604.9999357867,-4703842.081890252,12732777.785
0,1,30.0,8467190.0,5842864.0,-897068.2515656283,-6094229.974039365,-7505470.257604992,41006974.335000016
0,1,60.0,8467190.0,6554033.0,-1140167.3483405167,-7387337.065995337,-9104259.31833586,71577075.96599998
0,-1,0.1,8467190.0,640205.0,473930.63054110814,110292.15596482364,307300.4345762846,26909.421000000017
0,-1,0.5,8467190.0,1168963.0,696566.0966266342,485113.91502611653,108583.43760051762,176179.837
0,-1,1.0,8467190.0,1635555.0,765903.6127373117,905348.9690550602,-283374.1963177485,517889.535
0,-1,3.0,8467190.0,3005121.0,754288.92631081,1978320.7554306753,-1488482.4771198654,2917319.181999999
0,-1,5.0,8467190.0,3795482.0,599518.3204437961,2659977.747167374,-2394461.8427235764,5905080.017999998
0,-1,10.0,8467190.0,4925354.0,311393.87667804246,3703089.023618217,-3825126.2989401747,13871598.656000001
0,-1,30.0,8467190.0,6473846.0,-8136.320078092814,5407786.042666865,-5985620.810744961,40887711.40299999
0,-1,60.0,8467190.0,7030351.0,-106783.97752023632,6471676.653672625,-7197131.519192864,64802079.65200001
1,1,0.1,8467190.0,85789.0,87046.0702326957,-66879.61102034291,12617.02721235276,4040.0790000000006
1,1,0.5,8467190.0,308423.0,176291.61589756372,-323271.4420797628,-174121.0501821991,71613.53799999997
