k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
0,1,0.1,8465276.0,140167.0,371391.87164028885,-105665.81150920816,253391.3641310806,6604.866999999998
0,1,0.5,8465276.0,428792.0,848458.4846801809,-456204.6677407155,354520.1209394657,89540.12400000001
0,1,1.0,8465276.0,701890.0,1236625.3412996456,-932201.0384259282,242657.9828737175,288340.16000000003
0,1,3.0,8465276.0,1349781.0,2284891.699664116,-2314464.904375869,-148353.9327117544,1486317.132
0,1,5.0,8465276.0,1759137.0,2973085.646199091,-3350065.2611185485,-531783.6709194555,3079711.415000001
0,1,10.0,8465276.0,2439277.0,4261189.003784736,-5267810.085358373,-1221277.4575736383,8001524.994999998
0,1,30.0,8465276.0,3765065.0,7635878.661351542,-9562940.777498068,-2258387.8361465214,32408240.670999996
0,1,60.0,8465276.0,4521204.0,9500261.540201267,-12755773.162124416,-3653377.573923154,65250335.87799999
0,-1,0.1,8465276.0,180412.0,487759.01972360956,108083.30613748734,363799.45758612215,8204.138000000003
0,-1,0.5,8465276.0,474052.0,984992.6878216686,453751.419850324,489524.69197134435,92346.69100000002
0,-1,1.0,8465276.0,751202.0,1390414.5329408257,923339.4377053241,400969.31923550204,294245.4639999999
0,-1,3.0,8465276.0,1445503.0,2597412.1651001237,2263247.2090165783,206960.69208354515,1567389.3730000001
0,-1,5.0,8465276.0,1886842.0,3401011.0775509547,3231068.305481788,3900.6760691669333,3275143.567
0,-1,10.0,8465276.0,2617777.0,4902254.508366639,5014228.7326671695,-342338.60030052916,8545854.385
0,-1,30.0,8465276.0,4017380.0,8593819.253144354,8880315.923512256,-640026.1103679036,34196155.737
0,-1,60.0,8465276.0,4764397.0,10431294.512474298,11656977.470106658,-1644949.8936323612,66607753.407999985
1,1,0.1,8465276.0,45888.0,166078.33887642753,-67581.88621218721,94458.30866424041,2155.3479999999995
1,1,0.5,8465276.0,166016.0,393776.39689329703,-273003.40022798406,106163.5886653129,38544.795999999995
1,1,1.0,8465276.0,320145.0,592159.1891493874,-612309.6093711521,-48323.18022176487,152601.38600000006
1,1,3.0,8465276.0,802948.0,1162814.0919680037,-1786112.425497359,-693957.7575293552,1073271.4049999996
1,1,5.0,8465276.0,1153733.0,1553217.1557353993,-2759163.5303041018,-1307474.8785687021,2449177.579
1,1,10.0,8465276.0,1772850.0,2296491.385321619,-4681525.684413849,-2541045.099092233,6957388.687
1,1,30.0,8465276.0,3050352.0,4320971.776448632,-9300787.247137163,-5248246.446688528,30615441.089
1,1,60.0,8465276.0,3892612.0,6004292.891804271,-12930500.266354306,-7268757.230550035,67140113.65200002
1,-1,0.1,8465276.0,47845.0,165302.89653923127,69286.04492100145,91806.49161822975,2242.6730000000007
1,-1,0.5,8465276.0,167335.0,391687.691398355,271346.5210487887,105615.69034956618,38361.02799999999
1,-1,1.0,8465276.0,320583.0,587644.0187903871,601838.5631235639,-42405.848333176604,152015.28800000003
1,-1,3.0,8465276.0,817229.0,1161600.2606855829,1744610.5067553471,-654926.3980697646,1093843.03
1,-1,5.0,8465276.0,1180351.0,1561758.235589236,2679568.488864213,-1221681.1412749763,2513348.4460000005
1,-1,10.0,8465276.0,1823796.0,2326107.2181106885,4483402.798240605,-2317789.628129915,7190092.543000001
1,-1,30.0,8465276.0,3143020.0,4415998.709441036,8788122.648011735,-4648709.698570698,31577349.966000006
1,-1,60.0,8465276.0,4009087.0,6160070.450055952,12110533.57755805,-6303262.783502104,69048417.57400002
2,1,0.1,8465276.0,27728.0,116661.01313442047,-58654.10025316835,55566.84888125218,1315.7770000000005
2,1,0.5,8465276.0,111087.0,306020.2335399619,-230519.25960306544,65725.31793689643,26994.867999999995
2,1,1.0,8465276.0,228602.0,482631.7096255262,-523980.05057802383,-61465.31695249743,114482.077
2,1,3.0,8465276.0,637492.0,991219.4324719639,-1596519.6373083477,-661399.5008363844,901707.734
2,1,5.0,8465276.0,951173.0,1339280.4670573769,-2516940.4404375623,-1261363.1973801854,2134966.0710000005
