k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
0,1,0.1,8553590.0,308980.0,252865.78401270142,-100744.0524110162,124931.49160168524,13979.489000000003
0,1,0.5,8553590.0,775736.0,489288.99743026815,-483058.54317498556,-62034.313744717256,146766.99299999996
0,1,1.0,8553590.0,1201976.0,562786.5553585315,-911453.870448603,-454441.2030900715,457028.11699999974
0,1,3.0,8553590.0,2244896.0,368650.9332862678,-2027034.6148932797,-1855934.5296070122,2367487.446999999
0,1,5.0,8553590.0,2867442.0,67768.90675312946,-2752853.9635256375,-2937419.952772507,4776171.357999999
0,1,10.0,8553590.0,3824626.0,-536192.8795394292,-3986225.1516555184,-4858985.119194946,11651675.833000002
0,1,30.0,8553590.0,5403767.0,-1611416.8611834033,-6266728.054861446,-8353676.412044846,40095261.09500002
0,1,60.0,8553590.0,6170283.0,-2166310.896813448,-7858465.297305629,-10567761.098119074,73185491.69899999
0,-1,0.1,8553590.0,443284.0,369694.5986500254,97388.51496924282,233297.09168078247,19117.422000000002
0,-1,0.5,8553590.0,912704.0,621075.3010029106,461703.66386670544,79053.68513620486,152417.83199999997
0,-1,1.0,8553590.0,1338510.0,705988.5291661607,868162.5616498246,-279962.9124836637,463142.2769999997
0,-1,3.0,8553590.0,2506515.0,590473.4744052261,1916840.5498472364,-1546940.3954420101,2545680.9950000006
0,-1,5.0,8553590.0,3203808.0,334452.86243010184,2592105.814697117,-2539588.056267017,5202974.450999998
0,-1,10.0,8553590.0,4254678.0,-183640.3673221274,3714504.4613938546,-4272556.492715983,12666502.511999995
0,-1,30.0,8553590.0,5888278.0,-1046939.7133693272,5592162.380730816,-7157270.5581001425,41756551.68199999
0,-1,60.0,8553590.0,6556278.0,-1405538.7655440501,6872825.403132913,-8855316.632676966,70629114.03800003
1,1,0.1,8553590.0,54974.0,84585.39233801022,-60531.071324907316,19216.609013102945,2601.013
1,1,0.5,8553590.0,213038.0,195607.23275341722,-298678.7780967852,-121818.88934336787,51113.968000000015
1,1,1.0,8553590.0,436509.0,200135.95627420614,-631949.5937673261,-470226.42949311994,217997.82000000004
1,1,3.0,8553590.0,1224793.0,-136480.26237275213,-1731927.0326966872,-1976189.0790694398,1717283.2489999991
1,1,5.0,8553590.0,1788372.0,-503530.32196363516,-2538690.316425661,-3199597.3743892955,3917845.988000001
1,1,10.0,8553590.0,2719296.0,-1190153.187795496,-3985767.631552511,-5415218.867348007,10651611.438000003
1,1,30.0,8553590.0,4386626.0,-2369295.909047072,-6862217.307059549,-9617536.304106621,41006431.32699999
1,1,60.0,8553590.0,5346912.0,-2945013.4712592666,-8944870.915039541,-12360412.642298808,82296715.411
1,-1,0.1,8553590.0,56005.0,84941.00635415247,60230.54027349757,19782.026080654894,2651.8450000000003
1,-1,0.5,8553590.0,215934.0,197586.18583150467,297202.59547156555,-118618.60164006072,51833.112
1,-1,1.0,8553590.0,441732.0,201649.63232628754,630704.3204300293,-467927.10410374193,220686.359
1,-1,3.0,8553590.0,1279130.0,-129815.77249544075,1712930.2556236456,-1955309.4681190865,1793681.2450000006
1,-1,5.0,8553590.0,1880626.0,-494904.58242095227,2500603.1714807153,-3161002.8419016683,4122079.580000001
1,-1,10.0,8553590.0,2873895.0,-1159540.0014241976,3885841.6404444757,-5298284.401868676,11260829.389999999
1,-1,30.0,8553590.0,4623147.0,-2202322.048935108,6471544.193751484,-9080703.17868659,42949142.455999985
1,-1,60.0,8553590.0,5578208.0,-2600892.876904566,8281115.586712666,-11372890.767617235,83839020.473
2,1,0.1,8553590.0,29520.0,65408.57454401596,-47954.370537379604,14856.444006636337,1436.2390000000003
2,1,0.5,8553590.0,137016.0,181291.74622616777,-248671.39076691706,-79437.05254074931,35022.625
2,1,1.0,8553590.0,304924.0,223315.75869895107,-542921.7162634708,-346439.2695645198,161019.04099999997
2,1,3.0,8553590.0,955811.0,38107.15214573396,-1558889.6396026807,-1604893.8554569469,1414028.6440000003
2,1,5.0,8553590.0,1452483.0,-232263.29005149554,-2341348.5786350127,-2701430.372686509,3359509.7470000004
2,1,10.0,8553590.0,2310895.0,-783429.3979724322,-3790639.314971089,-4777427.47294352,9590445.173
