feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,0,0.1,376208.0,3439.0,25028.25233052195,-9286.613533927615,15439.00679659434,157.55299999999994
obi,0,1,0,0.5,376208.0,8880.0,66263.01126331683,-32047.394187073736,33434.1770762431,1725.467000000001
obi,0,1,0,1.0,376208.0,14491.0,105573.74324505634,-60443.854092705056,43854.68115235133,5857.629999999999
obi,0,1,0,3.0,376208.0,29966.0,208878.1126279398,-156622.6995665122,49618.40506142768,34666.027999999984
obi,0,1,0,5.0,376208.0,40695.0,277590.4312753495,-240045.74597305953,33963.52530229025,76500.04500000006
obi,0,1,0,10.0,376208.0,60845.0,397799.7194965351,-427717.82076888205,-35272.46127234706,223624.469
obi,0,1,0,30.0,376208.0,109160.0,667053.4368098387,-962151.6633574765,-304704.30654763983,1133163.8830000022
obi,0,1,0,60.0,376208.0,144711.0,861246.5402870522,-1490710.7502434046,-642198.7779563485,2686619.537999997
obi,0,1,1,0.1,351373.0,3233.0,27432.75421924312,-8082.513292388147,19065.73692685498,145.32500000000002
obi,0,1,1,0.5,351373.0,8411.0,72088.04934766692,-26153.861568085405,45194.01977958149,1647.9650000000004
obi,0,1,1,1.0,351373.0,13596.0,114188.9937129896,-47190.81822273403,65801.72749025564,5456.293999999999
obi,0,1,1,3.0,351373.0,28214.0,231419.19586144687,-129076.09299382617,99860.27086762074,32448.051
obi,0,1,1,5.0,351373.0,38268.0,305617.94067593437,-199856.92247796294,102393.43419797173,71437.83099999998
obi,0,1,1,10.0,351373.0,56742.0,436537.19960044883,-347898.43968137854,83645.46391907055,205865.18100000016
obi,0,1,1,30.0,351373.0,100269.0,733082.7362074957,-795370.8465299635,-71111.78232246719,1024705.5979999994
obi,0,1,1,60.0,351373.0,131611.0,944973.3312446706,-1249716.8645110307,-316325.3012663579,2401735.6879999996
obi,0,1,2,0.1,375152.0,3339.0,27356.487010607852,-6887.266308113745,20175.388702494103,149.26499999999996
obi,0,1,2,0.5,375152.0,8376.0,70402.64967673396,-21873.81062636944,47791.75105036451,1606.2490000000005
obi,0,1,2,1.0,375152.0,13390.0,113001.76449789207,-42215.5762606576,69607.86823723442,5291.103
obi,0,1,2,3.0,375152.0,27486.0,232048.25844283987,-116060.35392752275,113569.13651531708,31490.15099999999
obi,0,1,2,5.0,375152.0,37296.0,311534.05865532096,-181847.93488497095,126404.07577034972,69721.92500000002
obi,0,1,2,10.0,375152.0,55687.0,455335.0005319528,-324164.0959642186,126270.44856773423,203905.48600000006
obi,0,1,2,30.0,375152.0,99989.0,783346.544847175,-734189.1493100007,40358.36353717413,1039172.9920000002
obi,0,1,2,60.0,375152.0,133075.0,1030466.1608558026,-1152259.5336327436,-133503.97277694286,2494170.533999996
obi,0,1,3,0.1,350823.0,3292.0,25921.349907294152,-5877.389782716739,19754.26412457741,146.62699999999992
obi,0,1,3,0.5,350823.0,8290.0,67395.29748615464,-19742.555549956287,46923.221936198366,1602.298
obi,0,1,3,1.0,350823.0,13308.0,107914.38619458157,-39333.234242088736,67410.0479524928,5282.218
obi,0,1,3,3.0,350823.0,26972.0,213954.3942068911,-102864.98717013685,108715.87103675415,30630.961999999996
obi,0,1,3,5.0,350823.0,36741.0,286181.6086648096,-160867.48522028903,122080.9154445208,68628.75599999998
obi,0,1,3,10.0,350823.0,54610.0,413373.5123326625,-290435.95859617775,118131.8737364849,198573.25500000003
obi,0,1,3,30.0,350823.0,96662.0,706260.509015088,-626981.7650327169,70772.48798237054,988315.6039999999
