feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,0,0.1,854424.0,61526.0,36478.983583607405,-48386.9020191702,-17322.20643556276,2830.7409999999995
obi,0,1,0,0.5,854424.0,153891.0,66052.05082729603,-184009.1602773935,-131499.5174500974,27874.358999999986
obi,0,1,0,1.0,854424.0,216974.0,70652.301367898,-275014.48359441105,-223455.89422651305,73660.09999999998
obi,0,1,0,3.0,854424.0,346934.0,49417.01523339131,-455262.5021627799,-436375.67892938864,309023.0539999999
obi,0,1,0,5.0,854424.0,415567.0,23846.37722652043,-552690.1700184029,-565413.6887918819,573942.1329999999
obi,0,1,0,10.0,854424.0,512322.0,-20680.306185705416,-711788.0330982915,-777552.6752839972,1266191.9810000018
obi,0,1,0,30.0,854424.0,651088.0,-80334.43543162767,-927480.7281311033,-1065110.9075627315,3728500.098999996
obi,0,1,0,60.0,854424.0,710051.0,-101645.81047753543,-1049200.2174236716,-1213330.5159012044,6260380.781999995
obi,0,1,1,0.1,827582.0,39103.0,26468.597081220876,-19238.372511587062,3789.1605696338165,1782.521
obi,0,1,1,0.5,827582.0,102577.0,49067.04465884801,-85473.95832136796,-45433.68966251996,19635.615999999995
obi,0,1,1,1.0,827582.0,155691.0,53404.261437465284,-146407.37528266132,-106703.92184519606,58268.44799999998
obi,0,1,1,3.0,827582.0,276935.0,32590.176182131665,-283284.8852052209,-275064.9890230892,279144.235
obi,0,1,1,5.0,827582.0,346266.0,5697.419820240316,-366567.92208249745,-391341.9102622573,546882.3709999998
obi,0,1,1,10.0,827582.0,447655.0,-42619.317437064965,-499566.0283262105,-581578.9857632753,1271829.238000001
obi,0,1,1,30.0,827582.0,598523.0,-114297.37575057455,-697276.582106388,-864243.9818569624,3958451.1459999955
obi,0,1,1,60.0,827582.0,663907.0,-141532.4780716353,-804400.8132537522,-1004357.1073253872,6765929.766999995
obi,0,1,2,0.1,826890.0,33565.0,23518.42935184126,-12672.773812821,7891.935539020262,1532.6039999999994
obi,0,1,2,0.5,826890.0,89184.0,45291.25877400465,-59513.50192649433,-22070.43515248969,17337.889
obi,0,1,2,1.0,826890.0,138095.0,50995.09248173348,-108812.6120803888,-69969.87959865526,53047.93999999998
obi,0,1,2,3.0,826890.0,255350.0,36752.87811117156,-228011.916989269,-213729.8388780978,267302.57800000004
obi,0,1,2,5.0,826890.0,323246.0,13934.466876155077,-306309.27566226607,-320820.4567861111,529630.7799999999
obi,0,1,2,10.0,826890.0,424786.0,-30404.365482062094,-431965.6948295744,-499751.2283116364,1257118.9630000012
obi,0,1,2,30.0,826890.0,579861.0,-97639.4155727098,-649846.5794182029,-798513.7629909127,4014715.642999998
obi,0,1,2,60.0,826890.0,648429.0,-124512.29949247389,-763548.7844223344,-945122.8359148059,6961721.683999992
obi,0,1,3,0.1,841468.0,31470.0,23282.07408666427,-9230.807329291818,11281.906757372442,1433.451
obi,0,1,3,0.5,841468.0,81980.0,44934.71189249792,-47221.63419333133,-9501.162300833408,15839.198000000004
obi,0,1,3,1.0,841468.0,128481.0,52254.04530124573,-91502.85727366686,-50555.13997242115,49804.724999999984
obi,0,1,3,3.0,841468.0,243612.0,41128.49095815645,-202070.09438941095,-182379.45943125442,260317.69199999998
obi,0,1,3,5.0,841468.0,312152.0,19372.044642462544,-275813.4771893892,-283910.80854692677,525219.0770000003
obi,0,1,3,10.0,841468.0,416181.0,-24301.076274512543,-398971.2866555486,-459896.29093006096,1270212.8710000007
obi,0,1,3,30.0,841468.0,577535.0,-89065.83848297902,-609803.6338213279,-749692.552304307,4143624.6259999964
obi,0,1,3,60.0,841468.0,650437.0,-122173.88005091879,-750790.0099421677,-930202.3459930845,7284991.7449999945
obi,0,1,4,0.1,807380.0,28486.0,22783.96288305371,-6513.460064410422,13763.734818643294,1294.0419999999995
obi,0,1,4,0.5,807380.0,72869.0,43404.70740433601,-35556.528437136985,1435.7069671990196,14047.595000000001
obi,0,1,4,1.0,807380.0,114689.0,50286.05735389875,-73431.27368926161,-33237.84833536286,44683.933
obi,0,1,4,3.0,807380.0,222883.0,41116.05280486032,-177871.49510335215,-156369.14629849198,242600.39099999992
obi,0,1,4,5.0,807380.0,288155.0,21948.77780560121,-245083.8658574399,-248492.72805183858,494504.612
obi,0,1,4,10.0,807380.0,387139.0,-17376.147349300176,-357907.13964718423,-409351.5189964845,1203855.273000002
obi,0,1,4,30.0,807380.0,543543.0,-73483.9667273107,-576768.5995853674,-698084.3503126779,4000952.968999992
obi,0,1,4,60.0,807380.0,614275.0,-95828.9433421516,-720322.2151807979,-870207.3585229476,7048584.442999998
obi,0,1,5,0.1,874539.0,29447.0,23070.477717112663,-5294.27977981212,15184.861937300535,1341.0079999999991
obi,0,1,5,0.5,874539.0,75376.0,44432.53925496036,-31467.26316608718,6332.188088873209,14595.632000000007
obi,0,1,5,1.0,874539.0,119243.0,51928.75896854872,-69649.39572293771,-28214.02075438898,46673.164999999986
obi,0,1,5,3.0,874539.0,235613.0,39885.34423010214,-177247.91669920523,-158096.51646910296,260929.0180000001
obi,0,1,5,5.0,874539.0,306530.0,16107.158583702352,-249568.06712036874,-260435.54853666644,535161.3059999996
obi,0,1,5,10.0,874539.0,414925.0,-27873.94209696364,-368387.9918010974,-432775.33389806136,1312290.9970000023
obi,0,1,5,30.0,874539.0,584521.0,-89628.16360741678,-574384.8223968252,-715450.8340042415,4341602.999999996
obi,0,1,5,60.0,874539.0,662770.0,-108866.67740275779,-744574.025954884,-911764.4633576404,7700709.497999996
obi,0,1,6,0.1,826821.0,28981.0,21421.354213494433,-3981.9021144203634,14889.12409907408,1313.6789999999992
obi,0,1,6,0.5,826821.0,74077.0,41784.20749026442,-25847.72854860312,9417.702941661302,14280.024999999998
obi,0,1,6,1.0,826821.0,117569.0,48767.42743189024,-60157.128999998706,-21735.773568108496,46116.695999999974
obi,0,1,6,3.0,826821.0,230289.0,36100.083357862735,-162576.88953811003,-146742.23818024734,253065.0629999999
obi,0,1,6,5.0,826821.0,297828.0,14479.176481585007,-228379.83538746703,-240109.52290588187,514442.4829999999
obi,0,1,6,10.0,826821.0,399289.0,-28504.497829339187,-338882.72230263485,-402524.6521319742,1241727.1950000012
obi,0,1,6,30.0,826821.0,559028.0,-92982.13113671706,-533210.7552838488,-675387.3504205662,4096908.707
obi,0,1,6,60.0,826821.0,631375.0,-116030.7441048092,-669953.8437412635,-841545.5878460732,7205166.207999998
obi,0,1,7,0.1,823624.0,29187.0,22074.27957011953,-2847.6480007175996,16658.175569401927,1326.3199999999993
obi,0,1,7,0.5,823624.0,73524.0,43000.07160004917,-20922.248436056692,15607.711163992488,14053.923000000003
obi,0,1,7,1.0,823624.0,115857.0,50097.460427670216,-51943.18066181074,-12041.136234140497,45080.27599999999
obi,0,1,7,3.0,823624.0,227298.0,39115.760719526595,-150535.44405724874,-131421.9073377222,249774.53899999996
obi,0,1,7,5.0,823624.0,295456.0,16007.280105518952,-219757.70947168028,-229750.55736616146,513536.228
obi,0,1,7,10.0,823624.0,397065.0,-25902.549968802687,-330650.42738905153,-391494.69735785376,1241282.173000001
obi,0,1,7,30.0,823624.0,556073.0,-88878.52895065428,-525045.0211548181,-662857.9741054727,4079959.5369999986
obi,0,1,7,60.0,823624.0,626956.0,-111956.29215319076,-649763.623877268,-816892.0440304585,7125891.464999999
obi,0,1,8,0.1,824972.0,30326.0,23032.155830056116,-1140.1506961360544,19223.317133920067,1369.7139999999995
obi,0,1,8,0.5,824972.0,76210.0,44636.053022525935,-14971.950137487847,22957.622885038058,14572.538000000002
obi,0,1,8,1.0,824972.0,120230.0,51968.11883055832,-44893.67847165724,-3505.7996410989367,46813.770999999986
obi,0,1,8,3.0,824972.0,236085.0,37331.7776091667,-138648.30460376543,-122092.00699459875,260236.31299999994
obi,0,1,8,5.0,824972.0,305360.0,14002.132322176982,-203129.23417199153,-215998.78184981478,528426.3260000001
obi,0,1,8,10.0,824972.0,408358.0,-29915.12387484597,-308128.9072144747,-373979.53508932074,1265422.2020000021
obi,0,1,8,30.0,824972.0,565590.0,-86850.5225597557,-484046.82016633236,-620669.2627260879,4077488.500999998
obi,0,1,8,60.0,824972.0,636016.0,-106487.18501171873,-598473.3338629182,-760929.926874636,7105406.312000004
obi,0,1,9,0.1,873090.0,32956.0,22180.35078826014,1913.644546872447,21193.867335132585,1489.7399999999998
obi,0,1,9,0.5,873090.0,81271.0,45614.86881297078,-3968.7629875882803,34494.257825382505,15333.821000000007
obi,0,1,9,1.0,873090.0,128015.0,52982.29461792061,-29671.423889636473,12045.550728284114,49569.91399999997
obi,0,1,9,3.0,873090.0,249746.0,32755.928711442255,-117292.28880958239,-106514.00809814008,274160.3559999998
obi,0,1,9,5.0,873090.0,322522.0,2471.961476183923,-178802.5807786109,-204712.55530242703,556264.2709999997
obi,0,1,9,10.0,873090.0,429894.0,-49717.75409702973,-278612.71184837696,-366161.13794540684,1325989.5740000005
obi,0,1,9,30.0,873090.0,591439.0,-119809.78957068348,-456162.9831401443,-628019.4047108269,4211042.317999998
obi,0,1,9,60.0,873090.0,665444.0,-151067.98994934358,-558436.9870186512,-768064.0489679931,7386217.119999995
obi,0,-1,0,0.1,854424.0,63597.0,44690.56657716367,-6464.009892738677,45558.04046990233,2653.7689999999993
obi,0,-1,0,0.5,854424.0,110694.0,67630.42161738768,-8062.218468699512,65951.56808608721,16133.582999999993
