feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,0,0.1,893020.0,22088.0,34575.7026589957,-29854.30351296334,2777.655146032355,1065.562
obi,0,1,0,0.5,893020.0,67775.0,82939.41766248908,-116671.59215216285,-39696.37448967378,13654.46
obi,0,1,0,1.0,893020.0,102710.0,113891.87431127876,-202460.64487211703,-97607.25056083834,38896.183999999994
obi,0,1,0,3.0,893020.0,173339.0,177809.15217598522,-406784.3428864654,-244229.0227104804,169551.37799999988
obi,0,1,0,5.0,893020.0,216220.0,217773.28451319193,-551540.0533841866,-352794.1288709946,337238.06500000006
obi,0,1,0,10.0,893020.0,285738.0,288981.7824346342,-825815.1187470278,-561978.2803123937,841391.3619999994
obi,0,1,0,30.0,893020.0,417482.0,449459.9665899915,-1519403.65049902,-1106682.0999090308,3262852.899000002
obi,0,1,0,60.0,893020.0,495769.0,542449.6769512446,-2061235.2242276836,-1562413.2192764382,6650624.559000001
obi,0,1,1,0.1,781503.0,14074.0,32816.82681346313,-16407.201214600136,15171.113598863,660.4039999999995
obi,0,1,1,0.5,781503.0,44467.0,78683.46230634853,-67591.63628430374,7178.7300220447605,9273.317999999992
obi,0,1,1,1.0,781503.0,71796.0,112391.35347212644,-130495.6628921375,-24422.357420011067,29142.263999999992
obi,0,1,1,3.0,781503.0,133897.0,190966.11197422558,-297919.84802246455,-118736.67204823904,144324.824
obi,0,1,1,5.0,781503.0,172983.0,239128.89099388858,-421839.8604589241,-197933.4734650355,296719.65300000005
obi,0,1,1,10.0,781503.0,237726.0,327920.8015873041,-650206.4389900538,-343205.5254027494,765616.5630000003
obi,0,1,1,30.0,781503.0,361936.0,535326.2260746604,-1160495.754795964,-657019.8967213037,3052338.1840000004
obi,0,1,1,60.0,781503.0,436127.0,659677.2478524855,-1521142.2470237387,-899844.1751712537,6266439.627999997
obi,0,1,2,0.1,825241.0,13569.0,34220.72481101356,-13023.64604091523,20003.006770098338,648.882
obi,0,1,2,0.5,825241.0,42853.0,81015.97915293505,-57211.849769797576,20033.06538313752,9031.515000000003
obi,0,1,2,1.0,825241.0,70283.0,119040.74206522858,-113950.64629596661,-1094.8082307379645,28987.595000000005
obi,0,1,2,3.0,825241.0,133639.0,213611.64883182023,-269726.111661255,-67874.69482943474,146203.988
obi,0,1,2,5.0,825241.0,173096.0,273265.19936588494,-378841.9253619668,-120809.1739960817,300007.4139999999
obi,0,1,2,10.0,825241.0,238422.0,385041.93114972644,-590854.113541284,-226793.31839155866,773107.0309999997
obi,0,1,2,30.0,825241.0,364730.0,673619.9217231299,-1081348.6048404325,-439824.92311730294,3097456.8900000025
obi,0,1,2,60.0,825241.0,437501.0,841840.9499904483,-1420448.5980566875,-617107.7360662397,6246491.019999996
obi,0,1,3,0.1,796382.0,13193.0,33463.40006547761,-10272.93422005481,22029.481845422804,621.4299999999997
obi,0,1,3,0.5,796382.0,41620.0,81893.69934403221,-47725.729553987294,30505.409790044985,8827.861999999997
obi,0,1,3,1.0,796382.0,68630.0,120640.27040777833,-96667.2949186551,17933.535489123275,28501.913999999993
obi,0,1,3,3.0,796382.0,131957.0,218958.7615826144,-242065.84907818516,-34719.30349557076,145368.37699999998
obi,0,1,3,5.0,796382.0,171855.0,283469.38681227784,-352604.25421981903,-84258.10740754123,300606.7800000002
obi,0,1,3,10.0,796382.0,237743.0,403179.9377964872,-562798.6205211215,-180540.0667246341,777802.7430000008
obi,0,1,3,30.0,796382.0,365546.0,701768.2464668629,-1031473.9507441812,-361873.75227731705,3126938.5479999986
obi,0,1,3,60.0,796382.0,437073.0,883253.2025750569,-1378279.613667431,-533488.8350923714,6228831.430999994
obi,0,1,4,0.1,807034.0,11828.0,37383.701939445935,-8355.243853056167,27987.594086389752,551.6359999999999
obi,0,1,4,0.5,807034.0,35217.0,79498.03080126538,-35535.01330940274,40863.92149186267,7395.267000000002
obi,0,1,4,1.0,807034.0,58977.0,116070.02557295123,-77684.48490122442,33195.564671726774,24697.48199999999
obi,0,1,4,3.0,807034.0,118191.0,219911.76827573904,-202506.15109530115,7004.809180437892,134227.36600000004
obi,0,1,4,5.0,807034.0,156559.0,289171.2171223988,-294294.46871733386,-18900.44359493495,283629.18000000005
obi,0,1,4,10.0,807034.0,221001.0,413889.6480715002,-471087.2493400243,-76645.68926852407,750047.5650000009
obi,0,1,4,30.0,807034.0,349203.0,744790.3143453703,-872516.6585492642,-158456.20820389516,3114321.527999996
obi,0,1,4,60.0,807034.0,424441.0,952228.0224689645,-1190307.4170004765,-275430.20253151143,6384158.127
obi,0,1,5,0.1,857959.0,10798.0,28273.03815983568,-6205.469409649394,21117.344750186276,502.83000000000004
obi,0,1,5,0.5,857959.0,32292.0,65333.97876801442,-28878.184778004335,33614.0979900101,6807.012000000003
obi,0,1,5,1.0,857959.0,54920.0,97455.89547903443,-65352.2063917213,27270.72908731313,23337.16800000001
obi,0,1,5,3.0,857959.0,113772.0,190745.84825742067,-182642.50016237193,-1908.5879049511473,132447.86799999996
obi,0,1,5,5.0,857959.0,152081.0,252532.96458613087,-267144.4972637771,-27994.66067764625,281518.89499999996
obi,0,1,5,10.0,857959.0,218122.0,367606.5603707792,-425610.186747971,-77198.36237719184,759810.6780000003
obi,0,1,5,30.0,857959.0,348266.0,658128.6147279021,-790790.1508122548,-163308.94408435223,3153565.7519999985
obi,0,1,5,60.0,857959.0,424703.0,845079.7750530512,-1035933.0251677622,-228227.11411471054,6483504.843999995
obi,0,1,6,0.1,798952.0,12423.0,36419.59293068316,-6353.984386128106,28972.384544555043,580.0319999999998
obi,0,1,6,0.5,798952.0,37588.0,81591.88717773515,-30823.245080595105,47460.89809714002,7932.165000000003
obi,0,1,6,1.0,798952.0,62983.0,119222.18054393314,-69563.09379524509,44116.58274868801,26488.030999999988
obi,0,1,6,3.0,798952.0,124684.0,221436.3190155748,-187377.24968307881,23086.87733249617,140873.577
obi,0,1,6,5.0,798952.0,164595.0,288056.54537369823,-278743.0208636818,-5170.83548998363,296135.5460000001
obi,0,1,6,10.0,798952.0,229976.0,410068.38766275835,-454841.73779242707,-65011.238129669415,768804.1920000003
obi,0,1,6,30.0,798952.0,356771.0,723577.9968024691,-809009.2055003234,-116827.05669785167,3098863.697
obi,0,1,6,60.0,798952.0,428362.0,909630.5996172572,-1083079.0664407257,-211144.32282346825,6213093.548000005
obi,0,1,7,0.1,817056.0,12566.0,33477.63498072492,-5523.491769695406,26848.3352110295,586.3899999999999
obi,0,1,7,0.5,817056.0,38311.0,80020.6178972374,-26424.364958491886,50224.884938745556,8094.441999999998
