feat,k,side,s_dec,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait
obi,0,1,0,0.1,881160.0,56148.0,39801.10649501806,-54201.94484769303,-19341.86235267501,2600.134000000001
obi,0,1,0,0.5,881160.0,143762.0,75338.29503184106,-203047.2167491791,-140359.97771733807,26209.982999999986
obi,0,1,0,1.0,881160.0,202603.0,81948.47568885535,-299297.0691276746,-235177.65743881918,68853.491
obi,0,1,0,3.0,881160.0,322046.0,56361.2514455523,-485307.27858948667,-457286.0751439352,284605.2909999999
obi,0,1,0,5.0,881160.0,386204.0,24425.738783420435,-589458.4418086397,-599018.6550252198,532577.8460000005
obi,0,1,0,10.0,881160.0,479259.0,-36002.75247964694,-747866.9948044951,-826044.5392841422,1198775.7470000007
obi,0,1,0,30.0,881160.0,624591.0,-138371.12456582623,-1030732.0540404124,-1224067.1866062407,3796699.0489999987
obi,0,1,0,60.0,881160.0,690362.0,-185395.63198359945,-1211525.6077062995,-1457673.0956898981,6624868.548999996
obi,0,1,1,0.1,828918.0,33133.0,26129.057974783114,-17569.227657856056,5644.126316927072,1515.7959999999998
obi,0,1,1,0.5,828918.0,87224.0,49750.80339682002,-78407.36020685078,-36332.26881003075,16781.17
obi,0,1,1,1.0,828918.0,133455.0,54119.51787338505,-134951.41560441762,-92575.93773103258,50340.19999999995
obi,0,1,1,3.0,828918.0,238899.0,27590.47480026542,-264291.24724040495,-257723.8844401396,242541.3689999999
obi,0,1,1,5.0,828918.0,300082.0,-5667.828881792622,-346949.14852261887,-379024.1934044118,478954.5560000003
obi,0,1,1,10.0,828918.0,392626.0,-69957.02284248911,-472262.6660202729,-576770.776862762,1143140.249000001
obi,0,1,1,30.0,828918.0,543333.0,-186488.19746186776,-700123.8283574529,-934425.3298193201,3855902.7589999977
obi,0,1,1,60.0,828918.0,615843.0,-241457.35980256562,-822101.0717245819,-1117752.615527148,6987950.7869999865
obi,0,1,2,0.1,833844.0,29729.0,23965.95763688535,-11616.615036881056,9733.1906000043,1350.912
obi,0,1,2,0.5,833844.0,76841.0,46012.410463490065,-56623.252752727225,-17372.850289237147,14765.131999999994
obi,0,1,2,1.0,833844.0,119738.0,51769.34181926264,-103741.22570911425,-62508.827889851615,45947.353999999985
obi,0,1,2,3.0,833844.0,222364.0,30266.23602924794,-223819.18176896294,-213120.97773971505,233365.36999999994
obi,0,1,2,5.0,833844.0,283298.0,-786.4565659655075,-298059.63343250414,-323776.3139984694,469017.3710000002
obi,0,1,2,10.0,833844.0,376854.0,-61959.48143277961,-421164.4763201805,-516287.1097529598,1141616.6490000011
obi,0,1,2,30.0,833844.0,530267.0,-172871.57264989035,-657818.4718876953,-877353.5405375854,3902093.7319999984
obi,0,1,2,60.0,833844.0,604321.0,-227723.3745674293,-797048.1550630541,-1077951.7776304837,7101939.457999994
obi,0,1,3,0.1,842051.0,28284.0,23622.11026375712,-7828.82092653459,13304.297337222517,1275.6310000000005
obi,0,1,3,0.5,842051.0,71987.0,44676.05757466346,-43352.431923938784,-5011.230349275353,13827.620999999997
obi,0,1,3,1.0,842051.0,113589.0,50547.54092107255,-87946.1589026653,-47394.449981592756,44057.788999999975
obi,0,1,3,3.0,842051.0,214844.0,30724.181605897455,-199393.36782177835,-187575.458215881,229183.79599999997
obi,0,1,3,5.0,842051.0,275607.0,1299.0731760605731,-269042.9907450836,-291997.33356902294,464149.2280000001
obi,0,1,3,10.0,842051.0,369669.0,-58588.84265862451,-393891.97834083525,-485011.6929994597,1140689.896000001
obi,0,1,3,30.0,842051.0,529163.0,-172701.8250158336,-617360.7565813063,-836628.92559714,4014822.0600000033
obi,0,1,3,60.0,842051.0,607193.0,-232677.21378116484,-793485.679402755,-1079595.8771839212,7387704.129999995
obi,0,1,4,0.1,833454.0,25589.0,22570.570144262656,-5124.323860531405,15194.414283731228,1142.6249999999995
obi,0,1,4,0.5,833454.0,63822.0,42602.51640839652,-30138.880510841627,6847.299897554902,12214.946999999993
obi,0,1,4,1.0,833454.0,101786.0,48291.30383426344,-65670.77918781593,-26336.643353552514,39847.109
obi,0,1,4,3.0,833454.0,199043.0,29207.623277748797,-164842.2383998176,-153150.3991220689,218381.73899999994
obi,0,1,4,5.0,833454.0,258155.0,1771.1776623257804,-233305.30339663295,-254251.7657343073,446852.05700000015
obi,0,1,4,10.0,833454.0,351114.0,-56557.102635706375,-348299.0403343803,-435754.17497008666,1114384.264
obi,0,1,4,30.0,833454.0,507901.0,-167342.98396296543,-551041.7724894765,-763080.044452442,3947349.2830000026
obi,0,1,4,60.0,833454.0,586267.0,-227662.71282076454,-714079.7879470336,-993333.9967677983,7340885.586999995
obi,0,1,5,0.1,860433.0,25539.0,22424.237063187586,-3556.730752115305,16620.07431107228,1138.5209999999995
obi,0,1,5,0.5,860433.0,62034.0,41826.94244263172,-23846.250728198174,12521.699714433547,11752.523000000003
obi,0,1,5,1.0,860433.0,99586.0,47975.6140433489,-57059.45336359608,-17847.407320247203,39126.253
obi,0,1,5,3.0,860433.0,197046.0,28219.67676856594,-151294.58567577726,-140414.9569072114,218181.514
obi,0,1,5,5.0,860433.0,256555.0,-1675.0804984649324,-216504.90744641857,-240756.8279448836,448477.687
obi,0,1,5,10.0,860433.0,350068.0,-63321.691974949885,-330384.0080501844,-424511.68402513466,1120900.993000001
obi,0,1,5,30.0,860433.0,509286.0,-178698.83476000643,-542744.6656990431,-766260.6684590491,4002662.618
obi,0,1,5,60.0,860433.0,589877.0,-246077.92248646021,-679410.3707670294,-977397.4692534908,7479732.655999992
obi,0,1,6,0.1,834960.0,25913.0,22318.255507696653,-2743.1178216320313,17294.793686064637,1165.9729999999995
obi,0,1,6,0.5,834960.0,63689.0,42438.368701703395,-20594.34321715476,16239.39348454863,12107.850000000004
obi,0,1,6,1.0,834960.0,101530.0,49326.59089536964,-52296.039706276926,-11904.088810907293,39736.939
