k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait,p_fill,edge,AS,pnl_fill,wait_s,EV
0,1,0.1,8553566.0,78783.0,117512.86326714834,-32328.595337701616,78251.3639294468,3547.9849999999997,0.009210544467652439,1.4916017829626738,-0.4103498894139804,0.9932518935486945,0.04503490600764124,0.009148390733110237
0,1,0.5,8553566.0,207630.0,236418.24149848675,-155045.78421202986,63101.01728645702,40679.22099999999,0.024274086386894076,1.1386516471535266,-0.7467407610269704,0.3039108861265569,0.19592169243365598,0.007377159103753571
0,1,1.0,8553566.0,343111.0,320015.4755921726,-313970.5547209056,-24148.84712873293,140473.31799999997,0.040113211261829276,0.9326878928165305,-0.91506991825067,-0.07038202543413918,0.4094107096537271,-0.0028232490552750665
0,1,3.0,8553566.0,781223.0,475914.76817944425,-839907.1734515782,-432740.02927213383,965245.9109999998,0.09133301829903458,0.6091919569437206,-1.0751183381077851,-0.5539263811640643,1.2355574669460574,-0.050591768307175496
0,1,5.0,8553566.0,1113318.0,473933.3392263481,-1284749.1948723749,-908787.8396460268,2259987.046,0.13015834565373086,0.425694490905876,-1.1539822358682559,-0.8162877449623799,2.0299564419150684,-0.10624666246171793
0,1,10.0,8553566.0,1739437.0,306536.61826706876,-2134257.603427722,-1980791.4411606537,6819643.252000001,0.2033581081855217,0.17622749100258805,-1.2269818357478437,-1.138754344745256,3.9206037654712422,-0.2315749292354386
0,1,30.0,8553566.0,3165946.0,-468432.2810978602,-4067950.143510895,-4814985.6726087555,33467554.764999997,0.3701317088101033,-0.14795965600735458,-1.284908252860565,-1.52086790886792,10.571107266201002,-0.5629214379837317
0,1,60.0,8553566.0,4090840.0,-1510743.8118846072,-5800269.5407042615,-7671007.272588869,73778679.47999999,0.47826134737254616,-0.3692991688466445,-1.4178676117140396,-1.875166780560684,18.03509291001359,-0.8968197910191923
0,-1,0.1,8553566.0,111335.0,175571.80982559407,32300.87533988277,133473.4544857114,4820.154000000001,0.013016208678345383,1.5769686965068852,0.29012327965044926,1.1988454168564369,0.043294148291193255,0.015604422118881344
0,-1,0.5,8553566.0,245315.0,305027.00513324764,150973.9192760197,132465.3658572281,43448.88800000001,0.028679851187212446,1.243409514841113,0.615428813060839,0.5399807017802748,0.17711468112426884,0.015486566171024825
0,-1,1.0,8553566.0,386242.0,404305.4451848264,304778.11250901886,65538.0366758073,147355.3179999999,0.04515566957687589,1.0467671697661736,0.7890858904754503,0.1696812792907227,0.38151034325630023,0.0076620717810334665
0,-1,3.0,8553566.0,875986.0,662460.8035958805,824724.4888960713,-239350.45330019138,1051547.122,0.102411789422096,0.7562458801805971,0.9414813580309175,-0.2732354778503211,1.2004154427125548,-0.02798253422025286
0,-1,5.0,8553566.0,1249553.0,733544.5753018293,1259584.8684465333,-636000.957144704,2492883.7730000005,0.14608562089776359,0.5870455877436406,1.0080283657008013,-0.5089827779571606,1.995020437708525,-0.07435506514414035
0,-1,10.0,8553566.0,1950148.0,697914.2316513163,2126439.8083124706,-1600138.6006611544,7561009.829000002,0.22799239521855563,0.35787757219006777,1.0903991944777887,-0.820521622287721,3.877146672457681,-0.18707268999399249
0,-1,30.0,8553566.0,3502086.0,188747.4054431049,4049037.4927420323,-4168473.6552989264,36373121.11999999,0.40942993834384395,0.053895708284463856,1.1561787725207298,-1.1902830642362656,10.386130186408897,-0.48733752160197585
0,-1,60.0,8553566.0,4407122.0,-720154.7020001456,5747499.164527491,-6855480.602527637,75800536.91399997,0.5152379720925752,-0.16340702662647996,1.3041388834998193,-1.5555459101262994,17.19955492813677,-0.8014763202303737
1,1,0.1,8553566.0,17248.0,31351.523074009372,-16045.529928223521,13788.169145785854,788.37,0.0020164689206817366,1.8176903451999868,-0.9302835069702876,0.7994068382296994,0.04570790816326531,0.0016119790442706413
1,1,0.5,8553566.0,56193.0,66783.56877484529,-72573.3351476824,-10734.750372837168,12761.746000000005,0.006569540703842117,1.1884677588818053,-1.2915013462118485,-0.1910335873300441,0.22710561813749053,-0.0012550029277657024
1,1,1.0,8553566.0,116999.0,79678.86153771178,-167416.12849921983,-98033.17896150808,58408.791999999994,0.01367838863931137,0.6810217312772912,-1.4309193112694967,-0.8378975799922057,0.49922471132231894,-0.011461088739071878
1,1,3.0,8553566.0,382382.0,-15584.935057269406,-569045.1991251536,-618279.7501824227,576749.723,0.04470439580404243,-0.04075750181041316,-1.4881589591695048,-1.6169164609799171,1.5083077210747369,-0.07228327345371775
1,1,5.0,8553566.0,623380.0,-197890.20370619575,-953907.10931699,-1206654.7530231865,1526305.4970000002,0.07287954520956523,-0.3174471489399656,-1.5302176991834675,-1.9356648481234342,2.448435139080497,-0.14107037380937804
1,1,10.0,8553566.0,1124758.0,-692869.3726291814,-1736138.8310542128,-2527986.9076833944,5211109.209999999,0.13149579952969323,-0.6160163987534931,-1.5435665548093125,-2.247582953562806,4.633093705490425,-0.29554771748805053
1,1,30.0,8553566.0,2394285.0,-2192546.6247113184,-3691651.729516298,-6094895.434227615,29200089.266000006,0.2799165868364142,-0.9157417035613215,-1.5418597742191502,-2.5456014777804707,12.19574497856354,-0.7125560771060414
1,1,60.0,8553566.0,3391925.0,-3485570.451266219,-5580374.163975453,-9364434.015241673,72584283.138,0.3965509823622101,-1.0276083496145165,-1.6451938542200824,-2.7608022038345994,21.399141531136447,-1.094798826038365
1,-1,0.1,8553566.0,16740.0,29608.007081646967,16217.586935646432,11917.300146000542,763.2970000000001,0.0019570784863295614,1.7686981530255057,0.9687925290111369,0.7119056240143693,0.04559719235364398,0.0013932551810555437
1,-1,0.5,8553566.0,55930.0,65673.53303313491,70918.25981032326,-10166.566777188353,12868.370999999992,0.006538793293931444,1.1742094230848366,1.2679824747062982,-0.1817730516214617,0.2300799392097263,-0.001188576410959868
1,-1,1.0,8553566.0,117274.0,79964.05028920881,163410.4084080464,-93766.47011883753,58977.13299999998,0.013710538972868159,0.6818565947201325,1.3934069649542644,-0.7995503702341314,0.5029003274383067,-0.010962266511866225
1,-1,3.0,8553566.0,396445.0,-356.0300592033566,560027.7303575345,-595270.9204167378,599929.4309999999,0.046348505406984646,-0.0008980566262744052,1.412624021888369,-1.5015220785146435,1.5132727894159337,-0.06959330417474277
1,-1,5.0,8553566.0,655132.0,-170405.91704224644,933754.6343728177,-1161812.1674150648,1613095.473,0.07659168117718387,-0.26010928643730796,1.4252923599714526,-1.7734016464087616,2.4622449720056414,-0.13582781350083284
1,-1,10.0,8553566.0,1195778.0,-643160.4347628497,1744784.9608287374,-2493173.8595915865,5569655.91,0.1397987693086135,-0.5378593976163215,1.4591211419082282,-2.0849805395245493,4.657767503667069,-0.291477713457941
1,-1,30.0,8553566.0,2563733.0,-2035055.1063085783,3748018.6089699343,-6008682.219278512,31356121.282000005,0.29972680400198,-0.7937858998220869,1.4619379666174028,-2.3437238664394893,12.23065010357943,-0.7024768639510716
