k,side,h,n,n_fill,sum_edge,sum_as,sum_pnl,sum_wait,p_fill,edge,AS,pnl_fill,wait_s,EV
0,1,0.1,8553590.0,308980.0,252865.78401270142,-100744.0524110162,124931.49160168524,13979.489000000003,0.03612284432618351,0.8183888407427711,-0.326053635869688,0.40433520487308316,0.04524399313871449,0.0146057376612259
0,1,0.5,8553590.0,775736.0,489288.99743026815,-483058.54317498556,-62034.313744717256,146766.99299999996,0.09069127699597479,0.6307416407518385,-0.6227099724326131,-0.07996833168077445,0.18919708895809909,-0.007252430119367103
0,1,1.0,8553590.0,1201976.0,562786.5553585315,-911453.870448603,-454441.2030900715,457028.11699999974,0.1405229850857944,0.4682177974922391,-0.7582962309135981,-0.3780784334213591,0.3802306510279737,-0.053128710060930145
0,1,3.0,8553590.0,2244896.0,368650.9332862678,-2027034.6148932797,-1855934.5296070122,2367487.446999999,0.2624507370589425,0.16421737723541216,-0.9029525710292502,-0.8267351937938382,1.0546089649587327,-0.2169772609637605
0,1,5.0,8553590.0,2867442.0,67768.90675312946,-2752853.9635256375,-2937419.952772507,4776171.357999999,0.3352325748603803,0.0236339241571859,-0.9600382373996187,-1.0244043132424325,1.665655785888607,-0.34341369562634017
0,1,10.0,8553590.0,3824626.0,-536192.8795394292,-3986225.1516555184,-4858985.119194946,11651675.833000002,0.4471369331473685,-0.14019485291880285,-1.042252275557275,-1.2704471284760774,3.0464876390528124,-0.5680638327526741
0,1,30.0,8553590.0,5403767.0,-1611416.8611834033,-6266728.054861446,-8353676.412044846,40095261.09500002,0.6317542692600417,-0.29820250598950754,-1.1596961998660278,-1.545898705855535,7.419872302969395,-0.9766281072678077
0,1,60.0,8553590.0,6170283.0,-2166310.896813448,-7858465.297305629,-10567761.098119074,73185491.69899999,0.7213676362790361,-0.3510877696879459,-1.2735988442192405,-1.7126866139071861,11.860961920061039,-1.235476694360973
0,-1,0.1,8553590.0,443284.0,369694.5986500254,97388.51496924282,233297.09168078247,19117.422000000002,0.05182432171754783,0.833990395886216,0.21969778960946668,0.5262926062767491,0.04312680358415824,0.027274757345252983
0,-1,0.5,8553590.0,912704.0,621075.3010029106,461703.66386670544,79053.68513620486,152417.83199999997,0.10670420256290049,0.6804783379966677,0.5058635262546296,0.08661481174203779,0.16699590666853653,0.009242164417069891
0,-1,1.0,8553590.0,1338510.0,705988.5291661607,868162.5616498246,-279962.9124836637,463142.2769999997,0.15648517172321796,0.5274435971088455,0.648603717304932,-0.20916012019608649,0.3460133110697714,-0.0327304573265335
0,-1,3.0,8553590.0,2506515.0,590473.4744052261,1916840.5498472364,-1546940.3954420101,2545680.9950000006,0.2930366080207258,0.23557548006105133,0.764743298901956,-0.6171678188409047,1.0156256774844756,-0.18085276421268848
0,-1,5.0,8553590.0,3203808.0,334452.86243010184,2592105.814697117,-2539588.056267017,5202974.450999998,0.37455711578413275,0.1043922926811163,0.8090702734674229,-0.7926779807863071,1.623996959555628,-0.2969031782289094
0,-1,10.0,8553590.0,4254678.0,-183640.3673221274,3714504.4613938546,-4272556.492715983,12666502.511999995,0.4974143020649809,-0.04316198953766358,0.8730400893778224,-1.0042020789154862,2.9770766464583205,-0.4995044762159494
0,-1,30.0,8553590.0,5888278.0,-1046939.7133693272,5592162.380730816,-7157270.5581001425,41756551.68199999,0.6883984385503631,-0.17780065978021542,0.9497109988235637,-1.215511658603779,7.091470831030734,-0.8367563278226035
0,-1,60.0,8553590.0,6556278.0,-1405538.7655440501,6872825.403132913,-8855316.632676966,70629114.03800003,0.7664943023923289,-0.2143805930047582,1.048281571210512,-1.3506621642152707,10.772745456797292,-1.035274853327897
1,1,0.1,8553590.0,54974.0,84585.39233801022,-60531.071324907316,19216.609013102945,2601.013,0.006427009010251836,1.5386435831122025,-1.1010854463002022,0.34955813681200104,0.047313511841961656,0.002246613294897575
1,1,0.5,8553590.0,213038.0,195607.23275341722,-298678.7780967852,-121818.88934336787,51113.968000000015,0.02490626742689327,0.9181800089815771,-1.4019976628431792,-0.5718176538616015,0.23992887653845799,-0.014241843406495737
1,1,1.0,8553590.0,436509.0,200135.95627420614,-631949.5937673261,-470226.42949311994,217997.82000000004,0.051032256631426104,0.4584921645927258,-1.4477355421476443,-1.0772433775549186,0.4994119708871983,-0.05497416049788685
1,1,3.0,8553590.0,1224793.0,-136480.26237275213,-1731927.0326966872,-1976189.0790694398,1717283.2489999991,0.1431905200038814,-0.11143128869347892,-1.4140569326381578,-1.613488221331637,1.4021008031561244,-0.23103621743261485
1,1,5.0,8553590.0,1788372.0,-503530.32196363516,-2538690.316425661,-3199597.3743892955,3917845.988000001,0.2090785272616527,-0.281557931998284,-1.4195538268467975,-1.7891117588450811,2.1907332411824836,-0.3740648516458347
1,1,10.0,8553590.0,2719296.0,-1190153.187795496,-3985767.631552511,-5415218.867348007,10651611.438000003,0.31791282958383554,-0.4376695982325926,-1.4657351136295977,-1.9914047118621905,3.917047440955307,-0.6330931067946917
1,1,30.0,8553590.0,4386626.0,-2369295.909047072,-6862217.307059549,-9617536.304106621,41006431.32699999,0.5128403395533337,-0.5401180563483351,-1.5643497546997507,-2.1924678110480857,9.348057328570977,-1.1243859366776547
1,1,60.0,8553590.0,5346912.0,-2945013.4712592666,-8944870.915039541,-12360412.642298808,82296715.411,0.6251073525852887,-0.5507877203251647,-1.6729040827751684,-2.311691803100333,15.391447514191368,-1.4450555430291618
1,-1,0.1,8553590.0,56005.0,84941.00635415247,60230.54027349757,19782.026080654894,2651.8450000000003,0.006547543195313313,1.5166682680859294,1.0754493397642635,0.3532189283216658,0.04735014730827605,0.0023127161905883834
1,-1,0.5,8553590.0,215934.0,197586.18583150467,297202.59547156555,-118618.60164006072,51833.112,0.02524483871684287,0.9150304529694475,1.3763584959828723,-0.5493280430134241,0.2400414571118953,-0.013867697848512812
1,-1,1.0,8553590.0,441732.0,201649.63232628754,630704.3204300293,-467927.10410374193,220686.359,0.051642877435088656,0.4564976780633677,1.4277985756749099,-1.0593008976115426,0.49959332581746396,-0.05470534642223229
1,-1,3.0,8553590.0,1279130.0,-129815.77249544075,1712930.2556236456,-1955309.4681190865,1793681.2450000006,0.14954305735954143,-0.10148755208261924,1.3391369568563365,-1.5286245089389559,1.4022665757194348,-0.2285951826214591
1,-1,5.0,8553590.0,1880626.0,-494904.58242095227,2500603.1714807153,-3161002.8419016683,4122079.580000001,0.2198639401701508,-0.26315949179738674,1.32966531967585,-1.6808248114732374,2.1918656766417146,-0.3695527657862568
1,-1,10.0,8553590.0,2873895.0,-1159540.0014241976,3885841.6404444757,-5298284.401868676,11260829.389999999,0.33598699493429074,-0.403473335464308,1.3521167754717816,-1.8435901109360906,3.918316218929362,-0.6194223012639928
1,-1,30.0,8553590.0,4623147.0,-2202322.048935108,6471544.193751484,-9080703.17868659,42949142.455999985,0.5404920039422044,-0.47636859674483806,1.399813632089026,-1.9641822288338637,9.290023106771207,-1.0616247889700805
1,-1,60.0,8553590.0,5578208.0,-2600892.876904566,8281115.586712666,-11372890.767617235,83839020.473,0.6521481623505452,-0.4662595724118867,1.484547651631611,-2.0388072240434982,15.029740818736053,-1.3296043845469838
2,1,0.1,8553590.0,29520.0,65408.57454401596,-47954.370537379604,14856.444006636337,1436.2390000000003,0.0034511824859503435,2.215737620054741,-1.6244705466592007,0.5032670733955399,0.04865308265582657,0.001736866509458173
2,1,0.5,8553590.0,137016.0,181291.74622616777,-248671.39076691706,-79437.05254074931,35022.625,0.016018537245764644,1.3231428900724571,-1.8149076806133375,-0.5797647905408807,0.2556097463070006,-0.009286983891062035
2,1,1.0,8553590.0,304924.0,223315.75869895107,-542921.7162634708,-346439.2695645198,161019.04099999997,0.03564865746429277,0.7323653064335739,-1.7805148701429563,-1.1361495637093828,0.5280628648450104,-0.040502206624881465
2,1,3.0,8553590.0,955811.0,38107.15214573396,-1558889.6396026807,-1604893.8554569469,1414028.6440000003,0.11174384089019931,0.03986891984475379,-1.6309601371010385,-1.6790912172562849,1.4794019361568347,-0.18762810182121736
2,1,5.0,8553590.0,1452483.0,-232263.29005149554,-2341348.5786350127,-2701430.372686509,3359509.7470000004,0.16980975239636223,-0.15990775110723882,-1.611962810328942,-1.8598705614361815,2.3129425590523267,-0.31582415952676113
2,1,10.0,8553590.0,2310895.0,-783429.3979724322,-3790639.314971089,-4777427.47294352,9590445.173,0.2701666785525142,-0.3390155753387463,-1.6403338598123622,-2.067349435151108,4.150099927949993,-0.5585289303021912
2,1,30.0,8553590.0,3928364.0,-1779353.5115431445,-6783599.3009353075,-8908648.84447845,39201078.48199998,0.4592649402180839,-0.45295026416674844,-1.7268255438995235,-2.2677758080662715,9.978983231187328,-1.041509920919573
2,1,60.0,8553590.0,4923678.0,-2265721.024620421,-9061451.370496323,-11760456.059116744,82045201.91899997,0.575627075882758,-0.46016839944050386,-1.840382610417725,-2.3885510098582285,16.663397143151922,-1.3749146334015008
2,-1,0.1,8553590.0,29314.0,64320.839271479424,47522.82447055751,14218.382800921914,1430.0129999999997,0.0034270990309332107,2.1942020628873378,1.6211647837401075,0.4850372791472305,0.048782595346933195,0.0016622707893319548
2,-1,0.5,8553590.0,138017.0,181669.6785322522,248769.37374164333,-79245.19120939112,35464.12599999998,0.01613556413155178,1.3162847948604317,1.8024545798100475,-0.5741697849496158,0.25695476644181503,-0.009264553387453819
2,-1,1.0,8553590.0,307725.0,223146.08973674415,546077.5562357823,-350011.2664990383,162993.52099999998,0.03597612230654029,0.7251477446965445,1.7745635103933133,-1.1374157656967692,0.5296726655292875,-0.04091980870009415
2,-1,3.0,8553590.0,991231.0,44980.02002454634,1554658.5792838973,-1596906.8872593509,1463725.2879999997,0.11588479223343649,0.045377939173155746,1.568411983971342,-1.6110340447981861,1.476674244449578,-0.18669434556243064
2,-1,5.0,8553590.0,1514766.0,-224728.7381665694,2321655.5303018433,-2679683.676468413,3498879.8090000004,0.17709125641981904,-0.14835871558152838,1.5326826257665167,-1.769041341348045,2.3098483917648007,-0.3132817537979273
2,-1,10.0,8553590.0,2419027.0,-757130.307275327,3714045.68813061,-4684050.371405938,10025772.922999997,0.2828083880569445,-0.31298960585199215,1.5353469341725454,-1.9363365400245378,4.144547755357834,-0.5476122156201009
2,-1,30.0,8553590.0,4103715.0,-1636133.5185617951,6486151.909366434,-8483412.34792823,40769136.79900002,0.4797652213865757,-0.39869569854675463,1.5805561325205173,-2.067251831067272,9.934690103723094,-0.9917955323937937
2,-1,60.0,8553590.0,5105666.0,-1965985.4720569758,8483754.129442243,-10899038.20949922,83778791.12400001,0.5969032885607096,-0.3850595538480143,1.6616351577722168,-2.1346947116202313,16.408983886529203,-1.2742062934392717
3,1,0.1,8553590.0,18670.0,53385.849946668364,-38349.77952734953,13393.110419318831,916.5710000000005,0.0021827092483974564,2.859445631851546,-2.0540856736662843,0.7173599581852614,0.04909325120514196,0.0015657882151609828
3,1,0.5,8553590.0,94709.0,163209.75924707548,-209593.07977140008,-54717.712524324634,24935.775999999998,0.011072426899114874,1.7232761326492252,-2.2130217800990413,-0.5777456474498162,0.26328834640847226,-0.006397046447669882
3,1,1.0,8553590.0,220871.0,222426.8214720837,-468272.5207388204,-265282.3472667367,119919.79900000006,0.025822023267423385,1.0070440278356312,-2.1201177191157754,-1.2010736912801439,0.5429404448750631,-0.031014152802125966
3,1,3.0,8553590.0,754965.0,137736.54684800282,-1397348.1726814604,-1326048.5458334582,1159588.2329999998,0.08826293988839774,0.1824409699098671,-1.850878083992583,-1.7564371140827166,1.5359496572688798,-0.15502830341803364
3,1,5.0,8553590.0,1189870.0,-59989.91960667859,-2141881.1157355173,-2306579.595342197,2867793.635,0.13910767291862247,-0.050417204910350365,-1.8000967464811428,-1.938513951391494,2.410173913956987,-0.26966216469835436
3,1,10.0,8553590.0,1974084.0,-503945.81937317096,-3571308.759339255,-4248973.970712427,8577946.361,0.23079011268952568,-0.2552808387957002,-1.8090966541136317,-2.1523774929093324,4.345279309796341,-0.4967474441389436
3,1,30.0,8553590.0,3526041.0,-1363812.0196200244,-6625522.806597417,-8299626.434217443,37133766.713999994,0.41222936801974375,-0.3867828024745102,-1.8790260256750893,-2.3538088281496,10.53129181254557,-0.970309125667403
3,1,60.0,8553590.0,4532921.0,-1785414.4631594778,-9045579.458482299,-11229890.969641773,80544758.26700002,0.5299436844646517,-0.3938772511498607,-1.9955299151435242,-2.4774071662933843,17.768842269035797,-1.312886281624648
