feature,h_depth,h_size,h_plevel,h_wallet,h_age,h_queue,h_action,h_side,h_dir,h_chg,h_rate,h_cond,h_trans,n_ord,n_ev
h_depth,1.0,0.5419470273514675,0.6394619368823216,0.6723764484732498,0.021693204446339688,-0.00029912419039735723,0.10187602098177578,0.12135984882687033,0.032489036746622874,0.031186427702566945,-0.2939363834662051,-0.35183777235464136,-0.35902109701608337,0.7613180546965044,0.30808137699169513
h_size,0.5419470273514675,1.0,0.375780845805309,0.18183575657942702,-0.10885664065401988,-0.04402844463587231,0.14185973152997222,0.13605233626377228,0.057693492830378744,0.013027369189736565,-0.26061889936217136,-0.3174880919015007,-0.32043246612914167,0.5322181462717733,0.39143305667056855
h_plevel,0.6394619368823214,0.375780845805309,1.0,0.2658591374729708,0.05445858732738005,-0.1810955112693755,0.07634536400963403,0.003452603169575031,0.012334042655983785,0.016988299377400234,-0.2312768724789298,-0.24301391230848668,-0.24306587983173722,0.7466095760631843,0.1736384666273272
h_wallet,0.6723764484732498,0.18183575657942702,0.2658591374729708,1.0,0.1911922893313663,0.1314752749587959,0.027795915411787945,0.06876832882462443,0.002605384590840795,0.011803182007711818,-0.1589592733765937,-0.19816433710146306,-0.2094255412833091,0.48766478987652356,0.10088503194206347
h_age,0.021693204446339688,-0.10885664065401988,0.054458587327380056,0.1911922893313663,1.0,0.07775335580608483,0.012138807041966638,0.04396950092882184,0.00692690707742442,0.007938403638186762,0.01861891761997869,0.007647827726799434,0.0017448958372552575,0.04425333724379198,0.09770969438513251
h_queue,-0.00029912419039735723,-0.04402844463587231,-0.18109551126937554,0.1314752749587959,0.07775335580608485,1.0,-0.039772747805742775,0.018859267518698763,-0.044772872178571774,-0.005348360487926333,0.04679877048717276,0.03219003918232359,0.024654708000171607,0.05017534569353949,-0.035702839981912926
h_action,0.10187602098177578,0.14185973152997222,0.07634536400963404,0.02779591541178794,0.012138807041966638,-0.039772747805742775,1.0,0.07877994455150196,0.2901134582443837,-0.04751211369452988,-0.1314638052563252,-0.15906555211245707,-0.16060035799718309,0.09224245493662223,0.36104601551874344
h_side,0.12135984882687033,0.13605233626377228,0.003452603169575031,0.06876832882462443,0.04396950092882184,0.018859267518698763,0.07877994455150196,1.0,0.06075552178082784,-0.04092981016374843,0.02122449617231093,-0.06185831496004819,-0.07943351033098663,0.10312932949820881,0.3545589157681295
h_dir,0.032489036746622874,0.05769349283037875,0.012334042655983785,0.002605384590840795,0.00692690707742442,-0.044772872178571774,0.29011345824438367,0.06075552178082785,1.0,0.05311579425863669,-0.05879442912612333,-0.07556300610930869,-0.07851081268021015,0.012230965695943726,0.20949178228029253
h_chg,0.03118642770256695,0.013027369189736567,0.01698829937740023,0.011803182007711818,0.007938403638186764,-0.005348360487926333,-0.04751211369452988,-0.04092981016374843,0.053115794258636696,0.9999999999999998,-0.010425338987083154,-0.015982370841762707,-0.016908547615035314,0.02483659170884639,-0.02418888817695145
h_rate,-0.29393638346620515,-0.26061889936217136,-0.23127687247892978,-0.1589592733765937,0.01861891761997869,0.04679877048717275,-0.13146380525632517,0.02122449617231093,-0.05879442912612333,-0.010425338987083156,0.9999999999999998,0.9613735063267628,0.9332857847124884,-0.25171308237282564,-0.4010623100998155
h_cond,-0.35183777235464136,-0.3174880919015007,-0.24301391230848668,-0.19816433710146308,0.007647827726799435,0.03219003918232359,-0.15906555211245704,-0.0618583149600482,-0.07556300610930869,-0.01598237084176271,0.9613735063267629,1.0,0.9822208487691587,-0.3053584477471309,-0.4974192725411376
h_trans,-0.35902109701608337,-0.3204324661291417,-0.24306587983173725,-0.2094255412833091,0.0017448958372552573,0.024654708000171607,-0.16060035799718309,-0.07943351033098663,-0.07851081268021015,-0.01690854761503531,0.9332857847124882,0.9822208487691588,1.0,-0.3135166967577339,-0.5043049575827299
n_ord,0.7613180546965043,0.5322181462717733,0.7466095760631843,0.48766478987652356,0.04425333724379198,0.0501753456935395,0.09224245493662221,0.10312932949820881,0.012230965695943726,0.024836591708846386,-0.2517130823728257,-0.3053584477471309,-0.3135166967577339,0.9999999999999998,0.27493146088749437
n_ev,0.30808137699169513,0.39143305667056855,0.1736384666273272,0.10088503194206346,0.09770969438513252,-0.03570283998191293,0.36104601551874344,0.3545589157681295,0.20949178228029253,-0.024188888176951452,-0.4010623100998155,-0.49741927254113766,-0.5043049575827299,0.2749314608874943,1.0
