dt,h_depth,h_size,h_plevel,h_wallet,h_age,h_queue,h_action,h_side,h_dir,h_chg,h_rate,h_cond,h_trans,n_ord,n_ev,n_grid
2026-05-04,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,196.99083322723644,27.871873517054595,86399
2026-05-05,4.9345202,3.407771,7.1587067,2.7967007,2.1199455,0.2899089,NaN,NaN,NaN,NaN,NaN,NaN,NaN,263.3962314378639,32.49920716674961,86399
2026-05-06,4.468789,3.242077,6.9286404,2.4686124,2.1437268,0.17195335,NaN,NaN,NaN,NaN,1.78189,1.6785363,1.7016467,219.0769337608074,45.48442690308916,86399
2026-05-07,4.839281,3.0677142,7.7910404,3.0031872,2.1808572,0.16582203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,342.8104607692219,49.553027234111504,86399
2026-05-08,4.7642283,2.9786837,7.8636265,2.9775264,2.1561973,0.14532943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,320.66431324436627,53.041933355710135,86399
2026-05-09,4.2094636,2.5844924,7.8221335,3.0057013,2.2020783,0.13383162,NaN,NaN,NaN,NaN,NaN,NaN,NaN,266.41927680162974,7.132451327638494,86394
2026-05-10,4.036447,2.4443862,7.6806755,3.131586,2.2958598,0.22512604,NaN,NaN,NaN,NaN,NaN,NaN,NaN,240.32163566707948,7.177363163925508,86399
2026-05-11,5.059068,3.0044565,7.9350605,3.1437585,2.1630142,0.18534161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,343.0812162177803,54.03038229609139,86399
2026-05-12,5.7294626,3.063164,8.239725,3.780232,2.3436375,0.30632305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400.32178613178394,73.8558200905103,86399
2026-05-13,5.5427847,3.1410978,8.2226095,3.436678,2.3819492,0.33028805,NaN,NaN,NaN,NaN,1.8588029,1.766318,1.7706416,429.38398592576306,66.74304100741907,86399
2026-05-14,5.644508,3.0962946,8.2021,3.5024233,2.4612465,0.37832606,NaN,NaN,NaN,NaN,1.859845,1.7541322,1.7539153,440.5915230500353,75.32633479554161,86399
2026-05-15,5.556174,3.0836954,8.202364,3.4228702,2.360385,0.48106045,NaN,NaN,NaN,NaN,1.8567108,1.7414663,1.7401787,429.5380617831225,99.03633143902128,86399
2026-05-16,5.2084503,2.5916119,8.27379,3.8376105,2.3608675,0.60519445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,404.9969675574949,10.379194203636617,86399
2026-05-17,5.359812,2.5302317,8.152385,3.7460847,2.4017134,0.61482537,NaN,NaN,NaN,NaN,NaN,NaN,NaN,369.2307434113821,15.63882683827359,86399
2026-05-18,5.4955363,2.9343507,8.263818,3.504277,2.3389206,0.55691206,NaN,NaN,NaN,NaN,NaN,NaN,NaN,476.5834611529125,111.88805420355318,82799
2026-05-19,5.569116,3.1368392,8.059337,3.4447498,2.4146976,0.5656158,NaN,NaN,NaN,NaN,1.8649911,1.7522017,1.7505997,409.5054919617125,117.66246137108068,86399
2026-05-20,5.9683104,3.2621653,8.343975,3.7548702,2.5834444,0.55983746,NaN,NaN,NaN,NaN,1.8612295,1.744554,1.7466961,519.4276742472736,99.71020181403156,82799
2026-05-21,6.2437363,3.2315626,8.809969,3.8099937,2.2323446,0.63310325,NaN,NaN,NaN,NaN,1.8568752,1.7418449,1.7438598,751.8014328869547,97.5917892568201,86399
2026-05-22,6.3596888,3.2621703,8.795292,3.8541644,2.2626424,0.6137482,NaN,NaN,NaN,NaN,NaN,NaN,NaN,767.9417007141286,63.24997974513594,86399
2026-05-23,6.1674047,2.9760184,8.710799,4.466191,2.1918416,0.525203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,647.8069608898458,14.96461682697316,86397
2026-05-24,6.066582,3.0875785,8.207357,4.827063,2.527122,0.511263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,406.8821745622056,16.190384147964675,86399
2026-05-25,5.9925604,3.0645862,8.415925,4.6099324,2.605674,0.54110694,NaN,NaN,NaN,NaN,NaN,NaN,NaN,456.004988483663,21.301265060938206,86399
2026-05-26,6.3158655,3.1613257,8.503343,4.4383063,2.463983,0.5987069,NaN,NaN,NaN,NaN,NaN,NaN,NaN,502.9589347098925,99.21434275859674,86399
2026-05-27,6.198185,3.2301216,8.535822,3.9614804,2.3550596,0.5311343,NaN,NaN,NaN,NaN,1.8563833,1.7320796,1.7325011,501.81684561407747,134.84298119542507,82799
2026-05-28,6.5205607,3.2975957,8.91599,4.1961117,2.556324,0.5460491,NaN,NaN,NaN,NaN,1.8414505,1.7044337,1.7079796,698.6928320929641,117.48491301982662,86399
