kind,decile,x_med,absr_med_bp,absr_mean_bp,n
actual,1,-0.0858524739742279,0.8948546019382775,1.6025909715433224,844169
actual,2,-0.030939258635044098,0.4324043766246177,0.8804315501688572,844169
actual,3,-0.013000964187085629,0.16011570551199839,0.6290121536296986,844169
actual,4,-0.004022442037239671,0.05884377969778143,0.4587576383495031,844168
actual,5,-0.0004991668974980712,0.0,0.2631326479792357,460403
actual,6,0.0002828164433594793,0.0,0.21733577139108778,1227935
actual,7,0.0059476380702108145,0.06298439075180795,0.481209233016744,844168
actual,8,0.015067029744386673,0.1509650428488385,0.6202051069619369,844169
actual,9,0.032519347965717316,0.34865679481299594,0.8132662328619252,844169
actual,10,0.08319302648305893,0.5659498856402934,1.2377110576927546,844169
placebo,1,0.0,0.14216611361916875,0.718279692785504,8441582
placebo,2,NaN,NaN,NaN,0
placebo,3,NaN,NaN,NaN,0
placebo,4,NaN,NaN,NaN,0
placebo,5,NaN,NaN,NaN,0
placebo,6,NaN,NaN,NaN,0
placebo,7,NaN,NaN,NaN,0
placebo,8,NaN,NaN,NaN,0
placebo,9,NaN,NaN,NaN,0
placebo,10,NaN,0.49637645133771,1.0081361551354622,106
