feature,horizon_s,target,rho_pooled,rho_partial,rho_day_med,pos_days,n_days,z,p,placebo_pos,placebo_z,backward_rho_med,backward_z,n_obs
h_depth,1,dir,-0.002641546804222762,-0.002423386735814744,-0.0008680009573351264,40,98,-1.8182745801939793,0.06902217598345615,59,2.0203050891044216,-0.003936240158207819,-3.4345186514775166,937987
h_depth,1,vol,0.14626750121015403,-0.0048242310728288836,-0.05285214502761132,34,98,-3.0304576336566322,0.0024418344202767916,41,-1.616244071283537,-0.06844100745219361,-3.4345186514775166,937987
h_depth,2,dir,-0.0029998735700973297,-0.0028548503843776616,-0.00156340362100158,40,98,-1.8182745801939793,0.06902217598345615,55,1.212183053462653,-0.004736688514967962,-4.444671196029727,844198
h_depth,2,vol,0.14189325269351463,-0.022791065900328884,-0.04418270493758533,36,98,-2.626396615835748,0.00862942022077532,44,-1.0101525445522108,-0.07711526731902171,-3.232488142567074,844198
h_depth,5,dir,-0.006512294218129714,-0.003961203650400051,-0.00274445387126394,38,98,-2.2223355980148636,0.026260634117795476,52,0.6060915267313265,-0.0060287964949656565,-5.454823740581938,844199
h_depth,5,vol,0.1094455841033644,-0.03769169884467229,-0.03820759921876671,37,98,-2.424366106925306,0.015335137038007587,45,-0.8081220356417685,-0.05913904846026256,-3.232488142567074,844199
h_depth,10,dir,-0.0045680219757217025,-0.002696239996863874,-0.0032147472826459123,39,98,-2.0203050891044216,0.04335175126086261,52,0.6060915267313265,-0.008561560137450566,-5.858884758402822,844199
h_depth,10,vol,0.08805083038747127,-0.051427052244844944,-0.04759275018687593,37,98,-2.424366106925306,0.015335137038007587,44,-1.0101525445522108,-0.06367321677282899,-3.6365491603879585,844199
h_depth,30,dir,-0.005356923868996619,-0.0008409913930644749,-0.0020840841027894574,43,98,-1.212183053462653,0.22544231699451311,47,-0.40406101782088427,-0.01216630672255566,-3.232488142567074,281399
h_depth,30,vol,0.06008285333974714,-0.05833703290646917,-0.04787576148242026,37,98,-2.424366106925306,0.015335137038007587,45,-0.8081220356417685,-0.06264919625575872,-3.6365491603879585,281399
h_depth,60,dir,-0.005097459049787723,0.000317643648081487,-0.0018430507343402654,48,98,-0.20203050891044214,0.8398928732712689,53,0.8081220356417685,-0.013238416443174826,-3.838579669298401,140699
h_depth,60,vol,0.037969360491437516,-0.06749174914331467,-0.05480491743872846,33,98,-3.232488142567074,0.0012271722863991057,45,-0.8081220356417685,-0.06784589867811419,-3.6365491603879585,140699
h_size,1,dir,-0.00016259860275443923,0.0004838720428510299,0.0006487856113096301,50,98,0.20203050891044214,0.8398928732712689,48,-0.20203050891044214,0.0012258540584116067,0.40406101782088427,937987
h_size,1,vol,0.2506330346552424,0.0429352088205131,0.026178204776196246,59,98,2.0203050891044216,0.04335175126086261,29,-4.040610178208843,0.01045457869727956,0.8081220356417685,937987
h_size,2,dir,0.0012519811948898429,0.0019376694642199103,0.0009701018515191342,54,98,1.0101525445522108,0.31242221124269354,48,-0.20203050891044214,-0.0005253426725434854,-0.20203050891044214,844198
h_size,2,vol,0.25902871766507574,0.04972501673684593,0.02595471454174572,60,98,2.2223355980148636,0.026260634117795476,28,-4.242640687119285,0.014072917057442756,1.0101525445522108,844198
h_size,5,dir,-0.0037036194183112923,-0.0005807837083823053,0.0010934776045040818,53,98,0.8081220356417685,0.4190203335343159,49,0.0,0.0020627959879324586,1.4142135623730951,844199
h_size,5,vol,0.24043847979564906,0.05478041511583272,0.027428533422716714,60,98,2.2223355980148636,0.026260634117795476,28,-4.242640687119285,0.01911089292725648,1.0101525445522108,844199
h_size,10,dir,-0.0019382964500749618,6.0463963399728315e-6,0.0013621856816214148,53,98,0.8081220356417685,0.4190203335343159,41,-1.616244071283537,0.003984642689349856,1.0101525445522108,844199
h_size,10,vol,0.22669153825346242,0.05813071650615674,0.0215326091601414,60,98,2.2223355980148636,0.026260634117795476,30,-3.838579669298401,0.016926452589305526,1.616244071283537,844199
h_size,30,dir,-0.0031582851072758642,0.000498800577881172,0.00036303567315035793,49,98,0.0,1.0,48,-0.20203050891044214,0.004895079442026426,2.0203050891044216,281399
h_size,30,vol,0.20697018607744336,0.06499660492309516,0.029822750023283866,55,98,1.212183053462653,0.22544231699451311,31,-3.6365491603879585,0.01369428687520112,1.212183053462653,281399
h_size,60,dir,-0.0033117405495608552,0.0009418113826576549,-0.0006174151550678563,48,98,-0.20203050891044214,0.8398928732712689,47,-0.40406101782088427,0.0034217503989805017,1.0101525445522108,140699
h_size,60,vol,0.19447666658756968,0.06997750612645655,0.029416479280266875,58,98,1.8182745801939793,0.06902217598345615,30,-3.838579669298401,0.022086858368556762,1.0101525445522108,140699
h_plevel,1,dir,-0.002399960601775516,-0.0016912245652039738,-4.580145238041547e-6,49,98,0.0,1.0,56,1.4142135623730951,-0.0033717543527071324,-3.232488142567074,937987
