feat,side,h,s_dec,q_dec,n,n_fill,sum_as,sum_as2,sum_hs,sum_hs_post,sum_imp,sum_edge,sum_sprT,sum_wait
obi,1,0.1,0,0,249036.0,23254.0,-25376.973527481212,73456.08573254645,13423.654054893863,31707.11392771203,-18153.746624372383,13172.304470174246,176802.02467713392,1106.668
obi,1,0.5,0,0,249036.0,64408.0,-96070.98500915804,507724.5212127638,32894.800248184845,85058.85570536499,-51796.9254605603,26716.395210789255,176802.02467713392,12192.86
obi,1,1.0,0,0,249036.0,90239.0,-140004.55122643363,1300615.7997233053,45818.58012848829,115619.23089116567,-69198.23106403444,27386.412956872522,176802.02467713392,30870.060999999987
obi,1,3.0,0,0,249036.0,131087.0,-204064.98506101684,3939806.3368357504,68777.98984223662,161463.6465328918,-91461.08211933624,4574.522263760065,176802.02467713392,104633.22500000002
obi,1,5.0,0,0,249036.0,150738.0,-234773.11814166667,7141711.985961958,81449.0715816946,183865.4826969115,-100967.59213490984,-19036.68516900103,176802.02467713392,180346.44700000001
obi,1,10.0,0,0,249036.0,175575.0,-283443.411646617,14968589.779897438,97754.61876960994,211738.16735117842,-112251.25635323387,-56110.52884896056,176802.02467713392,356835.0289999999
obi,1,30.0,0,0,249036.0,207048.0,-332279.16119279654,50005977.650245436,119708.08535331163,247554.17695048996,-125729.36366843937,-106973.85787142024,176802.02467713392,914580.9910000005
obi,1,60.0,0,0,249036.0,219639.0,-359698.8594373022,103372210.48145801,129136.20338978851,262397.89927029685,-131038.6575073279,-128609.78312822964,176802.02467713392,1455037.8060000003
obi,1,0.1,0,1,100017.0,5741.0,-5838.186235056494,14611.815157274581,2774.6616655955904,6986.833326506561,-4185.648571225166,2739.231665676029,67895.27475700805,273.75500000000005
obi,1,0.5,0,1,100017.0,17225.0,-23055.094900080134,98362.1141508006,7557.58310071508,20423.546082427325,-12811.652142571002,5882.456020664627,67895.27475700805,3393.1839999999997
obi,1,1.0,0,1,100017.0,25293.0,-34318.83844496714,209748.78821269382,11221.432340414462,29162.083753317944,-17858.780548457016,5910.383510978682,67895.27475700805,9261.588000000003
obi,1,3.0,0,1,100017.0,40576.0,-54801.24727338595,739667.9956604367,19134.745808565902,45065.386635847484,-25725.413143467125,-2231.284801919477,67895.27475700805,37383.41099999999
obi,1,5.0,0,1,100017.0,48785.0,-66414.08622330184,1381292.058660917,24036.221807031383,53778.56027853179,-29473.85600852349,-12166.923084184824,67895.27475700805,69317.478
obi,1,10.0,0,1,100017.0,60132.0,-85770.21649556693,3207288.050476681,30867.704018299166,65749.53162264895,-34539.55793518568,-30011.963779760797,67895.27475700805,150543.244
