feature,r,n
depth_ratio,0.459507254016823,362814
delta1_bp,0.5238845173046636,362858
obi_x_spread,0.5238845173046636,362858
delta1,0.6477616146064945,362858
micro_minus_ask,0.7710897309232937,362858
micro_minus_bid,0.7805937920787377,362858
dollar_depth,0.8399007277524642,362858
qa1,0.9112309893636443,362858
cum_a1,0.9112309893636443,362858
obi_sign,0.9264388069676809,362858
obi_abs,0.9324495072591091,362858
d_depth,0.9525370545678479,362858
log_depth_ratio,0.9562032472465676,362814
depth_vol,0.9657111517054529,362880
obi1,0.9662987714437095,362858
d_obi,0.9709845508882291,362858
obi_vel,0.9709845508882291,362858
obi_acc,0.972133576178999,362858
depth_diff,0.977174093487594,362858
depth_bbo,0.9776952574720766,362858
ofi_norm,0.9782436029418534,362858
qb1,0.9812948301983544,362858
cum_b1,0.9812948301983544,362858
micro_ret,0.9850944348365408,362858
d_micro,0.9872453345258236,362858
micro_mom,0.9915801771208831,362880
obi_persist,0.9969349908570553,362880
obi_streak,0.9969349917204747,362880
micro_persist,0.9996670203673718,362880
micro1,0.9999991413894108,362858
ofi_ewma,0.9999999999999998,362880
ofi_shock,0.9999999999999998,362880
trade_buy_vol,0.9999999999999998,362880
spread_abs,0.9999999999999999,362858
t_since_bbo_chg,0.9999999999999999,362880
bbo_age,0.9999999999999999,362880
spread_duration,0.9999999999999999,362880
ofi_0.1s,0.9999999999999999,362858
ofi_0.5s,0.9999999999999999,362858
ofi_5s,0.9999999999999999,362837
ofi_10s,0.9999999999999999,362816
ofi_streak,0.9999999999999999,362880
ofi_reversal,0.9999999999999999,362880
aggr_sell_int,0.9999999999999999,362880
aggr_acc,0.9999999999999999,362880
size_wgt_imb,0.9999999999999999,362880
best_bid,1.0,362858
best_ask,1.0,362858
mid,1.0,362858
log_mid,1.0,362858
spread_tick,1.0,362858
spread_bp,1.0,362858
spread_rel,1.0,362858
d_bid,1.0,362858
d_ask,1.0,362858
d_mid,1.0,362858
d_spread,1.0,362858
t_since_mid_move,1.0,362880
ofi_0.25s,1.0,362858
ofi_1s,1.0,362858
ofi_2s,1.0,362858
ofi_dollar,1.0,362858
ofi_per_event,1.0,248385
ofi_per_time,1.0,362858
ofi_cum,1.0,362858
d_ofi,1.0,362858
ofi_vel,1.0,362858
ofi_acc,1.0,362857
ofi_sign,1.0,362858
ofi_persist,1.0,362880
ofi_z,1.0,362880
ofi_pct,1.0,345600
trade_buy_cnt,1.0,362880
trade_sell_vol,1.0,362880
trade_sell_cnt,1.0,362880
trade_dollar_imb,1.0,362880
trade_imb,1.0,362880
signed_vol,1.0,362880
signed_cnt,1.0,362880
aggr_buy_int,1.0,362880
aggr_imb,1.0,362880
aggr_mom,1.0,362880
aggr_shock,1.0,362880
tick,NaN,362880
