a,b,r
micro10,micro_notional,1.0000000000000053
depth_cum10,depth_per_tick,1.0000000000000016
spread_abs,spread_tick,1.0000000000000004
ofi_1s,ofi_per_time,1.0000000000000002
add_vol_b,repl_b,1.0000000000000002
add_vol_a,repl_a,1.0000000000000002
t_since_bbo_chg,bbo_age,1.0
obi10,depth_asym,1.0
qa1,cum_a1,1.0
d_ofi,ofi_vel,1.0
obi_persist,obi_streak,0.9999999999999999
qb1,cum_b1,0.9999999999999999
ofi_persist,ofi_streak,0.9999999999999999
cancel_persist,t_since_cancel,0.9999999999999999
d_obi,obi_vel,0.9999999999999998
delta1_bp,obi_x_spread,0.9999999999999998
spread_bp,spread_rel,0.9999999999999994
micro_dw,micro_ew,0.9999999822825754
micro_dw,micro_notional,0.9999999547868067
micro10,micro_dw,0.9999999547803411
micro5,micro_ew,0.9999999532020154
obi10,obi_notional,0.9999999390900024
obi_notional,depth_asym,0.9999999390900024
micro5,micro_dw,0.9999999326067373
dollar_depth,depth_per_bp,0.9999999264307318
micro3,micro_ew,0.999999926211043
micro_ew,micro_notional,0.9999998929607609
micro10,micro_ew,0.9999998929509862
micro2,micro3,0.9999998772560944
micro3,micro_dw,0.9999998746181085
micro2,micro_ew,0.9999998713024894
micro5,micro_notional,0.9999998700138872
micro5,micro10,0.9999998700092245
micro3,micro5,0.9999998677685522
mid,micro_notional,0.9999998449209662
mid,micro10,0.9999998449161926
cancel_vol_a,depl_a,0.9999998252845255
micro2,micro_dw,0.9999998230576116
mid,micro_dw,0.9999998011712753
micro1,micro2,0.9999997791696886
micro2,micro5,0.9999997724943925
mid,micro_ew,0.9999997536705952
micro1,micro_ew,0.9999997534339413
micro3,micro_notional,0.999999753229238
micro3,micro10,0.9999997532150082
mid,micro5,0.9999997449705372
micro1,micro_dw,0.9999997320710435
micro1,micro3,0.9999997027073778
micro2,micro_notional,0.999999681561751
micro2,micro10,0.9999996815458781
mid,micro3,0.9999996595452373
micro1,micro5,0.9999996399456486
best_ask,mid,0.9999996306246185
best_bid,mid,0.9999996303138018
mid,micro2,0.9999996126759817
micro1,micro_notional,0.9999995925623241
micro1,micro10,0.9999995925437918
mid,micro1,0.9999995792837519
best_ask,micro10,0.9999994987518774
best_ask,micro_notional,0.9999994985036809
best_bid,micro_notional,0.9999994522674802
best_bid,micro10,0.9999994520097165
best_ask,micro_dw,0.9999994350468018
cancel_rate,depl_rate,0.999999433285638
best_bid,micro_dw,0.999999428233151
best_bid,micro_ew,0.9999993896312859
best_ask,micro5,0.9999993857335634
best_ask,micro_ew,0.9999993786512876
best_bid,micro5,0.9999993651419066
best_bid,micro3,0.9999993054813854
cancel_vol_b,depl_b,0.999999288645593
best_ask,micro3,0.999999274554819
best_bid,micro2,0.9999992651202599
best_bid,micro1,0.999999252223283
best_ask,micro2,0.9999992211789394
best_ask,micro1,0.999999167298997
best_bid,best_ask,0.9999985218769205
ofi_persist,micro_persist,0.9999717357919276
ofi_streak,micro_persist,0.9999717357919276
t_since_mid_move,t_since_bbo_chg,0.9999340156897069
t_since_mid_move,bbo_age,0.9999340156897069
deep_add_int,repl_intensity,0.9995898657831884
cancel_intensity,add_intensity,0.9992180515930292
cancel_vol_b,cancel_deep_b,0.9990389361226971
cancel_deep_b,depl_b,0.9990382371391543
add_vol_b,add_deep_b,0.9988829337040954
add_deep_b,repl_b,0.9988829337040954
cancel_vol_a,cancel_deep_a,0.9988386780056637
cancel_deep_a,depl_a,0.9988384359305904
add_vol_a,add_deep_a,0.9986902787328206
add_deep_a,repl_a,0.9986902787328206
trade_imb,size_wgt_imb,0.9985978736834435
cancel_persist,micro_persist,0.9980732136124182
t_since_cancel,micro_persist,0.9980732136124182
ofi_persist,cancel_persist,0.9980695644616733
ofi_persist,t_since_cancel,0.9980695644616733
ofi_streak,cancel_persist,0.9980695644616733
ofi_streak,t_since_cancel,0.9980695644616733
log_mid,micro2,0.9977754869244785
log_mid,micro3,0.997775374030168
log_mid,micro1,0.9977753335489885
log_mid,micro_ew,0.9977751680119751
log_mid,micro5,0.9977750358416384
log_mid,micro_dw,0.9977748199521216
log_mid,micro10,0.997774326235175
log_mid,micro_notional,0.9977743262006662
best_ask,log_mid,0.997774229404141
mid,log_mid,0.9977737758648841
best_bid,log_mid,0.9977725844947583
t_since_bbo_chg,spread_duration,0.9974617683742427
bbo_age,spread_duration,0.9974617683742427
t_since_mid_move,spread_duration,0.9973915123204048
delta10,delta10_bp,0.995180489235727
delta5,delta5_bp,0.9949166690897514
ofi_1s,ofi_dollar,0.9946033595468937
ofi_dollar,ofi_per_time,0.9946033595468937
delta1,delta1_bp,0.9944903255132526
delta1,obi_x_spread,0.9944903255132526
d_micro,micro_ret,0.9931861141182435
trade_dollar_imb,signed_vol,0.9930292540123918
t_since_bbo_chg,micro_persist,0.9907722868624418
bbo_age,micro_persist,0.9907722868624418
t_since_bbo_chg,ofi_persist,0.9907185009239425
t_since_bbo_chg,ofi_streak,0.9907185009239425
bbo_age,ofi_persist,0.9907185009239425
bbo_age,ofi_streak,0.9907185009239425
t_since_mid_move,micro_persist,0.9907061229280433
t_since_mid_move,ofi_persist,0.9906524014995286
t_since_mid_move,ofi_streak,0.9906524014995285
obi_near_deep,micro_slope,-1.0000000000000002
