family,n,finite_p50,max_abs_fwd,max_abs_bwd
1 価格と最良気配,17,0.9999393738977073,0.04609374092224268,0.3179415693606834
10 取消,23,1.0,0.012554351350162973,0.08549680790465701
11 指値の到着,6,1.0,0.009510340233839622,0.00872147488462852
12 攻撃的な約定フロー,15,1.0,0.046810225119554974,0.255255310084904
2 板の偏り OBI,19,1.0,0.12854622867324927,0.016905675678045202
3 板の厚み,32,0.9999393738977073,0.029277594076580836,0.007711751701735232
4 マイクロプライス,25,0.9999393738977073,0.14939769292866123,0.9331844575225743
5 板の形,17,0.9999393738977073,0.037278611648900395,0.03729725914308382
6 板の隙間,16,1.0,0.08190393564367253,0.02554841755076296
7 板の弾力性,9,0.9999393738977073,0.12690604156396296,0.007499413585383636
8 OFI,27,0.9999393738977073,0.05719573332783279,0.3698691925546757
9 指値フロー,23,1.0,0.022120697938350142,0.08950773816993589
