feature,family,finite_rate,zero_rate,p05,p50,p95,std
best_bid,1 価格と最良気配,0.9999421296296296,0.0,108.77999877929688,111.41000366210938,115.23999786376953,13.772104057385127
best_ask,1 価格と最良気配,0.9999421296296296,0.0,108.80999755859375,111.44000244140625,115.29000091552734,13.777767740591425
mid,1 価格と最良気配,0.9999421296296296,0.0,108.79000091552734,111.42500305175781,115.26000213623047,13.774930477654287
log_mid,1 価格と最良気配,0.9999421296296296,0.0,4.689419269561768,4.713351726531982,4.747190475463867,0.1239871011362731
spread_abs,1 価格と最良気配,0.9999421296296296,0.0,0.009999999776482582,0.019999999552965164,0.05000000074505806,0.025109489318193637
tick,1 価格と最良気配,1.0,0.0,0.009999999776482582,0.009999999776482582,0.009999999776482582,0.0
spread_tick,1 価格と最良気配,0.9999421296296296,0.0,1.0,2.0,5.0,2.5109489359888575
spread_bp,1 価格と最良気配,0.9999421296296296,0.0,0.8897193074226379,1.9996000528335571,4.2681236267089835,2.1123097704601146
spread_rel,1 価格と最良気配,0.9999421296296296,0.0,0.0000889719303813763,0.00019996000628452748,0.0004268123593647032,0.00021123097708522964
d_bid,1 価格と最良気配,0.9999421296296296,0.7032264890937268,-0.029999999329447746,0.0,0.019999999552965164,0.022463269543084793
d_ask,1 価格と最良気配,0.9999421296296296,0.7029669342303175,-0.019999999552965164,0.0,0.029999999329447746,0.023637557551980198
d_mid,1 価格と最良気配,0.9999421296296296,0.6200771532677314,-0.02500000037252903,0.0,0.02500000037252903,0.020213873719274838
d_spread,1 価格と最良気配,0.9999421296296296,0.67722365152772,-0.019999999552965164,0.0,0.019999999552965164,0.022186988322107453
t_since_mid_move,1 価格と最良気配,1.0,0.379900860456416,0.0,1.0,15.0,7723.096110287557
t_since_bbo_chg,1 価格と最良気配,1.0,0.39018834175084177,0.0,1.0,15.0,7723.0965419378945
bbo_age,1 価格と最良気配,1.0,0.39018834175084177,0.0,1.0,15.0,7723.0965419378945
spread_duration,1 価格と最良気配,1.0,0.3227576692854471,0.0,1.0,17.0,7872.9954708270425
obi1,2 板の偏り OBI,1.0,0.0023463804713804715,-0.9637015879154205,0.002020487328991294,0.9669950067996979,0.681500562665358
obi2,2 板の偏り OBI,1.0,0.00033027029554807334,-0.9436850160360336,0.005910506006330252,0.9494111210107803,0.6470041050350664
obi3,2 板の偏り OBI,1.0,0.00013269266741488964,-0.9125388860702515,-0.00891098566353321,0.9158550649881362,0.602002575808919
obi5,2 板の偏り OBI,1.0,0.00008709783015338571,-0.8077590823173523,0.010329438839107752,0.8197908580303191,0.5119167401532325
obi10,2 板の偏り OBI,1.0,0.00007306864945753835,-0.5679172396659851,0.03342640586197376,0.6095026433467864,0.3849546352223611
obi_dw,2 板の偏り OBI,1.0,0.00006839225589225589,-0.6717461794614792,0.01226072944700718,0.6991508841514588,0.4399938225265693
obi_ew,2 板の偏り OBI,1.0,0.00006839225589225589,-0.7724141538143158,0.009298364631831646,0.7835806906223297,0.49821119573964656
obi_notional,2 板の偏り OBI,1.0,0.00006839225589225589,-0.5682588219642639,0.03291622921824455,0.6090863466262817,0.3849518976213384
depth_diff,2 板の偏り OBI,0.9999421296296296,0.0022886425456018606,-416.8740081787109,0.020000001415610313,423.82102661132797,648.6009116160737
depth_ratio,2 板の偏り OBI,0.9998895202020202,0.000010523048106114418,0.01848197411745787,1.0040491819381714,59.60327911376935,382.90860482033935
log_depth_ratio,2 板の偏り OBI,0.9998895202020202,0.0022776553011900984,-3.99095983505249,0.004040986532345414,4.08771033287048,2.5005124137362276
obi_abs,2 板の偏り OBI,1.0,0.0023463804713804715,0.060299759730696685,0.684706836938858,0.9848172068595886,0.31063849983546055
obi_sign,2 板の偏り OBI,1.0,0.0023463804713804715,-1.0,1.0,1.0,0.9988041165309143
obi_near_deep,2 板の偏り OBI,1.0,0.00009411242050130939,-1.0429884493350983,-0.028990477323532104,0.9970714986324307,0.6657328104582839
d_obi,2 板の偏り OBI,1.0,0.44093247287691734,-1.0778214812278748,0.0,1.0926834940910335,0.5487795715067185
obi_vel,2 板の偏り OBI,1.0,0.44093247287691734,-1.0778214812278748,0.0,1.0926834940910335,0.5487795715067185
obi_acc,2 板の偏り OBI,1.0,0.32797886270108495,-1.695462131500244,0.0,1.6984048366546625,0.9106875646719667
obi_persist,2 板の偏り OBI,1.0,0.18941381406659186,0.0,3.0,41.0,177.53985864069696
obi_streak,2 板の偏り OBI,1.0,0.0,1.0,4.0,42.0,177.53985864069696
qb1,3 板の厚み,0.9999421296296296,0.000021629571950771093,1.8200000524520874,29.80000114440918,485.0000305175781,485.0118599415653
qa1,3 板の厚み,0.9999421296296296,0.00005261247231268644,1.7200000286102295,31.430002212524414,499.51300964355465,440.32136150862175
cum_b1,3 板の厚み,0.9999421296296296,0.000021629571950771093,1.8200000524520874,29.80000114440918,485.0000305175781,485.0118599415653
cum_a1,3 板の厚み,0.9999421296296296,0.00005261247231268644,1.7200000286102295,31.430002212524414,499.51300964355465,440.32136150862175
qb2,3 板の厚み,0.9999421296296296,0.1336146346852985,0.0,28.190000534057617,491.55602111816313,485.5846633955816
qa2,3 板の厚み,0.9999421296296296,0.1397054052300305,0.0,27.98000144958496,468.8570343017577,456.1470706294578
cum_b2,3 板の厚み,0.9999421296296296,0.000014029992616716386,4.948000288009645,100.85000610351562,865.1600341796875,750.4904571721578
cum_a2,3 板の厚み,0.9999421296296296,0.00004092081179875612,5.270000457763672,100.00000762939453,764.550048828125,715.1318606950944
qb3,3 板の厚み,0.9999421296296296,0.10143801578491086,0.0,51.96000289916992,514.4900512695312,504.2136023763039
qa3,3 板の厚み,0.9999421296296296,0.10347470304643752,0.0,54.96000289916992,519.9670104980466,410.76685666560235
cum_b3,3 板の厚み,0.9999421296296296,0.00001344540959101987,14.497000885009768,209.11001586914062,1239.7780761718739,971.8740169063004
cum_a3,3 板の厚み,0.9999421296296296,0.00003799789667027354,15.946000766754153,224.15000915527344,1090.549084472655,920.7627182818169
qb5,3 板の厚み,0.9999421296296296,0.0640305479705908,2.6500000953674316,86.17000579833984,575.3460449218743,448.36261516564895
qa5,3 板の厚み,0.9999421296296296,0.0643000407454369,2.3600001335144043,94.91000366210938,551.9080078124996,448.3383176419404
cum_b5,3 板の厚み,0.9999421296296296,0.000011691660513930321,83.98900527954102,532.77001953125,1883.9650756835936,1300.9126405123582
cum_a5,3 板の厚み,0.9999421296296296,0.00003565956456748748,79.17400054931642,531.9500122070312,1832.304101562499,1365.85887796275
qb10,3 板の厚み,0.9999421296296296,0.04713609852796148,2.559000182151795,107.77000427246094,652.8820556640624,453.38313941920023
qa10,3 板の厚み,0.9999421296296296,0.04588976751717651,2.620000123977661,106.10000610351562,589.0270507812495,491.85317480851364
cum_b10,3 板の厚み,0.9999421296296296,0.00001052249446253729,524.7730285644532,1452.260009765625,3739.9990966796854,2118.7554644943502
cum_a10,3 板の厚み,0.9999421296296296,0.00003390581549039793,509.1300354003906,1355.590087890625,3424.6470703124987,2423.4941402106147
depth_bbo,3 板の厚み,0.9999421296296296,0.000011107077488233805,9.730000495910645,104.94000244140625,791.3610168457027,661.4799079639332
depth_cum10,3 板の厚み,0.9999421296296296,0.00001052249446253729,1573.84208984375,3043.330078125,6530.495410156245,3658.8361290354064
depth_asym,3 板の厚み,1.0,0.00007306864945753835,-0.5679172396659851,0.03342640586197376,0.6095026433467864,0.3849546352223611
near_depth,3 板の厚み,0.9999421296296296,0.00001052249446253729,111.47800369262696,569.260009765625,2055.2711914062493,1384.239083821881
deep_depth,3 板の厚み,0.9999421296296296,0.000036828730618880514,1200.352099609375,2318.830078125,4986.644042968748,2899.608125901233
near_deep_ratio,3 板の厚み,0.999905303030303,0.0,0.04470044560730459,0.21585658192634583,0.940141201019286,2.8388971915438104
dollar_depth,3 板の厚み,0.9999421296296296,0.00001052249446253729,179068.325,352278.75,773482.606249999,388440.93308141764
depth_per_tick,3 板の厚み,0.9999421296296296,0.00001052249446253729,157.38420867919922,304.3330078125,653.0495300292964,365.8836129643633
depth_per_bp,3 板の厚み,0.9999421296296296,0.00001052249446253729,179.07911376953126,352.3076171875,773.6016235351549,388.4059121308572
liq_density,3 板の厚み,0.9999421296296296,0.00001052249446253729,516.4964660644532,1635.9498291015625,4972.067871093749,2910.463137959528
micro1,4 マイクロプライス,0.9999421296296296,0.0,108.79749450683593,111.42654418945312,115.26374130249023,13.774456460092853
delta1,4 マイクロプライス,0.9999421296296296,0.0022886425456018606,-0.014652390312403441,0.000014149729395285249,0.014518048800528049,0.012920688636878978
micro2,4 マイクロプライス,0.9999421296296296,0.0,108.79945220947266,111.42727661132812,115.26192092895508,13.774460547171454
delta2,4 マイクロプライス,0.9999421296296296,0.00027241568997457647,-0.014242305792868138,0.0000459174407296814,0.01418333463370799,0.012428667423805861
micro3,4 マイクロプライス,0.9999421296296296,0.0,108.79821395874023,111.4269790649414,115.26429748535156,13.774486278419408
delta3,4 マイクロプライス,0.9999421296296296,0.00007482662728915406,-0.013378168921917677,-0.00006852075603092089,0.013497418724000444,0.011692702712101388
micro5,4 マイクロプライス,0.9999421296296296,0.0,108.79764175415039,111.42794036865234,115.26924209594726,13.774544185597863
delta5,4 マイクロプライス,0.9999421296296296,0.000029229151284825803,-0.01125510511919856,0.00012315416825003922,0.011289647128432986,0.010219241799022807
micro10,4 マイクロプライス,0.9999421296296296,0.0,108.79774169921875,111.42695617675781,115.27347259521484,13.774532109278388
delta10,4 マイクロプライス,0.9999421296296296,0.000015199158668109418,-0.008038230240345001,0.0002352339361095801,0.00826795343309641,0.00811765944876249
micro_dw,4 マイクロプライス,0.9999421296296296,0.0,108.79802780151367,111.4256362915039,115.27307510375977,13.774489747104486
micro_ew,4 マイクロプライス,0.9999421296296296,0.0,108.79838562011719,111.42603302001953,115.27013473510742,13.7744794314047
micro_notional,4 マイクロプライス,0.9999421296296296,0.0,108.7977409362793,111.42694854736328,115.27347183227539,13.774531732433504
delta1_bp,4 マイクロプライス,0.9999421296296296,0.0022886425456018606,-1.2783258914947508,0.0013880257029086351,1.2489063858985894,1.1100912660241387
delta5_bp,4 マイクロプライス,0.9999421296296296,0.000029229151284825803,-0.9590258896350861,0.011756574735045433,0.9863365173339836,0.8743017708831429
delta10_bp,4 マイクロプライス,0.9999421296296296,0.000015199158668109418,-0.6624262392520904,0.025399554520845413,0.7732119143009175,0.6984018564970534
delta_disagree,4 マイクロプライス,0.9999421296296296,0.00016543699627211405,-1.2074685215950012,-0.0061585321091115475,1.2304893732070923,1.0006935531752816
micro_slope,4 マイクロプライス,1.0,0.00009411242050130939,-0.1107857245951891,0.0032211641082540154,0.11588760539889334,0.07397031227424217
obi_x_spread,4 マイクロプライス,0.9999421296296296,0.0022886425456018606,-2.5566517829895017,0.0027760514058172703,2.4978127717971788,2.2201825320482773
slope_b,5 板の形,0.9999421296296296,0.000012276243539626837,-29.66969890594482,10.476000785827637,55.47469406127929,52.98296609298654
slope_a,5 板の形,0.9999421296296296,0.00003799789667027354,-29.284499168395996,8.748666763305664,45.91082000732422,61.395696577283225
slope_asym,5 板の形,0.9999421296296296,0.00001052249446253729,-66.61331405639649,1.20393967628479,68.2409393310546,81.9286791542662
local_slope_b,5 板の形,0.9999421296296296,0.009353328411144257,-187.13851013183594,3.7700002193450928,218.98501586914062,332.8936999061306
local_slope_a,5 板の形,0.9999421296296296,0.009640358676761246,-179.64500427246094,3.0900001525878906,215.6450149536132,275.06989234538577
deep_slope_b,5 板の形,0.9999421296296296,0.012065793650376092,-89.33740005493162,3.0960001945495605,106.44240264892575,118.69996292075177
deep_slope_a,5 板の形,0.9999421296296296,0.013233790535717731,-81.78020401000975,2.6560001373291016,94.32820510864252,125.35668442895626
curv_b,5 板の形,0.9999421296296296,0.00010522494462537288,-885.421044921875,10.520000457763672,726.6970581054686,1046.9563999687393
curv_a,5 板の形,0.9999421296296296,0.00013854617709007432,-856.6560607910156,11.580000877380371,661.1370422363277,1040.8674187537024
shape_asym,5 板の形,0.9999421296296296,0.00005495080441547251,-1231.235986328125,-1.8000030517578125,1286.553063964842,1468.9481239077588
hhi_b,5 板の形,1.0,0.00006839225589225589,0.1462894082069397,0.21743767708539963,0.445906339585781,0.1319446468686836
gini_b,5 板の形,1.0,0.00006956135428357651,0.3695497512817383,0.5503258407115936,0.731009641289711,0.13095545761448163
entropy_b,5 板の形,1.0,0.00022622053872053873,1.188069897890091,1.7530532479286194,2.056734800338745,0.3506672554474716
hhi_a,5 板の形,1.0,0.00009177422371866816,0.14456354156136514,0.20999844372272491,0.4200247123837468,0.12764095170997042
gini_a,5 板の形,1.0,0.00009294332210998878,0.36311210244894027,0.5302338004112244,0.7252479135990143,0.129929435993803
entropy_a,5 板の形,1.0,0.00026596988402543956,1.229294776916504,1.7931591272354126,2.0668984174728395,0.3435761243647943
liq_conc,5 板の形,1.0,0.00006839225589225589,0.16057424917817115,0.22488809376955032,0.38705495595932,0.1037830285769799
gap12_b,6 板の隙間,1.0,0.0,1.0,1.0,2.0,0.5616154425804242
max_gap_b,6 板の隙間,1.0,0.002337612233445567,1.0,1.0,1.0,0.04829231618478844
mean_gap_b,6 板の隙間,1.0,0.002337612233445567,0.8571428656578064,1.0,1.0,0.1337607274863442
empty_lv_b,6 板の隙間,1.0,0.653617190422746,0.0,0.0,2.0,1.1313798359661125
wall_dist_b,6 板の隙間,1.0,0.0,2.0,9.0,11.0,3.1652759917876736
cliff_b,6 板の隙間,1.0,0.0,1.0,1.0,7.0,2.0006494169928355
gap12_a,6 板の隙間,1.0,0.0,1.0,1.0,2.0,0.5845941851549281
max_gap_a,6 板の隙間,1.0,0.0032232042648709315,1.0,1.0,1.0,0.05668170091959004
mean_gap_a,6 板の隙間,1.0,0.0032232042648709315,0.8333333134651184,1.0,1.0,0.13700035444223377
empty_lv_a,6 板の隙間,1.0,0.6528461700336701,0.0,0.0,2.0,1.1576350924930303
wall_dist_a,6 板の隙間,1.0,0.0,2.0,9.0,11.0,3.195061027226702
cliff_a,6 板の隙間,1.0,0.0,1.0,1.0,7.0,1.959951833779616
