dt,n_grid_good,n_l0_occ,n_feat_ok,n_carry_out,sec
2026-05-04,863994,701345,700297,1333,35.1
2026-05-05,863999,768879,768774,1555,38.8
2026-05-06,863999,768002,767965,1948,44.0
2026-05-07,863996,746907,746906,1484,41.3
2026-05-08,863997,731949,731934,2092,40.0
2026-05-09,863946,715497,715497,2290,30.5
2026-05-10,863994,680610,680591,2410,34.3
2026-05-11,863999,763708,763471,3197,48.3
2026-05-12,863997,750940,750940,3180,47.9
2026-05-13,863997,717754,717743,3223,47.3
2026-05-14,863995,724139,724139,3062,56.1
2026-05-15,863999,726962,726962,2843,49.0
2026-05-16,863994,667439,667439,2680,41.0
2026-05-17,863993,703133,703127,2719,37.3
2026-05-18,863998,700193,700171,3282,59.2
2026-05-19,863996,734902,734901,3644,59.5
2026-05-20,863995,686697,686697,4388,52.0
2026-05-21,863996,714294,714294,4401,54.1
2026-05-22,863996,705743,705743,4142,47.5
2026-05-23,863979,713091,713091,4102,40.4
2026-05-24,863999,689276,689276,4407,39.4
2026-05-25,863998,666971,666971,4430,39.2
2026-05-26,863997,717759,717741,5227,54.7
2026-05-27,863999,725894,725854,6892,66.7
2026-05-28,863995,713933,713933,6858,62.0
2026-05-29,863996,720418,720418,6357,54.7
2026-05-30,863994,658431,658431,6578,41.2
2026-05-31,863997,628626,628626,6517,39.6
2026-06-01,863997,446105,446105,6611,61.9
2026-06-02,863998,406680,406680,7079,63.6
2026-06-03,863998,381336,381336,6386,60.4
2026-06-04,863998,478564,478561,6764,67.2
2026-06-05,863998,728160,728158,6997,79.5
2026-06-06,863998,701406,701406,7486,49.7
2026-06-07,863997,716812,716812,7866,49.6
2026-06-08,863996,708064,708064,8378,69.2
2026-06-09,863999,684191,684191,9205,74.2
2026-06-10,863997,695532,695532,9835,78.8
2026-06-11,863997,700955,700955,9816,69.2
2026-06-12,863998,665305,665305,9415,63.2
2026-06-13,863992,660452,660452,9324,38.9
2026-06-14,863995,450190,450190,9436,37.0
2026-06-15,863999,285388,285388,9102,59.6
2026-06-16,863998,324107,324107,9417,53.0
2026-06-17,863998,297994,297994,9264,54.0
2026-06-18,863999,275249,275249,9616,60.1
2026-06-19,863998,316906,316906,9806,49.8
2026-06-20,863996,334666,334666,9490,37.3
2026-06-21,863996,352643,352643,9583,43.3
2026-06-22,863997,274821,274821,9787,52.8
2026-06-23,863998,363346,363346,11028,68.4
2026-06-24,863999,382140,382140,11294,72.3
2026-06-25,863999,358712,358712,11517,73.8
2026-06-26,863999,327552,327552,10952,64.0
2026-06-27,863999,307449,307449,11537,35.1
2026-06-28,863979,321386,321386,11160,37.4
2026-06-29,863999,332472,332472,12070,57.1
2026-06-30,863998,289912,289912,12292,49.8
2026-07-01,863998,290575,290575,11878,53.3
2026-07-02,863999,500656,500656,12468,69.6
2026-07-03,863999,323116,323116,12573,46.3
2026-07-04,863999,271035,271035,12731,34.0
2026-07-05,863997,302274,302274,12775,35.8
2026-07-06,863999,400982,400982,12678,53.8
2026-07-07,863998,680427,680427,12709,57.0
2026-07-08,863998,667625,667625,12838,62.4
2026-07-09,863997,510502,510502,12897,57.4
2026-07-10,863997,596910,596910,12863,53.4
2026-07-11,863998,551861,551861,12729,32.9
2026-07-12,863994,532678,532678,12453,33.3
2026-07-13,863998,615548,615548,12595,56.4
2026-07-14,863999,622081,622081,12588,56.0
2026-07-15,863997,601195,601195,13254,53.3
2026-07-16,863997,615945,615945,13992,58.6
2026-07-17,863999,650403,650401,13628,66.4
2026-07-18,863997,480625,480625,14211,31.5
2026-07-19,863997,524948,524948,14037,35.1
2026-07-20,863999,625876,625876,14218,58.2
2026-07-21,863999,612941,612941,13788,52.2
2026-07-22,863999,638325,638325,14317,58.5
2026-07-23,863998,628826,628826,14704,62.8
2026-07-24,863998,627522,627522,14092,58.7
2026-07-25,863999,539496,539496,13760,32.9
2026-07-26,863996,528459,528459,13896,33.9
2026-07-27,863999,624495,624495,12947,61.2
2026-07-28,863999,642486,642486,12991,70.2
2026-07-29,863999,699936,699936,15005,87.8
2026-07-30,863999,610131,610131,16983,69.3
2026-07-31,863999,624726,624726,16106,70.1
2026-08-01,863997,496469,496469,16307,34.1
2026-08-02,863988,538318,538318,16188,40.1
2026-08-03,863998,582126,582126,16414,62.8
2026-08-04,863999,573225,573225,16419,69.6
2026-08-05,863999,583433,583433,16333,72.0
2026-08-06,863999,551556,551556,16110,68.4
2026-08-07,863996,546465,546465,15761,62.2
2026-08-08,863999,513780,513780,15483,34.5
2026-08-09,863997,514327,514327,15612,33.3
