var,q,n,fills,ev_rt,se_rt,ev_mk,per_fill_rt
OBI,1,1804205,34164,-0.027731263049444656,0.0017589505473163708,0.003817504056189661,-1.6884245473413717
OBI,2,2339828,29468,-0.017455078386134245,0.0009100073247003129,0.0037549835042118207,-1.5366332699720437
OBI,3,2765794,28822,-0.014022508368590314,0.0005240384461879472,0.0030425096242695047,-1.451211979481389
OBI,4,2965220,26376,-0.011961920778313796,0.0006750358235719572,0.003203354212670149,-1.4790722444822764
OBI,5,3580443,25267,-0.009038205650987069,0.0007394632999627065,0.003036623844126001,-1.4100179320232553
OFI 1s,1,2265716,42219,-0.028511427326691166,0.0027579629507454837,0.004764505907842215,-1.5877090424001532
OFI 1s,2,1445739,17927,-0.01792572209814998,0.0011475390956622639,0.003009226311804494,-1.355900019215968
OFI 1s,3,2102421,20167,-0.013256448323088862,0.0008875239073773994,0.002656024862800273,-1.3863539052369809
OFI 1s,4,2903750,27062,-0.011535819114052276,0.0006585594078788024,0.003121553492941436,-1.4802211243904115
OFI 1s,5,4737864,36722,-0.00947407786793299,0.0007130596196914548,0.0038411400997086674,-1.6359555235464103
スプレッド,1,7778471,79718,-0.015712130199434522,0.001504605279845184,0.0012654181692249098,-1.5744168079700402
スプレッド,2,2598591,27606,-0.014103151364713372,0.0014986805927820832,0.004030652812807309,-1.5306224082866575
スプレッド,3,1742120,20335,-0.013989695910145584,0.001680873719792413,0.0065962954003553195,-1.459768533468981
スプレッド,4,888631,10108,-0.013223073920868633,0.0011198366878261857,0.010169915004316868,-1.4231194159501566
スプレッド,5,447677,6330,-0.015389557317447641,0.00388292416995868,0.020431867439507766,-1.2002534330146104
