dt,opens,terms,orphan,orphan_resting,matched,pending,gaps,gap_censored,neg_queue,no_bbo,cross_new
2026-05-04,1204325,1220067,17059,774,1203008,1317,0,0,0,10,656
2026-05-05,1403763,1423173,19616,586,1403557,1523,0,0,383,1,1082
2026-05-06,1964935,1995382,30828,351,1964554,1904,0,0,70,1,989
2026-05-07,2140320,2162452,21660,256,2140792,1432,0,0,181,6,992
2026-05-08,2291465,2314641,23763,432,2290878,2019,0,0,5,3,1185
2026-05-09,308265,316870,8793,38,308077,2207,0,0,0,83,327
2026-05-10,310071,323680,13714,138,309966,2312,0,0,0,8,1308
2026-05-11,2334092,2385170,51825,736,2333345,3059,0,0,310,1,3596
2026-05-12,3190150,3240486,50301,819,3190185,3024,0,0,1367,1,3548
2026-05-13,2883015,2923631,40634,536,2882997,3042,0,0,730,2,2455
2026-05-14,3253779,3297687,43717,390,3253970,2851,0,0,1315,23,6893
2026-05-15,4277877,4324774,46593,591,4278181,2547,0,0,713,0,6595
2026-05-16,448258,458331,9875,45,448456,2349,0,0,17,4,998
2026-05-17,675579,689235,13682,88,675553,2375,0,0,38,13,1095
2026-05-18,4631809,4676928,45643,1339,4631285,1029,1,1870,314,2,8900
2026-05-19,5082868,5132564,50157,678,5082407,1490,0,0,802,10,8339
2026-05-20,4128074,4162452,35327,1165,4127125,924,1,1515,375,17,14191
2026-05-21,4215766,4254131,38633,583,4215498,1192,0,0,427,5,20209
2026-05-22,2732115,2759597,27249,273,2732348,959,0,0,815,24,12444
2026-05-23,646387,663852,17410,149,646442,904,0,0,446,6,2157
2026-05-24,699515,714876,15616,125,699260,1159,0,0,930,0,1178
2026-05-25,920195,938588,18389,114,920199,1155,0,0,832,4,2772
2026-05-26,4286052,4339225,54150,934,4285075,2132,0,0,1193,10,17507
2026-05-27,5582254,5673892,93256,2020,5580636,1376,1,2374,8,1,26178
2026-05-28,5074909,5142434,67802,1077,5074632,1653,0,0,254,47,15567
2026-05-29,3185292,3225654,40345,982,3185309,1636,0,0,7,11,8781
2026-05-30,595791,608195,12630,74,595565,1862,0,0,182,4,1264
2026-05-31,634573,650935,16362,201,634573,1862,0,0,118,7,1856
2026-06-01,3268594,3319138,50656,691,3268482,1974,0,0,243,12,9868
2026-06-02,3250777,3299122,48783,611,3250339,2412,0,0,342,0,8246
2026-06-03,3060544,3104061,42786,550,3061275,1681,0,0,134,3,6950
2026-06-04,5011615,5068411,57064,672,5011347,1949,0,0,1215,2,11684
2026-06-05,7580584,7664840,84237,875,7580603,1930,0,0,752,0,25729
2026-06-06,1555697,1598976,43634,245,1555342,2285,0,0,12,24,5871
2026-06-07,1808354,1845219,37095,369,1808124,2515,0,0,379,39,6260
2026-06-08,6413809,6487061,73632,726,6413429,2895,0,0,1269,29,18940
2026-06-09,6513332,6599124,86485,1687,6512639,3588,0,0,2370,0,22869
2026-06-10,8505889,8580441,75086,821,8505355,4122,0,0,3497,34,25033
2026-06-11,7052469,7114590,61995,830,7052595,3996,0,0,2083,24,20439
2026-06-12,5410249,5460983,50265,666,5410718,3527,0,0,4079,3,10322
2026-06-13,750329,768310,17875,52,750435,3421,0,0,745,10,624
2026-06-14,792672,812794,20222,202,792572,3521,0,0,625,18,1890
2026-06-15,2978870,3018380,39140,429,2979240,3151,0,0,1703,10,7039
2026-06-16,4140289,4185500,45525,935,4139975,3465,0,0,1420,6,8315
2026-06-17,4631290,4678561,47096,625,4631465,3290,0,0,3097,4,10451
2026-06-18,3720955,3762037,41415,467,3720622,3623,0,0,365,10,8300
2026-06-19,1713034,1744715,31849,290,1712866,3791,0,0,174,6,3587
2026-06-20,895284,909554,13951,104,895603,3472,0,0,206,10,1300
2026-06-21,784400,800681,16352,107,784329,3543,0,0,33,8,1469
2026-06-22,3773253,3820058,46974,507,3773084,3712,0,0,411,60,7861
2026-06-23,6422617,6526903,105426,1364,6421477,4852,0,0,2156,2,20109
2026-06-24,6850418,6970271,120033,1650,6850238,5032,0,0,2289,5,26855
2026-06-25,6084765,6180519,95940,1592,6084579,5218,0,0,1342,0,19819
2026-06-26,6709182,6797013,87249,1010,6709764,4636,0,0,2289,3,17614
2026-06-27,817142,833761,17196,466,816565,1026,1,4187,147,0,1583
2026-06-28,1075765,1098603,22761,484,1075842,949,0,0,376,8,2185
2026-06-29,5785101,5875364,91791,1661,5783573,2477,0,0,1805,1,16446
2026-06-30,4232491,4278763,46662,695,4232101,2867,0,0,2358,4,9033
2026-07-01,5413915,5499369,85432,1404,5413937,2845,0,0,2763,10,12359
2026-07-02,9123960,9231165,108150,2232,9123015,3790,0,0,6393,11,32905
2026-07-03,2881335,2937151,55916,408,2881235,3890,0,0,2572,0,11506
2026-07-04,730991,747156,16331,63,730825,4056,0,0,2931,2,856
2026-07-05,1156288,1185111,28854,136,1156257,4087,0,0,1316,36,1757
2026-07-06,6306333,6394897,88451,1185,6306446,3974,0,0,5446,6,20231
2026-07-07,8908058,9022343,114776,1908,8907567,4465,0,0,1096,3,51054
2026-07-08,10664065,10772964,109036,1053,10663928,4602,0,0,2271,44,56246
2026-07-09,9792902,9903922,111067,1144,9792855,4649,0,0,6212,18,34878
2026-07-10,8963765,9069567,105756,754,8963811,4603,0,0,9017,64,31692
2026-07-11,1484375,1505861,21377,113,1484484,4494,0,0,2108,10,805
2026-07-12,1717674,1746358,28405,84,1717953,4215,0,0,907,12,2283
2026-07-13,10362264,10462629,100510,748,10362119,4360,0,0,1914,49,44875
2026-07-14,9665270,9777137,111852,494,9665285,4345,0,0,4957,11,43752
2026-07-15,8650505,8744245,94402,764,8649843,5007,0,0,5704,53,38434
2026-07-16,11154353,11269314,115758,935,11153556,5804,0,0,2444,43,63583
2026-07-17,14491839,14645641,153442,1046,14492199,5444,0,0,3091,7,83101
2026-07-18,1047422,1062904,16064,487,1046840,433,2,5593,149,20,557
2026-07-19,2168351,2191545,23916,1050,2167629,1155,0,0,456,10,9186
2026-07-20,11802051,11889080,87807,1208,11801273,1933,0,0,2579,16,88604
2026-07-21,9622392,9732929,111597,2288,9621332,2993,0,0,3322,2,67163
2026-07-22,10844039,10968345,124949,795,10843396,3636,0,0,4488,8,72954
2026-07-23,14188586,14340669,152671,854,14187998,4224,0,0,15225,13,95905
2026-07-24,12668909,12803941,134561,796,12669380,3753,0,0,5757,0,79865
2026-07-25,1282834,1304463,21448,196,1283015,3572,0,0,616,11,1711
2026-07-26,1941995,1967343,25487,68,1941856,3711,0,0,648,5,7790
2026-07-27,13938193,14096235,157129,810,13939106,2798,0,0,3573,14,81745
2026-07-28,18301575,18471878,170756,1489,18301122,3251,0,0,4849,2,100640
2026-07-29,23485989,23737521,253727,1788,23483794,5446,0,0,11593,13,147692
2026-07-30,16388066,16612403,226374,2705,16386029,3489,1,3994,5291,0,98234
2026-07-31,16816963,17040816,223926,2209,16816890,3562,0,0,7787,0,89348
2026-08-01,1509297,1542454,33380,97,1509074,3785,0,0,1247,60,1686
2026-08-02,3464709,3541432,76662,236,3464770,3724,0,0,634,10,5204
2026-08-03,14067920,14195861,128181,895,14067680,3964,0,0,6639,9,69508
2026-08-04,17801291,17943774,142538,830,17801236,4019,0,0,7784,0,84816
2026-08-05,18496931,18659253,162313,804,18496940,4010,0,0,13444,0,109267
2026-08-06,16548173,16686073,137663,539,16548410,3773,0,0,12223,17,73660
2026-08-07,12856033,12993048,136903,664,12856145,3661,0,0,10937,10,58021
2026-08-08,1075948,1091428,15198,29,1076230,3379,0,0,639,1,1587
2026-08-09,1224415,1238780,14492,108,1224288,3506,0,0,967,3,2945
