cov,bin_lab,n,p_tau0,fill_final,cancel_final,median_life_s,S_1s,S_60s,h_fill_1s,fill_h0,median_h0,fill_h1,median_h1
all,全体,549920651,0.10449199697357792,0.009153907092387004,0.9908351568704524,0.5651745283809453,0.39063713047062926,0.021863095115420565,0.0035111758401778683,0.011567467977039813,0.6675262455457,0.008271811047825322,0.5423657980224373
queue,先頭 0,213947625,0.1323500459516669,0.013789197992467547,0.9861949231733353,0.5422080527528435,0.38431351373010336,0.027449922568284733,0.0047346277071482175,0.01584854049966164,0.6444660389379477,0.01271156793773473,0.5055144078350261
queue,0-1,56412318,0.09896700220685843,0.009142766678115921,0.9908461097145634,0.6522389982574741,0.41721292321176956,0.02326156934428625,0.0037552175388218074,0.009155902818671895,0.5868712971706023,0.00914109148816195,0.6805904751847229
queue,1-3,47395000,0.09633225023736681,0.008072813378260848,0.9919176713770568,0.595839333455313,0.394189867771772,0.017581038597367992,0.0037725759817766073,0.011451417230985216,0.6388867031746736,0.007260346470847138,0.5865929007711765
queue,3-10,59544912,0.09272950138880044,0.006926921750111313,0.9930663755442327,0.5450583126466264,0.378266580849596,0.01645671473558186,0.0032690023525266875,0.008182896466833548,0.5946760573898089,0.006578159391445397,0.5353601103244682
queue,10-30,79287186,0.08709382118820562,0.005287026963205772,0.994709080985163,0.5426926718472345,0.37688126460057175,0.01625012025232725,0.0024687983168241398,0.005962590156923343,0.6650679009640584,0.00511175850558108,0.5230088523091742
queue,30-100,67821832,0.07478535820147117,0.0040603020880691735,0.9959349355319366,0.5735161177871861,0.3884554069553381,0.01600547117562502,0.0018006664103281764,0.003943884888522401,0.8676191933927324,0.004085197657859786,0.5399004044890392
queue,100-300,23058174,0.05939000200102575,0.0029179603864608566,0.9970729135338368,0.7572994815915828,0.44689448288599565,0.02224673109584111,0.001013961502279452,0.0028975122321048866,1.1919813373552568,0.002926082090949083,0.6823168038137339
queue,300+,2453604,0.05265927183033611,0.004512471284560436,0.9953630129123267,1.275472742383256,0.5387391992708129,0.056167346159383943,0.0010743729532141822,0.002120569683433556,3.96799479992147,0.0057582302710014605,0.8386265757518419
size,-0.3,42853539,0.05474084649111477,0.037356400376200895,0.9625916579714066,0.8891777300241775,0.4736725028617096,0.04174226523817325,0.01240104942393052,0.035391850961533015,0.5052203138065539,0.03883445686622055,1.1736906531315001
size,0.3-1,61389259,0.08786919874696647,0.019912440527557963,0.9800706659774282,0.7309094086203072,0.43513534278861754,0.03241655006238078,0.006806971004766658,0.0275176042850779,1.0971069918735434,0.01730364878542685,0.635935066143824
