ts,open,high,low,close,volume,n_trades,dtm
1777593600,505.7,509.49,505.69,509.26,1391.953,654,2026-05-01T00:00:00.000000
1777597200,509.28,511.73,507.62,511.54,629.869,607,2026-05-01T01:00:00.000000
1777600800,511.57,512.35,510.15,510.25,262.496,270,2026-05-01T02:00:00.000000
1777604400,510.15,513.36,509.92,511.47,452.786,260,2026-05-01T03:00:00.000000
1777608000,511.71,511.95,509.42,510.16,76.356,70,2026-05-01T04:00:00.000000
1777611600,510.14,510.69,509.48,510.22,99.995,115,2026-05-01T05:00:00.000000
1777615200,510.26,510.33,508.02,508.02,131.637,77,2026-05-01T06:00:00.000000
1777618800,508.2,510.24,507.8,508.9,104.77,165,2026-05-01T07:00:00.000000
1777622400,509.16,510.18,505.88,506.59,253.773,406,2026-05-01T08:00:00.000000
1777626000,506.56,508.21,505.05,508.21,198.377,353,2026-05-01T09:00:00.000000
1777629600,508.29,510.05,507.52,509.08,292.684,421,2026-05-01T10:00:00.000000
1777633200,509.44,509.5,505.95,508.49,434.338,479,2026-05-01T11:00:00.000000
1777636800,509.03,512.0,508.1,509.05,1277.096,543,2026-05-01T12:00:00.000000
1777640400,509.21,541.42,509.05,541.15,7308.124,1990,2026-05-01T13:00:00.000000
1777644000,541.87,545.9,527.75,528.8,7226.037,2312,2026-05-01T14:00:00.000000
1777647600,528.03,534.48,525.69,532.41,5129.429,1557,2026-05-01T15:00:00.000000
1777651200,532.34,535.17,529.69,531.66,1293.921,1194,2026-05-01T16:00:00.000000
1777654800,531.66,537.17,529.0,536.32,787.332,793,2026-05-01T17:00:00.000000
1777658400,535.44,543.76,534.62,540.64,1030.527,805,2026-05-01T18:00:00.000000
1777662000,540.54,543.7,538.57,542.65,864.722,672,2026-05-01T19:00:00.000000
1777665600,542.11,543.18,539.79,540.62,938.416,504,2026-05-01T20:00:00.000000
1777669200,540.46,540.79,539.19,540.22,12032.433,460,2026-05-01T21:00:00.000000
1777672800,540.26,540.4,540.06,540.4,8918.546,296,2026-05-01T22:00:00.000000
1777676400,540.4,540.4,539.19,539.74,2333.706,583,2026-05-01T23:00:00.000000
1777680000,539.74,540.4,538.16,540.14,767.502,1032,2026-05-02T00:00:00.000000
1777683600,540.14,540.4,539.76,540.4,533.003,527,2026-05-02T01:00:00.000000
1777687200,540.4,540.4,540.0,540.4,1246.823,785,2026-05-02T02:00:00.000000
1777690800,540.4,540.4,538.24,540.4,310.53,162,2026-05-02T03:00:00.000000
1777694400,540.38,540.4,538.8,539.45,74.04,444,2026-05-02T04:00:00.000000
1777698000,539.34,539.45,539.34,539.45,175.162,350,2026-05-02T05:00:00.000000
1777701600,539.44,540.4,539.44,539.83,110.484,103,2026-05-02T06:00:00.000000
1777705200,539.86,540.4,538.73,539.86,32.763,114,2026-05-02T07:00:00.000000
1777708800,539.57,540.4,538.27,540.1,263.477,241,2026-05-02T08:00:00.000000
1777712400,540.1,540.4,539.19,539.48,168.676,289,2026-05-02T09:00:00.000000
1777716000,539.47,540.4,539.04,539.96,65.727,200,2026-05-02T10:00:00.000000
1777719600,540.15,540.4,539.88,540.4,118.485,544,2026-05-02T11:00:00.000000
1777723200,540.4,543.36,540.12,542.37,260.879,689,2026-05-02T12:00:00.000000
1777726800,542.57,543.79,542.09,543.34,319.623,825,2026-05-02T13:00:00.000000
1777730400,542.69,543.34,542.1,543.33,170.967,627,2026-05-02T14:00:00.000000
1777734000,542.36,542.77,542.1,542.51,74.778,259,2026-05-02T15:00:00.000000
1777737600,542.49,542.81,540.98,541.49,205.402,554,2026-05-02T16:00:00.000000
1777741200,541.92,543.61,541.92,542.09,88.763,218,2026-05-02T17:00:00.000000
1777744800,541.95,543.5,540.34,543.1,110.856,252,2026-05-02T18:00:00.000000
1777748400,543.1,544.29,542.91,544.13,177.987,315,2026-05-02T19:00:00.000000
1777752000,544.12,547.07,544.12,544.34,153.329,349,2026-05-02T20:00:00.000000
1777755600,544.34,551.0,544.31,545.31,313.384,512,2026-05-02T21:00:00.000000
1777759200,545.45,545.85,544.51,545.36,52.309,172,2026-05-02T22:00:00.000000
1777762800,545.31,545.5,544.27,544.27,47.632,98,2026-05-02T23:00:00.000000
1777766400,544.74,546.01,543.83,545.14,164.626,311,2026-05-03T00:00:00.000000
1777770000,544.95,545.96,544.46,544.88,118.569,263,2026-05-03T01:00:00.000000
1777773600,544.75,544.92,543.67,543.91,113.697,262,2026-05-03T02:00:00.000000
1777777200,543.87,544.51,543.19,543.19,192.247,370,2026-05-03T03:00:00.000000
1777780800,543.19,543.76,542.2,543.0,308.129,292,2026-05-03T04:00:00.000000
1777784400,543.06,547.27,542.89,544.8,290.872,641,2026-05-03T05:00:00.000000
1777788000,544.88,545.7,544.03,544.49,78.971,196,2026-05-03T06:00:00.000000
1777791600,544.56,545.4,542.9,544.0,109.529,308,2026-05-03T07:00:00.000000
1777795200,543.94,545.85,543.69,544.72,246.753,788,2026-05-03T08:00:00.000000
1777798800,544.46,544.96,543.31,543.45,114.02,217,2026-05-03T09:00:00.000000
1777802400,543.41,544.74,542.9,543.0,235.819,156,2026-05-03T10:00:00.000000
1777806000,543.01,545.63,543.01,545.25,55.456,133,2026-05-03T11:00:00.000000
1777809600,545.2,546.32,545.0,545.09,49.485,132,2026-05-03T12:00:00.000000
1777813200,545.1,546.81,544.03,544.56,97.757,322,2026-05-03T13:00:00.000000
1777816800,544.5,546.4,543.72,544.21,230.71,478,2026-05-03T14:00:00.000000
1777820400,544.52,545.7,543.49,543.53,281.601,264,2026-05-03T15:00:00.000000
1777824000,543.54,548.04,543.54,546.79,128.049,516,2026-05-03T16:00:00.000000
1777827600,546.73,551.15,545.79,548.9,649.656,448,2026-05-03T17:00:00.000000
1777831200,549.11,549.3,548.03,549.06,31.78,93,2026-05-03T18:00:00.000000
1777834800,549.01,551.29,548.97,550.36,210.778,175,2026-05-03T19:00:00.000000
1777838400,550.33,552.0,545.79,550.37,407.912,619,2026-05-03T20:00:00.000000
1777842000,550.38,553.38,546.5,550.53,675.988,785,2026-05-03T21:00:00.000000
1777845600,551.9,552.0,547.82,548.72,350.491,486,2026-05-03T22:00:00.000000
1777849200,548.94,549.26,545.79,545.79,700.826,522,2026-05-03T23:00:00.000000
1777852800,545.79,557.41,542.0,553.17,15634.992,4694,2026-05-04T00:00:00.000000
1777856400,553.18,555.96,550.85,555.96,1237.127,743,2026-05-04T01:00:00.000000
1777860000,555.74,568.64,555.45,564.85,2633.351,1014,2026-05-04T02:00:00.000000
1777863600,565.07,567.54,562.87,563.73,855.004,616,2026-05-04T03:00:00.000000
1777867200,561.2,567.58,560.15,563.32,1306.736,727,2026-05-04T04:00:00.000000
1777870800,563.32,564.71,562.29,563.2,861.654,751,2026-05-04T05:00:00.000000
1777874400,563.21,563.5,557.17,560.79,467.147,737,2026-05-04T06:00:00.000000
1777878000,560.77,563.6,559.86,560.51,222.809,828,2026-05-04T07:00:00.000000
1777881600,560.83,561.09,553.61,555.85,600.52,860,2026-05-04T08:00:00.000000
1777885200,555.86,561.81,554.83,559.53,1513.102,697,2026-05-04T09:00:00.000000
1777888800,558.93,559.11,545.88,555.62,4690.674,1391,2026-05-04T10:00:00.000000
1777892400,555.62,559.9,555.62,559.76,580.147,578,2026-05-04T11:00:00.000000
1777896000,559.89,561.53,555.26,556.58,944.264,800,2026-05-04T12:00:00.000000
1777899600,556.52,589.5,553.97,589.46,30353.7,3186,2026-05-04T13:00:00.000000
1777903200,589.09,593.79,579.9,585.31,8822.036,2883,2026-05-04T14:00:00.000000
1777906800,584.35,586.53,576.63,581.81,5281.548,1565,2026-05-04T15:00:00.000000
1777910400,581.8,582.25,574.0,579.68,6935.093,1938,2026-05-04T16:00:00.000000
1777914000,579.94,583.08,575.9,578.84,1730.177,1285,2026-05-04T17:00:00.000000
1777917600,578.61,579.35,572.35,577.94,3764.435,1446,2026-05-04T18:00:00.000000
1777921200,577.85,580.88,576.72,576.9,3376.567,916,2026-05-04T19:00:00.000000
1777924800,577.22,580.01,574.87,579.3,910.64,392,2026-05-04T20:00:00.000000
1777928400,579.19,580.15,578.45,578.88,1189.73,381,2026-05-04T21:00:00.000000
1777932000,579.21,579.82,576.83,577.38,1041.972,209,2026-05-04T22:00:00.000000
1777935600,577.67,579.05,577.63,578.38,101.79,116,2026-05-04T23:00:00.000000
1777939200,578.5,583.7,578.27,582.88,1050.738,329,2026-05-05T00:00:00.000000
1777942800,582.77,584.73,581.07,582.66,335.712,171,2026-05-05T01:00:00.000000
1777946400,582.54,583.21,580.84,582.27,138.208,175,2026-05-05T02:00:00.000000
1777950000,582.56,583.98,581.76,583.26,272.21,144,2026-05-05T03:00:00.000000
1777953600,583.04,583.93,582.21,582.52,343.519,140,2026-05-05T04:00:00.000000
1777957200,582.63,584.17,582.29,584.17,103.315,238,2026-05-05T05:00:00.000000
1777960800,584.37,586.72,583.0,586.7,442.521,250,2026-05-05T06:00:00.000000
1777964400,586.33,590.51,586.33,588.91,811.22,491,2026-05-05T07:00:00.000000
1777968000,589.2,598.32,588.07,596.35,5468.076,1478,2026-05-05T08:00:00.000000
1777971600,596.36,598.49,594.62,595.07,2746.312,754,2026-05-05T09:00:00.000000
1777975200,595.31,600.0,594.7,598.48,4598.174,858,2026-05-05T10:00:00.000000
1777978800,598.51,607.94,598.51,603.99,4992.391,1343,2026-05-05T11:00:00.000000
1777982400,603.96,606.14,601.86,603.52,5654.882,1945,2026-05-05T12:00:00.000000
1777986000,603.51,637.84,603.48,636.06,11469.589,3352,2026-05-05T13:00:00.000000
1777989600,635.78,651.9,631.17,637.55,20994.764,4238,2026-05-05T14:00:00.000000
1777993200,636.92,647.34,633.13,645.06,5500.726,1635,2026-05-05T15:00:00.000000
1777996800,645.1,650.34,628.88,640.12,5902.234,2119,2026-05-05T16:00:00.000000
1778000400,640.12,644.62,638.6,639.57,1867.448,1137,2026-05-05T17:00:00.000000
1778004000,639.44,645.39,637.55,645.04,964.931,1077,2026-05-05T18:00:00.000000
1778007600,645.08,647.44,636.0,640.35,2012.647,1152,2026-05-05T19:00:00.000000
1778011200,640.4,649.62,635.45,646.44,13155.634,1107,2026-05-05T20:00:00.000000
1778014800,646.14,665.09,645.63,660.65,3168.054,1012,2026-05-05T21:00:00.000000
1778018400,660.54,686.04,659.11,681.94,3853.555,1648,2026-05-05T22:00:00.000000
1778022000,682.69,682.69,670.99,676.22,2515.08,1273,2026-05-05T23:00:00.000000
1778025600,676.24,678.93,663.3,669.65,1741.226,1391,2026-05-06T00:00:00.000000
1778029200,669.81,674.32,669.03,674.03,1177.851,1466,2026-05-06T01:00:00.000000
1778032800,674.29,675.62,671.6,672.2,676.795,1139,2026-05-06T02:00:00.000000
1778036400,672.69,678.37,672.5,675.14,373.516,1397,2026-05-06T03:00:00.000000
1778040000,675.38,681.35,675.06,678.42,1271.514,3536,2026-05-06T04:00:00.000000
1778043600,679.05,680.55,676.51,678.39,873.483,2519,2026-05-06T05:00:00.000000
1778047200,678.84,680.01,673.2,675.88,1088.836,1948,2026-05-06T06:00:00.000000
1778050800,675.88,677.83,673.1,675.56,597.09,1640,2026-05-06T07:00:00.000000
1778054400,676.36,688.17,675.6,683.76,3538.53,3448,2026-05-06T08:00:00.000000
1778058000,684.23,685.98,675.98,675.98,1904.791,2178,2026-05-06T09:00:00.000000
1778061600,676.49,679.47,670.08,676.24,4354.563,1983,2026-05-06T10:00:00.000000
1778065200,676.56,685.75,673.79,675.81,4747.167,2311,2026-05-06T11:00:00.000000
1778068800,675.67,676.9,663.14,671.38,6503.577,3380,2026-05-06T12:00:00.000000
1778072400,670.88,673.48,641.53,648.16,11758.397,5152,2026-05-06T13:00:00.000000
1778076000,648.4,660.01,628.48,656.02,18392.694,5808,2026-05-06T14:00:00.000000
1778079600,656.12,668.58,652.59,659.75,6345.179,3884,2026-05-06T15:00:00.000000
1778083200,659.55,663.97,650.48,652.79,3850.958,2358,2026-05-06T16:00:00.000000
1778086800,652.44,658.13,650.48,653.36,2665.019,1624,2026-05-06T17:00:00.000000
1778090400,653.32,660.52,652.63,658.36,1936.854,1071,2026-05-06T18:00:00.000000
1778094000,658.2,667.93,656.1,667.77,1760.517,1148,2026-05-06T19:00:00.000000
1778097600,667.6,674.23,657.73,661.43,3091.908,1834,2026-05-06T20:00:00.000000
1778101200,661.74,664.98,652.36,655.92,3886.365,1461,2026-05-06T21:00:00.000000
1778104800,655.92,659.85,654.92,658.42,1550.728,752,2026-05-06T22:00:00.000000
1778108400,658.56,662.39,657.97,659.6,2076.369,1002,2026-05-06T23:00:00.000000
1778112000,659.82,660.18,652.38,655.61,1652.811,1386,2026-05-07T00:00:00.000000
1778115600,655.51,660.58,653.69,659.06,369.485,695,2026-05-07T01:00:00.000000
1778119200,659.37,660.73,657.45,658.71,354.437,454,2026-05-07T02:00:00.000000
1778122800,658.27,661.44,658.25,659.47,77.805,172,2026-05-07T03:00:00.000000
1778126400,659.35,659.51,657.51,657.52,347.915,428,2026-05-07T04:00:00.000000
1778130000,657.51,670.22,657.41,666.38,578.471,703,2026-05-07T05:00:00.000000
1778133600,666.38,669.19,663.79,668.41,704.7,751,2026-05-07T06:00:00.000000
1778137200,668.42,672.72,667.24,669.43,7632.729,1923,2026-05-07T07:00:00.000000
1778140800,669.58,671.08,658.84,660.26,9792.603,2674,2026-05-07T08:00:00.000000
1778144400,659.72,659.96,651.13,652.67,1186.377,1311,2026-05-07T09:00:00.000000
1778148000,652.38,655.07,646.68,654.08,4087.541,2114,2026-05-07T10:00:00.000000
1778151600,654.52,656.15,649.92,654.46,1888.995,1433,2026-05-07T11:00:00.000000
1778155200,654.59,656.87,647.87,653.44,5470.047,1936,2026-05-07T12:00:00.000000
1778158800,653.29,664.4,642.18,660.44,12496.596,4345,2026-05-07T13:00:00.000000
1778162400,660.69,683.78,658.75,668.68,15964.763,4909,2026-05-07T14:00:00.000000
1778166000,668.7,668.7,648.21,649.01,7126.569,2426,2026-05-07T15:00:00.000000
1778169600,648.84,653.93,638.0,647.69,12033.604,3025,2026-05-07T16:00:00.000000
1778173200,648.08,648.73,636.0,647.5,3377.462,1358,2026-05-07T17:00:00.000000
1778176800,647.59,648.76,636.23,639.62,3476.079,1606,2026-05-07T18:00:00.000000
1778180400,640.26,649.51,639.39,646.95,4241.67,1514,2026-05-07T19:00:00.000000
1778184000,647.42,650.87,641.92,643.68,2236.284,915,2026-05-07T20:00:00.000000
1778187600,643.77,644.57,637.81,640.35,1695.647,1284,2026-05-07T21:00:00.000000
1778191200,640.94,648.86,640.65,643.27,6503.252,2646,2026-05-07T22:00:00.000000
1778194800,643.26,646.22,643.1,644.8,839.163,1128,2026-05-07T23:00:00.000000
1778198400,644.79,658.51,644.34,658.51,1514.571,1630,2026-05-08T00:00:00.000000
1778202000,658.37,658.47,652.27,652.69,758.991,678,2026-05-08T01:00:00.000000
1778205600,652.78,653.51,647.85,650.97,310.872,358,2026-05-08T02:00:00.000000
1778209200,651.49,653.57,650.76,653.35,107.33,149,2026-05-08T03:00:00.000000
1778212800,653.33,655.07,651.04,653.68,600.791,349,2026-05-08T04:00:00.000000
1778216400,654.13,660.69,654.13,659.19,660.402,552,2026-05-08T05:00:00.000000
1778220000,659.32,663.0,657.67,662.2,1405.804,1254,2026-05-08T06:00:00.000000
1778223600,662.1,662.74,654.75,657.82,743.991,735,2026-05-08T07:00:00.000000
1778227200,658.53,666.22,656.69,664.63,1245.459,1076,2026-05-08T08:00:00.000000
1778230800,664.4,666.3,659.75,661.94,1070.774,778,2026-05-08T09:00:00.000000
1778234400,661.96,665.01,661.33,661.94,728.278,601,2026-05-08T10:00:00.000000
1778238000,661.47,666.92,659.6,665.47,7650.891,1918,2026-05-08T11:00:00.000000
1778241600,665.79,675.8,663.79,672.5,4329.529,1894,2026-05-08T12:00:00.000000
1778245200,672.53,709.03,670.08,708.88,12914.9,5521,2026-05-08T13:00:00.000000
1778248800,709.17,716.49,703.56,716.01,9956.804,4497,2026-05-08T14:00:00.000000
1778252400,715.88,724.66,710.75,722.54,13604.075,3532,2026-05-08T15:00:00.000000
1778256000,722.42,741.83,722.42,731.38,8098.6,3286,2026-05-08T16:00:00.000000
1778259600,730.94,739.55,730.37,730.99,8546.424,3397,2026-05-08T17:00:00.000000
1778263200,730.92,743.89,727.98,734.84,4342.643,2118,2026-05-08T18:00:00.000000
1778266800,734.45,747.45,732.63,746.82,9362.691,2426,2026-05-08T19:00:00.000000
1778270400,747.33,750.08,743.57,744.69,3932.662,1525,2026-05-08T20:00:00.000000
1778274000,745.35,750.06,744.56,749.63,992.232,983,2026-05-08T21:00:00.000000
1778277600,749.63,761.21,749.36,753.01,5101.337,2580,2026-05-08T22:00:00.000000
1778281200,752.81,760.03,751.63,757.99,6147.205,1151,2026-05-08T23:00:00.000000
1778284800,758.51,761.82,756.57,761.55,954.665,1969,2026-05-09T00:00:00.000000
1778288400,761.3,762.73,759.55,761.55,417.8,1324,2026-05-09T01:00:00.000000
1778292000,761.55,762.93,761.22,762.57,529.403,619,2026-05-09T02:00:00.000000
1778295600,762.5,763.82,761.94,763.0,295.919,537,2026-05-09T03:00:00.000000
1778299200,763.49,764.83,762.3,764.83,539.77,1305,2026-05-09T04:00:00.000000
1778302800,764.82,765.53,763.94,765.49,864.563,822,2026-05-09T05:00:00.000000
1778306400,765.5,766.83,764.44,764.9,657.501,937,2026-05-09T06:00:00.000000
1778310000,765.56,767.67,765.03,767.42,801.371,1385,2026-05-09T07:00:00.000000
1778313600,767.43,767.67,764.44,766.5,851.133,2368,2026-05-09T08:00:00.000000
1778317200,766.5,767.67,765.5,766.7,581.18,1657,2026-05-09T09:00:00.000000
1778320800,766.7,768.79,763.1,767.32,1305.841,1698,2026-05-09T10:00:00.000000
1778324400,767.32,769.37,764.01,768.05,514.819,1401,2026-05-09T11:00:00.000000
1778328000,768.03,768.61,764.17,768.12,487.548,1134,2026-05-09T12:00:00.000000
1778331600,768.12,769.48,766.25,768.51,517.394,1073,2026-05-09T13:00:00.000000
1778335200,767.88,769.69,767.18,768.65,371.468,1234,2026-05-09T14:00:00.000000
1778338800,769.46,770.14,767.31,769.26,628.27,1467,2026-05-09T15:00:00.000000
1778342400,768.29,770.22,768.0,769.3,448.729,1270,2026-05-09T16:00:00.000000
1778346000,769.31,770.5,769.3,770.41,389.794,791,2026-05-09T17:00:00.000000
1778349600,770.29,772.73,768.5,771.64,526.797,1482,2026-05-09T18:00:00.000000
1778353200,771.67,772.9,771.46,772.67,271.841,595,2026-05-09T19:00:00.000000
1778356800,772.67,773.89,770.71,772.51,171.272,760,2026-05-09T20:00:00.000000
1778360400,772.23,773.35,771.0,772.93,97.248,660,2026-05-09T21:00:00.000000
1778364000,772.93,775.5,769.18,769.9,301.95,599,2026-05-09T22:00:00.000000
1778367600,769.89,773.47,768.32,771.89,132.61,681,2026-05-09T23:00:00.000000
1778371200,772.6,772.85,766.59,766.67,831.056,1436,2026-05-10T00:00:00.000000
1778374800,766.84,769.28,765.15,767.87,235.887,675,2026-05-10T01:00:00.000000
1778378400,767.87,771.81,767.85,769.45,206.061,800,2026-05-10T02:00:00.000000
1778382000,769.81,771.79,767.87,771.16,186.134,707,2026-05-10T03:00:00.000000
1778385600,771.39,775.97,771.18,775.78,274.402,499,2026-05-10T04:00:00.000000
1778389200,775.77,778.41,773.36,778.34,539.408,937,2026-05-10T05:00:00.000000
1778392800,778.32,778.8,773.13,777.74,400.87,1025,2026-05-10T06:00:00.000000
1778396400,777.74,777.75,771.52,773.97,521.386,1291,2026-05-10T07:00:00.000000
1778400000,774.66,777.5,772.11,774.96,328.411,1001,2026-05-10T08:00:00.000000
1778403600,774.98,776.69,773.69,774.99,158.091,755,2026-05-10T09:00:00.000000
1778407200,774.99,778.86,773.21,777.5,707.079,1239,2026-05-10T10:00:00.000000
1778410800,777.5,780.27,776.57,777.65,434.784,780,2026-05-10T11:00:00.000000
1778414400,777.37,778.11,773.5,775.85,217.344,792,2026-05-10T12:00:00.000000
1778418000,775.32,778.21,774.01,776.7,335.177,892,2026-05-10T13:00:00.000000
1778421600,776.34,777.64,774.29,774.41,336.754,719,2026-05-10T14:00:00.000000
1778425200,774.71,781.33,771.6,772.78,812.941,1373,2026-05-10T15:00:00.000000
