hist,bin,count
nchild,0,159251278
nchild,1,43895560
nchild,2,18854851
nchild,3,10242954
nchild,4,6613956
nchild,5,11400369
nchild,6,3869114
nchild,7,940020
nchild,8,78329
nchild,9,14739
gap_fill,0,91898
gap_fill,1,0
gap_fill,2,6
gap_fill,3,69
gap_fill,4,33234
gap_fill,5,65926
gap_fill,6,451290
gap_fill,7,294312
gap_fill,8,304351
gap_fill,9,364130
gap_fill,10,422503
gap_fill,11,441666
gap_fill,12,406071
gap_fill,13,324725
gap_fill,14,458643
gap_canc,0,16810357
gap_canc,1,49
gap_canc,2,1215
gap_canc,3,7525
gap_canc,4,4398626
gap_canc,5,9427211
gap_canc,6,36852540
gap_canc,7,38458802
gap_canc,8,48558710
gap_canc,9,56810001
gap_canc,10,60075808
gap_canc,11,56222458
gap_canc,12,46447996
gap_canc,13,34611738
gap_canc,14,42468422
hid_max,0,369699
hid_max,1,155683
hid_max,2,248789
hid_max,3,237128
hid_max,4,277759
hid_max,5,293627
hid_max,6,349470
hid_max,7,454886
hid_max,8,724812
hid_max,9,3335359
hid_max,10,238102
hid_max,11,21723
hid_max,12,3591
hid_max,13,535
hid_max,14,170
hid_max,15,59
hid_max,16,7
hid_max,17,0
hid_max,18,0
hid_max,19,0
hid_max,20,0
hid_max,21,0
hid_avg,0,193390
hid_avg,1,87636
hid_avg,2,115457
hid_avg,3,159977
hid_avg,4,194015
hid_avg,5,222729
hid_avg,6,254385
hid_avg,7,297935
hid_avg,8,365297
hid_avg,9,2287922
hid_avg,10,465351
hid_avg,11,413592
hid_avg,12,363229
hid_avg,13,307229
hid_avg,14,238966
hid_avg,15,155324
hid_avg,16,84226
hid_avg,17,39918
hid_avg,18,18784
hid_avg,19,12090
hid_avg,20,6359
hid_avg,21,32038
replen,0,0
replen,1,0
replen,2,0
replen,3,0
replen,4,0
replen,5,0
replen,6,0
replen,7,0
replen,8,0
replen,9,173152562
replen,10,54154756
replen,11,16202890
replen,12,7700682
replen,13,2977012
replen,14,789603
replen,15,149412
replen,16,26232
replen,17,5884
replen,18,1573
replen,19,384
replen,20,105
replen,21,75
hid_max_multi,0,209062
hid_max_multi,1,85359
hid_max_multi,2,145584
hid_max_multi,3,130283
hid_max_multi,4,140066
hid_max_multi,5,153741
hid_max_multi,6,188000
hid_max_multi,7,256157
hid_max_multi,8,423848
hid_max_multi,9,739366
hid_max_multi,10,164377
hid_max_multi,11,21723
hid_max_multi,12,3591
hid_max_multi,13,535
hid_max_multi,14,170
hid_max_multi,15,59
hid_max_multi,16,7
hid_max_multi,17,0
hid_max_multi,18,0
hid_max_multi,19,0
hid_max_multi,20,0
hid_max_multi,21,0
