wid,n_days,n_ord,n_slot,n_fill,n_canc,n_rf_fill,n_rf_canc,n_rf_same,n_rf_fill_same,sz_pl,sz_fl,szt,n_ep,n_modal,ep_child,ep_child_max,rf_fill,rf_canc,same_sz_share,modal_share,turnover_s,ord_per_slot,rf_ratio
18638,44,44252,29571,21,44231,0,35,35,0,709297300,304846,8.406993711336145e+19,40565,15188,1.0773494238530317,6,0.0,0.0007913002193032036,1.0,0.34321612582482147,0.008436990966742016,1.4964661323594062,0.0
5660,31,42372,29697,0,42372,0,7,7,0,429513773,0,4.830731255129819e+19,41369,255,1.0174203904295527,5,,0.0001652034362314736,1.0,0.006018125177003682,0.008891278572863964,1.4268107889685826,
25307,32,78082,50408,16252,61830,3,4829,74,2,231899684,60109874,4.2180712086897787e+18,68832,352,1.0586524802119048,16,0.00018459266551809007,0.07810124535015364,0.015314569536423841,0.0045080812479188544,0.054977659818131165,1.5490001587049675,0.0023635047647511927
14163,6,11105,2340,257,10848,0,272,193,0,113628732,3880916,4.520615164764343e+17,6645,10759,1.4634663942449722,12,0.0,0.025073746312684365,0.7095588235294118,0.9688428635749662,0.25135679074315403,4.745726495726496,0.0
143,75,4365639,681152,8494,4357145,0,427199,422190,0,178310590801,423404745,2.7144106102685316e+20,2903794,62867,1.5627782279366955,39,0.0,0.09804562391198823,0.9882747852874187,0.014400411944276657,0.6569035286203809,6.409199415108522,0.0
280,98,73170,53488,799,72371,1,264,142,0,25060539,146347,5.88064326040555e+17,71099,8692,1.027659882641471,10,0.0012515644555694619,0.0036478700031780686,0.5358490566037736,0.11879185458521252,0.0426153022556783,1.3679703858809453,0.3430945879318846
161,33,1337963,276650,33820,1304143,579,18764,2067,114,109178219365,277870961,4.05431365372396e+21,1137441,77596,1.1783299709202284,33,0.017120047309284448,0.014387992727791354,0.10686036292198728,0.057995624692162635,0.02692890306222801,4.8363021868787275,1.1898843454525767
11144,7,28197,12960,3601,24596,27,489,265,21,14521526,1273589,3.195855625272374e+17,24332,1503,1.2605987549832045,18,0.007497917245209664,0.019881281509188487,0.5135658914728682,0.053303542930098945,0.04543861708008906,2.1756944444444444,0.37713450421917566
8411,51,10177,9242,0,10177,0,0,0,0,40795478,0,2.945825020582867e+19,10149,238,1.0032866011685315,3,,0.0,,0.023386066620811635,0.0013848574750691784,1.1011685782298204,
688,85,1438445,360690,9314,1429131,70,18768,7779,35,2438694999,25841056,2.566443631126185e+19,1126571,471539,1.2509457407610136,256,0.00751556796220743,0.01313245601697815,0.41294192589446865,0.3278116299198092,0.09502234802366855,3.9880368183204413,0.5722895970480321
18775,47,53499,36112,21,53478,1,37,37,1,563005999,203994,6.493494034202939e+19,49199,14315,1.070955045490501,7,0.047619047619047616,0.0006918732936908635,0.9736842105263158,0.2675750948615862,0.008670309020605846,1.4814743021710235,68.82625482625483
5246,88,9883137,827700,13401,9869736,444,292604,1911,4,58952136510,31958912,1.8802809272842456e+20,7308722,38148,1.3618801209270062,33,0.03313185583165435,0.02964658831806646,0.00652111599464934,0.003859908043367202,0.3135283438477813,11.940482058716926,1.1175604921617233
5258,35,15101633,264546,54621,15047012,21501,3578665,3369387,19413,159580506201,472352625,1.7855932538382008e+20,2791201,11494039,7.948237348193275,386,0.3936398088647224,0.23783226862582418,0.935897678051512,0.7611123247399801,0.8937114085639358,57.08509295169838,1.6551152252767958
14553,57,88732,29091,27363,61369,3,1369,1355,3,4802838,1638565,1.01274932762452e+16,66632,45530,1.4130650734801362,55,0.0001096371011950444,0.022307679773175382,0.9876093294460642,0.5131181535409999,0.47423758959834794,3.0501529682719744,0.004914769366865361
13520,60,55405,36971,38,55367,4,41,41,2,866395664,549962,1.1477662656728325e+20,50818,20005,1.0764581198832117,6,0.10526315789473684,0.0007405133021474886,0.9111111111111111,0.3610684956231387,0.0075485374497577685,1.4986070163100809,142.1489088575096
14175,5,11068,4422,0,11068,0,58,58,0,478560000,0,2.7241632242882e+18,8589,11068,1.240634385836367,11,,0.005240332490061439,1.0,1.0,0.17567229295705783,2.5029398462234282,
795,88,67176,49940,803,66373,2,619,398,0,65537357,448406,1.4727530854282696e+18,64146,4287,1.040826507713915,14,0.0024906600249066002,0.009326081388516415,0.6409017713365539,0.0638174347981422,0.04449989455017305,1.345134160993192,0.26706393834107556
22428,40,124821,79375,2572,122249,0,1965,1965,0,169094471,3696033,5.407834945475869e+18,113791,4987,1.0683813317623598,17,0.0,0.016073751114528544,1.0,0.03995321300101746,0.0312684230759414,1.572548031496063,0.0
