n_raw,n_open,n_orphan,n_neg_depth,n_edge,n_grid_ok,n_carry_in,n_carry_out,n_outside_q05,n_outside_q5,n_outside_q50,dt
2548804,1204325,774,0,0,17279,0,1333,0,0,1,2026-05-04
2945767,1403763,589,0,0,17279,1333,1555,0,0,0,2026-05-05
4127030,1964935,351,0,0,17279,1555,1948,0,0,0,2026-05-06
4417745,2140320,256,0,0,17279,1948,1484,0,0,0,2026-05-07
4724540,2291465,432,0,0,17279,1484,2092,0,0,0,2026-05-08
644109,308265,38,0,0,17278,2092,2290,0,0,0,2026-05-09
661506,310071,138,0,0,17279,2290,2410,0,0,0,2026-05-10
4946155,2334092,741,0,0,17279,2410,3197,0,0,0,2026-05-11
6680019,3190150,824,0,0,17279,3197,3180,0,0,0,2026-05-12
5958127,2883015,536,0,0,17279,3180,3223,0,0,0,2026-05-13
6956624,3253779,391,0,0,17279,3223,3062,0,0,0,2026-05-14
8909345,4277877,591,0,0,17279,3062,2843,0,0,0,2026-05-15
962860,448258,45,0,0,17279,2843,2680,0,0,0,2026-05-16
1419526,675579,88,0,0,17279,2680,2719,0,0,0,2026-05-17
9682210,4631809,1327,0,0,17279,2719,3282,0,0,0,2026-05-18
11791386,5082868,462,0,0,17279,3282,3644,0,0,0,2026-05-19
11210461,4128074,880,0,0,17279,3644,4388,0,0,0,2026-05-20
11328159,4215766,291,0,0,17279,4388,4401,0,0,0,2026-05-21
7845285,2732115,197,0,0,17279,4401,4142,0,0,0,2026-05-22
1407313,646387,94,0,0,17279,4142,4102,0,0,0,2026-05-23
1596093,699515,107,0,0,17279,4102,4407,0,0,0,2026-05-24
1924691,920195,90,0,0,17279,4407,4430,0,0,0,2026-05-25
11484395,4286052,651,0,0,17279,4430,5227,0,0,0,2026-05-26
14336084,5582254,1991,0,0,17279,5227,6892,0,0,0,2026-05-27
12961044,5074909,722,0,0,17279,6892,6858,0,0,0,2026-05-28
8457351,3185292,460,0,0,17279,6858,6357,0,0,0,2026-05-29
1403127,595791,59,0,0,17279,6357,6578,0,0,0,2026-05-30
1419378,634573,121,0,0,17279,6578,6517,0,0,0,2026-05-31
8149715,3268594,622,0,0,17279,6517,6611,0,0,0,2026-06-01
7961566,3250777,567,0,0,17279,6611,7079,0,0,0,2026-06-02
7664278,3060544,492,0,0,17279,7079,6386,0,0,0,2026-06-03
12581760,5011615,655,0,0,17279,6386,6764,0,0,0,2026-06-04
18584231,7580584,840,0,0,17279,6764,6997,0,0,0,2026-06-05
3374329,1555697,230,0,0,17279,6997,7486,0,0,0,2026-06-06
3835695,1808354,367,0,0,17279,7486,7866,0,0,0,2026-06-07
15267795,6413809,719,0,0,17279,7866,8378,0,0,0,2026-06-08
15946689,6513332,1679,0,0,17279,8378,9205,0,0,0,2026-06-09
19906266,8505889,817,0,0,17279,9205,9835,0,0,0,2026-06-10
16483190,7052469,803,0,0,17279,9835,9816,0,0,0,2026-06-11
12838630,5410249,654,0,0,17279,9816,9415,0,0,0,2026-06-12
1605829,750329,51,0,0,17279,9415,9324,0,0,0,2026-06-13
1666063,792672,201,0,0,17279,9324,9436,0,0,0,2026-06-14
6990148,2978870,413,0,0,17279,9436,9102,0,0,0,2026-06-15
9807936,4140289,856,0,0,17279,9102,9417,0,0,0,2026-06-16
10993610,4631290,622,0,0,17279,9417,9264,0,0,0,2026-06-17
8712663,3720955,458,0,0,17279,9264,9616,0,0,0,2026-06-18
4007299,1713034,290,0,0,17279,9616,9806,0,0,0,2026-06-19
1916415,895284,104,0,0,17279,9806,9490,0,0,0,2026-06-20
1688451,784400,107,0,0,17279,9490,9583,0,0,0,2026-06-21
8838674,3773253,509,0,0,17279,9583,9787,0,0,0,2026-06-22
14973095,6422617,1351,0,0,17279,9787,11028,0,0,0,2026-06-23
17327014,6850418,1642,0,0,17279,11028,11294,0,0,0,2026-06-24
14289750,6084765,1573,0,0,17279,11294,11517,0,0,0,2026-06-25
15432619,6709182,1009,0,0,17279,11517,10952,0,0,0,2026-06-26
1779067,817142,465,0,0,17279,10952,11537,0,0,0,2026-06-27
2341100,1075765,173,0,0,17279,11537,11160,0,0,0,2026-06-28
13460115,5785101,988,0,0,17279,11160,12070,0,0,0,2026-06-29
9616315,4232491,515,0,0,17279,12070,12292,0,0,0,2026-06-30
12748768,5413915,992,0,0,17279,12292,11878,0,0,0,2026-07-01
22528117,9123960,1837,0,0,17279,11878,12468,0,0,0,2026-07-02
6395045,2881335,393,0,0,17279,12468,12573,0,0,0,2026-07-03
1602194,730991,48,0,0,17279,12573,12731,0,0,0,2026-07-04
2553437,1156288,133,0,0,17279,12731,12775,0,0,0,2026-07-05
14847051,6306333,1184,0,0,17279,12775,12678,0,0,0,2026-07-06
22738040,8908058,1421,0,0,17279,12678,12709,0,0,0,2026-07-07
25815505,10664065,1029,0,0,17279,12709,12838,0,0,0,2026-07-08
22056011,9792902,1143,0,0,17279,12838,12897,0,0,0,2026-07-09
21169251,8963765,755,0,0,17279,12897,12863,0,0,0,2026-07-10
3090630,1484375,82,0,0,17279,12863,12729,0,0,0,2026-07-11
3693465,1717674,83,0,0,17279,12729,12453,0,0,0,2026-07-12
23933554,10362264,732,0,0,17279,12453,12595,0,0,0,2026-07-13
22646904,9665270,488,0,0,17279,12595,12588,0,0,0,2026-07-14
20758595,8650505,754,0,0,17279,12588,13254,0,0,0,2026-07-15
27063355,11154353,857,0,0,17279,13254,13992,0,0,0,2026-07-16
35213663,14491839,1021,0,0,17279,13992,13628,0,0,0,2026-07-17
2289359,1047422,486,0,0,17279,13628,14211,0,0,0,2026-07-18
4737758,2168351,149,0,0,17279,14211,14037,0,0,0,2026-07-19
28337947,11802051,593,0,0,17279,14037,14218,0,0,0,2026-07-20
23435358,9622392,761,0,0,17279,14218,13788,0,0,0,2026-07-21
25871266,10844039,660,0,0,17279,13788,14317,0,0,0,2026-07-22
33623664,14188586,625,0,0,17279,14317,14704,0,0,0,2026-07-23
29925164,12668909,635,0,0,17279,14704,14092,0,0,0,2026-07-24
2771951,1282834,44,0,0,17279,14092,13760,0,0,0,2026-07-25
4258122,1941995,62,0,0,17279,13760,13896,0,0,0,2026-07-26
32768213,13938193,761,0,0,17279,13896,12947,0,0,0,2026-07-27
42951118,18301575,1047,0,0,17279,12947,12991,0,0,0,2026-07-28
56131485,23485989,1493,0,0,17279,12991,15005,0,0,0,2026-07-29
39028920,16388066,2611,0,0,17279,15005,16983,0,0,0,2026-07-30
40070811,16816963,1226,0,0,17279,16983,16106,0,0,0,2026-07-31
3390404,1509297,66,0,0,17279,16106,16307,0,0,0,2026-08-01
7663215,3464709,171,0,0,17279,16307,16188,0,0,0,2026-08-02
33904756,14067920,850,0,0,17279,16188,16414,0,0,0,2026-08-03
40493067,17801291,758,0,0,17279,16414,16419,0,0,0,2026-08-04
43228962,18496931,698,0,0,17279,16419,16333,0,0,0,2026-08-05
38824321,16548173,538,0,0,17279,16333,16110,0,0,0,2026-08-06
30547793,12856033,397,0,0,17279,16110,15761,0,0,0,2026-08-07
2613002,1075948,29,0,0,17279,15761,15483,0,0,0,2026-08-08
2823857,1224415,108,0,0,17279,15483,15612,0,0,0,2026-08-09
