feature,label,target,h_grid,horizon,n,corr_fwd,corr_bwd,corr_placebo,corr_placebo_day,corr_partial,ci95,beta_bp_per_sd,oos_corr,signed
imp_avg_q5,価格インパクト(平均、Q=5),dir,1,5秒,1693243,-0.00023425240397170294,0.007815203524284116,0.0010125970879538565,0.00018207693057666188,-0.0022356511738279732,0.0015062491389360227,-0.014224740789650999,-0.0072303681415021625,false
imp_avg_q5,価格インパクト(平均、Q=5),mag,1,5秒,1693243,0.025710127515590563,0.05603418971203797,-0.01317275846984641,-0.008257649060615576,-0.0016716364225530952,0.0015062491389360227,0.07323292126944793,0.16694361527257165,false
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),dir,1,5秒,1693243,-0.06985967077168198,-0.005695526304415364,0.0005015671900263988,-0.0003888772392103141,-0.04935995063359986,0.0015062491389360227,-0.26840785401356637,0.09310883292092753,true
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),mag,1,5秒,1693243,-0.004123238604286079,-0.004625336625863637,-0.0008216250998933623,-0.011523784333045076,0.012418525634577068,0.0015062491389360227,-0.003287928050852605,0.017097146226890136,true
imp_avg_q50,価格インパクト(平均、Q=50),dir,1,5秒,1693242,-0.0005015048680920805,0.0044182433722153415,0.0005677169540529872,0.0006357123473622902,-0.0014969874453109912,0.0015062495837193394,-0.01145600000724176,-0.004793811580976687,false
imp_avg_q50,価格インパクト(平均、Q=50),mag,1,5秒,1693242,-0.0400858849575642,-0.019670180255998482,-0.013216010916057234,-0.030114699815737722,-0.021097226314996925,0.0015062495837193394,-0.13934159892828402,-0.0948003907806272,false
slp_avg_q5,スリッページ(平均、Q=5),dir,1,5秒,1693243,-0.001306825378592943,0.007262971698725332,0.00045787710581253417,-0.00005088680428952277,-0.0022356516729161403,0.0015062491389360227,-0.01577627396797918,-0.005134804790376593,false
slp_avg_q5,スリッページ(平均、Q=5),mag,1,5秒,1693243,-0.03641305278756866,-0.03297961787851965,-0.010378774856043067,-0.029109183406688718,-0.0016716357725742646,0.0015062491389360227,-0.08217517455014413,0.01885029886600428,false
lv_avg_q5,削る価格水準の数(平均、Q=5),dir,1,5秒,1693243,-0.00029454457209073263,0.0017018799677095283,0.00127267948427015,0.0009205548602238843,-0.00021230023726299954,0.0015062491389360227,-0.0026939136949501127,0.00045865687167435313,false
lv_avg_q5,削る価格水準の数(平均、Q=5),mag,1,5秒,1693243,-0.14267064159137766,-0.1446076277556597,-0.018917083151621147,-0.06758889670429946,-0.0290709364967433,0.0015062491389360227,-0.37263252450097883,0.17489933375919345,false
lv_avg_q50,削る価格水準の数(平均、Q=50),dir,1,5秒,1693242,-0.00018866562046078756,0.0010774779384155185,0.0003074248377373193,0.0008304582666290556,-0.00005030122073302309,0.0015062495837193394,-0.0010623277657472172,0.0016623910437098413,false
lv_avg_q50,削る価格水準の数(平均、Q=50),mag,1,5秒,1693242,-0.13522735291921384,-0.13337345034713505,-0.03122232976405977,-0.07777330275979653,-0.034965693363224554,0.0015062495837193394,-0.3538339440276851,0.18190825353195267,false
mdep_avg_q5,marginal depth(平均、Q=5),dir,1,5秒,1693243,0.0009689089315384387,-0.0009864392779393933,-0.0013035667623676366,0.00020858980832709923,0.0005711844750809066,0.0015062491389360227,-0.003305795635651037,-0.0020772646737196045,false
mdep_avg_q5,marginal depth(平均、Q=5),mag,1,5秒,1693243,0.026347730007955917,0.024835523281846163,-0.0030914269434767633,0.013543732601473592,0.006355566070771729,0.0015062491389360227,0.05201053925700381,0.020280436835649444,false
mimp_avg_q5,marginal impact(平均、Q=5),dir,1,5秒,1693243,-0.0036492877407876293,0.0015339579651232479,0.00018191308251614509,0.0008222021094604685,-0.004137588886330525,0.0015062491389360227,-0.027126209365982624,-0.0029782307814040167,false
mimp_avg_q5,marginal impact(平均、Q=5),mag,1,5秒,1693243,-0.07682447403337662,-0.07129655915609505,0.0023167301738587194,-0.033050564336029195,-0.013185185912517874,0.0015062491389360227,-0.22833963284524444,0.06619742231296968,false
spread_bp,スプレッド幅,dir,1,5秒,1693243,0.0009499115837528418,0.005372523839549208,0.0011906744898867176,0.00035033410509757056,0.001234037318742168,0.0015062491389360227,-0.00669965360268098,-0.00506545766207726,false
spread_bp,スプレッド幅,mag,1,5秒,1693243,0.07918863240466968,0.12527681064241605,-0.010960991787663814,0.016255746150358113,0.014280026244311662,0.0015062491389360227,0.216359764894459,0.21517250770421645,false
d25_tot,±25bp の深さ(両側合計),dir,1,5秒,1693243,-0.0012573155731953726,-0.00017431269806659835,-0.0013972762107252272,-0.0005156036455652766,-0.0016570715175710877,0.0015062491389360227,-0.007769702967730194,-0.00014321558542073793,false
d25_tot,±25bp の深さ(両側合計),mag,1,5秒,1693243,0.12268604514129683,0.11140351597507309,0.006977118135811074,0.06430973739256356,0.03280799304901414,0.0015062491389360227,0.4555897867547161,0.090802756468439,false
d25_imb,±25bp の深さの偏り(買い−売り),dir,1,5秒,1693132,0.018204444574275398,-0.10357575910608463,0.0006806745104595502,0.00018989410334677623,0.013986363763365582,0.0015062985122898092,0.06322300908387664,0.019836246968714798,true
d25_imb,±25bp の深さの偏り(買い−売り),mag,1,5秒,1693132,0.04065947733280014,0.0412804635525302,0.016506061955143404,0.03749987501897579,0.010808461182032908,0.0015062985122898092,0.15480154723900444,0.03225035948380216,true
frag_avg,脆さ(平均),dir,1,5秒,1692614,0.002301680837188071,0.00178122715693156,0.00091258218056012,-0.00026504608250383906,0.0017735216223887893,0.0015065289854881323,0.014293341758326939,0.0009306717656613749,false
frag_avg,脆さ(平均),mag,1,5秒,1692614,0.47463459659458523,0.49930910171464477,0.04174824689309001,0.21993857468901828,0.13985814931691817,0.0015065289854881323,1.3640964770249555,0.5124587593542655,false
frag_imb,脆さの偏り(買い−売り),dir,1,5秒,1685922,-0.004546656493525009,-0.03938031452199692,-0.00046731522915690617,-0.000854894448573498,-0.004749298989972604,0.0015095159935650828,-0.015823430013402917,0.004952470883273267,true
frag_imb,脆さの偏り(買い−売り),mag,1,5秒,1685922,0.011352856263294691,0.009260169972388833,-0.0038942704648788043,-0.011723177511076672,0.00740813208561356,0.0015095159935650828,0.01943307948306888,0.019044209743559245,true
dar_tot,depth-at-risk(両側合計),dir,1,5秒,1692614,-0.0005675651792833895,-0.001004206798487015,-0.0007797704149885864,-0.00008257033289075446,-0.001113405983764819,0.0015065289854881323,0.0010455918238669137,-0.00019818671987261612,false
dar_tot,depth-at-risk(両側合計),mag,1,5秒,1692614,0.37103198267287557,0.3796146661046941,0.025342780806493437,0.1796351773035344,0.09051755732343408,0.0015065289854881323,1.2460930568288398,0.4019928783954297,false
dar_imb,depth-at-risk の偏り,dir,1,5秒,1685909,0.012260724396854706,-0.1244998034314792,0.000033411413735864154,-0.00046464537197240315,0.008343544329675597,0.001509521813483301,0.03943542549542024,0.014879355463947141,true
dar_imb,depth-at-risk の偏り,mag,1,5秒,1685909,0.046281096375732265,0.04472051631618903,0.012871138799497773,0.02053456895830918,0.007454682886988152,0.001509521813483301,0.1550476588135011,0.04490134853948141,true
gfr_avg_q5,gap 調整後の上乗せ(平均、Q=5),dir,1,5秒,1692605,0.00476557822047354,0.0009294741479974682,0.001552354495993636,0.00004139053530885115,0.004351607277109624,0.0015065329907837793,0.01872333902594026,0.006824026268073334,false
gfr_avg_q5,gap 調整後の上乗せ(平均、Q=5),mag,1,5秒,1692605,0.12816026410119627,0.13754126896193772,0.015792175759962387,0.045468429485657484,0.03253072602918366,0.0015065329907837793,0.3821832064118761,0.28785790944953166,false
gfr_avg_q50,gap 調整後の上乗せ(平均、Q=50),dir,1,5秒,1692544,0.0024438692941102,0.0015489379493341712,0.0012658033281561537,-0.0001080339070109865,0.0021649570178943717,0.0015065601386296619,0.007674343033603282,0.004347469222828523,false
gfr_avg_q50,gap 調整後の上乗せ(平均、Q=50),mag,1,5秒,1692544,0.19847624163183233,0.21556665736167843,0.016482800243244878,0.07399721279726748,0.0420344642605524,0.0015065601386296619,0.6260741191663716,0.39504632127178485,false
gfr_asym_q5,gap 調整後の上乗せの非対称(売り−買い),dir,1,5秒,1692605,-0.03735123102045977,-0.010214297710385642,0.0023173776092509156,0.00028589610049216743,-0.030420212450045538,0.0015065329907837793,-0.12705348979585135,0.07492225966277206,true
gfr_asym_q5,gap 調整後の上乗せの非対称(売り−買い),mag,1,5秒,1692605,-0.011792233292228782,-0.01365078997315627,0.0018828235188733144,-0.010916613292517792,-0.0009745255728835862,0.0015065329907837793,-0.05295831290574138,0.0035250050654078735,true
l1_imb,【比較】最良気配の数量の偏り(マイクロプライス),dir,1,5秒,1693243,0.06346346925793042,0.02830731243927861,-0.00039439053138710267,0.00029230995295485504,0.05814096219959973,0.0015062491389360227,0.20053010507512392,0.07125335436195361,true
l1_imb,【比較】最良気配の数量の偏り(マイクロプライス),mag,1,5秒,1693243,0.0022118182373110666,0.00267569032079702,-0.0005178887004292722,0.004890609913753478,-0.0002428729095935759,0.0015062491389360227,0.006814255768498158,0.00241271696319767,true
ofi_1s,【比較】直前 1 秒の OFI,dir,1,5秒,1693243,0.0486718442497097,0.5154051017118786,-0.00016232369198455887,0.0012969567719699393,0.04147856003868701,0.0015062491389360227,0.1831645618113577,0.04825576733120957,true
ofi_1s,【比較】直前 1 秒の OFI,mag,1,5秒,1693243,0.0014082736014399487,-0.0008736449732901278,-0.0013444311331692054,0.001360595498897866,0.0008201834038430637,0.0015062491389360227,-0.011222243645661684,-0.004915097810480963,true
ofi_60s,【比較】直前 60 秒の OFI,dir,1,5秒,1693243,0.01911339011920373,0.13896210945418733,0.0009729946123330951,0.00005392286278166102,-0.0005791169031016613,0.0015062491389360227,0.08948186458177876,0.01583527946929446,true
ofi_60s,【比較】直前 60 秒の OFI,mag,1,5秒,1693243,-0.0012805267028228914,-0.0015749999783981478,-0.0007906875518431945,0.0030987851783570073,-0.0038815953032356634,0.0015062491389360227,-0.021018648860377683,-0.002626079001806174,true
imp_avg_q5,価格インパクト(平均、Q=5),dir,3,15秒,564284,0.005019822063684484,0.0027213715945346565,0.001000747453473626,0.0004991274709953363,0.004610577460262844,0.002609205934909775,0.015264084540894141,0.01245013729766355,false
imp_avg_q5,価格インパクト(平均、Q=5),mag,3,15秒,564284,0.023703424079196796,0.04481024794856882,-0.0035338223441481256,-0.0010543753186669056,-0.017784962666226332,0.002609205934909775,0.07209082169952276,0.16546641816161003,false
imp_avg_q5,価格インパクト(平均、Q=5),vol,3,15秒,564284,0.025232266239701515,0.049326543422941516,-0.008885493080659633,-0.005387492610472479,-0.021414619915024437,0.002609205934909775,0.07346477303677973,0.20473108902183315,false
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),dir,3,15秒,564284,-0.04480433681013779,-0.0023916645446444224,0.002381555033714107,-0.0017719335614001443,-0.031278419320115186,0.002609205934909775,-0.32394621078417457,0.05358914758626815,true
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),mag,3,15秒,564284,-0.012220335323637994,-0.015112677990304775,-0.0019994753762306167,-0.012812637508487984,0.004601940655961073,0.002609205934909775,-0.08597243319398533,0.010571452607494487,true
imp_asym_q5,価格インパクトの非対称(売り−買い、Q=5),vol,3,15秒,564284,-0.014187305958991257,-0.014889050259606884,-0.001412362133433786,-0.01400132222843769,0.006224064803259474,0.002609205934909775,-0.0812975549282974,0.018082769422349022,true
imp_avg_q50,価格インパクト(平均、Q=50),dir,3,15秒,564284,0.004069035571914073,-0.00019681914361168836,0.00035936867826786277,0.0009664814186819432,0.0030105619077085643,0.002609205934909775,0.014829536068200724,0.010406288120896574,false
imp_avg_q50,価格インパクト(平均、Q=50),mag,3,15秒,564284,-0.043456859989323034,-0.02534469229444506,-0.001190137359719066,-0.021222700715648253,-0.030612556317666052,0.002609205934909775,-0.30951382486732687,-0.09090175748206243,false
imp_avg_q50,価格インパクト(平均、Q=50),vol,3,15秒,564284,-0.05548706380867043,-0.035698565014564455,-0.008359431499532399,-0.03179301486125578,-0.03908624126465026,0.002609205934909775,-0.3358646743109769,-0.11117032660674507,false
slp_avg_q5,スリッページ(平均、Q=5),dir,3,15秒,564284,0.005489702659213546,0.001358277817816608,0.0014337645132062528,-0.00013636469462766229,0.004610577485953447,0.002609205934909775,0.033313517317397914,0.008200174337420695,false
slp_avg_q5,スリッページ(平均、Q=5),mag,3,15秒,564284,-0.048799941399736764,-0.03995410508575586,-0.0032210219648137776,-0.023748302288138005,-0.01778496231427827,0.002609205934909775,-0.2542710497530202,0.02804761649158683,false
slp_avg_q5,スリッページ(平均、Q=5),vol,3,15秒,564284,-0.05986934341710653,-0.05287948764961452,-0.008832500766749431,-0.03276454525191272,-0.02141461967895668,0.002609205934909775,-0.2687455990445533,0.03631861214212783,false
lv_avg_q5,削る価格水準の数(平均、Q=5),dir,3,15秒,564284,-0.00014900190704077724,0.0020850229260934265,0.0015518711086067616,0.0013081736419058602,-0.00033358608364318236,0.002609205934909775,-0.008484829138698597,-0.0003356211317936893,false
lv_avg_q5,削る価格水準の数(平均、Q=5),mag,3,15秒,564284,-0.15113432074214833,-0.14992756153649991,-0.013649616574361688,-0.06511146541726025,-0.03539802994164646,0.002609205934909775,-0.7194270105177432,0.1810856196920432,false
lv_avg_q5,削る価格水準の数(平均、Q=5),vol,3,15秒,564284,-0.1854813527942295,-0.18362488924272755,-0.022948280155303008,-0.08535875271702321,-0.047221730277901414,0.002609205934909775,-0.766022891389199,0.2354953172053749,false
lv_avg_q50,削る価格水準の数(平均、Q=50),dir,3,15秒,564284,0.0004981001343607008,0.00099933877106936,0.00030539871216636653,0.0011997404411059486,0.00022398474386540391,0.002609205934909775,-0.0006820839527748611,0.000558883792760969,false
lv_avg_q50,削る価格水準の数(平均、Q=50),mag,3,15秒,564284,-0.14022619815230547,-0.13682326157263497,-0.025427474097927304,-0.0748324823366433,-0.03782022615844389,0.002609205934909775,-0.670192391675403,0.18721509868838546,false
lv_avg_q50,削る価格水準の数(平均、Q=50),vol,3,15秒,564284,-0.17346025163100406,-0.1694596066464717,-0.03744941225750648,-0.09746017350182044,-0.05212448282004824,0.002609205934909775,-0.7171859023649915,0.2464697762328617,false
mdep_avg_q5,marginal depth(平均、Q=5),dir,3,15秒,564284,0.001701678740824818,0.0004871072752967614,-0.0020612042929506543,0.00019222643961389,0.0016455281718898006,0.002609205934909775,-0.001959228488364652,-0.003101746763680709,false
mdep_avg_q5,marginal depth(平均、Q=5),mag,3,15秒,564284,0.023223206778465677,0.021854141351417243,-0.004644267233980454,0.011340959909719318,0.002309289791718355,0.002609205934909775,0.07924982837283595,0.018454943545025464,false
mdep_avg_q5,marginal depth(平均、Q=5),vol,3,15秒,564284,0.030632321277541678,0.02941252962619133,-0.006662807215335119,0.01449172661034741,0.005457889336386885,0.002609205934909775,0.10005146988589823,0.024064155693302756,false
mimp_avg_q5,marginal impact(平均、Q=5),dir,3,15秒,564284,0.0027901528125558067,-0.007539472393716594,-3.416583999173976e-6,-0.000016622550687871573,0.0021721366373773088,0.002609205934909775,0.01264489395947878,0.004575733404777902,false
mimp_avg_q5,marginal impact(平均、Q=5),mag,3,15秒,564284,-0.08787739756031655,-0.07438764466339819,0.01143877485228694,-0.025544799265414028,-0.026514715551007317,0.002609205934909775,-0.5000835626929933,0.07446002047717626,false
mimp_avg_q5,marginal impact(平均、Q=5),vol,3,15秒,564284,-0.10693944667127998,-0.09307869593390784,0.007351225237189317,-0.03668701065405857,-0.0328740607365585,0.002609205934909775,-0.5347044263468769,0.09456567262714774,false
spread_bp,スプレッド幅,dir,3,15秒,564284,0.002600794100029439,0.00306776388141151,0.00016851675078310808,0.0009596254372692199,0.002763478007488378,0.002609205934909775,-0.011190000119365587,-0.009197027455625506,false
spread_bp,スプレッド幅,mag,3,15秒,564284,0.088868132509012,0.11438561544471305,-0.002490155122749285,0.022683601691628346,0.023614938796966738,0.002609205934909775,0.40789738923070884,0.22040923535119541,false
spread_bp,スプレッド幅,vol,3,15秒,564284,0.10271962290761825,0.1350343534461993,-0.005506565867722469,0.024838984765859294,0.02388596278209901,0.002609205934909775,0.4264493246130672,0.2738690330985321,false
d25_tot,±25bp の深さ(両側合計),dir,3,15秒,564284,-0.0016927314446404953,-0.00035912948738857966,-0.001989090620110402,-0.0013664685347033975,-0.0016795149151864546,0.002609205934909775,-0.021427927301993704,-0.000848187011627083,false
d25_tot,±25bp の深さ(両側合計),mag,3,15秒,564284,0.1186859848605874,0.10960061318312105,-0.0016017525714805611,0.05656142050124176,0.025341463623986295,0.002609205934909775,0.793865837104904,0.09380233854165981,false
