dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,4174,3608,83,82,165,82,-189.55827344810086,1,-18.668878109053708,1.8635749734702673,0,0.0,0.0,-208.22715155715457,0.503030303030303,1,0.0,92.6555,-2.311686261562206,0.0,0.024390243902439025,0.06097560975609756,0.08536585365853659,0.2804878048780488,0.4146341463414634
2026-05-05,0,6804,5826,227,227,454,227,-349.7443357905038,0,0.0,0.0,0,0.0,0.0,-349.7443357905038,0.5,1,0.0,15.1,-1.540723946213673,0.004405286343612335,0.05726872246696035,0.22026431718061673,0.3920704845814978,0.6475770925110133,0.7973568281938326
2026-05-06,0,6052,6888,282,282,564,282,-806.8668808807255,0,0.0,0.0,0,0.0,0.0,-806.8668808807255,0.5,1,0.0,13.839500000000001,-2.8612300740451255,0.01773049645390071,0.04609929078014184,0.24468085106382978,0.41134751773049644,0.7021276595744681,0.8723404255319149
2026-05-07,0,2082,2337,60,60,120,60,-171.24114472143648,0,0.0,0.0,0,0.0,0.0,-171.24114472143648,0.5,1,0.0,39.138,-2.854019078690608,0.0,0.03333333333333333,0.1,0.23333333333333334,0.4166666666666667,0.6833333333333333
2026-05-08,0,1236,1407,42,42,84,42,-68.7447102373259,0,0.0,0.0,0,0.0,0.0,-68.7447102373259,0.5,1,0.0,15.806000000000001,-1.6367788151744262,0.023809523809523808,0.07142857142857142,0.23809523809523808,0.3333333333333333,0.7857142857142857,0.9047619047619048
2026-05-09,0,2132,2193,96,96,192,96,602.8470328747986,0,0.0,0.0,0,0.0,0.0,602.8470328747986,0.5,1,0.0,357.0195,6.279656592445817,0.010416666666666666,0.010416666666666666,0.020833333333333332,0.0625,0.14583333333333334,0.23958333333333334
2026-05-10,0,3196,4441,84,84,168,84,-22.13898163237846,0,0.0,0.0,0,0.0,0.0,-22.13898163237846,0.5,1,0.0,127.12899999999999,-0.26355930514736226,0.0,0.05952380952380952,0.19047619047619047,0.20238095238095238,0.32142857142857145,0.36904761904761907
2026-05-11,0,3913,3758,108,108,216,108,-344.66203742670143,0,0.0,0.0,0,0.0,0.0,-344.66203742670143,0.5,1,0.0,21.087,-3.1913151613583493,0.0,0.009259259259259259,0.16666666666666666,0.25925925925925924,0.6203703703703703,0.8240740740740741
2026-05-12,0,3324,4569,100,100,200,100,-158.93396241149986,0,0.0,0.0,0,0.0,0.0,-158.93396241149986,0.5,1,0.0,15.128,-1.5893396241149989,0.0,0.02,0.24,0.38,0.61,0.81
2026-05-13,0,2521,2383,84,84,168,84,-155.09457203120212,0,0.0,0.0,0,0.0,0.0,-155.09457203120212,0.5,1,0.0,15.992,-1.8463639527524072,0.0,0.03571428571428571,0.11904761904761904,0.30952380952380953,0.6428571428571429,0.8452380952380952
2026-05-14,0,1839,1993,55,55,110,55,-228.52716200299508,0,0.0,0.0,0,0.0,0.0,-228.52716200299508,0.5,1,0.0,26.992,-4.155039309145365,0.0,0.01818181818181818,0.07272727272727272,0.18181818181818182,0.5272727272727272,0.8181818181818182
2026-05-15,0,4014,4625,135,135,270,135,-160.0266669826137,0,0.0,0.0,0,0.0,0.0,-160.0266669826137,0.5,1,0.0,19.561,-1.1853827183897312,0.0,0.02962962962962963,0.2,0.32592592592592595,0.6,0.7555555555555555
2026-05-16,0,788,2597,42,42,84,42,137.14621010044922,0,0.0,0.0,0,0.0,0.0,137.14621010044922,0.5,1,0.0,153.7935,3.2653859547726007,0.023809523809523808,0.07142857142857142,0.14285714285714285,0.16666666666666666,0.2857142857142857,0.38095238095238093
