dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,2570,2473,48,48,96,48,27.480039356537095,0,0.0,0.0,0,0.0,0.0,27.480039356537095,0.5,1,0.0,36.4965,0.572500819927857,0.0,0.041666666666666664,0.16666666666666666,0.20833333333333334,0.5,0.6041666666666666
2026-05-05,0,4924,3590,124,124,248,124,740.3124227980874,0,0.0,0.0,0,0.0,0.0,740.3124227980874,0.5,1,0.0,25.5505,5.970261474178125,0.008064516129032258,0.056451612903225805,0.1693548387096774,0.27419354838709675,0.5483870967741935,0.6935483870967742
2026-05-06,0,4030,4850,139,139,278,139,258.2077706303128,0,0.0,0.0,0,0.0,0.0,258.2077706303128,0.5,1,0.0,39.45,1.8576098606497318,0.0,0.007194244604316547,0.07194244604316546,0.2158273381294964,0.4316546762589928,0.6187050359712231
2026-05-07,0,1344,1114,37,37,74,37,52.507973238046155,0,0.0,0.0,0,0.0,0.0,52.507973238046155,0.5,1,0.0,36.005,1.4191344118390852,0.0,0.0,0.10810810810810811,0.1891891891891892,0.3783783783783784,0.6756756756756757
2026-05-08,0,727,840,16,16,32,16,84.66315427907035,0,0.0,0.0,0,0.0,0.0,84.66315427907035,0.5,1,0.0,136.8315,5.291447142441897,0.0,0.0625,0.0625,0.125,0.125,0.25
2026-05-09,0,2095,2065,99,99,198,99,816.1970249654597,0,0.0,0.0,0,0.0,0.0,816.1970249654597,0.5,1,0.0,263.986,8.244414393590501,0.0,0.0,0.010101010101010102,0.050505050505050504,0.16161616161616163,0.30303030303030304
2026-05-10,0,2359,3487,75,75,150,75,38.90411299485413,0,0.0,0.0,0,0.0,0.0,38.90411299485413,0.5,1,0.0,134.231,0.5187215065980555,0.0,0.04,0.13333333333333333,0.13333333333333333,0.28,0.36
2026-05-11,0,2798,2541,69,69,138,69,142.45194940550746,0,0.0,0.0,0,0.0,0.0,142.45194940550746,0.5,1,0.0,30.839,2.06452100587692,0.0,0.014492753623188406,0.15942028985507245,0.2753623188405797,0.4927536231884058,0.6521739130434783
2026-05-12,0,2184,3015,43,43,86,43,-4.534241914037782,0,0.0,0.0,0,0.0,0.0,-4.534241914037782,0.5,1,0.0,41.415,-0.10544748637297151,0.0,0.0,0.09302325581395349,0.16279069767441862,0.4186046511627907,0.5813953488372093
2026-05-13,0,1804,1095,19,19,38,19,20.2058578390968,0,0.0,0.0,0,0.0,0.0,20.2058578390968,0.5,1,0.0,23.012,1.0634662020577268,0.0,0.05263157894736842,0.15789473684210525,0.3157894736842105,0.631578947368421,0.7894736842105263
2026-05-14,0,1370,1481,35,35,70,35,14.414382370602008,0,0.0,0.0,0,0.0,0.0,14.414382370602008,0.5,1,0.0,39.769,0.41183949630291483,0.0,0.0,0.05714285714285714,0.14285714285714285,0.37142857142857144,0.6285714285714286
2026-05-15,0,2873,3395,59,59,118,59,226.66988441987078,0,0.0,0.0,0,0.0,0.0,226.66988441987078,0.5,1,0.0,39.375,3.841862447794419,0.0,0.01694915254237288,0.13559322033898305,0.22033898305084745,0.4406779661016949,0.5254237288135594
2026-05-16,0,1217,1268,29,30,59,29,131.4494131711684,1,-0.9339999999999999,6.940136484758576,0,0.0,0.0,130.5154131711684,0.5084745762711864,1,0.0,284.804,4.532738385212704,0.0,0.10344827586206896,0.1724137931034483,0.1724137931034483,0.20689655172413793,0.2413793103448276
2026-05-17,0,1610,2020,50,49,99,49,265.1126880210072,1,-3.3188135075842493,5.138664313650835,0,0.0,0.0,261.79387451342296,0.5050505050505051,1,0.0,123.402,5.410463020836882,0.0,0.0,0.08163265306122448,0.16326530612244897,0.24489795918367346,0.3877551020408163
2026-05-18,0,3185,1932,40,40,80,40,-93.58771424817114,0,0.0,0.0,0,0.0,0.0,-93.58771424817114,0.5,1,0.0,53.163,-2.3396928562042785,0.0,0.0,0.125,0.2,0.4,0.525
2026-05-19,0,2927,2589,36,36,72,36,111.88503166145688,0,0.0,0.0,0,0.0,0.0,111.88503166145688,0.5,1,0.0,51.143,3.1079175461515813,0.0,0.027777777777777776,0.16666666666666666,0.19444444444444445,0.4166666666666667,0.5833333333333334
2026-05-20,0,1943,1558,38,38,76,38,-48.46709414633001,0,0.0,0.0,0,0.0,0.0,-48.46709414633001,0.5,1,0.0,12.190999999999999,-1.275449845956053,0.0,0.05263157894736842,0.2894736842105263,0.42105263157894735,0.6842105263157895,0.8947368421052632
2026-05-21,0,930,921,18,18,36,18,-31.114554793749395,0,0.0,0.0,0,0.0,0.0,-31.114554793749395,0.5,1,0.0,31.4335,-1.7285863774305223,0.0,0.05555555555555555,0.2777777777777778,0.2777777777777778,0.5,0.5555555555555556
2026-05-22,0,972,684,14,14,28,14,21.168918066782272,0,0.0,0.0,0,0.0,0.0,21.168918066782272,0.5,1,0.0,13.341000000000001,1.5120655761987336,0.0,0.0,0.07142857142857142,0.5,0.6428571428571429,0.8571428571428571
2026-05-23,0,1420,905,44,44,88,44,52.36913137568442,0,0.0,0.0,0,0.0,0.0,52.36913137568442,0.5,1,0.0,62.2665,1.190207531265555,0.0,0.0,0.18181818181818182,0.20454545454545456,0.45454545454545453,0.5
2026-05-24,0,3711,2365,73,74,147,73,-97.13074125788395,1,3.705196997173684,4.009088861709874,0,0.0,0.0,-93.42554426071027,0.5034013605442177,1,0.0,88.181,-1.3305580994230675,0.0136986301369863,0.0821917808219178,0.1780821917808219,0.2054794520547945,0.3972602739726027,0.4657534246575342
2026-05-25,0,2774,2285,31,32,63,31,83.41618764814407,1,2.409642898938916,3.6671986959790797,0,0.0,0.0,85.82583054708299,0.5079365079365079,1,0.0,747.881,2.690844762843357,0.0,0.0,0.0,0.0,0.03225806451612903,0.06451612903225806
2026-05-26,0,1211,1282,17,17,34,17,-4.957176020277645,0,0.0,0.0,0,0.0,0.0,-4.957176020277645,0.5,1,0.0,68.475,-0.29159858942809636,0.0,0.0,0.11764705882352941,0.23529411764705882,0.4117647058823529,0.47058823529411764
2026-05-27,0,1057,1325,35,35,70,35,69.80529677592175,0,0.0,0.0,0,0.0,0.0,69.80529677592175,0.5,1,0.0,19.144,1.9944370507406217,0.22857142857142856,0.22857142857142856,0.34285714285714286,0.34285714285714286,0.7714285714285715,0.8285714285714286
2026-05-28,0,1469,1415,30,30,60,30,120.15862080703702,0,0.0,0.0,0,0.0,0.0,120.15862080703702,0.5,1,0.0,43.1545,4.005287360234567,0.0,0.03333333333333333,0.1,0.13333333333333333,0.36666666666666664,0.5666666666666667
2026-05-29,0,1671,1015,12,12,24,12,-16.06377637679846,0,0.0,0.0,0,0.0,0.0,-16.06377637679846,0.5,1,0.0,69.34049999999999,-1.3386480313998719,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.25,0.3333333333333333
2026-05-30,0,923,310,34,35,69,34,65.82062604524322,1,-1.5075260380816073,5.72097132369801,0,0.0,0.0,64.31310000716161,0.5072463768115942,1,0.0,104.789,1.9359007660365652,0.0,0.0,0.058823529411764705,0.11764705882352941,0.2647058823529412,0.38235294117647056
2026-05-31,0,2704,2871,89,89,178,89,311.14743330285086,0,0.0,0.0,0,0.0,0.0,311.14743330285086,0.5,1,0.0,57.453,3.496038576436525,0.0,0.033707865168539325,0.14606741573033707,0.2247191011235955,0.3707865168539326,0.5280898876404494
2026-06-01,0,1802,2085,63,63,126,63,98.2939259464893,0,0.0,0.0,0,0.0,0.0,98.2939259464893,0.5,1,0.0,13.522,1.5602210467696704,0.0,0.015873015873015872,0.19047619047619047,0.3968253968253968,0.6984126984126984,0.8571428571428571
2026-06-02,0,1183,1115,27,27,54,27,-117.59178916940398,0,0.0,0.0,0,0.0,0.0,-117.59178916940398,0.5,1,0.0,67.377,-4.355251450718665,0.0,0.0,0.25925925925925924,0.3333333333333333,0.4074074074074074,0.48148148148148145
2026-06-03,0,3071,3016,79,79,158,79,-246.48582483683748,0,0.0,0.0,0,0.0,0.0,-246.48582483683748,0.5,1,0.0,16.495,-3.1200737321118663,0.0,0.0759493670886076,0.21518987341772153,0.3670886075949367,0.6962025316455697,0.7974683544303798
