dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,9344,16955,138,137,275,137,106.42153567306923,1,-12.569517416914472,1.864107773979975,0,0.0,0.0,93.85201825615476,0.5018181818181818,1,0.0,144.263,0.7767995304603598,0.0,0.0072992700729927005,0.029197080291970802,0.043795620437956206,0.08029197080291971,0.23357664233576642
2026-05-05,0,32426,25088,518,519,1037,518,-2033.4368597763503,1,-18.090596227964756,2.7791376031506294,0,0.0,0.0,-2051.527456004315,0.5004821600771456,1,0.0,39.247,-3.925553783352028,0.015444015444015444,0.03861003861003861,0.11776061776061776,0.22007722007722008,0.4555984555984556,0.6196911196911197
2026-05-06,0,39131,53784,957,956,1913,956,-1045.5558213292084,1,-4.305178828996626,2.7723879022835907,0,0.0,0.0,-1049.861000158205,0.5002613695765813,1,0.0,27.552500000000002,-1.0936776373736492,0.0031380753138075313,0.030334728033472803,0.1579497907949791,0.24686192468619247,0.5251046025104602,0.7154811715481172
2026-05-07,0,29954,33874,390,390,780,390,-1179.17047991432,0,0.0,0.0,0,0.0,0.0,-1179.17047991432,0.5,1,0.0,66.33600000000001,-3.023514051062359,0.002564102564102564,0.005128205128205128,0.046153846153846156,0.08974358974358974,0.2923076923076923,0.47435897435897434
2026-05-08,0,40072,37743,544,545,1089,544,-89.40346671488379,1,-6.786643443955125,1.60467600199416,0,0.0,0.0,-96.19011015883892,0.5004591368227732,1,0.0,26.929499999999997,-0.1643446079317719,0.001838235294117647,0.01838235294117647,0.10845588235294118,0.2261029411764706,0.5422794117647058,0.6764705882352942
2026-05-09,0,2698,2165,58,57,115,57,428.0486564060813,1,-18.46475999091003,1.2788582713807146,0,0.0,0.0,409.5838964151713,0.5043478260869565,1,0.0,684.48,7.509625550983881,0.0,0.0,0.017543859649122806,0.07017543859649122,0.12280701754385964,0.14035087719298245
2026-05-10,0,4578,8394,94,94,188,94,159.4105231169041,0,0.0,0.0,0,0.0,0.0,159.4105231169041,0.5,1,0.0,205.8745,1.6958566289032349,0.0,0.031914893617021274,0.06382978723404255,0.10638297872340426,0.18085106382978725,0.24468085106382978
2026-05-11,0,41605,41140,483,482,965,482,-711.3772426460937,1,-7.906968850440564,2.3713369360337575,0,0.0,0.0,-719.2842114965342,0.5005181347150259,1,0.0,44.593500000000006,-1.4758863955313157,0.0,0.012448132780082987,0.10580912863070539,0.16390041493775934,0.38381742738589214,0.5850622406639004
2026-05-12,0,44925,47816,446,445,891,445,-1286.2594785853275,1,1.7636597801408298,1.4080124541961125,0,0.0,0.0,-1284.4958188051867,0.500561167227834,1,0.0,45.182,-2.8904707383939954,0.008988764044943821,0.024719101123595506,0.11910112359550562,0.20898876404494382,0.39101123595505616,0.5595505617977528
2026-05-13,0,39132,34603,547,548,1095,547,-846.0034350853123,1,-24.944142602295397,1.8557723524327097,0,0.0,0.0,-870.9475776876077,0.5004566210045662,1,0.0,26.905,-1.5466241957683966,0.0,0.005484460694698354,0.10420475319926874,0.1773308957952468,0.5319926873857403,0.7020109689213894
2026-05-14,0,28763,28015,352,352,704,352,-709.4004642911192,0,0.0,0.0,0,0.0,0.0,-709.4004642911192,0.5,1,0.0,66.8545,-2.015342228099771,0.005681818181818182,0.017045454545454544,0.09943181818181818,0.1278409090909091,0.32954545454545453,0.4715909090909091
2026-05-15,0,30371,30938,435,436,871,435,315.4950170235506,1,-1.8853616363411492,3.1054838863122574,0,0.0,0.0,313.60965538720944,0.5005740528128588,1,0.0,36.148,0.7252759012035646,0.0022988505747126436,0.016091954022988506,0.10574712643678161,0.19770114942528735,0.4436781609195402,0.6160919540229886
2026-05-16,0,4413,4263,44,45,89,44,2.3159484633850687,1,-8.586664681756602,6.944217168274814,0,0.0,0.0,-6.2707162183715335,0.5056179775280899,1,0.0,709.5815,0.052635192349660326,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.09090909090909091,0.1590909090909091,0.18181818181818182
2026-05-17,0,6291,3409,38,37,75,37,20.701232159003425,1,-3.557294858342403,5.138664313650835,0,0.0,0.0,17.143937300661023,0.5066666666666667,1,0.0,348.607,0.5594927610541466,0.0,0.0,0.08108108108108109,0.08108108108108109,0.10810810810810811,0.16216216216216217
2026-05-18,0,33181,25085,424,424,848,424,-991.0674447130071,0,0.0,0.0,0,0.0,0.0,-991.0674447130071,0.5,1,0.0,31.0325,-2.337423218662752,0.01179245283018868,0.02830188679245283,0.11320754716981132,0.2028301886792453,0.49292452830188677,0.6438679245283019
2026-05-19,0,32317,31402,347,346,693,346,217.89712023734552,1,1.703288867043642,1.6851373667868612,0,0.0,0.0,219.60040910438917,0.5007215007215007,1,0.0,59.16,0.6297604631137149,0.005780346820809248,0.014450867052023121,0.07803468208092486,0.14739884393063585,0.3236994219653179,0.5057803468208093
2026-05-20,0,32948,30726,479,478,957,478,-1271.823356135859,1,-2.525162230354674,2.209853340304191,0,0.0,0.0,-1274.3485183662137,0.5005224660397074,1,0.0,33.962,-2.660718318275855,0.0041841004184100415,0.01882845188284519,0.10460251046025104,0.20920502092050208,0.4560669456066946,0.6506276150627615
2026-05-21,0,37104,32174,425,425,850,425,-1142.2689941144602,0,0.0,0.0,0,0.0,0.0,-1142.2689941144602,0.5,1,0.0,55.51,-2.687691750857552,0.004705882352941176,0.01647058823529412,0.08705882352941176,0.14588235294117646,0.3388235294117647,0.5341176470588235
2026-05-22,0,31619,31261,402,403,805,402,-452.1332872609404,1,-2.66380453208753,3.9812707144088786,0,0.0,0.0,-454.7970917930279,0.5006211180124224,1,0.0,50.291,-1.1247096698033339,0.007462686567164179,0.024875621890547265,0.08706467661691543,0.17164179104477612,0.38308457711442784,0.5497512437810945
2026-05-23,0,7310,4316,147,146,293,146,-307.96267923650936,1,-4.48320873522936,1.7854964299138985,0,0.0,0.0,-312.4458879717387,0.5017064846416383,1,0.0,135.988,-2.109333419428146,0.0,0.0,0.10273972602739725,0.1506849315068493,0.2671232876712329,0.3698630136986301
2026-05-24,0,7091,6285,119,120,239,119,-324.3075651178764,1,-9.173668723063534,4.0151033550242055,0,0.0,0.0,-333.4812338409399,0.502092050209205,1,0.0,66.458,-2.7252736564527416,0.0,0.01680672268907563,0.13445378151260504,0.17647058823529413,0.36134453781512604,0.46218487394957986
2026-05-25,0,5771,5442,46,47,93,46,75.85410580154856,1,1.7828234064784838,3.6673166144198728,0,0.0,0.0,77.63692920802704,0.5053763440860215,1,0.0,958.1524999999999,1.6490023000336642,0.0,0.0,0.0,0.0,0.043478260869565216,0.08695652173913043
2026-05-26,0,30542,28943,415,415,830,415,-96.86943371121652,0,0.0,0.0,0,0.0,0.0,-96.86943371121652,0.5,1,0.0,39.765,-0.23342032219570225,0.00963855421686747,0.024096385542168676,0.12289156626506025,0.21927710843373494,0.4457831325301205,0.6096385542168675
2026-05-27,0,32708,30541,457,458,915,457,-98.83554491733736,1,0.9023037246367042,0.9480168735907991,0,0.0,0.0,-97.93324119270065,0.5005464480874317,1,0.0,35.657,-0.21627033898760903,0.006564551422319475,0.024070021881838075,0.12035010940919037,0.19037199124726478,0.45076586433260396,0.6214442013129103
2026-05-28,0,31332,32411,412,413,825,412,-1494.9163710892938,1,0.7902370251169958,4.007101212713766,0,0.0,0.0,-1494.1261340641768,0.5006060606060606,1,0.0,35.149,-3.628437793906052,0.0024271844660194173,0.019417475728155338,0.11893203883495146,0.23300970873786409,0.46116504854368934,0.6189320388349514
2026-05-29,0,26369,22756,214,213,427,213,-449.6127725414226,1,2.3712388035049674,2.4014064957660683,0,0.0,0.0,-447.2415337379176,0.5011709601873536,1,0.0,68.295,-2.1108580870489333,0.004694835680751174,0.023474178403755867,0.10328638497652583,0.19248826291079812,0.38497652582159625,0.4788732394366197
2026-05-30,0,6430,5752,91,92,183,91,-75.28814976465603,1,-15.868517883127302,5.728438538714779,0,0.0,0.0,-91.15666764778332,0.5027322404371585,1,0.0,234.255,-0.8273423051061101,0.01098901098901099,0.01098901098901099,0.04395604395604396,0.054945054945054944,0.15384615384615385,0.24175824175824176
2026-05-31,0,5962,6898,160,159,319,159,119.49545063497752,1,10.305221005715092,3.4620255789165957,0,0.0,0.0,129.8006716406926,0.5015673981191222,1,0.0,75.589,0.7515437146853935,0.006289308176100629,0.025157232704402517,0.09433962264150944,0.13836477987421383,0.2893081761006289,0.4591194968553459
