dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,19194,26669,1142,1141,2283,1141,-2919.085079009542,1,-8.228326056374009,2.9300931589637913,0,0.0,0.0,-2927.313405065916,0.5002190100744635,1,0.0,21.509,-2.558356773890923,0.006134969325153374,0.019281332164767746,0.1586327782646801,0.2918492550394391,0.6038562664329535,0.7887817703768624
2026-05-05,0,30503,32125,1400,1399,2799,1399,-4764.193108458789,1,-9.741856608093919,3.928749812833373,0,0.0,0.0,-4773.934965066883,0.5001786352268668,1,0.0,18.145,-3.405427525703209,0.009292351679771264,0.0407433881343817,0.1887062187276626,0.33952823445318087,0.636168691922802,0.812723373838456
2026-05-06,0,40019,40901,1356,1357,2713,1356,-1619.454175965776,1,-9.042473354655922,1.7469414838504447,0,0.0,0.0,-1628.4966493204317,0.5001842978252856,1,0.0,23.9065,-1.1942877403877405,0.0058997050147492625,0.025811209439528023,0.12831858407079647,0.2581120943952802,0.5722713864306784,0.7699115044247787
2026-05-07,0,36714,38167,879,878,1757,878,-2791.6647909789904,1,-4.625739732349446,3.614804799261757,0,0.0,0.0,-2796.2905307113397,0.5002845759817871,1,0.0,33.588499999999996,-3.179572654873568,0.002277904328018223,0.01366742596810934,0.09225512528473805,0.1970387243735763,0.45899772209567197,0.6674259681093394
2026-05-08,0,36578,36989,1186,1186,2372,1186,-2516.6081561154856,0,0.0,0.0,0,0.0,0.0,-2516.6081561154856,0.5,1,0.0,19.6575,-2.1219293053250294,0.00927487352445194,0.04131534569983136,0.17706576728499157,0.31703204047217537,0.6340640809443507,0.7925801011804384
2026-05-09,0,1886,1661,179,180,359,179,327.0590917081883,1,-1.7245450808325153,1.636545080833077,0,0.0,0.0,325.3345466273558,0.5013927576601671,1,0.0,126.318,1.8271457637328958,0.0,0.00558659217877095,0.0670391061452514,0.12290502793296089,0.2569832402234637,0.37988826815642457
2026-05-10,0,5510,5751,655,655,1310,655,-48.67118631110541,0,0.0,0.0,0,0.0,0.0,-48.67118631110541,0.5,1,0.0,29.208,-0.07430715467344427,0.00916030534351145,0.03358778625954199,0.2015267175572519,0.2961832061068702,0.5083969465648855,0.6732824427480916
2026-05-11,0,42053,43756,1830,1831,3661,1830,-6244.843365368799,1,4.502682070600878,1.2343344336138753,0,0.0,0.0,-6240.340683298198,0.5001365747063644,1,0.0,17.221,-3.4124827133162774,0.009289617486338797,0.030601092896174863,0.18907103825136612,0.3300546448087432,0.6846994535519125,0.8721311475409836
2026-05-12,0,38863,43217,1713,1714,3427,1713,-5886.61084546541,1,-2.6341742678621176,1.6960871339310588,0,0.0,0.0,-5889.245019733273,0.5001459002042603,1,0.0,16.726,-3.4364336517602974,0.007589025102159953,0.023934617629889084,0.16637478108581435,0.3397548161120841,0.6596614127262114,0.8347927612375948
2026-05-13,0,36679,34911,1803,1803,3606,1803,-5471.664355243118,0,0.0,0.0,0,0.0,0.0,-5471.664355243118,0.5,1,0.0,19.516,-3.0347556046828132,0.005546311702717693,0.033277870216306155,0.17581808097615087,0.31114808652246256,0.6444814198557959,0.8419301164725458
