dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,29756,21587,4,3,7,3,110.51863547434112,1,-76.49944692303751,2.916286217069098,0,0.0,0.0,34.019188551303614,0.5714285714285714,1,0.0,3228.074,36.83954515811371,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-05,0,30253,40215,7,8,15,7,187.56944689126618,1,-315.42227485911724,4.027239774586774,0,0.0,0.0,-127.85282796785106,0.5333333333333333,1,0.0,1357.645,26.795635270180885,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2026-05-06,0,56664,29532,4,5,9,4,149.4618336262566,1,-166.61663993775477,1.761373701313379,0,0.0,0.0,-17.154806311498163,0.5555555555555556,1,0.0,3300.8805,37.36545840656415,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-07,0,30260,31872,3,2,5,2,-110.63368870942168,1,-456.5409618858781,3.48975413086593,0,0.0,0.0,-567.1746505952998,0.6,1,0.0,23107.661,-55.31684435471084,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-08,0,16564,54929,10,9,19,9,624.1330735239414,1,110.41743795561968,1.2465447408477575,0,0.0,0.0,734.5505114795611,0.5263157894736842,1,0.0,353.295,69.34811928043794,0.0,0.0,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.3333333333333333
2026-05-09,0,545,3325,1,0,1,0,0.0,1,24.418559023925933,1.6382674694975448,0,0.0,0.0,24.418559023925933,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-10,0,9098,2237,3,3,6,3,33.387212211691875,0,0.0,0.0,0,0.0,0.0,33.387212211691875,0.5,1,0.0,1638.082,11.129070737230625,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-11,0,50595,33586,7,6,13,6,929.822398302171,1,126.54976942750268,1.2394684241586034,0,0.0,0.0,1056.3721677296737,0.5384615384615384,1,0.0,6090.594,154.9703997170285,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-12,0,24063,60510,7,7,14,7,657.8152652394286,0,0.0,0.0,0,0.0,0.0,657.8152652394286,0.5,1,0.0,2792.703,93.97360931991838,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-13,0,30788,37304,12,12,24,12,459.0583884623489,0,0.0,0.0,0,0.0,0.0,459.0583884623489,0.5,1,0.0,2646.2664999999997,38.25486570519573,0.0,0.0,0.0,0.0,0.0,0.08333333333333333
2026-05-14,0,51275,71404,2,2,4,2,-133.86319729020894,0,0.0,0.0,0,0.0,0.0,-133.86319729020894,0.5,1,0.0,12056.277999999998,-66.93159864510447,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-15,0,7668,87153,2,2,4,2,-718.1230985806937,0,0.0,0.0,0,0.0,0.0,-718.1230985806937,0.5,1,0.0,36222.419,-359.0615492903469,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-16,0,6567,6432,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-17,0,11088,3859,2,1,3,1,-36.37089559164738,1,-35.15365317919117,1.7708554913299528,0,0.0,0.0,-71.52454877083855,0.6666666666666666,1,0.0,38333.686,-36.37089559164738,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-18,0,63706,41161,7,8,15,7,753.2042540888629,1,-18.53718710334903,1.3092417658771902,0,0.0,0.0,734.6670669855138,0.5333333333333333,1,0.0,13252.37,107.60060772698041,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
2026-05-19,0,84057,55638,7,7,14,7,987.268900528682,0,0.0,0.0,0,0.0,0.0,987.268900528682,0.5,1,0.0,2401.412,141.03841436124029,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-20,0,77540,27494,3,4,7,3,-243.36486500284656,1,99.78968699479432,1.2692087688859077,0,0.0,0.0,-143.57517800805223,0.5714285714285714,1,0.0,297.61,-81.12162166761551,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
2026-05-21,0,59346,38928,11,10,21,10,97.776423305691,1,79.26523177578007,1.2681012198721415,0,0.0,0.0,177.04165508147105,0.5238095238095238,1,0.0,1433.849,9.777642330569098,0.0,0.1,0.1,0.1,0.2,0.4
2026-05-22,0,44098,32801,7,7,14,7,-269.5835699367881,0,0.0,0.0,0,0.0,0.0,-269.5835699367881,0.5,1,0.0,3256.691,-38.5119385623983,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-23,0,11670,4805,1,2,3,1,-77.36005428329064,1,-477.24663896014994,2.5562787754400564,0,0.0,0.0,-554.6066932434405,0.6666666666666666,1,0.0,5535.08,-77.36005428329064,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-24,0,14512,13692,1,1,2,1,-18.982214227310216,0,0.0,0.0,0,0.0,0.0,-18.982214227310216,0.5,1,0.0,596.836,-18.982214227310216,0.0,0.0,0.0,0.0,0.0,0.0
2026-05-25,0,15874,16227,1,0,1,0,0.0,1,19.38046796408402,1.2522893592818882,0,0.0,0.0,19.38046796408402,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-05-26,0,40655,38798,8,9,17,8,-168.9231090462895,1,-51.527659472031054,1.2540133828391657,0,0.0,0.0,-220.45076851832056,0.5294117647058824,1,0.0,1236.5,-21.115388630786192,0.0,0.0,0.0,0.0,0.0,0.125
2026-05-27,0,42947,33104,9,9,18,9,28.829466792111504,0,0.0,0.0,0,0.0,0.0,28.829466792111504,0.5,1,0.0,1516.828,3.2032740880123876,0.0,0.0,0.0,0.0,0.0,0.0
