dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-25,0,3660,4851,247,247,494,247,2816.7278909428255,0,0.0,0.0,0,0.0,0.0,2816.7278909428255,0.5,1,0.0,24.233,11.40375664349321,0.016194331983805668,0.04048582995951417,0.1659919028340081,0.2874493927125506,0.5789473684210527,0.6923076923076923
2026-06-26,0,12881,9509,564,564,1128,564,11304.363104188073,0,0.0,0.0,0,0.0,0.0,11304.363104188073,0.5,1,0.0,24.442,20.043196993241246,0.008865248226950355,0.030141843971631204,0.1595744680851064,0.2712765957446808,0.5904255319148937,0.7535460992907801
2026-06-27,0,7048,4072,67,67,134,67,668.7873709360604,0,0.0,0.0,0,0.0,0.0,668.7873709360604,0.5,1,0.0,202.07,9.98190105874717,0.0,0.0,0.014925373134328358,0.029850746268656716,0.13432835820895522,0.3283582089552239
2026-06-28,0,4453,3982,84,84,168,84,1867.50574588016,0,0.0,0.0,0,0.0,0.0,1867.50574588016,0.5,1,0.0,213.54950000000002,22.232211260478103,0.011904761904761904,0.011904761904761904,0.047619047619047616,0.11904761904761904,0.2261904761904762,0.3333333333333333
2026-06-29,0,6731,6295,374,373,747,373,3174.167880739504,1,7.92916360676511,39.37362955593733,0,0.0,0.0,3182.0970443462693,0.500669344042838,1,0.0,18.228,8.509833460427629,0.010723860589812333,0.058981233243967826,0.22788203753351208,0.36193029490616624,0.6032171581769437,0.7050938337801609
2026-06-30,0,7010,6729,296,296,592,296,4959.785951559614,0,0.0,0.0,0,0.0,0.0,4959.785951559614,0.5,1,0.0,14.575,16.756033620133806,0.013513513513513514,0.08445945945945946,0.27702702702702703,0.42567567567567566,0.668918918918919,0.75
2026-07-01,0,5155,4898,200,199,399,199,3793.5359208654572,1,70.24605363426997,12.809034224246963,0,0.0,0.0,3863.7819744997273,0.5012531328320802,1,0.0,37.955,19.062994577213352,0.01507537688442211,0.04522613065326633,0.15577889447236182,0.20603015075376885,0.4824120603015075,0.5879396984924623
2026-07-02,0,11712,7214,644,643,1287,643,13174.115721226639,1,-1.1729200812326104,20.55690670170801,0,0.0,0.0,13172.942801145406,0.5003885003885004,1,0.0,18.533,20.488515896153405,0.00933125972006221,0.024883359253499222,0.18040435458786935,0.3250388802488336,0.6267496111975117,0.744945567651633
2026-07-03,0,14519,15347,859,859,1718,859,15103.886549663672,0,0.0,0.0,0,0.0,0.0,15103.886549663672,0.5,1,0.0,12.568,17.58310424873536,0.005820721769499418,0.046565774155995346,0.259604190919674,0.42258440046565776,0.7834691501746216,0.8987194412107101
2026-07-04,0,8306,5115,58,58,116,58,258.8233346040585,0,0.0,0.0,0,0.0,0.0,258.8233346040585,0.5,1,0.0,161.5895,4.46247128627687,0.05172413793103448,0.08620689655172414,0.20689655172413793,0.25862068965517243,0.3620689655172414,0.4482758620689655
2026-07-05,0,6221,6214,59,59,118,59,105.9570752100722,0,0.0,0.0,0,0.0,0.0,105.9570752100722,0.5,1,0.0,52.171,1.7958826306791889,0.01694915254237288,0.06779661016949153,0.288135593220339,0.3728813559322034,0.423728813559322,0.5423728813559322
2026-07-06,0,12961,11868,402,402,804,402,2247.022465402717,0,0.0,0.0,0,0.0,0.0,2247.022465402717,0.5,1,0.0,22.4135,5.589608122892332,0.007462686567164179,0.04477611940298507,0.1691542288557214,0.3308457711442786,0.6069651741293532,0.7313432835820896
2026-07-07,0,12396,13248,653,653,1306,653,5670.063093879184,0,0.0,0.0,0,0.0,0.0,5670.063093879184,0.5,1,0.0,20.61,8.68309815295435,0.007656967840735069,0.036753445635528334,0.19754977029096477,0.31393568147013784,0.6171516079632465,0.7718223583460949
2026-07-08,0,21078,14723,722,722,1444,722,8572.724270801367,0,0.0,0.0,0,0.0,0.0,8572.724270801367,0.5,1,0.0,26.700499999999998,11.873579322439559,0.009695290858725761,0.023545706371191136,0.11911357340720222,0.23130193905817176,0.5457063711911357,0.7285318559556787
2026-07-09,0,10785,11567,278,279,557,278,1116.42160789669,1,12.656781567017998,3.5641563134031577,0,0.0,0.0,1129.078389463708,0.5008976660682226,1,0.0,49.5185,4.015905064376583,0.0035971223021582736,0.02158273381294964,0.11151079136690648,0.22661870503597123,0.4064748201438849,0.5575539568345323
2026-07-10,0,8602,8663,229,229,458,229,-67.7133891840615,0,0.0,0.0,0,0.0,0.0,-67.7133891840615,0.5,1,0.0,37.891,-0.2956916558255951,0.0,0.017467248908296942,0.12663755458515283,0.1965065502183406,0.4410480349344978,0.5895196506550219
2026-07-11,0,8281,4550,48,49,97,48,233.88051890554505,1,-8.949710793155266,12.368584265160054,0,0.0,0.0,224.93080811238977,0.5051546391752577,1,0.0,534.0825,4.872510810532189,0.0,0.0,0.08333333333333333,0.1875,0.20833333333333334,0.2708333333333333
2026-07-12,0,7204,12174,54,54,108,54,562.1990655231999,0,0.0,0.0,0,0.0,0.0,562.1990655231999,0.5,1,0.0,231.214,10.411093805985185,0.0,0.037037037037037035,0.07407407407407407,0.14814814814814814,0.25925925925925924,0.3148148148148148
2026-07-13,0,10447,13341,304,305,609,304,2750.4128002676534,1,-15.863829799939433,19.881532994923518,0,0.0,0.0,2734.548970467714,0.5008210180623974,1,0.0,42.917,9.047410527196226,0.003289473684210526,0.019736842105263157,0.10526315789473684,0.16776315789473684,0.42105263157894735,0.6217105263157895
2026-07-14,0,13748,12125,303,302,605,302,2107.4150546502974,1,-26.447316842117697,23.586130228843487,0,0.0,0.0,2080.9677378081797,0.5008264462809917,1,0.0,44.314,6.978195545199664,0.0033112582781456954,0.029801324503311258,0.15894039735099338,0.2251655629139073,0.44370860927152317,0.5761589403973509
2026-07-15,0,7560,10728,288,289,577,288,-340.73227515763386,1,-18.197396868940505,20.001275977865067,0,0.0,0.0,-358.9296720265744,0.5008665511265165,1,0.0,27.8825,-1.1830981776306735,0.006944444444444444,0.034722222222222224,0.2222222222222222,0.3055555555555556,0.5347222222222222,0.6631944444444444
2026-07-16,0,19432,16709,422,422,844,422,4823.756521908803,0,0.0,0.0,0,0.0,0.0,4823.756521908803,0.5,1,0.0,28.688499999999998,11.430702658551676,0.011848341232227487,0.054502369668246446,0.20853080568720378,0.2985781990521327,0.514218009478673,0.6516587677725119
2026-07-17,0,29521,22490,716,716,1432,716,7211.587401692734,0,0.0,0.0,0,0.0,0.0,7211.587401692734,0.5,1,0.0,16.8015,10.072049443704955,0.00558659217877095,0.051675977653631286,0.22486033519553073,0.3435754189944134,0.7067039106145251,0.8310055865921788
2026-07-18,0,35039,14316,153,153,306,153,1483.274711957717,0,0.0,0.0,0,0.0,0.0,1483.274711957717,0.5,1,0.0,44.701,9.694605960507955,0.006535947712418301,0.013071895424836602,0.05228758169934641,0.20261437908496732,0.40522875816993464,0.5359477124183006
2026-07-19,0,26315,19616,67,66,133,66,608.1942369037374,1,-17.431113005223892,23.131573708811782,0,0.0,0.0,590.7631238985135,0.5037593984962406,1,0.0,108.6855,9.215064195511173,0.0,0.0,0.030303030303030304,0.12121212121212122,0.2878787878787879,0.42424242424242425
2026-07-20,0,27263,26000,350,350,700,350,2195.9061107417583,0,0.0,0.0,0,0.0,0.0,2195.9061107417583,0.5,1,0.0,54.275999999999996,6.274017459262168,0.002857142857142857,0.02,0.07428571428571429,0.14857142857142858,0.32857142857142857,0.5342857142857143
2026-07-21,0,20785,25391,429,428,857,428,2731.0832209786236,1,10.27089117858493,13.755983314455557,0,0.0,0.0,2741.3541121572084,0.5005834305717619,1,0.0,25.237499999999997,6.3810355630341675,0.009345794392523364,0.030373831775700934,0.17757009345794392,0.29205607476635514,0.5677570093457944,0.7289719626168224
2026-07-22,0,29035,24711,455,455,910,455,3199.3695017226164,0,0.0,0.0,0,0.0,0.0,3199.3695017226164,0.5,1,0.0,24.782,7.031581322467284,0.0,0.03076923076923077,0.16043956043956045,0.2549450549450549,0.578021978021978,0.7186813186813187
2026-07-23,0,45768,33813,431,432,863,431,5389.709157081542,1,7.404713148267762,11.336639122014601,0,0.0,0.0,5397.113870229809,0.5005793742757821,1,0.0,29.421,12.505125654481542,0.0069605568445475635,0.03944315545243619,0.1902552204176334,0.27842227378190254,0.5034802784222738,0.6496519721577726
2026-07-24,0,30075,38899,447,447,894,447,3615.098737027053,0,0.0,0.0,0,0.0,0.0,3615.098737027053,0.5,1,0.0,28.706,8.087469210351346,0.0,0.024608501118568233,0.174496644295302,0.27069351230425054,0.5145413870246085,0.680089485458613
2026-07-25,0,33419,41980,31,31,62,31,159.0742033539837,0,0.0,0.0,0,0.0,0.0,159.0742033539837,0.5,1,0.0,406.172,5.131425914644636,0.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.1935483870967742
