dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-25,0,4132,4941,304,304,608,304,2.3402947869902664,0,0.0,0.0,0,0.0,0.0,2.3402947869902664,0.5,1,0.0,21.5335,0.007698338115100509,0.013157894736842105,0.046052631578947366,0.19078947368421054,0.3355263157894737,0.5657894736842105,0.680921052631579
2026-06-26,0,12304,10033,629,630,1259,629,7843.0556330895615,1,-87.60942893680502,31.573150012432265,0,0.0,0.0,7755.446204152757,0.5003971405877681,1,0.0,22.973,12.469086857058123,0.003179650238473768,0.028616852146263912,0.15421303656597773,0.27344992050874406,0.6025437201907791,0.7758346581875993
2026-06-27,0,6555,4916,87,87,174,87,188.35177588247643,0,0.0,0.0,0,0.0,0.0,188.35177588247643,0.5,1,0.0,130.328,2.16496294117789,0.0,0.0,0.022988505747126436,0.04597701149425287,0.19540229885057472,0.3793103448275862
2026-06-28,0,4796,4227,112,113,225,112,799.3921092626156,1,0.28608610322015615,1.0202980147454535,0,0.0,0.0,799.6781953658357,0.5022222222222222,1,0.0,152.9485,7.137429546987635,0.008928571428571428,0.026785714285714284,0.09821428571428571,0.19642857142857142,0.2857142857142857,0.36607142857142855
2026-06-29,0,7077,6590,613,613,1226,613,-1939.5979086749114,0,0.0,0.0,0,0.0,0.0,-1939.5979086749114,0.5,1,0.0,11.076,-3.1641075182298652,0.013050570962479609,0.0701468189233279,0.27895595432300163,0.4632952691680261,0.7243066884176182,0.8189233278955954
2026-06-30,0,8066,6977,427,428,855,427,1524.8033735854392,1,-89.09064625204887,34.314472354006675,0,0.0,0.0,1435.7127273333904,0.5005847953216375,1,0.0,14.604,3.570968088022111,0.0117096018735363,0.06791569086651054,0.2388758782201405,0.4098360655737705,0.6721311475409836,0.7775175644028103
2026-07-01,0,5283,4822,230,230,460,230,1781.859831277622,0,0.0,0.0,0,0.0,0.0,1781.859831277622,0.5,1,0.0,31.182499999999997,7.747216657728792,0.013043478260869565,0.0391304347826087,0.16956521739130434,0.23478260869565218,0.4956521739130435,0.5869565217391305
2026-07-02,0,11936,7639,743,743,1486,743,9698.046242739056,0,0.0,0.0,0,0.0,0.0,9698.046242739056,0.5,1,0.0,18.009,13.052552143659554,0.010767160161507403,0.039030955585464336,0.2180349932705249,0.35262449528936746,0.6460296096904441,0.7806191117092867
2026-07-03,0,15069,14980,1040,1039,2079,1039,11657.996043719908,1,-3.2536474135932223,30.61480847444452,0,0.0,0.0,11654.742396306314,0.5002405002405003,1,0.0,10.762,11.2204004270644,0.007699711260827719,0.05101058710298364,0.2964388835418672,0.47449470644850816,0.8123195380173244,0.9133782483156881
2026-07-04,0,8397,5996,93,92,185,92,-512.984356487412,1,-25.98683087426626,3.427780280935769,0,0.0,0.0,-538.9711873616783,0.5027027027027027,1,0.0,104.62700000000001,-5.5759169183414325,0.021739130434782608,0.043478260869565216,0.18478260869565216,0.22826086956521738,0.358695652173913,0.4782608695652174
2026-07-05,0,6409,6489,110,109,219,109,-327.510203360087,1,-139.87743151005262,40.30369050958417,0,0.0,0.0,-467.38763487013966,0.502283105022831,1,0.0,31.62,-3.004680764771442,0.009174311926605505,0.045871559633027525,0.29357798165137616,0.3761467889908257,0.48623853211009177,0.5779816513761468
2026-07-06,0,12824,12617,606,606,1212,606,-1670.6191881253867,0,0.0,0.0,0,0.0,0.0,-1670.6191881253867,0.5,1,0.0,18.398000000000003,-2.756797340140907,0.01155115511551155,0.056105610561056105,0.20957095709570958,0.36468646864686466,0.6468646864686468,0.7574257425742574
2026-07-07,0,13583,14451,828,828,1656,828,955.1212529362474,0,0.0,0.0,0,0.0,0.0,955.1212529362474,0.5,1,0.0,21.9215,1.1535280832563297,0.007246376811594203,0.04830917874396135,0.2028985507246377,0.3272946859903382,0.5869565217391305,0.7463768115942029
2026-07-08,0,21729,14894,815,816,1631,815,4624.724263334707,1,-50.415396897896514,33.09349156807404,0,0.0,0.0,4574.308866436811,0.5003065603923973,1,0.0,26.081,5.674508298570189,0.0049079754601227,0.025766871165644172,0.1374233128834356,0.249079754601227,0.5472392638036809,0.7251533742331289
2026-07-09,0,11681,12010,342,343,685,342,108.3828882574323,1,12.656781567017998,3.5641563134031577,0,0.0,0.0,121.0396698244503,0.5007299270072992,1,0.0,42.926,0.3169090299924934,0.005847953216374269,0.03216374269005848,0.12573099415204678,0.2134502923976608,0.42105263157894735,0.5760233918128655
2026-07-10,0,8373,8953,291,291,582,291,-1674.1118321487163,0,0.0,0.0,0,0.0,0.0,-1674.1118321487163,0.5,1,0.0,35.831,-5.752961622504181,0.0,0.01718213058419244,0.140893470790378,0.22336769759450173,0.43986254295532645,0.6323024054982818
2026-07-11,0,8130,4801,59,60,119,59,18.11707757498131,1,-8.949710793155266,12.368584265160054,0,0.0,0.0,9.167366781826043,0.5042016806722689,1,0.0,460.799,0.30706911144036214,0.0,0.01694915254237288,0.0847457627118644,0.1864406779661017,0.22033898305084745,0.288135593220339
2026-07-12,0,7030,12506,62,61,123,61,180.54576673576918,1,-88.48780911184974,47.228672684253745,0,0.0,0.0,92.05795762391944,0.5040650406504065,1,0.0,286.274,2.9597666677994963,0.0,0.04918032786885246,0.08196721311475409,0.13114754098360656,0.19672131147540983,0.2459016393442623
2026-07-13,0,11741,13987,373,373,746,373,949.3242642307221,0,0.0,0.0,0,0.0,0.0,949.3242642307221,0.5,1,0.0,42.555,2.5451052660341027,0.00804289544235925,0.024128686327077747,0.10455764075067024,0.1742627345844504,0.44235924932975873,0.6005361930294906
2026-07-14,0,13958,12436,362,361,723,361,-615.5495547148832,1,-26.225461913056012,23.586130228843487,0,0.0,0.0,-641.7750166279393,0.5006915629322268,1,0.0,42.773,-1.7051234202628345,0.002770083102493075,0.01662049861495845,0.10803324099722991,0.19390581717451524,0.4293628808864266,0.5817174515235457
2026-07-15,0,8052,11489,461,462,923,461,-3791.3965685847534,1,-18.197396868940505,20.001275977865067,0,0.0,0.0,-3809.5939654536937,0.5005417118093174,1,0.0,23.056,-8.22428756742897,0.021691973969631236,0.052060737527114966,0.20607375271149675,0.31670281995661603,0.5726681127982647,0.7418655097613883
2026-07-16,0,22121,17554,534,535,1069,534,1286.2983298797817,1,-7.811283473028414,4.284641736514207,0,0.0,0.0,1278.4870464067533,0.500467726847521,1,0.0,33.62050000000001,2.408798370561389,0.011235955056179775,0.06367041198501873,0.1891385767790262,0.27340823970037453,0.4794007490636704,0.649812734082397
2026-07-17,0,31770,24058,872,871,1743,871,3870.9830821031824,1,-0.06266686029704571,11.737664246296834,0,0.0,0.0,3870.920415242885,0.5002868617326449,1,0.0,16.61,4.444297453620183,0.004592422502870264,0.045924225028702644,0.21469575200918484,0.34328358208955223,0.7014925373134329,0.8128587830080367
2026-07-18,0,35836,14973,181,182,363,181,1126.2228520686783,1,-6.323544284089071,4.588739086172824,0,0.0,0.0,1119.8993077845892,0.5013774104683195,1,0.0,48.865,6.222225702036897,0.0055248618784530384,0.011049723756906077,0.08839779005524862,0.20441988950276244,0.40331491712707185,0.5580110497237569
2026-07-19,0,26831,20393,83,82,165,82,638.9513815952247,1,-16.85364918882184,23.13350886435041,0,0.0,0.0,622.0977324064029,0.503030303030303,1,0.0,112.197,7.792090019453958,0.012195121951219513,0.024390243902439025,0.04878048780487805,0.13414634146341464,0.2804878048780488,0.4024390243902439
2026-07-20,0,28504,26557,459,459,918,459,-368.3998528446836,0,0.0,0.0,0,0.0,0.0,-368.3998528446836,0.5,1,0.0,50.262,-0.8026140584851491,0.008714596949891068,0.023965141612200435,0.1111111111111111,0.19607843137254902,0.3790849673202614,0.5468409586056645
2026-07-21,0,21621,28973,622,622,1244,622,275.4537550535603,0,0.0,0.0,0,0.0,0.0,275.4537550535603,0.5,1,0.0,24.252000000000002,0.44285169622759013,0.00964630225080386,0.03215434083601286,0.18006430868167203,0.2829581993569132,0.567524115755627,0.72508038585209
2026-07-22,0,28270,29377,542,542,1084,542,1098.02791615743,0,0.0,0.0,0,0.0,0.0,1098.02791615743,0.5,1,0.0,25.143,2.0258817641281,0.0,0.033210332103321034,0.18450184501845018,0.29704797047970477,0.5645756457564576,0.7121771217712177
