dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-25,0,2567,5483,46,45,91,45,868.7546645031773,1,-224.0583608416761,2.318000991664249,0,0.0,0.0,644.6963036615012,0.5054945054945055,1,0.0,244.988,19.305659211181723,0.0,0.0,0.06666666666666667,0.13333333333333333,0.2222222222222222,0.35555555555555557
2026-06-26,0,7065,11609,43,43,86,43,-94.9108966459133,0,0.0,0.0,0,0.0,0.0,-94.9108966459133,0.5,1,0.0,172.243,-2.20723015455612,0.0,0.0,0.0,0.023255813953488372,0.11627906976744186,0.27906976744186046
2026-06-27,0,5271,5522,2,2,4,2,57.73927408949049,0,0.0,0.0,0,0.0,0.0,57.73927408949049,0.5,1,0.0,12436.9395,28.869637044745247,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-28,0,1709,5765,6,6,12,6,237.22860753048028,0,0.0,0.0,0,0.0,0.0,237.22860753048028,0.5,1,0.0,2783.0395,39.53810125508004,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
2026-06-29,0,8928,4866,47,46,93,46,-293.4761237990298,1,7.426140304961974,39.55708445559121,0,0.0,0.0,-286.0499834940678,0.5053763440860215,1,0.0,189.449,-6.379915734761517,0.0,0.0,0.043478260869565216,0.08695652173913043,0.1956521739130435,0.2826086956521739
2026-06-30,0,7467,6247,23,23,46,23,-879.8021179280884,0,0.0,0.0,0,0.0,0.0,-879.8021179280884,0.5,1,0.0,295.884,-38.252265996873405,0.0,0.0,0.043478260869565216,0.08695652173913043,0.13043478260869565,0.21739130434782608
2026-07-01,0,4741,4756,20,20,40,20,-134.5200448257503,0,0.0,0.0,0,0.0,0.0,-134.5200448257503,0.5,1,0.0,368.419,-6.726002241287515,0.0,0.0,0.05,0.05,0.1,0.1
2026-07-02,0,8502,9950,51,50,101,50,-2209.534209199732,1,4.075183503088508,20.524935190706497,0,0.0,0.0,-2205.4590256966435,0.504950495049505,1,0.0,249.01049999999998,-44.190684183994634,0.0,0.0,0.02,0.04,0.14,0.24
2026-07-03,0,13282,14231,111,111,222,111,-2208.279295622277,0,0.0,0.0,0,0.0,0.0,-2208.279295622277,0.5,1,0.0,84.985,-19.894408068669172,0.0,0.0,0.04504504504504504,0.06306306306306306,0.2882882882882883,0.44144144144144143
2026-07-04,0,9948,4032,4,4,8,4,-153.48824918875005,0,0.0,0.0,0,0.0,0.0,-153.48824918875005,0.5,1,0.0,3685.287,-38.37206229718751,0.0,0.0,0.0,0.0,0.0,0.0
