dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-25,0,8446,14122,1,2,3,1,-224.59209235282088,1,116.9062243677872,2.3386428419924,0,0.0,0.0,-107.68586798503368,0.6666666666666666,1,0.0,5383.185,-224.59209235282088,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-26,0,22491,19235,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-27,0,10769,10970,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-28,0,7839,7946,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-29,0,375,14480,1,0,1,0,0.0,1,170.56922948677723,40.04148055867352,0,0.0,0.0,170.56922948677723,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-30,0,16309,12175,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-01,0,10319,8698,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-02,0,18747,16450,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-03,0,20900,24480,2,2,4,2,869.2766773319872,0,0.0,0.0,0,0.0,0.0,869.2766773319872,0.5,1,0.0,2450.583,434.6383386659936,0.0,0.0,0.0,0.0,0.5,0.5
2026-07-04,0,15940,15433,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-05,0,12236,14072,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-06,0,23545,26946,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-07,0,25821,27703,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-08,0,33747,28512,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-09,0,23898,20768,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-10,0,17893,16656,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-11,0,14716,6927,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-12,0,10470,22970,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-13,0,23027,7006,0,1,1,0,0.0,1,248.35340518865763,19.32515358229833,0,0.0,0.0,248.35340518865763,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-14,0,22876,23811,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-15,0,19927,15212,0,1,1,0,0.0,1,-604.4998429777918,21.11500218955276,0,0.0,0.0,-604.4998429777918,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-16,0,35719,32429,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-17,0,19795,43717,1,0,1,0,0.0,1,940.968248227176,12.770825897541894,0,0.0,0.0,940.968248227176,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-18,0,56544,25903,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-19,0,47738,29432,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-20,0,44571,42896,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-21,0,32323,51882,1,0,1,0,0.0,1,371.7619180321655,14.2377855292914,0,0.0,0.0,371.7619180321655,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-22,0,53694,4068,0,1,1,0,0.0,1,85.66261008862426,20.527047747414354,0,0.0,0.0,85.66261008862426,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-07-23,0,73750,65051,0,0,0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
