dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-06-25,0,2326,7167,16,15,31,15,-451.30419892816275,1,-241.39943696691427,2.3179211670014994,0,0.0,0.0,-692.703635895077,0.5161290322580645,1,0.0,766.504,-30.086946595210858,0.0,0.0,0.0,0.0,0.06666666666666667,0.13333333333333333
2026-06-26,0,4827,13330,23,22,45,22,524.758711738027,1,-193.07661560204852,30.846606948694824,0,0.0,0.0,331.68209613597855,0.5111111111111111,1,0.0,816.3879999999999,23.852668715364867,0.0,0.0,0.0,0.045454545454545456,0.13636363636363635,0.22727272727272727
2026-06-27,0,6551,3595,0,1,1,0,0.0,1,-19.639937370403068,22.90488840849532,0,0.0,0.0,-19.639937370403068,1.0,1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-28,0,2489,5357,2,2,4,2,1.5755043692177892,0,0.0,0.0,0,0.0,0.0,1.5755043692177892,0.5,1,0.0,13994.144,0.7877521846088946,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-29,0,8654,6110,20,19,39,19,128.0764550664687,1,7.426140304961974,39.55708445559121,0,0.0,0.0,135.50259537143066,0.5128205128205128,1,0.0,546.322,6.740866056129929,0.0,0.0,0.0,0.0,0.0,0.0
2026-06-30,0,8626,5202,7,7,14,7,-188.7663924495629,0,0.0,0.0,0,0.0,0.0,-188.7663924495629,0.5,1,0.0,1010.243,-26.966627492794697,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-01,0,1494,7220,7,7,14,7,-319.75585782812624,0,0.0,0.0,0,0.0,0.0,-319.75585782812624,0.5,1,0.0,2189.897,-45.679408261160894,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
2026-07-02,0,9771,8960,24,24,48,24,-772.6967610074572,0,0.0,0.0,0,0.0,0.0,-772.6967610074572,0.5,1,0.0,415.23350000000005,-32.19569837531072,0.0,0.0,0.0,0.0,0.041666666666666664,0.041666666666666664
2026-07-03,0,15399,12405,47,47,94,47,-1261.4823912792149,0,0.0,0.0,0,0.0,0.0,-1261.4823912792149,0.5,1,0.0,194.562,-26.84005087828117,0.0,0.0,0.0,0.02127659574468085,0.10638297872340426,0.23404255319148937
2026-07-04,0,10324,3965,3,3,6,3,-227.6802712458968,0,0.0,0.0,0,0.0,0.0,-227.6802712458968,0.5,1,0.0,7400.44,-75.89342374863226,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-05,0,4566,7938,3,3,6,3,-409.1397260366385,0,0.0,0.0,0,0.0,0.0,-409.1397260366385,0.5,1,0.0,13411.981,-136.3799086788795,0.0,0.0,0.0,0.0,0.0,0.0
