dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,15715,13310,546,546,1092,546,-939.3505213517979,0,0.0,0.0,0,0.0,0.0,-939.3505213517979,0.5,1,0.0,18.8885,-1.720422200278019,0.003663003663003663,0.023809523809523808,0.17216117216117216,0.32783882783882784,0.6483516483516484,0.8021978021978022
2026-05-05,0,14207,12866,300,300,600,300,-532.711110860378,0,0.0,0.0,0,0.0,0.0,-532.711110860378,0.5,1,0.0,24.680999999999997,-1.775703702867926,0.006666666666666667,0.03,0.19333333333333333,0.3,0.5766666666666667,0.7533333333333333
2026-05-06,0,19018,21990,628,628,1256,628,77.66586540723544,0,0.0,0.0,0,0.0,0.0,77.66586540723544,0.5,1,0.0,16.5915,0.12367176020260415,0.009554140127388535,0.054140127388535034,0.2356687898089172,0.3821656050955414,0.6512738853503185,0.8312101910828026
2026-05-07,0,9619,11158,292,292,584,292,-415.79346003829914,0,0.0,0.0,0,0.0,0.0,-415.79346003829914,0.5,1,0.0,14.5565,-1.423950205610614,0.0136986301369863,0.06164383561643835,0.2773972602739726,0.410958904109589,0.6678082191780822,0.815068493150685
2026-05-08,0,13105,13747,414,414,828,414,-406.86931732458356,0,0.0,0.0,0,0.0,0.0,-406.86931732458356,0.5,1,0.0,16.912,-0.9827761288033423,0.004830917874396135,0.050724637681159424,0.24396135265700483,0.357487922705314,0.6739130434782609,0.8405797101449275
2026-05-09,0,8683,7353,904,904,1808,904,3619.4131239604253,0,0.0,0.0,0,0.0,0.0,3619.4131239604253,0.5,1,0.0,21.805500000000002,4.003775579602239,0.00663716814159292,0.023230088495575223,0.14823008849557523,0.2676991150442478,0.6581858407079646,0.8241150442477876
2026-05-10,0,6312,7692,572,571,1143,571,-515.1799667246507,1,-7.271679485062282,3.0245773229901123,0,0.0,0.0,-522.451646209713,0.5004374453193351,1,0.0,14.53,-0.9022416229853778,0.005253940455341506,0.04553415061295972,0.276707530647986,0.415061295971979,0.6760070052539404,0.7863397548161121
2026-05-11,0,18059,22734,1209,1209,2418,1209,-1297.136378491942,0,0.0,0.0,0,0.0,0.0,-1297.136378491942,0.5,1,0.0,5.852,-1.0729002303489994,0.021505376344086023,0.12489660876757651,0.45822994210090984,0.6459884201819686,0.8842018196856907,0.9636062861869313
2026-05-12,0,9030,9232,442,441,883,441,-750.2627577683342,1,-12.682449671911131,2.5815664288050018,0,0.0,0.0,-762.9452074402453,0.5005662514156285,1,0.0,7.319,-1.7012760947127739,0.006802721088435374,0.07482993197278912,0.4036281179138322,0.5941043083900227,0.8866213151927438,0.9591836734693877
2026-05-13,0,6041,5960,353,352,705,352,-1085.7171135100048,1,-2.9248173549498957,1.4681304234221075,0,0.0,0.0,-1088.6419308649547,0.500709219858156,1,0.0,7.759,-3.0844236179261513,0.002840909090909091,0.048295454545454544,0.3693181818181818,0.5738636363636364,0.90625,0.96875
