dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,22764,18065,542,543,1085,542,305.3321519902503,1,-3.527697315522885,3.0938710067867627,0,0.0,0.0,301.8044546747274,0.5004608294930876,1,0.0,19.566,0.5633434538565507,0.007380073800738007,0.03690036900369004,0.1937269372693727,0.34317343173431736,0.6143911439114391,0.7915129151291513
2026-05-05,28030,27690,486,485,971,485,611.705717116251,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,613.5814120425342,0.5005149330587023,1,0.0,21.703,1.2612489012706196,0.006185567010309278,0.0577319587628866,0.2020618556701031,0.31958762886597936,0.6061855670103092,0.7608247422680412
2026-05-06,29529,36538,761,761,1522,761,1043.4787754566614,0,0.0,0.0,0,0.0,0.0,1043.4787754566614,0.5,1,0.0,17.652,1.371194185882604,0.00788436268068331,0.06307490144546649,0.22864651773981604,0.35611038107752957,0.6386333771353482,0.80946123521682
2026-05-07,27429,28918,579,579,1158,579,420.585434055738,0,0.0,0.0,0,0.0,0.0,420.585434055738,0.5,1,0.0,14.636,0.726399713395057,0.013816925734024179,0.055267702936096716,0.26252158894645944,0.39896373056994816,0.6804835924006909,0.8203799654576857
2026-05-08,30044,29810,740,739,1479,739,657.2409442123893,1,-5.681617948633591,2.890113283439026,0,0.0,0.0,651.5593262637557,0.5003380662609872,1,0.0,13.63,0.8893652831020161,0.012178619756427604,0.06224627875507442,0.3004059539918809,0.4248985115020298,0.6941813261163735,0.8335588633288228
2026-05-09,10468,8491,1059,1059,2118,1059,5054.476735188386,0,0.0,0.0,0,0.0,0.0,5054.476735188386,0.5,1,0.0,18.966,4.7728769926235906,0.003777148253068933,0.02927289896128423,0.18696883852691218,0.3153918791312559,0.6864966949952785,0.830028328611898
2026-05-10,8942,11872,759,759,1518,759,-5.449673828403197,0,0.0,0.0,0,0.0,0.0,-5.449673828403197,0.5,1,0.0,14.003,-0.0071800709201621776,0.010540184453227932,0.04479578392621871,0.28194993412384717,0.4321475625823452,0.6706192358366272,0.7878787878787878
2026-05-11,39142,45847,1884,1884,3768,1884,1630.2368620785282,0,0.0,0.0,0,0.0,0.0,1630.2368620785282,0.5,1,0.0,5.1055,0.8653061900629114,0.02176220806794055,0.14437367303609341,0.4867303609341826,0.6640127388535032,0.888004246284501,0.9601910828025477
2026-05-12,41635,39406,1067,1067,2134,1067,-277.0523660861028,0,0.0,0.0,0,0.0,0.0,-277.0523660861028,0.5,1,0.0,7.077,-0.25965545087732295,0.015932521087160263,0.09559512652296158,0.41611996251171507,0.5979381443298969,0.851921274601687,0.9493908153701968
2026-05-13,31877,27504,907,907,1814,907,-201.06720952208863,0,0.0,0.0,0,0.0,0.0,-201.06720952208863,0.5,1,0.0,6.736,-0.22168380322170742,0.009922822491730982,0.07497243660418963,0.41345093715545755,0.6108048511576626,0.8886438809261301,0.9658213891951488
2026-05-14,27571,28679,753,753,1506,753,73.14351929494902,0,0.0,0.0,0,0.0,0.0,73.14351929494902,0.5,1,0.0,6.551,0.09713614780205701,0.009296148738379814,0.08632138114209828,0.4355909694555113,0.6268260292164675,0.8897742363877822,0.9601593625498008
2026-05-15,35972,37905,906,906,1812,906,223.94241366392922,0,0.0,0.0,0,0.0,0.0,223.94241366392922,0.5,1,0.0,5.343500000000001,0.24717705702420428,0.02759381898454746,0.1291390728476821,0.48233995584988965,0.6633554083885209,0.8973509933774835,0.9646799116997793
2026-05-16,13922,10126,697,697,1394,697,285.0405947735659,0,0.0,0.0,0,0.0,0.0,285.0405947735659,0.5,1,0.0,22.154,0.40895350756609083,0.03012912482065997,0.06599713055954089,0.21951219512195122,0.2898134863701578,0.6312769010043041,0.7977044476327116
2026-05-17,13385,19004,764,764,1528,764,218.342207228109,0,0.0,0.0,0,0.0,0.0,218.342207228109,0.5,1,0.0,20.6145,0.2857882293561635,0.009162303664921465,0.04450261780104712,0.20287958115183247,0.29712041884816753,0.6178010471204188,0.774869109947644
2026-05-18,32828,32700,639,639,1278,639,327.9334290785546,0,0.0,0.0,0,0.0,0.0,327.9334290785546,0.5,1,0.0,6.635,0.5131978545830275,0.02034428794992175,0.11737089201877934,0.4507042253521127,0.6150234741784038,0.8403755868544601,0.9483568075117371
2026-05-19,38811,33616,648,648,1296,648,207.58445589543828,0,0.0,0.0,0,0.0,0.0,207.58445589543828,0.5,1,0.0,5.7125,0.3203463825546889,0.016975308641975308,0.13580246913580246,0.46141975308641975,0.6512345679012346,0.8858024691358025,0.9521604938271605
