dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,36474,32502,1253,1254,2507,1253,-2212.0122880021527,1,-3.1815795297371277,3.0935795297371276,-2215.1938675318897,0.5001994415636218,1,0.0,18.986,-1.7653729353568692,0.00558659217877095,0.023942537909018357,0.17557861133280128,0.3343974461292897,0.6320830007980845,0.7996807661612131
2026-05-05,47737,47509,1000,999,1999,999,-2394.4890026958024,1,1.8756949262832845,0.9938786803305222,-2392.613307769519,0.5002501250625313,1,0.0,28.0,-2.3968858885843884,0.006006006006006006,0.028028028028028028,0.14114114114114115,0.24824824824824826,0.5285285285285285,0.7077077077077077
2026-05-06,50725,57639,1483,1483,2966,1483,-1859.3796054201036,0,0.0,0.0,-1859.3796054201036,0.5,1,0.0,22.768,-1.2537960926635914,0.008091706001348618,0.037086985839514496,0.1706001348617667,0.28320971004720163,0.5826028320971005,0.784895482130816
2026-05-07,47752,53423,1328,1329,2657,1328,-1148.1494489647707,1,-7.450527931855102,3.173331404233839,-1155.5999768966258,0.5001881821603312,1,0.0,19.712,-0.8645703681963646,0.009036144578313253,0.0391566265060241,0.19879518072289157,0.3260542168674699,0.6091867469879518,0.7899096385542169
2026-05-08,51679,54009,1521,1520,3041,1520,-1254.5577660550061,1,-4.2313047830703185,2.890328965503238,-1258.7890708380764,0.5001644195988162,1,0.0,20.0535,-0.825366951351978,0.010526315789473684,0.04736842105263158,0.2118421052631579,0.34078947368421053,0.6164473684210526,0.8052631578947368
2026-05-09,12608,11062,1273,1272,2545,1272,5305.4849676447475,1,-4.044097449718736,4.085684843458428,5301.440870195029,0.500196463654224,1,0.0,21.208,4.170978748148383,0.007075471698113208,0.036949685534591194,0.17688679245283018,0.2916666666666667,0.6674528301886793,0.8011006289308176
2026-05-10,12187,15510,1066,1065,2131,1065,-1084.316898230798,1,-7.271679485062282,3.0245773229901123,-1091.5885777158603,0.5002346316283435,1,0.0,16.723,-1.0181379326110764,0.01784037558685446,0.056338028169014086,0.26384976525821596,0.37934272300469485,0.6328638497652582,0.7605633802816901
2026-05-11,68326,77372,3632,3633,7265,3632,-7225.549187313377,1,-0.9339999999999999,0.9085668683404821,-7226.483187313377,0.5000688231245699,1,0.0,8.0105,-1.9894133224981747,0.022577092511013214,0.08838105726872247,0.38023127753303965,0.5611233480176211,0.848568281938326,0.9490638766519823
2026-05-12,79725,83388,3359,3358,6717,3358,-9951.583177308046,1,-12.682449671911131,2.5815664288050018,-9964.265626979957,0.5000744379931517,1,0.0,10.375,-2.963544722247781,0.011614055985705777,0.053007742703990474,0.3100059559261465,0.48868374032162,0.8198332340678975,0.9422275163787969
2026-05-13,67408,67115,3782,3781,7563,3781,-10170.012451469222,1,-2.9248173549498957,1.4681304234221075,-10172.937268824171,0.5000661113314823,1,0.0,8.786,-2.6897679057046386,0.014281935995768316,0.059508066649034644,0.33747685797408095,0.5419201269505421,0.8553292779687913,0.9584765934937847
2026-05-14,74323,77533,3196,3195,6391,3195,-5148.732364512361,1,-1.0625033218122129,0.9745033218114824,-5149.794867834173,0.5000782350179941,1,0.0,10.06,-1.6114968277033956,0.01940532081377152,0.06791862284820031,0.3183098591549296,0.49702660406885757,0.8187793427230047,0.9330203442879499
2026-05-15,96408,91373,3384,3384,6768,3384,-6216.865112287407,0,0.0,0.0,-6216.865112287407,0.5,1,0.0,8.9605,-1.83713508046318,0.01743498817966903,0.07742316784869976,0.3475177304964539,0.5307328605200946,0.8277186761229315,0.9370567375886525
2026-05-16,19252,15308,1022,1022,2044,1022,-560.3308325970816,0,0.0,0.0,-560.3308325970816,0.5,1,0.0,25.266,-0.5482689164355008,0.030332681017612523,0.06457925636007827,0.19765166340508805,0.2857142857142857,0.5694716242661448,0.7181996086105675
2026-05-17,22014,27692,1387,1386,2773,1386,-1174.016016556523,1,-4.2578695381207545,2.300192922928027,-1178.2738860946438,0.5001803101334295,1,0.0,20.2045,-0.8470534029989354,0.015151515151515152,0.05411255411255411,0.20057720057720058,0.31024531024531027,0.6183261183261183,0.7922077922077922
2026-05-18,96120,91606,2952,2951,5903,2951,-7184.6500568138035,1,-7.892437830707271,1.7882884562415409,-7192.542494644511,0.5000847026935457,1,0.0,9.588,-2.4346492906857984,0.020670958996950185,0.07421213148085395,0.3378515757370383,0.5137241613012539,0.8007455099966113,0.9352761775669265
2026-05-19,102282,101867,2694,2693,5387,2693,-5151.500590831337,1,-3.200240802248793,1.1292801002808979,-5154.700831633586,0.5000928160386114,1,0.0,10.757,-1.912922610780301,0.017452655031563312,0.06461195692536205,0.29780913479391014,0.4760490159673227,0.785740809506127,0.9108800594132938
2026-05-20,80002,89746,2160,2161,4321,2160,-5273.73484474858,1,0.30572064961405887,0.9148733694229163,-5273.429124098966,0.500115713955103,1,0.0,12.853,-2.4415439096058273,0.013888888888888888,0.059722222222222225,0.2875,0.44351851851851853,0.7277777777777777,0.8712962962962963
2026-05-21,95646,88695,2810,2811,5621,2810,-4574.83823974611,1,-4.351567611974511,0.9117224540763754,-4579.189807358084,0.5000889521437467,1,0.0,10.471,-1.6280563130769075,0.014234875444839857,0.06548042704626335,0.296085409252669,0.4875444839857651,0.801779359430605,0.9306049822064056
2026-05-22,66262,56764,1998,1998,3996,1998,-3161.959753568407,0,0.0,0.0,-3161.959753568407,0.5,1,0.0,14.5155,-1.5825624392234265,0.0075075075075075074,0.03803803803803804,0.22872872872872874,0.3923923923923924,0.7412412412412412,0.8743743743743744
2026-05-23,28136,29963,1173,1173,2346,1173,-1574.8917136029893,0,0.0,0.0,-1574.8917136029893,0.5,1,0.0,22.556,-1.3426186816734773,0.011082693947144074,0.04688832054560955,0.1918158567774936,0.30264279624893436,0.5805626598465473,0.7519181585677749
2026-05-24,25396,28100,963,963,1926,963,-1686.114842900996,0,0.0,0.0,-1686.114842900996,0.5,1,0.0,28.268,-1.7508980715482851,0.010384215991692628,0.04361370716510903,0.18483904465212878,0.2824506749740395,0.5160955347871236,0.6801661474558671
