dt,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,14082,10418,348,348,696,348,677.8534461823476,0,0.0,0.0,0,0.0,0.0,677.8534461823476,0.5,1,0.0,22.673000000000002,1.9478547304090443,0.0,0.02586206896551724,0.15804597701149425,0.2959770114942529,0.5718390804597702,0.735632183908046
2026-05-05,15601,15503,272,271,543,271,382.503174132556,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,384.3788690588393,0.5009208103130756,1,0.0,30.031,1.4114508270574029,0.0,0.01107011070110701,0.11439114391143912,0.2140221402214022,0.4981549815498155,0.6605166051660517
2026-05-06,16103,19085,419,419,838,419,1134.8111501368057,0,0.0,0.0,0,0.0,0.0,1134.8111501368057,0.5,1,0.0,22.993,2.708379833262064,0.002386634844868735,0.028639618138424822,0.17422434367541767,0.28878281622911695,0.5966587112171837,0.8114558472553699
2026-05-07,11713,12735,265,266,531,265,492.59874779700306,1,-5.589457359889426,3.173728679944713,0,0.0,0.0,487.00929043711363,0.5009416195856874,1,0.0,18.786,1.858863199233974,0.0037735849056603774,0.03018867924528302,0.2188679245283019,0.32452830188679244,0.6188679245283019,0.769811320754717
2026-05-08,13623,14713,347,347,694,347,488.81269113357894,0,0.0,0.0,0,0.0,0.0,488.81269113357894,0.5,1,0.0,21.452,1.4086821070131947,0.0,0.03170028818443804,0.2219020172910663,0.34870317002881845,0.6282420749279539,0.7809798270893372
2026-05-09,9878,8184,1015,1015,2030,1015,5061.250810745277,0,0.0,0.0,0,0.0,0.0,5061.250810745277,0.5,1,0.0,22.053,4.986454000734268,0.002955665024630542,0.030541871921182268,0.17536945812807883,0.28472906403940884,0.6630541871921182,0.8059113300492611
2026-05-10,7950,10344,616,616,1232,616,195.44271280332313,0,0.0,0.0,0,0.0,0.0,195.44271280332313,0.5,1,0.0,20.042,0.31727713117422573,0.003246753246753247,0.02922077922077922,0.20292207792207792,0.3344155844155844,0.5974025974025974,0.7418831168831169
2026-05-11,18260,22983,833,834,1667,833,1848.0626258469863,1,-0.9339999999999999,0.9085668683404821,0,0.0,0.0,1847.1286258469863,0.5002999400119976,1,0.0,7.274,2.218562576046803,0.003601440576230492,0.0744297719087635,0.3817527010804322,0.5858343337334934,0.8451380552220888,0.9423769507803121
2026-05-12,17259,14946,395,395,790,395,-268.849897796624,0,0.0,0.0,0,0.0,0.0,-268.849897796624,0.5,1,0.0,9.509,-0.6806326526496805,0.002531645569620253,0.05569620253164557,0.33164556962025316,0.5164556962025316,0.7949367088607595,0.9240506329113924
2026-05-13,12994,10566,345,345,690,345,192.57215695887442,0,0.0,0.0,0,0.0,0.0,192.57215695887442,0.5,1,0.0,6.997,0.5581801650981867,0.002898550724637681,0.057971014492753624,0.4115942028985507,0.5739130434782609,0.8608695652173913,0.9449275362318841
2026-05-14,11683,10730,290,290,580,290,279.93032651493854,0,0.0,0.0,0,0.0,0.0,279.93032651493854,0.5,1,0.0,8.134,0.9652769879825459,0.006896551724137931,0.07586206896551724,0.38620689655172413,0.5586206896551724,0.8586206896551725,0.9551724137931035
2026-05-15,15373,14182,319,319,638,319,-52.17426589854667,0,0.0,0.0,0,0.0,0.0,-52.17426589854667,0.5,1,0.0,8.18,-0.16355569247193297,0.012539184952978056,0.09090909090909091,0.3667711598746082,0.5329153605015674,0.8181818181818182,0.9404388714733543
