dt,n_keep,n_post_bid,n_post_ask,n_fill_bid,n_fill_ask,n_fill,n_pair,realized_bp,forced_n,forced_pnl_bp,forced_cost_bp,n_timeout,timeout_pnl_bp,timeout_cost_bp,total_bp,q_abs_mean,q_abs_max,p_absq_ge2,t_off_med,pair_pnl_mean,p_off_0.25s,p_off_1s,p_off_5s,p_off_10s,p_off_30s,p_off_60s
2026-05-04,0,12646,9461,308,308,616,308,433.8229727888847,0,0.0,0.0,0,0.0,0.0,433.8229727888847,0.5,1,0.0,27.503,1.4085161454184574,0.006493506493506494,0.01948051948051948,0.13636363636363635,0.2727272727272727,0.5292207792207793,0.7272727272727273
2026-05-05,0,10890,11586,177,176,353,176,-97.01238830825137,1,1.8756949262832845,0.9938786803305222,0,0.0,0.0,-95.13669338196809,0.5014164305949008,1,0.0,32.3285,-0.5512067517514292,0.0,0.017045454545454544,0.13068181818181818,0.2159090909090909,0.48295454545454547,0.7045454545454546
2026-05-06,0,13324,16653,350,350,700,350,917.3760600204569,0,0.0,0.0,0,0.0,0.0,917.3760600204569,0.5,1,0.0,18.662999999999997,2.621074457201304,0.005714285714285714,0.025714285714285714,0.22,0.3457142857142857,0.6685714285714286,0.8485714285714285
2026-05-07,0,6932,10144,170,170,340,170,221.80127899327067,0,0.0,0.0,0,0.0,0.0,221.80127899327067,0.5,1,0.0,14.96,1.3047134058427674,0.0,0.0058823529411764705,0.27647058823529413,0.40588235294117647,0.6588235294117647,0.7941176470588235
2026-05-08,0,7770,9744,209,209,418,209,414.0148896904841,0,0.0,0.0,0,0.0,0.0,414.0148896904841,0.5,1,0.0,16.147,1.98093248655734,0.0,0.03827751196172249,0.27751196172248804,0.36363636363636365,0.645933014354067,0.7607655502392344
2026-05-09,0,8295,6752,843,842,1685,842,4769.673218249914,1,-4.044097449718736,4.085684843458428,0,0.0,0.0,4765.629120800195,0.5002967359050445,1,0.0,21.2845,5.664695033550967,0.0035629453681710215,0.026128266033254157,0.17220902612826602,0.2826603325415677,0.6733966745843231,0.815914489311164
2026-05-10,0,4947,6963,373,373,746,373,583.3592031170081,0,0.0,0.0,0,0.0,0.0,583.3592031170081,0.5,1,0.0,16.238,1.563965692002702,0.002680965147453083,0.03753351206434316,0.22788203753351208,0.38605898123324395,0.6702412868632708,0.8123324396782842
2026-05-11,0,12595,16693,590,590,1180,590,920.9034030023037,0,0.0,0.0,0,0.0,0.0,920.9034030023037,0.5,1,0.0,5.9435,1.5608532254276348,0.005084745762711864,0.09491525423728814,0.4610169491525424,0.6372881355932203,0.8830508474576271,0.9542372881355933
2026-05-12,0,6884,6472,160,160,320,160,-238.4384960698683,0,0.0,0.0,0,0.0,0.0,-238.4384960698683,0.5,1,0.0,6.8545,-1.4902406004366764,0.0,0.06875,0.4,0.6125,0.85625,0.95
2026-05-13,0,4344,4249,139,139,278,139,-19.464486200616786,0,0.0,0.0,0,0.0,0.0,-19.464486200616786,0.5,1,0.0,5.961,-0.1400322748245814,0.02877697841726619,0.06474820143884892,0.4316546762589928,0.6402877697841727,0.920863309352518,0.9784172661870504
2026-05-14,0,3013,3134,82,82,164,82,37.45202286820578,0,0.0,0.0,0,0.0,0.0,37.45202286820578,0.5,1,0.0,8.870000000000001,0.4567319861976313,0.012195121951219513,0.06097560975609756,0.3902439024390244,0.5365853658536586,0.8170731707317073,0.9512195121951219
2026-05-15,0,7037,6438,165,165,330,165,91.25353985195333,0,0.0,0.0,0,0.0,0.0,91.25353985195333,0.5,1,0.0,5.391,0.553051756678505,0.006060606060606061,0.10303030303030303,0.4727272727272727,0.6545454545454545,0.896969696969697,0.9757575757575757
2026-05-16,0,2279,1476,76,76,152,76,53.6316603646981,0,0.0,0.0,0,0.0,0.0,53.6316603646981,0.5,1,0.0,19.167,0.7056797416407645,0.06578947368421052,0.07894736842105263,0.2631578947368421,0.40789473684210525,0.6973684210526315,0.8026315789473685
2026-05-17,0,1963,2560,74,74,148,74,115.46670062184099,0,0.0,0.0,0,0.0,0.0,115.46670062184099,0.5,1,0.0,14.4475,1.5603608192140674,0.0,0.10810810810810811,0.32432432432432434,0.47297297297297297,0.7297297297297297,0.8918918918918919
2026-05-18,0,5670,5139,128,128,256,128,77.67162548839845,0,0.0,0.0,0,0.0,0.0,77.67162548839845,0.5,1,0.0,9.014,0.6068095741281134,0.015625,0.0625,0.28125,0.53125,0.8203125,0.9765625
2026-05-19,0,5500,5073,91,91,182,91,76.59067901609002,0,0.0,0.0,0,0.0,0.0,76.59067901609002,0.5,1,0.0,11.858,0.841655813363627,0.0,0.03296703296703297,0.23076923076923078,0.45054945054945056,0.8351648351648352,0.945054945054945
2026-05-20,0,1760,2680,36,36,72,36,-143.17811991188188,0,0.0,0.0,0,0.0,0.0,-143.17811991188188,0.5,1,0.0,9.029,-3.9771699975522736,0.0,0.027777777777777776,0.25,0.5277777777777778,0.6944444444444444,0.8888888888888888
